t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,36,5.790500,0.000000,0.000000,0.000000,events/second
1655037300,4960,543.692744,0.000000,0.000000,0.000000,events/second
1655037303,6141,510.847392,0.000000,0.000000,0.000000,events/second
1655037306,6141,408.924756,0.000000,0.000000,0.000000,events/second
1655037309,6141,338.815922,0.000000,0.000000,0.000000,events/second
1655037312,12203,530.380543,0.000000,0.000000,0.000000,events/second
1655037315,12354,514.534798,0.000000,0.000000,0.000000,events/second
1655037318,12794,471.867119,0.000000,0.000000,0.000000,events/second
1655037321,14250,475.034518,0.000000,0.000000,0.000000,events/second
1655037324,14250,431.960729,0.000000,0.000000,0.000000,events/second
1655037327,17460,484.960264,0.000000,0.000000,0.000000,events/second
1655037330,17460,447.440309,0.000000,0.000000,0.000000,events/second
1655037333,17536,417.663939,0.000000,0.000000,0.000000,events/second
1655037336,17536,389.781424,0.000000,0.000000,0.000000,events/second
1655037339,17536,365.410551,0.000000,0.000000,0.000000,events/second
1655037342,17536,343.191775,0.000000,0.000000,0.000000,events/second
1655037345,17536,324.807698,0.000000,0.000000,0.000000,events/second
1655037348,17536,307.724710,0.000000,0.000000,0.000000,events/second
1655037351,17595,293.201417,0.000000,0.000000,0.000000,events/second
1655037354,17595,279.369879,0.000000,0.000000,0.000000,events/second
1655037357,17595,266.641869,0.000000,0.000000,0.000000,events/second
1655037360,17595,255.026413,0.000000,0.000000,0.000000,events/second
1655037363,17595,244.405619,0.000000,0.000000,0.000000,events/second
1655037366,17595,234.640923,0.000000,0.000000,0.000000,events/second
1655037369,17595,225.505450,0.000000,0.000000,0.000000,events/second
1655037372,17631,217.553016,0.000000,0.000000,0.000000,events/second
1655037375,17631,209.857995,0.000000,0.000000,0.000000,events/second
1655037378,17631,202.673902,0.000000,0.000000,0.000000,events/second
1655037381,17631,195.839370,0.000000,0.000000,0.000000,events/second
1655037384,17631,189.602011,0.000000,0.000000,0.000000,events/second
1655037387,17631,183.678471,0.000000,0.000000,0.000000,events/second
1655037390,17631,178.119296,0.000000,0.000000,0.000000,events/second
1655037393,17673,173.287061,0.000000,0.000000,0.000000,events/second
1655037396,17673,168.347286,0.000000,0.000000,0.000000,events/second
1655037399,17673,163.669382,0.000000,0.000000,0.000000,events/second
1655037402,17673,159.122400,0.000000,0.000000,0.000000,events/second
1655037405,17673,154.991928,0.000000,0.000000,0.000000,events/second
1655037408,17673,151.042978,0.000000,0.000000,0.000000,events/second
1655037411,17694,147.429321,0.000000,0.000000,0.000000,events/second
1655037414,17701,143.903094,0.000000,0.000000,0.000000,events/second
1655037417,17701,140.480520,0.000000,0.000000,0.000000,events/second
1655037420,17701,137.236690,0.000000,0.000000,0.000000,events/second
1655037423,17701,134.104134,0.000000,0.000000,0.000000,events/second
1655037426,17701,131.137863,0.000000,0.000000,0.000000,events/second
1655037429,17701,128.286252,0.000000,0.000000,0.000000,events/second
1655037432,17837,126.506204,0.000000,0.000000,0.000000,events/second
1655037435,17837,123.878737,0.000000,0.000000,0.000000,events/second
1655037438,17837,121.351895,0.000000,0.000000,0.000000,events/second
1655037441,17837,118.923547,0.000000,0.000000,0.000000,events/second
1655037444,17837,116.600313,0.000000,0.000000,0.000000,events/second
1655037447,17837,114.353747,0.000000,0.000000,0.000000,events/second
1655037450,17837,112.194464,0.000000,0.000000,0.000000,events/second
1655037453,17873,110.342143,0.000000,0.000000,0.000000,events/second
1655037456,17873,108.332000,0.000000,0.000000,0.000000,events/second
1655037459,17873,106.397636,0.000000,0.000000,0.000000,events/second
1655037462,17873,104.529421,0.000000,0.000000,0.000000,events/second
1655037465,17873,102.728052,0.000000,0.000000,0.000000,events/second
1655037468,17873,100.979780,0.000000,0.000000,0.000000,events/second
1655037471,17895,99.418508,0.000000,0.000000,0.000000,events/second
1655037474,17909,97.873237,0.000000,0.000000,0.000000,events/second
1655037477,17909,96.291968,0.000000,0.000000,0.000000,events/second
1655037480,17909,94.768622,0.000000,0.000000,0.000000,events/second
1655037483,17909,93.285512,0.000000,0.000000,0.000000,events/second
1655037486,17909,91.852378,0.000000,0.000000,0.000000,events/second
1655037489,17909,90.458702,0.000000,0.000000,0.000000,events/second
1655037492,18132,90.213469,0.000000,0.000000,0.000000,events/second
1655037495,18132,88.882026,0.000000,0.000000,0.000000,events/second
1655037498,18132,87.498729,0.000000,0.000000,0.000000,events/second
1655037501,18132,86.348218,0.000000,0.000000,0.000000,events/second
1655037504,18132,85.130358,0.000000,0.000000,0.000000,events/second
1655037507,18132,83.950081,0.000000,0.000000,0.000000,events/second
1655037510,18132,82.801698,0.000000,0.000000,0.000000,events/second
1655037513,18548,83.556821,0.000000,0.000000,0.000000,events/second
1655037516,18548,82.439072,0.000000,0.000000,0.000000,events/second
1655037519,18548,81.359809,0.000000,0.000000,0.000000,events/second
1655037522,18548,80.301631,0.000000,0.000000,0.000000,events/second
1655037525,18548,79.104075,0.000000,0.000000,0.000000,events/second
1655037528,18548,78.269492,0.000000,0.000000,0.000000,events/second
1655037531,18572,77.388108,0.000000,0.000000,0.000000,events/second
1655037534,18584,76.482762,0.000000,0.000000,0.000000,events/second
1655037537,18584,75.543362,0.000000,0.000000,0.000000,events/second
1655037540,18584,74.638164,0.000000,0.000000,0.000000,events/second
1655037543,18584,73.667790,0.000000,0.000000,0.000000,events/second
1655037546,18584,72.884046,0.000000,0.000000,0.000000,events/second
1655037549,18584,72.030767,0.000000,0.000000,0.000000,events/second
1655037552,18620,71.294611,0.000000,0.000000,0.000000,events/second
1655037555,18620,70.533061,0.000000,0.000000,0.000000,events/second
1655037558,18620,69.741218,0.000000,0.000000,0.000000,events/second
1655037561,18620,68.965365,0.000000,0.000000,0.000000,events/second
1655037564,18620,68.190680,0.000000,0.000000,0.000000,events/second
1655037567,18620,67.469087,0.000000,0.000000,0.000000,events/second
1655037570,18620,66.742263,0.000000,0.000000,0.000000,events/second
1655037573,18659,66.171482,0.000000,0.000000,0.000000,events/second
1655037576,18659,65.475600,0.000000,0.000000,0.000000,events/second
1655037579,18659,64.793493,0.000000,0.000000,0.000000,events/second
1655037582,18659,64.125410,0.000000,0.000000,0.000000,events/second
1655037585,18659,63.470903,0.000000,0.000000,0.000000,events/second
1655037588,18659,62.829308,0.000000,0.000000,0.000000,events/second
1655037591,18683,62.281839,0.000000,0.000000,0.000000,events/second
1655037594,18698,61.712222,0.000000,0.000000,0.000000,events/second
1655037597,18698,61.105111,0.000000,0.000000,0.000000,events/second
1655037600,18698,60.515108,0.000000,0.000000,0.000000,events/second
1655037603,18698,59.932494,0.000000,0.000000,0.000000,events/second
1655037606,18698,59.361215,0.000000,0.000000,0.000000,events/second
1655037609,18698,58.801912,0.000000,0.000000,0.000000,events/second
1655037612,18739,58.379345,0.000000,0.000000,0.000000,events/second
1655037615,18739,57.839284,0.000000,0.000000,0.000000,events/second
