t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,3,0.482468,0.000000,0.000000,0.000000,events/second
1655037300,4687,513.638781,0.000000,0.000000,0.000000,events/second
1655037303,5745,477.874856,0.000000,0.000000,0.000000,events/second
1655037306,5745,382.293756,0.000000,0.000000,0.000000,events/second
1655037309,5745,316.951348,0.000000,0.000000,0.000000,events/second
1655037312,11240,488.497929,0.000000,0.000000,0.000000,events/second
1655037315,11241,466.754714,0.000000,0.000000,0.000000,events/second
1655037318,11701,431.543492,0.000000,0.000000,0.000000,events/second
1655037321,13727,457.592743,0.000000,0.000000,0.000000,events/second
1655037324,13727,416.099862,0.000000,0.000000,0.000000,events/second
1655037327,17136,475.953610,0.000000,0.000000,0.000000,events/second
1655037330,17136,439.130572,0.000000,0.000000,0.000000,events/second
1655037333,17198,409.609517,0.000000,0.000000,0.000000,events/second
1655037336,17198,382.264706,0.000000,0.000000,0.000000,events/second
1655037339,17198,358.364059,0.000000,0.000000,0.000000,events/second
1655037342,17198,336.573488,0.000000,0.000000,0.000000,events/second
1655037345,17198,318.544147,0.000000,0.000000,0.000000,events/second
1655037348,17198,301.791098,0.000000,0.000000,0.000000,events/second
1655037351,17222,286.983233,0.000000,0.000000,0.000000,events/second
1655037354,17222,273.445373,0.000000,0.000000,0.000000,events/second
1655037357,17222,260.987449,0.000000,0.000000,0.000000,events/second
1655037360,17222,249.618398,0.000000,0.000000,0.000000,events/second
1655037363,17222,239.222961,0.000000,0.000000,0.000000,events/second
1655037366,17222,229.664933,0.000000,0.000000,0.000000,events/second
1655037369,17222,220.723672,0.000000,0.000000,0.000000,events/second
1655037372,17234,212.653063,0.000000,0.000000,0.000000,events/second
1655037375,17234,205.130933,0.000000,0.000000,0.000000,events/second
1655037378,17234,198.109240,0.000000,0.000000,0.000000,events/second
1655037381,17234,191.428564,0.000000,0.000000,0.000000,events/second
1655037384,17234,185.331817,0.000000,0.000000,0.000000,events/second
1655037387,17234,179.541741,0.000000,0.000000,0.000000,events/second
1655037390,17234,174.107154,0.000000,0.000000,0.000000,events/second
1655037393,17249,169.128918,0.000000,0.000000,0.000000,events/second
1655037396,17249,164.307751,0.000000,0.000000,0.000000,events/second
1655037399,17249,159.742106,0.000000,0.000000,0.000000,events/second
1655037402,17249,155.304199,0.000000,0.000000,0.000000,events/second
1655037405,17249,151.272483,0.000000,0.000000,0.000000,events/second
1655037408,17249,147.418718,0.000000,0.000000,0.000000,events/second
1655037411,17253,143.754327,0.000000,0.000000,0.000000,events/second
1655037414,17258,140.297495,0.000000,0.000000,0.000000,events/second
1655037417,17258,136.964271,0.000000,0.000000,0.000000,events/second
1655037420,17258,133.801636,0.000000,0.000000,0.000000,events/second
1655037423,17258,130.747514,0.000000,0.000000,0.000000,events/second
1655037426,17258,127.855551,0.000000,0.000000,0.000000,events/second
1655037429,17258,125.075270,0.000000,0.000000,0.000000,events/second
1655037432,17282,122.569519,0.000000,0.000000,0.000000,events/second
1655037435,17282,120.023887,0.000000,0.000000,0.000000,events/second
1655037438,17282,117.575697,0.000000,0.000000,0.000000,events/second
1655037441,17282,115.222928,0.000000,0.000000,0.000000,events/second
1655037444,17282,112.971989,0.000000,0.000000,0.000000,events/second
1655037447,17282,110.795344,0.000000,0.000000,0.000000,events/second
1655037450,17282,108.703269,0.000000,0.000000,0.000000,events/second
1655037453,17301,106.810556,0.000000,0.000000,0.000000,events/second
1655037456,17301,104.864738,0.000000,0.000000,0.000000,events/second
1655037459,17301,102.992305,0.000000,0.000000,0.000000,events/second
1655037462,17301,101.183861,0.000000,0.000000,0.000000,events/second
1655037465,17301,99.440146,0.000000,0.000000,0.000000,events/second
1655037468,17301,97.747823,0.000000,0.000000,0.000000,events/second
1655037471,17305,96.140241,0.000000,0.000000,0.000000,events/second
1655037474,17321,94.659608,0.000000,0.000000,0.000000,events/second
