t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,1,0.160752,0.000000,0.000000,0.000000,events/second
1655037300,1,0.109557,0.000000,0.000000,0.000000,events/second
1655037303,2,0.166327,0.000000,0.000000,0.000000,events/second
1655037306,2,0.133062,0.000000,0.000000,0.000000,events/second
1655037309,2,0.110322,0.000000,0.000000,0.000000,events/second
1655037312,12,0.521413,0.000000,0.000000,0.000000,events/second
1655037315,12,0.498180,0.000000,0.000000,0.000000,events/second
1655037318,12,0.442531,0.000000,0.000000,0.000000,events/second
1655037321,14,0.466658,0.000000,0.000000,0.000000,events/second
1655037324,14,0.424346,0.000000,0.000000,0.000000,events/second
1655037327,17,0.472145,0.000000,0.000000,0.000000,events/second
1655037330,17,0.435618,0.000000,0.000000,0.000000,events/second
1655037333,22,0.523952,0.000000,0.000000,0.000000,events/second
1655037336,22,0.488976,0.000000,0.000000,0.000000,events/second
1655037339,22,0.458404,0.000000,0.000000,0.000000,events/second
1655037342,22,0.430532,0.000000,0.000000,0.000000,events/second
1655037345,22,0.407470,0.000000,0.000000,0.000000,events/second
1655037348,22,0.386042,0.000000,0.000000,0.000000,events/second
1655037351,25,0.416578,0.000000,0.000000,0.000000,events/second
1655037354,25,0.396927,0.000000,0.000000,0.000000,events/second
1655037357,25,0.378845,0.000000,0.000000,0.000000,events/second
1655037360,25,0.362342,0.000000,0.000000,0.000000,events/second
1655037363,25,0.347253,0.000000,0.000000,0.000000,events/second
1655037366,25,0.333379,0.000000,0.000000,0.000000,events/second
1655037369,25,0.320400,0.000000,0.000000,0.000000,events/second
1655037372,28,0.345487,0.000000,0.000000,0.000000,events/second
1655037375,28,0.333265,0.000000,0.000000,0.000000,events/second
1655037378,28,0.321859,0.000000,0.000000,0.000000,events/second
1655037381,28,0.311005,0.000000,0.000000,0.000000,events/second
1655037384,28,0.301100,0.000000,0.000000,0.000000,events/second
1655037387,28,0.291694,0.000000,0.000000,0.000000,events/second
1655037390,28,0.282864,0.000000,0.000000,0.000000,events/second
1655037393,31,0.303953,0.000000,0.000000,0.000000,events/second
1655037396,31,0.295289,0.000000,0.000000,0.000000,events/second
1655037399,31,0.287084,0.000000,0.000000,0.000000,events/second
1655037402,31,0.279108,0.000000,0.000000,0.000000,events/second
1655037405,31,0.271862,0.000000,0.000000,0.000000,events/second
1655037408,31,0.264937,0.000000,0.000000,0.000000,events/second
1655037411,34,0.283287,0.000000,0.000000,0.000000,events/second
1655037414,34,0.276394,0.000000,0.000000,0.000000,events/second
1655037417,34,0.269828,0.000000,0.000000,0.000000,events/second
1655037420,34,0.263598,0.000000,0.000000,0.000000,events/second
1655037423,34,0.257581,0.000000,0.000000,0.000000,events/second
1655037426,34,0.251884,0.000000,0.000000,0.000000,events/second
1655037429,34,0.246407,0.000000,0.000000,0.000000,events/second
1655037432,37,0.262412,0.000000,0.000000,0.000000,events/second
1655037435,37,0.256962,0.000000,0.000000,0.000000,events/second
1655037438,37,0.251721,0.000000,0.000000,0.000000,events/second
1655037441,37,0.246684,0.000000,0.000000,0.000000,events/second
1655037444,37,0.241865,0.000000,0.000000,0.000000,events/second
1655037447,37,0.237205,0.000000,0.000000,0.000000,events/second
1655037450,37,0.232726,0.000000,0.000000,0.000000,events/second
1655037453,40,0.246943,0.000000,0.000000,0.000000,events/second
1655037456,40,0.242445,0.000000,0.000000,0.000000,events/second
1655037459,40,0.238116,0.000000,0.000000,0.000000,events/second
1655037462,40,0.233935,0.000000,0.000000,0.000000,events/second
1655037465,40,0.229903,0.000000,0.000000,0.000000,events/second
1655037468,40,0.225990,0.000000,0.000000,0.000000,events/second
1655037471,41,0.227778,0.000000,0.000000,0.000000,events/second
1655037474,43,0.234993,0.000000,0.000000,0.000000,events/second
1655037477,43,0.231196,0.000000,0.000000,0.000000,events/second
1655037480,43,0.227539,0.000000,0.000000,0.000000,events/second
1655037483,43,0.223978,0.000000,0.000000,0.000000,events/second
1655037486,43,0.220537,0.000000,0.000000,0.000000,events/second
