t,value
1655037294,0
1655037297,0
1655037300,0
1655037303,0
1655037306,0
1655037309,0
1655037312,1
1655037315,6
1655037318,2
1655037321,6
1655037324,6
1655037327,9
1655037330,9
1655037333,11
1655037336,11
1655037339,11
1655037342,11
1655037345,11
1655037348,11
1655037351,11
1655037354,11
1655037357,11
1655037360,11
1655037363,11
1655037366,11
1655037369,11
1655037372,11
1655037375,11
1655037378,11
1655037381,11
1655037384,11
1655037387,11
1655037390,11
1655037393,11
1655037396,11
1655037399,11
1655037402,11
1655037405,11
1655037408,11
1655037411,11
1655037414,11
1655037417,11
1655037420,11
1655037423,11
1655037426,11
1655037429,11
1655037432,11
1655037435,11
1655037438,11
1655037441,11
1655037444,11
1655037447,11
1655037450,11
1655037453,11
1655037456,11
1655037459,11
1655037462,11
1655037465,11
1655037468,11
1655037471,11
1655037474,11
1655037477,11
1655037480,11
1655037483,11
1655037486,11
1655037489,11
1655037492,11
1655037495,11
1655037498,11
1655037501,11
1655037504,11
1655037507,11
1655037510,11
1655037513,11
1655037516,11
1655037519,11
1655037522,11
1655037525,11
1655037528,11
1655037531,11
1655037534,11
1655037537,11
1655037540,11
1655037543,11
1655037546,11
1655037549,11
1655037552,11
1655037555,11
1655037558,11
1655037561,11
1655037564,11
1655037567,11
1655037570,11
1655037573,11
1655037576,11
1655037579,11
1655037582,11
1655037585,11
1655037588,11
1655037591,11
1655037594,11
1655037597,11
1655037600,11
1655037603,11
1655037606,11
1655037609,11
1655037612,11
1655037615,11
1655037618,11
1655037621,11
1655037624,11
1655037627,11
1655037630,11
1655037633,11
1655037636,11
1655037639,11
1655037642,11
1655037645,11
1655037648,11
1655037651,11
1655037654,11
1655037657,11
1655037660,11
1655037663,11
1655037666,11
1655037669,11
1655037672,11
1655037675,11
1655037678,11
1655037681,11
1655037684,11
1655037687,11
1655037690,11
1655037693,11
1655037696,11
1655037699,11
1655037702,11
1655037705,11
1655037708,11
1655037711,11
1655037714,11
1655037717,11
1655037720,11
1655037723,11
1655037726,11
1655037729,11
1655037732,11
1655037735,11
1655037738,11
1655037741,11
1655037744,11
1655037747,11
1655037750,11
1655037753,11
1655037756,11
1655037759,11
1655037762,11
1655037765,11
1655037768,11
1655037771,11
1655037774,11
1655037777,11
1655037780,11
1655037783,11
1655037786,11
1655037789,11
1655037792,11
1655037795,11
1655037798,11
1655037801,11
1655037804,11
1655037807,11
1655037810,11
1655037813,11
1655037816,11
1655037819,11
1655037822,11
1655037825,11
1655037828,11
1655037831,11
1655037834,11
1655037837,11
1655037840,11
1655037843,11
1655037846,11
1655037849,11
1655037852,11
1655037855,11
1655037858,11
1655037861,11
1655037864,11
1655037867,11
1655037870,11
1655037873,11
1655037876,11
1655037879,11
1655037882,11
1655037885,11
1655037888,11
1655037891,11
1655037894,11
1655037897,11
1655037900,11
1655037903,11
1655037906,11
1655037909,11
1655037912,11
1655037915,11
1655037918,11
1655037921,11
1655037924,11
1655037927,11
1655037930,11
1655037933,11
1655037936,11
1655037939,11
1655037942,11
1655037945,11
1655037948,11
1655037951,11
1655037954,11
1655037957,11
1655037960,11
1655037963,11
1655037966,11
1655037969,11
1655037972,11
1655037975,11
1655037978,11
1655037981,11
1655037984,11
1655037987,11
1655037990,11
1655037993,11
1655037996,11
1655037999,11
1655038002,11
1655038005,11
1655038008,11
1655038011,11
1655038014,11
1655038017,11
1655038020,11
1655038023,11
1655038026,11
1655038029,11
1655038032,11
1655038035,11
1655038038,11
1655038041,11
1655038044,11
1655038047,11
1655038050,11
1655038053,11
1655038056,11
1655038059,11
1655038062,11
1655038065,11
1655038068,11
1655038071,11
1655038074,11
1655038077,11
1655038080,11
1655038083,11
1655038086,11
1655038089,11
1655038092,11
1655038095,11
1655038098,11
1655038101,11
1655038104,11
1655038107,11
1655038110,11
1655038113,11
1655038116,11
1655038119,11
1655038122,11
1655038125,11
1655038128,11
1655038131,11
1655038134,11
1655038137,11
1655038140,11
1655038143,11
1655038146,11
1655038149,11
1655038152,11
1655038155,11
1655038158,11
1655038161,11
1655038164,11
1655038167,11
1655038170,11
1655038173,11
1655038176,11
1655038179,11
1655038182,11
1655038185,11
1655038188,11
1655038191,11
1655038194,11
1655038197,11
1655038200,11
1655038203,11
1655038206,11
1655038209,11
1655038212,11
1655038215,11
1655038218,11
1655038221,11
1655038224,11
1655038227,11
1655038230,11
1655038233,11
1655038236,11
1655038239,11
1655038242,11
1655038245,11
1655038248,11
1655038251,11
1655038254,11
1655038257,11
1655038260,11
1655038263,11
1655038266,11
1655038269,11
1655038272,11
1655038275,11
1655038278,11
1655038281,11
1655038284,11
1655038287,11
1655038290,11
1655038293,11
1655038296,11
1655038299,11
1655038302,11
1655038305,11
1655038308,11
1655038311,11
1655038314,11
1655038317,11
1655038320,11
1655038323,11
1655038326,11
1655038329,11
1655038332,11
1655038335,11
1655038338,11
1655038341,11
1655038344,11
1655038347,11
1655038350,11
1655038353,11
1655038356,11
1655038359,11
1655038362,11
1655038365,11
1655038368,11
1655038371,11
1655038374,11
1655038377,11
1655038380,11
1655038383,11
1655038386,11
1655038389,11
1655038392,11
1655038395,11
1655038398,11
1655038401,11
1655038404,11
1655038407,11
1655038410,11
1655038413,11
1655038416,11
1655038419,11
1655038422,11
1655038425,11
1655038428,11
1655038431,11
1655038434,11
1655038437,11
1655038440,11
1655038443,11
1655038446,11
1655038449,11
1655038452,11
1655038455,11
1655038458,11
1655038461,11
1655038464,11
1655038467,11
1655038470,11
1655038473,11
1655038476,11
1655038479,11
1655038482,11
1655038485,11
1655038488,11
1655038491,11
1655038494,11
1655038497,11
1655038500,11
1655038503,11
1655038506,11
1655038509,11
1655038512,11
1655038515,11
1655038518,11
1655038521,11
1655038524,11
1655038527,11
1655038530,11
1655038533,11
1655038536,11
1655038539,11
1655038542,11
1655038545,11
1655038548,11
1655038551,11
1655038554,11
1655038557,11
1655038560,11
1655038563,11
1655038566,11
1655038569,11
1655038572,11
1655038575,11
1655038578,11
1655038581,11
1655038584,11
1655038587,11
1655038590,11
1655038593,11
1655038596,11
1655038599,11
1655038602,11
1655038605,11
1655038608,11
1655038611,11
1655038614,11
1655038617,11
1655038620,11
1655038623,11
1655038626,11
1655038629,11
1655038632,11
1655038635,11
1655038638,11
1655038641,11
1655038644,11
1655038647,11
1655038650,11
1655038653,11
1655038656,11
1655038659,11
1655038662,11
1655038665,11
1655038668,11
1655038671,11
1655038674,11
1655038677,11
1655038680,11
1655038683,11
1655038686,11
1655038689,11
1655038692,11
1655038695,11
1655038698,11
1655038701,11
