t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,3,0.482259,0.000000,0.000000,0.000000,events/second
1655037300,9,0.986050,0.000000,0.000000,0.000000,events/second
1655037303,21,1.746497,0.000000,0.000000,0.000000,events/second
1655037306,21,1.397135,0.000000,0.000000,0.000000,events/second
1655037309,21,1.158384,0.000000,0.000000,0.000000,events/second
1655037312,84,3.641744,0.000000,0.000000,0.000000,events/second
1655037315,87,3.611739,0.000000,0.000000,0.000000,events/second
1655037318,112,4.130288,0.000000,0.000000,0.000000,events/second
1655037321,342,11.400126,0.000000,0.000000,0.000000,events/second
1655037324,342,10.366458,0.000000,0.000000,0.000000,events/second
1655037327,605,16.803050,0.000000,0.000000,0.000000,events/second
1655037330,605,15.503012,0.000000,0.000000,0.000000,events/second
1655037333,642,15.290247,0.000000,0.000000,0.000000,events/second
1655037336,642,14.269504,0.000000,0.000000,0.000000,events/second
1655037339,642,13.377337,0.000000,0.000000,0.000000,events/second
1655037342,642,12.563938,0.000000,0.000000,0.000000,events/second
1655037345,642,11.890897,0.000000,0.000000,0.000000,events/second
1655037348,642,11.265588,0.000000,0.000000,0.000000,events/second
1655037351,662,11.031130,0.000000,0.000000,0.000000,events/second
1655037354,662,10.510793,0.000000,0.000000,0.000000,events/second
1655037357,662,10.031966,0.000000,0.000000,0.000000,events/second
1655037360,662,9.594891,0.000000,0.000000,0.000000,events/second
1655037363,662,9.195375,0.000000,0.000000,0.000000,events/second
1655037366,662,8.827988,0.000000,0.000000,0.000000,events/second
1655037369,662,8.484302,0.000000,0.000000,0.000000,events/second
1655037372,682,8.415172,0.000000,0.000000,0.000000,events/second
1655037375,682,8.117476,0.000000,0.000000,0.000000,events/second
1655037378,682,7.839654,0.000000,0.000000,0.000000,events/second
1655037381,682,7.575267,0.000000,0.000000,0.000000,events/second
1655037384,682,7.334026,0.000000,0.000000,0.000000,events/second
