t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,6,0.964041,0.000000,0.000000,0.000000,events/second
1655037300,12,1.314435,0.000000,0.000000,0.000000,events/second
1655037303,23,1.912306,0.000000,0.000000,0.000000,events/second
1655037306,23,1.529731,0.000000,0.000000,0.000000,events/second
1655037309,23,1.268560,0.000000,0.000000,0.000000,events/second
1655037312,97,4.194111,0.000000,0.000000,0.000000,events/second
1655037315,99,4.109501,0.000000,0.000000,0.000000,events/second
1655037318,124,4.474598,0.000000,0.000000,0.000000,events/second
1655037321,356,11.866140,0.000000,0.000000,0.000000,events/second
1655037324,356,10.790373,0.000000,0.000000,0.000000,events/second
1655037327,622,17.274289,0.000000,0.000000,0.000000,events/second
1655037330,622,15.937835,0.000000,0.000000,0.000000,events/second
1655037333,664,15.813637,0.000000,0.000000,0.000000,events/second
1655037336,664,14.758048,0.000000,0.000000,0.000000,events/second
1655037339,664,13.835363,0.000000,0.000000,0.000000,events/second
1655037342,664,12.994146,0.000000,0.000000,0.000000,events/second
1655037345,664,12.298036,0.000000,0.000000,0.000000,events/second
1655037348,664,11.651370,0.000000,0.000000,0.000000,events/second
1655037351,687,11.447428,0.000000,0.000000,0.000000,events/second
1655037354,687,10.907492,0.000000,0.000000,0.000000,events/second
1655037357,687,10.410608,0.000000,0.000000,0.000000,events/second
1655037360,687,9.957031,0.000000,0.000000,0.000000,events/second
1655037363,687,9.542456,0.000000,0.000000,0.000000,events/second
1655037366,687,9.161211,0.000000,0.000000,0.000000,events/second
1655037369,687,8.804551,0.000000,0.000000,0.000000,events/second
1655037372,710,8.760520,0.000000,0.000000,0.000000,events/second
1655037375,710,8.450603,0.000000,0.000000,0.000000,events/second
1655037378,710,8.161388,0.000000,0.000000,0.000000,events/second
1655037381,710,7.886148,0.000000,0.000000,0.000000,events/second
1655037384,710,7.635022,0.000000,0.000000,0.000000,events/second
1655037387,710,7.396500,0.000000,0.000000,0.000000,events/second
1655037390,710,7.172589,0.000000,0.000000,0.000000,events/second
1655037393,733,7.186995,0.000000,0.000000,0.000000,events/second
1655037396,733,6.982128,0.000000,0.000000,0.000000,events/second
1655037399,733,6.788121,0.000000,0.000000,0.000000,events/second
1655037402,733,6.599533,0.000000,0.000000,0.000000,events/second
1655037405,733,6.428181,0.000000,0.000000,0.000000,events/second
1655037408,733,6.264459,0.000000,0.000000,0.000000,events/second
1655037411,751,6.257301,0.000000,0.000000,0.000000,events/second
1655037414,756,6.145514,0.000000,0.000000,0.000000,events/second
1655037417,756,5.999673,0.000000,0.000000,0.000000,events/second
1655037420,756,5.861170,0.000000,0.000000,0.000000,events/second
1655037423,756,5.727367,0.000000,0.000000,0.000000,events/second
1655037426,756,5.600717,0.000000,0.000000,0.000000,events/second
1655037429,756,5.478918,0.000000,0.000000,0.000000,events/second
1655037432,779,5.524825,0.000000,0.000000,0.000000,events/second
1655037435,779,5.410078,0.000000,0.000000,0.000000,events/second
1655037438,779,5.299732,0.000000,0.000000,0.000000,events/second
1655037441,779,5.193684,0.000000,0.000000,0.000000,events/second
1655037444,779,5.092222,0.000000,0.000000,0.000000,events/second
1655037447,779,4.994112,0.000000,0.000000,0.000000,events/second
1655037450,779,4.899817,0.000000,0.000000,0.000000,events/second
1655037453,802,4.951208,0.000000,0.000000,0.000000,events/second
1655037456,802,4.861009,0.000000,0.000000,0.000000,events/second
1655037459,802,4.774216,0.000000,0.000000,0.000000,events/second
1655037462,802,4.690380,0.000000,0.000000,0.000000,events/second
1655037465,802,4.609556,0.000000,0.000000,0.000000,events/second
