t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,2,0.321158,0.000000,0.000000,0.000000,events/second
1655037300,2,0.219002,0.000000,0.000000,0.000000,events/second
1655037303,2,0.166258,0.000000,0.000000,0.000000,events/second
1655037306,2,0.132985,0.000000,0.000000,0.000000,events/second
1655037309,2,0.110294,0.000000,0.000000,0.000000,events/second
1655037312,18,0.777101,0.000000,0.000000,0.000000,events/second
1655037315,18,0.747089,0.000000,0.000000,0.000000,events/second
1655037318,18,0.649495,0.000000,0.000000,0.000000,events/second
1655037321,20,0.666596,0.000000,0.000000,0.000000,events/second
1655037324,20,0.606170,0.000000,0.000000,0.000000,events/second
1655037327,26,0.722037,0.000000,0.000000,0.000000,events/second
1655037330,26,0.666177,0.000000,0.000000,0.000000,events/second
1655037333,33,0.785886,0.000000,0.000000,0.000000,events/second
1655037336,33,0.733430,0.000000,0.000000,0.000000,events/second
1655037339,33,0.687576,0.000000,0.000000,0.000000,events/second
1655037342,33,0.645772,0.000000,0.000000,0.000000,events/second
1655037345,33,0.611176,0.000000,0.000000,0.000000,events/second
1655037348,33,0.579042,0.000000,0.000000,0.000000,events/second
1655037351,36,0.599847,0.000000,0.000000,0.000000,events/second
1655037354,36,0.571556,0.000000,0.000000,0.000000,events/second
1655037357,36,0.545521,0.000000,0.000000,0.000000,events/second
1655037360,36,0.521753,0.000000,0.000000,0.000000,events/second
1655037363,36,0.500030,0.000000,0.000000,0.000000,events/second
1655037366,36,0.480053,0.000000,0.000000,0.000000,events/second
1655037369,36,0.461364,0.000000,0.000000,0.000000,events/second
1655037372,39,0.481202,0.000000,0.000000,0.000000,events/second
1655037375,39,0.464177,0.000000,0.000000,0.000000,events/second
1655037378,39,0.448292,0.000000,0.000000,0.000000,events/second
1655037381,39,0.433174,0.000000,0.000000,0.000000,events/second
1655037384,39,0.419381,0.000000,0.000000,0.000000,events/second
1655037387,39,0.406280,0.000000,0.000000,0.000000,events/second
1655037390,39,0.393980,0.000000,0.000000,0.000000,events/second
1655037393,42,0.411799,0.000000,0.000000,0.000000,events/second
1655037396,42,0.400061,0.000000,0.000000,0.000000,events/second
1655037399,42,0.388945,0.000000,0.000000,0.000000,events/second
1655037402,42,0.378140,0.000000,0.000000,0.000000,events/second
1655037405,42,0.368320,0.000000,0.000000,0.000000,events/second
1655037408,42,0.358939,0.000000,0.000000,0.000000,events/second
1655037411,45,0.374933,0.000000,0.000000,0.000000,events/second
1655037414,45,0.365798,0.000000,0.000000,0.000000,events/second
1655037417,45,0.357111,0.000000,0.000000,0.000000,events/second
1655037420,45,0.348875,0.000000,0.000000,0.000000,events/second
1655037423,45,0.340910,0.000000,0.000000,0.000000,events/second
1655037426,45,0.333372,0.000000,0.000000,0.000000,events/second
1655037429,45,0.326122,0.000000,0.000000,0.000000,events/second
1655037432,48,0.340421,0.000000,0.000000,0.000000,events/second
1655037435,48,0.333351,0.000000,0.000000,0.000000,events/second
1655037438,48,0.326552,0.000000,0.000000,0.000000,events/second
1655037441,48,0.320018,0.000000,0.000000,0.000000,events/second
1655037444,48,0.313766,0.000000,0.000000,0.000000,events/second
1655037447,48,0.307721,0.000000,0.000000,0.000000,events/second
1655037450,48,0.301911,0.000000,0.000000,0.000000,events/second
1655037453,51,0.314849,0.000000,0.000000,0.000000,events/second
1655037456,51,0.309114,0.000000,0.000000,0.000000,events/second
1655037459,51,0.303594,0.000000,0.000000,0.000000,events/second
1655037462,51,0.298263,0.000000,0.000000,0.000000,events/second
1655037465,51,0.293124,0.000000,0.000000,0.000000,events/second
1655037468,51,0.288134,0.000000,0.000000,0.000000,events/second
1655037471,53,0.294435,0.000000,0.000000,0.000000,events/second
1655037474,54,0.295105,0.000000,0.000000,0.000000,events/second
1655037477,54,0.290336,0.000000,0.000000,0.000000,events/second
1655037480,54,0.285744,0.000000,0.000000,0.000000,events/second
1655037483,54,0.281271,0.000000,0.000000,0.000000,events/second
1655037486,54,0.276951,0.000000,0.000000,0.000000,events/second
1655037489,54,0.272749,0.000000,0.000000,0.000000,events/second
1655037492,57,0.283589,0.000000,0.000000,0.000000,events/second
1655037495,57,0.279404,0.000000,0.000000,0.000000,events/second
1655037498,57,0.275053,0.000000,0.000000,0.000000,events/second
1655037501,57,0.271440,0.000000,0.000000,0.000000,events/second
1655037504,57,0.267611,0.000000,0.000000,0.000000,events/second
1655037507,57,0.263901,0.000000,0.000000,0.000000,events/second
1655037510,57,0.260292,0.000000,0.000000,0.000000,events/second
1655037513,60,0.270288,0.000000,0.000000,0.000000,events/second
1655037516,60,0.266672,0.000000,0.000000,0.000000,events/second
1655037519,60,0.263182,0.000000,0.000000,0.000000,events/second
1655037522,60,0.259759,0.000000,0.000000,0.000000,events/second
1655037525,60,0.255883,0.000000,0.000000,0.000000,events/second
1655037528,60,0.253184,0.000000,0.000000,0.000000,events/second
1655037531,61,0.254176,0.000000,0.000000,0.000000,events/second
1655037534,63,0.259273,0.000000,0.000000,0.000000,events/second
1655037537,63,0.256088,0.000000,0.000000,0.000000,events/second
1655037540,63,0.253020,0.000000,0.000000,0.000000,events/second
1655037543,63,0.249726,0.000000,0.000000,0.000000,events/second
1655037546,63,0.247074,0.000000,0.000000,0.000000,events/second
1655037549,63,0.244177,0.000000,0.000000,0.000000,events/second
1655037552,66,0.252680,0.000000,0.000000,0.000000,events/second
1655037555,66,0.250005,0.000000,0.000000,0.000000,events/second
1655037558,66,0.247199,0.000000,0.000000,0.000000,events/second
1655037561,66,0.244449,0.000000,0.000000,0.000000,events/second
1655037564,66,0.241701,0.000000,0.000000,0.000000,events/second
1655037567,66,0.239146,0.000000,0.000000,0.000000,events/second
1655037570,66,0.236569,0.000000,0.000000,0.000000,events/second
1655037573,69,0.244694,0.000000,0.000000,0.000000,events/second
1655037576,69,0.242122,0.000000,0.000000,0.000000,events/second
1655037579,69,0.239599,0.000000,0.000000,0.000000,events/second
1655037582,69,0.237129,0.000000,0.000000,0.000000,events/second
1655037585,69,0.234709,0.000000,0.000000,0.000000,events/second
1655037588,69,0.232336,0.000000,0.000000,0.000000,events/second
1655037591,70,0.233349,0.000000,0.000000,0.000000,events/second
1655037594,72,0.237630,0.000000,0.000000,0.000000,events/second
1655037597,72,0.235293,0.000000,0.000000,0.000000,events/second
1655037600,72,0.233021,0.000000,0.000000,0.000000,events/second
1655037603,72,0.230778,0.000000,0.000000,0.000000,events/second
1655037606,72,0.228578,0.000000,0.000000,0.000000,events/second
1655037609,72,0.226424,0.000000,0.000000,0.000000,events/second
1655037612,75,0.233651,0.000000,0.000000,0.000000,events/second
1655037615,75,0.231490,0.000000,0.000000,0.000000,events/second
1655037618,75,0.229362,0.000000,0.000000,0.000000,events/second
1655037621,75,0.227272,0.000000,0.000000,0.000000,events/second
1655037624,75,0.225238,0.000000,0.000000,0.000000,events/second
1655037627,75,0.223224,0.000000,0.000000,0.000000,events/second
1655037630,75,0.221253,0.000000,0.000000,0.000000,events/second
1655037633,78,0.228083,0.000000,0.000000,0.000000,events/second
1655037636,78,0.226101,0.000000,0.000000,0.000000,events/second
1655037639,78,0.224150,0.000000,0.000000,0.000000,events/second
1655037642,78,0.222234,0.000000,0.000000,0.000000,events/second
1655037645,78,0.220349,0.000000,0.000000,0.000000,events/second
1655037648,78,0.218491,0.000000,0.000000,0.000000,events/second
1655037651,79,0.219452,0.000000,0.000000,0.000000,events/second
1655037654,81,0.223146,0.000000,0.000000,0.000000,events/second
1655037657,81,0.221316,0.000000,0.000000,0.000000,events/second
1655037660,81,0.219520,0.000000,0.000000,0.000000,events/second
1655037663,81,0.217689,0.000000,0.000000,0.000000,events/second
1655037666,81,0.216008,0.000000,0.000000,0.000000,events/second
1655037669,81,0.214296,0.000000,0.000000,0.000000,events/second
1655037672,84,0.220485,0.000000,0.000000,0.000000,events/second
1655037675,84,0.218754,0.000000,0.000000,0.000000,events/second
1655037678,84,0.217058,0.000000,0.000000,0.000000,events/second
1655037681,84,0.215395,0.000000,0.000000,0.000000,events/second
1655037684,84,0.213749,0.000000,0.000000,0.000000,events/second
1655037687,84,0.212128,0.000000,0.000000,0.000000,events/second
1655037690,84,0.210535,0.000000,0.000000,0.000000,events/second
1655037693,87,0.216429,0.000000,0.000000,0.000000,events/second
1655037696,87,0.214823,0.000000,0.000000,0.000000,events/second
1655037699,87,0.213247,0.000000,0.000000,0.000000,events/second
1655037702,87,0.211690,0.000000,0.000000,0.000000,events/second
1655037705,87,0.210150,0.000000,0.000000,0.000000,events/second
1655037708,87,0.208636,0.000000,0.000000,0.000000,events/second
1655037711,88,0.209526,0.000000,0.000000,0.000000,events/second
1655037714,90,0.212775,0.000000,0.000000,0.000000,events/second
1655037717,90,0.211273,0.000000,0.000000,0.000000,events/second
1655037720,90,0.209781,0.000000,0.000000,0.000000,events/second
1655037723,90,0.208343,0.000000,0.000000,0.000000,events/second
1655037726,90,0.206903,0.000000,0.000000,0.000000,events/second
1655037729,90,0.205488,0.000000,0.000000,0.000000,events/second
1655037732,93,0.210894,0.000000,0.000000,0.000000,events/second
1655037735,93,0.209466,0.000000,0.000000,0.000000,events/second
1655037738,93,0.208063,0.000000,0.000000,0.000000,events/second
1655037741,93,0.206671,0.000000,0.000000,0.000000,events/second
1655037744,93,0.205301,0.000000,0.000000,0.000000,events/second
1655037747,93,0.203951,0.000000,0.000000,0.000000,events/second
1655037750,93,0.202620,0.000000,0.000000,0.000000,events/second
1655037753,96,0.207796,0.000000,0.000000,0.000000,events/second
1655037756,96,0.206455,0.000000,0.000000,0.000000,events/second
1655037759,96,0.205133,0.000000,0.000000,0.000000,events/second
1655037762,96,0.203826,0.000000,0.000000,0.000000,events/second
1655037765,96,0.202536,0.000000,0.000000,0.000000,events/second
1655037768,96,0.201265,0.000000,0.000000,0.000000,events/second
1655037771,97,0.202090,0.000000,0.000000,0.000000,events/second
