t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,2,0.589773,0.000000,0.000000,0.000000,events/second
1655037297,2,0.321273,0.000000,0.000000,0.000000,events/second
1655037300,2,0.219053,0.000000,0.000000,0.000000,events/second
1655037303,2,0.166293,0.000000,0.000000,0.000000,events/second
1655037306,2,0.132998,0.000000,0.000000,0.000000,events/second
1655037309,2,0.110308,0.000000,0.000000,0.000000,events/second
1655037312,2,0.086354,0.000000,0.000000,0.000000,events/second
1655037315,2,0.083018,0.000000,0.000000,0.000000,events/second
1655037318,2,0.072094,0.000000,0.000000,0.000000,events/second
1655037321,2,0.066665,0.000000,0.000000,0.000000,events/second
1655037324,2,0.060622,0.000000,0.000000,0.000000,events/second
1655037327,2,0.055545,0.000000,0.000000,0.000000,events/second
1655037330,2,0.051248,0.000000,0.000000,0.000000,events/second
1655037333,2,0.047633,0.000000,0.000000,0.000000,events/second
1655037336,2,0.044453,0.000000,0.000000,0.000000,events/second
1655037339,2,0.041674,0.000000,0.000000,0.000000,events/second
1655037342,2,0.039140,0.000000,0.000000,0.000000,events/second
1655037345,2,0.037043,0.000000,0.000000,0.000000,events/second
1655037348,2,0.035095,0.000000,0.000000,0.000000,events/second
1655037351,2,0.033326,0.000000,0.000000,0.000000,events/second
1655037354,2,0.031754,0.000000,0.000000,0.000000,events/second
1655037357,2,0.030308,0.000000,0.000000,0.000000,events/second
1655037360,2,0.028987,0.000000,0.000000,0.000000,events/second
1655037363,2,0.027780,0.000000,0.000000,0.000000,events/second
1655037366,2,0.026671,0.000000,0.000000,0.000000,events/second
1655037369,2,0.025632,0.000000,0.000000,0.000000,events/second
1655037372,2,0.024678,0.000000,0.000000,0.000000,events/second
1655037375,2,0.023805,0.000000,0.000000,0.000000,events/second
1655037378,2,0.022990,0.000000,0.000000,0.000000,events/second
1655037381,2,0.022215,0.000000,0.000000,0.000000,events/second
1655037384,2,0.021507,0.000000,0.000000,0.000000,events/second
1655037387,2,0.020835,0.000000,0.000000,0.000000,events/second
1655037390,2,0.020205,0.000000,0.000000,0.000000,events/second
1655037393,2,0.019610,0.000000,0.000000,0.000000,events/second
1655037396,2,0.019051,0.000000,0.000000,0.000000,events/second
1655037399,2,0.018522,0.000000,0.000000,0.000000,events/second
1655037402,2,0.018007,0.000000,0.000000,0.000000,events/second
1655037405,2,0.017539,0.000000,0.000000,0.000000,events/second
1655037408,2,0.017093,0.000000,0.000000,0.000000,events/second
1655037411,2,0.016664,0.000000,0.000000,0.000000,events/second
1655037414,2,0.016258,0.000000,0.000000,0.000000,events/second
1655037417,2,0.015872,0.000000,0.000000,0.000000,events/second
1655037420,2,0.015506,0.000000,0.000000,0.000000,events/second
1655037423,2,0.015152,0.000000,0.000000,0.000000,events/second
1655037426,2,0.014817,0.000000,0.000000,0.000000,events/second
1655037429,2,0.014495,0.000000,0.000000,0.000000,events/second
1655037432,2,0.014184,0.000000,0.000000,0.000000,events/second
1655037435,2,0.013890,0.000000,0.000000,0.000000,events/second
1655037438,2,0.013607,0.000000,0.000000,0.000000,events/second
1655037441,2,0.013334,0.000000,0.000000,0.000000,events/second
1655037444,2,0.013074,0.000000,0.000000,0.000000,events/second
1655037447,2,0.012822,0.000000,0.000000,0.000000,events/second
1655037450,2,0.012580,0.000000,0.000000,0.000000,events/second
1655037453,2,0.012347,0.000000,0.000000,0.000000,events/second
1655037456,2,0.012122,0.000000,0.000000,0.000000,events/second
1655037459,2,0.011906,0.000000,0.000000,0.000000,events/second
1655037462,2,0.011697,0.000000,0.000000,0.000000,events/second
1655037465,2,0.011495,0.000000,0.000000,0.000000,events/second
1655037468,2,0.011300,0.000000,0.000000,0.000000,events/second
1655037471,2,0.011111,0.000000,0.000000,0.000000,events/second
1655037474,2,0.010930,0.000000,0.000000,0.000000,events/second
1655037477,2,0.010753,0.000000,0.000000,0.000000,events/second
1655037480,2,0.010583,0.000000,0.000000,0.000000,events/second
1655037483,2,0.010418,0.000000,0.000000,0.000000,events/second
1655037486,2,0.010258,0.000000,0.000000,0.000000,events/second
1655037489,2,0.010102,0.000000,0.000000,0.000000,events/second
1655037492,2,0.009951,0.000000,0.000000,0.000000,events/second
1655037495,2,0.009804,0.000000,0.000000,0.000000,events/second
1655037498,2,0.009651,0.000000,0.000000,0.000000,events/second
1655037501,2,0.009524,0.000000,0.000000,0.000000,events/second
1655037504,2,0.009390,0.000000,0.000000,0.000000,events/second
1655037507,2,0.009260,0.000000,0.000000,0.000000,events/second
1655037510,2,0.009133,0.000000,0.000000,0.000000,events/second
1655037513,2,0.009010,0.000000,0.000000,0.000000,events/second
1655037516,2,0.008889,0.000000,0.000000,0.000000,events/second
1655037519,2,0.008773,0.000000,0.000000,0.000000,events/second
1655037522,2,0.008659,0.000000,0.000000,0.000000,events/second
1655037525,2,0.008530,0.000000,0.000000,0.000000,events/second
1655037528,2,0.008440,0.000000,0.000000,0.000000,events/second
1655037531,2,0.008334,0.000000,0.000000,0.000000,events/second
1655037534,2,0.008231,0.000000,0.000000,0.000000,events/second
1655037537,2,0.008130,0.000000,0.000000,0.000000,events/second
1655037540,2,0.008032,0.000000,0.000000,0.000000,events/second
1655037543,2,0.007928,0.000000,0.000000,0.000000,events/second
1655037546,2,0.007844,0.000000,0.000000,0.000000,events/second
1655037549,2,0.007752,0.000000,0.000000,0.000000,events/second
1655037552,2,0.007657,0.000000,0.000000,0.000000,events/second
1655037555,2,0.007576,0.000000,0.000000,0.000000,events/second
1655037558,2,0.007491,0.000000,0.000000,0.000000,events/second
1655037561,2,0.007408,0.000000,0.000000,0.000000,events/second
1655037564,2,0.007324,0.000000,0.000000,0.000000,events/second
1655037567,2,0.007247,0.000000,0.000000,0.000000,events/second
1655037570,2,0.007169,0.000000,0.000000,0.000000,events/second
1655037573,2,0.007093,0.000000,0.000000,0.000000,events/second
