t,value
1655037294,16777216
1655037297,67108864
1655037300,67108864
1655037303,67108864
1655037306,67108864
1655037309,67108864
1655037312,134217728
1655037315,134217728
1655037318,134217728
1655037321,134217728
1655037324,134217728
1655037327,134217728
1655037330,134217728
1655037333,134217728
1655037336,134217728
1655037339,134217728
1655037342,134217728
1655037345,134217728
1655037348,134217728
1655037351,134217728
1655037354,134217728
1655037357,134217728
1655037360,134217728
1655037363,134217728
1655037366,134217728
1655037369,134217728
1655037372,134217728
1655037375,134217728
1655037378,134217728
1655037381,134217728
1655037384,134217728
1655037387,134217728
1655037390,134217728
1655037393,134217728
1655037396,134217728
1655037399,134217728
1655037402,134217728
1655037405,134217728
1655037408,134217728
1655037411,134217728
1655037414,134217728
1655037417,134217728
1655037420,134217728
1655037423,134217728
1655037426,134217728
1655037429,134217728
1655037432,134217728
1655037435,134217728
1655037438,134217728
1655037441,134217728
1655037444,134217728
1655037447,134217728
1655037450,134217728
1655037453,134217728
1655037456,134217728
1655037459,134217728
1655037462,134217728
1655037465,134217728
1655037468,134217728
1655037471,134217728
1655037474,134217728
1655037477,134217728
1655037480,134217728
1655037483,134217728
1655037486,134217728
1655037489,134217728
1655037492,134217728
1655037495,134217728
1655037498,134217728
1655037501,134217728
1655037504,134217728
1655037507,134217728
1655037510,134217728
1655037513,134217728
1655037516,134217728
1655037519,134217728
1655037522,134217728
1655037525,134217728
1655037528,134217728
1655037531,134217728
1655037534,134217728
1655037537,134217728
1655037540,134217728
1655037543,134217728
1655037546,134217728
1655037549,134217728
1655037552,134217728
1655037555,134217728
1655037558,134217728
1655037561,134217728
1655037564,134217728
1655037567,134217728
1655037570,134217728
1655037573,134217728
1655037576,134217728
1655037579,134217728
1655037582,134217728
1655037585,134217728
1655037588,134217728
1655037591,134217728
1655037594,134217728
1655037597,134217728
1655037600,134217728
1655037603,134217728
1655037606,134217728
1655037609,134217728
1655037612,134217728
1655037615,134217728
1655037618,134217728
1655037621,134217728
1655037624,134217728
1655037627,134217728
1655037630,134217728
1655037633,134217728
1655037636,134217728
1655037639,134217728
1655037642,134217728
1655037645,134217728
