t,value
1655037294,2097152
1655037297,2097152
1655037300,2097152
1655037303,2097152
1655037306,2097152
1655037309,2097152
1655037312,2097152
1655037315,2097152
1655037318,2097152
1655037321,2097152
1655037324,2097152
1655037327,2097152
1655037330,2097152
1655037333,2097152
1655037336,2097152
1655037339,2097152
1655037342,2097152
1655037345,2097152
1655037348,2097152
1655037351,2097152
1655037354,2097152
1655037357,2097152
1655037360,2097152
1655037363,2097152
1655037366,2097152
1655037369,2097152
1655037372,2097152
1655037375,2097152
1655037378,2097152
1655037381,2097152
1655037384,2097152
1655037387,2097152
1655037390,2097152
1655037393,2097152
1655037396,2097152
1655037399,2097152
1655037402,2097152
1655037405,2097152
1655037408,2097152
1655037411,2097152
1655037414,2097152
1655037417,2097152
1655037420,2097152
1655037423,2097152
1655037426,2097152
1655037429,2097152
1655037432,2097152
1655037435,2097152
1655037438,2097152
1655037441,2097152
1655037444,2097152
1655037447,2097152
1655037450,2097152
1655037453,2097152
1655037456,2097152
1655037459,2097152
1655037462,2097152
1655037465,2097152
1655037468,2097152
1655037471,2097152
1655037474,2097152
1655037477,2097152
1655037480,2097152
1655037483,2097152
1655037486,2097152
1655037489,2097152
1655037492,2097152
1655037495,2097152
1655037498,2097152
1655037501,2097152
1655037504,2097152
1655037507,2097152
1655037510,2097152
1655037513,2097152
1655037516,2097152
1655037519,2097152
1655037522,2097152
1655037525,2097152
1655037528,2097152
1655037531,2097152
1655037534,2097152
1655037537,2097152
1655037540,2097152
1655037543,2097152
1655037546,2097152
1655037549,2097152
1655037552,2097152
1655037555,2097152
1655037558,2097152
1655037561,2097152
1655037564,2097152
1655037567,2097152
1655037570,2097152
1655037573,2097152
1655037576,2097152
1655037579,2097152
1655037582,2097152
1655037585,2097152
1655037588,2097152
1655037591,2097152
1655037594,2097152
1655037597,2097152
1655037600,2097152
1655037603,2097152
1655037606,2097152
1655037609,2097152
1655037612,2097152
1655037615,2097152
1655037618,2097152
1655037621,2097152
1655037624,2097152
1655037627,2097152
1655037630,2097152
1655037633,2097152
1655037636,2097152
1655037639,2097152
1655037642,2097152
1655037645,2097152
1655037648,2097152
1655037651,2097152
1655037654,2097152
1655037657,2097152
1655037660,2097152
1655037663,2097152
1655037666,2097152
1655037669,2097152
1655037672,2097152
1655037675,2097152
1655037678,2097152
1655037681,2097152
1655037684,2097152
1655037687,2097152
1655037690,2097152
1655037693,2097152
1655037696,2097152
1655037699,2097152
1655037702,2097152
1655037705,2097152
1655037708,2097152
1655037711,2097152
1655037714,2097152
1655037717,2097152
1655037720,2097152
1655037723,2097152
1655037726,2097152
1655037729,2097152
1655037732,2097152
1655037735,2097152
1655037738,2097152
1655037741,2097152
1655037744,2097152
1655037747,2097152
1655037750,2097152
1655037753,2097152
1655037756,2097152
1655037759,2097152
1655037762,2097152
1655037765,2097152
1655037768,2097152
1655037771,2097152
1655037774,2097152
1655037777,2097152
1655037780,2097152
1655037783,2097152
1655037786,2097152
1655037789,2097152
1655037792,2097152
1655037795,2097152
1655037798,2097152
1655037801,2097152
1655037804,2097152
1655037807,2097152
1655037810,2097152
1655037813,2097152
1655037816,2097152
1655037819,2097152
1655037822,2097152
1655037825,2097152
1655037828,2097152
1655037831,2097152
1655037834,2097152
1655037837,2097152
1655037840,2097152
1655037843,2097152
1655037846,2097152
1655037849,2097152
1655037852,2097152
1655037855,2097152
1655037858,2097152
1655037861,2097152
1655037864,2097152
1655037867,2097152
1655037870,2097152
1655037873,2097152
1655037876,2097152
1655037879,2097152
1655037882,2097152
1655037885,2097152
1655037888,2097152
1655037891,2097152
1655037894,2097152
1655037897,2097152
1655037900,2097152
1655037903,2097152
1655037906,2097152
1655037909,2097152
1655037912,2097152
1655037915,2097152
1655037918,2097152
1655037921,2097152
1655037924,2097152
1655037927,2097152
1655037930,2097152
1655037933,2097152
1655037936,2097152
1655037939,2097152
1655037942,2097152
1655037945,2097152
1655037948,2097152
1655037951,2097152
1655037954,2097152
1655037957,2097152
1655037960,2097152
1655037963,2097152
1655037966,2097152
1655037969,2097152
1655037972,2097152
1655037975,2097152
1655037978,2097152
1655037981,2097152
1655037984,2097152
1655037987,2097152
1655037990,2097152
1655037993,2097152
1655037996,2097152
1655037999,2097152
1655038002,2097152
1655038005,2097152
1655038008,2097152
1655038011,2097152
1655038014,2097152
1655038017,2097152
1655038020,2097152
1655038023,2097152
1655038026,2097152
1655038029,2097152
1655038032,2097152
1655038035,2097152
1655038038,2097152
1655038041,2097152
1655038044,2097152
1655038047,2097152
1655038050,2097152
1655038053,2097152
1655038056,2097152
1655038059,2097152
1655038062,2097152
1655038065,2097152
1655038068,2097152
1655038071,2097152
1655038074,2097152
1655038077,2097152
1655038080,2097152
1655038083,2097152
1655038086,2097152
1655038089,2097152
1655038092,2097152
1655038095,2097152
1655038098,2097152
1655038101,2097152
