t,value
1655037294,532676608
1655037297,532676608
1655037300,532676608
1655037303,532676608
1655037306,532676608
1655037309,532676608
1655037312,532676608
1655037315,532676608
1655037318,532676608
1655037321,532676608
1655037324,532676608
1655037327,532676608
1655037330,532676608
1655037333,532676608
1655037336,532676608
1655037339,532676608
1655037342,532676608
1655037345,532676608
1655037348,532676608
1655037351,532676608
1655037354,532676608
1655037357,532676608
1655037360,532676608
1655037363,532676608
1655037366,532676608
1655037369,532676608
1655037372,532676608
1655037375,532676608
1655037378,532676608
1655037381,532676608
1655037384,532676608
1655037387,532676608
1655037390,532676608
1655037393,532676608
1655037396,532676608
1655037399,532676608
1655037402,532676608
1655037405,532676608
1655037408,532676608
1655037411,532676608
1655037414,532676608
1655037417,532676608
1655037420,532676608
1655037423,532676608
1655037426,532676608
1655037429,532676608
1655037432,532676608
1655037435,532676608
1655037438,532676608
1655037441,532676608
1655037444,532676608
1655037447,532676608
1655037450,532676608
1655037453,532676608
1655037456,532676608
1655037459,532676608
1655037462,532676608
1655037465,532676608
1655037468,532676608
1655037471,532676608
1655037474,532676608
1655037477,532676608
1655037480,532676608
1655037483,532676608
1655037486,532676608
1655037489,532676608
1655037492,532676608
1655037495,532676608
1655037498,532676608
1655037501,532676608
1655037504,532676608
1655037507,532676608
1655037510,532676608
1655037513,532676608
1655037516,532676608
1655037519,532676608
1655037522,532676608
1655037525,532676608
1655037528,532676608
1655037531,532676608
1655037534,532676608
1655037537,532676608
1655037540,532676608
1655037543,532676608
1655037546,532676608
1655037549,532676608
1655037552,532676608
1655037555,532676608
1655037558,532676608
1655037561,532676608
1655037564,532676608
1655037567,532676608
1655037570,532676608
1655037573,532676608
1655037576,532676608
1655037579,532676608
1655037582,532676608
1655037585,532676608
1655037588,532676608
1655037591,532676608
1655037594,532676608
1655037597,532676608
1655037600,532676608
1655037603,532676608
1655037606,532676608
1655037609,532676608
1655037612,532676608
1655037615,532676608
1655037618,532676608
1655037621,532676608
1655037624,532676608
1655037627,532676608
1655037630,532676608
1655037633,532676608
1655037636,532676608
1655037639,532676608
1655037642,532676608
1655037645,532676608
1655037648,532676608
1655037651,532676608
1655037654,532676608
1655037657,532676608
1655037660,532676608
1655037663,532676608
1655037666,532676608
1655037669,532676608
1655037672,532676608
1655037675,532676608
1655037678,532676608
1655037681,532676608
1655037684,532676608
1655037687,532676608
1655037690,532676608
1655037693,532676608
1655037696,532676608
1655037699,532676608
1655037702,532676608
1655037705,532676608
1655037708,532676608
1655037711,532676608
1655037714,532676608
1655037717,532676608
1655037720,532676608
1655037723,532676608
1655037726,532676608
1655037729,532676608
1655037732,532676608
1655037735,532676608
1655037738,532676608
1655037741,532676608
1655037744,532676608
1655037747,532676608
1655037750,532676608
1655037753,532676608
1655037756,532676608
1655037759,532676608
1655037762,532676608
1655037765,532676608
1655037768,532676608
1655037771,532676608
1655037774,532676608
1655037777,532676608
1655037780,532676608
1655037783,532676608
1655037786,532676608
1655037789,532676608
1655037792,532676608
1655037795,532676608
1655037798,532676608
1655037801,532676608
1655037804,532676608
1655037807,532676608
1655037810,532676608
1655037813,532676608
1655037816,532676608
1655037819,532676608
1655037822,532676608
1655037825,532676608
1655037828,532676608
1655037831,532676608
1655037834,532676608
1655037837,532676608
1655037840,532676608
1655037843,532676608
1655037846,532676608
1655037849,532676608
1655037852,532676608
1655037855,532676608
1655037858,532676608
1655037861,532676608
1655037864,532676608
1655037867,532676608
1655037870,532676608
1655037873,532676608
1655037876,532676608
1655037879,532676608
1655037882,532676608
1655037885,532676608
1655037888,532676608
1655037891,532676608
1655037894,532676608
1655037897,532676608
1655037900,532676608
1655037903,532676608
1655037906,532676608
1655037909,532676608
1655037912,532676608
1655037915,532676608
1655037918,532676608
1655037921,532676608
1655037924,532676608
1655037927,532676608
1655037930,532676608
1655037933,532676608
1655037936,532676608
1655037939,532676608
1655037942,532676608
1655037945,532676608
1655037948,532676608
1655037951,532676608
1655037954,532676608
1655037957,532676608
1655037960,532676608
1655037963,532676608
1655037966,532676608
1655037969,532676608
1655037972,532676608
1655037975,532676608
1655037978,532676608
1655037981,532676608
1655037984,532676608
1655037987,532676608
1655037990,532676608
1655037993,532676608
1655037996,532676608
1655037999,532676608
1655038002,532676608
1655038005,532676608
1655038008,532676608
1655038011,532676608
1655038014,532676608
1655038017,532676608
1655038020,532676608
1655038023,532676608
