t,value
1655037294,536870912
1655037297,536870912
1655037300,536870912
1655037303,536870912
1655037306,536870912
1655037309,536870912
1655037312,536870912
1655037315,536870912
1655037318,536870912
1655037321,536870912
1655037324,536870912
1655037327,536870912
1655037330,536870912
1655037333,536870912
1655037336,536870912
1655037339,536870912
1655037342,536870912
1655037345,536870912
1655037348,536870912
1655037351,536870912
1655037354,536870912
1655037357,536870912
1655037360,536870912
1655037363,536870912
1655037366,536870912
1655037369,536870912
1655037372,536870912
1655037375,536870912
1655037378,536870912
1655037381,536870912
1655037384,536870912
1655037387,536870912
1655037390,536870912
1655037393,536870912
1655037396,536870912
1655037399,536870912
1655037402,536870912
1655037405,536870912
1655037408,536870912
1655037411,536870912
1655037414,536870912
1655037417,536870912
1655037420,536870912
1655037423,536870912
1655037426,536870912
1655037429,536870912
1655037432,536870912
1655037435,536870912
1655037438,536870912
1655037441,536870912
1655037444,536870912
1655037447,536870912
1655037450,536870912
1655037453,536870912
1655037456,536870912
1655037459,536870912
1655037462,536870912
1655037465,536870912
1655037468,536870912
1655037471,536870912
1655037474,536870912
1655037477,536870912
1655037480,536870912
1655037483,536870912
1655037486,536870912
1655037489,536870912
1655037492,536870912
1655037495,536870912
1655037498,536870912
1655037501,536870912
1655037504,536870912
1655037507,536870912
1655037510,536870912
1655037513,536870912
1655037516,536870912
1655037519,536870912
1655037522,536870912
1655037525,536870912
1655037528,536870912
1655037531,536870912
1655037534,536870912
1655037537,536870912
1655037540,536870912
1655037543,536870912
1655037546,536870912
1655037549,536870912
1655037552,536870912
1655037555,536870912
1655037558,536870912
1655037561,536870912
1655037564,536870912
1655037567,536870912
1655037570,536870912
1655037573,536870912
1655037576,536870912
1655037579,536870912
1655037582,536870912
1655037585,536870912
1655037588,536870912
1655037591,536870912
1655037594,536870912
1655037597,536870912
1655037600,536870912
1655037603,536870912
1655037606,536870912
1655037609,536870912
1655037612,536870912
1655037615,536870912
1655037618,536870912
1655037621,536870912
1655037624,536870912
1655037627,536870912
1655037630,536870912
1655037633,536870912
1655037636,536870912
1655037639,536870912
1655037642,536870912
1655037645,536870912
1655037648,536870912
1655037651,536870912
1655037654,536870912
1655037657,536870912
1655037660,536870912
1655037663,536870912
1655037666,536870912
1655037669,536870912
1655037672,536870912
1655037675,536870912
1655037678,536870912
1655037681,536870912
1655037684,536870912
1655037687,536870912
1655037690,536870912
1655037693,536870912
1655037696,536870912
1655037699,536870912
1655037702,536870912
1655037705,536870912
1655037708,536870912
1655037711,536870912
1655037714,536870912
1655037717,536870912
1655037720,536870912
1655037723,536870912
1655037726,536870912
1655037729,536870912
1655037732,536870912
1655037735,536870912
1655037738,536870912
1655037741,536870912
1655037744,536870912
1655037747,536870912
1655037750,536870912
1655037753,536870912
1655037756,536870912
1655037759,536870912
1655037762,536870912
1655037765,536870912
1655037768,536870912
1655037771,536870912
1655037774,536870912
1655037777,536870912
1655037780,536870912
1655037783,536870912
1655037786,536870912
1655037789,536870912
1655037792,536870912
1655037795,536870912
1655037798,536870912
1655037801,536870912
1655037804,536870912
1655037807,536870912
1655037810,536870912
1655037813,536870912
1655037816,536870912
1655037819,536870912
1655037822,536870912
1655037825,536870912
1655037828,536870912
1655037831,536870912
1655037834,536870912
1655037837,536870912
1655037840,536870912
1655037843,536870912
1655037846,536870912
1655037849,536870912
1655037852,536870912
1655037855,536870912
1655037858,536870912
1655037861,536870912
1655037864,536870912
1655037867,536870912
1655037870,536870912
1655037873,536870912
1655037876,536870912
1655037879,536870912
1655037882,536870912
1655037885,536870912
1655037888,536870912
1655037891,536870912
1655037894,536870912
1655037897,536870912
1655037900,536870912
1655037903,536870912
1655037906,536870912
1655037909,536870912
1655037912,536870912
1655037915,536870912
1655037918,536870912
1655037921,536870912
1655037924,536870912
1655037927,536870912
1655037930,536870912
1655037933,536870912
1655037936,536870912
1655037939,536870912
1655037942,536870912
1655037945,536870912
1655037948,536870912
1655037951,536870912
1655037954,536870912
1655037957,536870912
1655037960,536870912
1655037963,536870912
1655037966,536870912
1655037969,536870912
1655037972,536870912
1655037975,536870912
1655037978,536870912
1655037981,536870912
1655037984,536870912
1655037987,536870912
1655037990,536870912
1655037993,536870912
1655037996,536870912
1655037999,536870912
1655038002,536870912
1655038005,536870912
1655038008,536870912
1655038011,536870912
1655038014,536870912
1655038017,536870912
1655038020,536870912
1655038023,536870912
1655038026,536870912
1655038029,536870912
1655038032,536870912
1655038035,536870912
1655038038,536870912
1655038041,536870912
1655038044,536870912
1655038047,536870912
1655038050,536870912
1655038053,536870912
1655038056,536870912
1655038059,536870912
1655038062,536870912
1655038065,536870912
1655038068,536870912
1655038071,536870912
1655038074,536870912
1655038077,536870912
1655038080,536870912
1655038083,536870912
1655038086,536870912
1655038089,536870912
1655038092,536870912
1655038095,536870912
1655038098,536870912
1655038101,536870912
1655038104,536870912
1655038107,536870912
1655038110,536870912
1655038113,536870912
1655038116,536870912
1655038119,536870912
1655038122,536870912
1655038125,536870912
1655038128,536870912
1655038131,536870912
1655038134,536870912
1655038137,536870912
1655038140,536870912
1655038143,536870912
1655038146,536870912
1655038149,536870912
1655038152,536870912
1655038155,536870912
1655038158,536870912
1655038161,536870912
1655038164,536870912
1655038167,536870912
1655038170,536870912
1655038173,536870912
1655038176,536870912
1655038179,536870912
1655038182,536870912
1655038185,536870912
1655038188,536870912
1655038191,536870912
1655038194,536870912
1655038197,536870912
1655038200,536870912
1655038203,536870912
1655038206,536870912
1655038209,536870912
1655038212,536870912
1655038215,536870912
1655038218,536870912
1655038221,536870912
1655038224,536870912
1655038227,536870912
1655038230,536870912
1655038233,536870912
1655038236,536870912
1655038239,536870912
1655038242,536870912
1655038245,536870912
1655038248,536870912
1655038251,536870912
1655038254,536870912
1655038257,536870912
1655038260,536870912
1655038263,536870912
1655038266,536870912
1655038269,536870912
1655038272,536870912
1655038275,536870912
1655038278,536870912
1655038281,536870912
1655038284,536870912
1655038287,536870912
1655038290,536870912
1655038293,536870912
1655038296,536870912
1655038299,536870912
1655038302,536870912
1655038305,536870912
1655038308,536870912
1655038311,536870912
1655038314,536870912
1655038317,536870912
1655038320,536870912
1655038323,536870912
1655038326,536870912
1655038329,536870912
1655038332,536870912
1655038335,536870912
1655038338,536870912
1655038341,536870912
1655038344,536870912
1655038347,536870912
1655038350,536870912
1655038353,536870912
1655038356,536870912
1655038359,536870912
1655038362,536870912
1655038365,536870912
1655038368,536870912
1655038371,536870912
1655038374,536870912
1655038377,536870912
1655038380,536870912
1655038383,536870912
1655038386,536870912
1655038389,536870912
1655038392,536870912
1655038395,536870912
1655038398,536870912
1655038401,536870912
1655038404,536870912
1655038407,536870912
1655038410,536870912
1655038413,536870912
1655038416,536870912
1655038419,536870912
1655038422,536870912
1655038425,536870912
1655038428,536870912
1655038431,536870912
1655038434,536870912
1655038437,536870912
1655038440,536870912
1655038443,536870912
1655038446,536870912
1655038449,536870912
1655038452,536870912
1655038455,536870912
1655038458,536870912
1655038461,536870912
1655038464,536870912
1655038467,536870912
