t,value
1655037294,4194304
1655037297,4194304
1655037300,4194304
1655037303,4194304
1655037306,4194304
1655037309,4194304
1655037312,4194304
1655037315,4194304
1655037318,4194304
1655037321,4194304
1655037324,4194304
1655037327,4194304
1655037330,4194304
1655037333,4194304
1655037336,4194304
1655037339,4194304
1655037342,4194304
1655037345,4194304
1655037348,4194304
1655037351,4194304
1655037354,4194304
1655037357,4194304
1655037360,4194304
1655037363,4194304
1655037366,4194304
1655037369,4194304
1655037372,4194304
1655037375,4194304
1655037378,4194304
1655037381,4194304
1655037384,4194304
1655037387,4194304
1655037390,4194304
1655037393,4194304
1655037396,4194304
1655037399,4194304
1655037402,4194304
1655037405,4194304
1655037408,4194304
1655037411,4194304
1655037414,4194304
1655037417,4194304
1655037420,4194304
1655037423,4194304
1655037426,4194304
1655037429,4194304
1655037432,4194304
1655037435,4194304
1655037438,4194304
1655037441,4194304
1655037444,4194304
1655037447,4194304
1655037450,4194304
1655037453,4194304
1655037456,4194304
1655037459,4194304
1655037462,4194304
1655037465,4194304
1655037468,4194304
1655037471,4194304
1655037474,4194304
1655037477,4194304
1655037480,4194304
1655037483,4194304
1655037486,4194304
1655037489,4194304
1655037492,4194304
1655037495,4194304
1655037498,4194304
1655037501,4194304
1655037504,4194304
1655037507,4194304
1655037510,4194304
1655037513,4194304
1655037516,4194304
1655037519,4194304
1655037522,4194304
1655037525,4194304
1655037528,4194304
1655037531,4194304
1655037534,4194304
1655037537,4194304
1655037540,4194304
1655037543,4194304
1655037546,4194304
1655037549,4194304
1655037552,4194304
1655037555,4194304
1655037558,4194304
1655037561,4194304
1655037564,4194304
1655037567,4194304
1655037570,4194304
1655037573,4194304
1655037576,4194304
1655037579,4194304
1655037582,4194304
1655037585,4194304
1655037588,4194304
1655037591,4194304
1655037594,4194304
1655037597,4194304
1655037600,4194304
1655037603,4194304
1655037606,4194304
1655037609,4194304
1655037612,4194304
1655037615,4194304
1655037618,4194304
1655037621,4194304
1655037624,4194304
1655037627,4194304
1655037630,4194304
1655037633,4194304
1655037636,4194304
1655037639,4194304
1655037642,4194304
1655037645,4194304
1655037648,4194304
1655037651,4194304
1655037654,4194304
1655037657,4194304
1655037660,4194304
1655037663,4194304
1655037666,4194304
1655037669,4194304
1655037672,4194304
1655037675,4194304
1655037678,4194304
1655037681,4194304
1655037684,4194304
1655037687,4194304
1655037690,4194304
1655037693,4194304
1655037696,4194304
1655037699,4194304
1655037702,4194304
1655037705,4194304
1655037708,4194304
1655037711,4194304
1655037714,4194304
1655037717,4194304
1655037720,4194304
1655037723,4194304
1655037726,4194304
1655037729,4194304
1655037732,4194304
1655037735,4194304
1655037738,4194304
1655037741,4194304
