t,value
1655037294,229520
1655037297,229520
1655037300,229672
1655037303,230592
1655037306,230592
1655037309,230592
1655037312,231936
1655037315,233216
1655037318,233216
1655037321,233216
1655037324,233216
1655037327,234944
1655037330,234944
1655037333,235664
1655037336,235664
1655037339,235664
1655037342,235664
1655037345,235664
1655037348,235664
1655037351,236800
1655037354,237096
1655037357,237096
1655037360,237096
1655037363,237096
1655037366,237096
1655037369,237096
1655037372,238528
1655037375,238528
1655037378,238528
1655037381,238528
1655037384,238528
1655037387,238528
1655037390,238528
1655037393,239960
1655037396,239960
1655037399,239960
1655037402,239960
1655037405,239960
1655037408,239960
1655037411,241096
1655037414,241392
1655037417,241392
1655037420,241392
1655037423,241392
1655037426,241392
1655037429,241392
1655037432,242824
1655037435,242824
1655037438,242824
1655037441,242824
1655037444,242824
1655037447,242824
1655037450,242824
1655037453,244256
1655037456,244256
1655037459,244256
1655037462,244256
1655037465,244256
1655037468,244256
1655037471,245392
1655037474,245688
1655037477,245688
1655037480,245688
1655037483,245688
1655037486,245688
1655037489,245688
1655037492,247120
1655037495,247120
1655037498,247120
1655037501,247120
1655037504,247120
1655037507,247120
1655037510,247120
1655037513,248552
1655037516,248552
1655037519,248552
1655037522,248552
1655037525,248552
1655037528,248552
1655037531,249688
1655037534,249984
1655037537,249984
1655037540,249984
1655037543,249984
1655037546,249984
1655037549,249984
1655037552,251416
1655037555,251416
1655037558,251416
1655037561,251416
1655037564,251416
1655037567,251416
1655037570,251416
1655037573,252848
1655037576,252848
1655037579,252848
1655037582,252848
1655037585,252848
1655037588,252848
1655037591,253984
1655037594,254280
1655037597,254280
1655037600,254280
1655037603,254280
1655037606,254280
1655037609,254280
1655037612,255712
1655037615,255712
1655037618,255712
1655037621,255712
1655037624,255712
1655037627,255712
1655037630,255712
1655037633,257144
1655037636,257144
1655037639,257144
1655037642,257144
1655037645,257144
1655037648,257144
1655037651,258280
1655037654,258576
1655037657,258576
1655037660,258576
1655037663,258576
1655037666,258576
1655037669,258576
1655037672,260008
1655037675,260008
1655037678,260008
1655037681,260008
1655037684,260008
1655037687,260008
1655037690,260008
1655037693,261440
1655037696,261440
1655037699,261440
1655037702,261440
1655037705,261440
1655037708,261440
1655037711,262576
1655037714,262872
1655037717,262872
1655037720,262872
1655037723,262872
1655037726,262872
1655037729,262872
1655037732,264304
1655037735,264304
1655037738,264304
1655037741,264304
1655037744,264304
1655037747,264304
1655037750,264304
1655037753,265736
1655037756,265736
1655037759,265736
1655037762,265736
1655037765,265736
1655037768,265736
1655037771,266872
1655037774,267168
1655037777,267168
1655037780,267168
1655037783,267168
1655037786,267168
1655037789,267168
1655037792,268600
1655037795,268600
1655037798,268600
1655037801,268600
1655037804,268600
1655037807,268600
1655037810,268600
1655037813,270032
1655037816,270032
1655037819,270032
1655037822,270032
1655037825,270032
1655037828,270032
1655037831,271168
1655037834,271464
1655037837,271464
1655037840,271464
1655037843,271464
1655037846,271464
1655037849,271464
1655037852,272896
1655037855,272896
1655037858,272896
1655037861,272896
1655037864,272896
1655037867,272896
1655037870,272896
1655037873,274328
1655037876,274328
1655037879,274328
1655037882,274328
1655037885,274328
1655037888,274328
1655037891,275464
1655037894,275760
1655037897,275760
1655037900,275760
1655037903,275760
1655037906,275760
1655037909,275760
1655037912,277192
1655037915,277192
1655037918,277192
1655037921,277192
1655037924,277192
1655037927,277192
1655037930,277192
1655037933,278624
1655037936,278624
1655037939,278624
1655037942,278624
1655037945,278624
1655037948,278624
1655037951,279624
1655037954,280056
1655037957,280056
1655037960,280056
1655037963,280056
1655037966,280056
1655037969,280056
1655037972,281488
1655037975,281488
1655037978,281488
1655037981,281488
1655037984,281488
1655037987,281488
1655037990,281488
1655037993,282920
1655037996,282920
1655037999,282920
1655038002,282920
1655038005,282920
1655038008,282920
1655038011,284056
1655038014,284352
1655038017,284352
1655038020,284352
1655038023,284352
1655038026,284352
1655038029,284352
1655038032,285784
1655038035,285784
1655038038,285784
1655038041,285784
1655038044,285784
1655038047,285784
1655038050,285784
1655038053,287216
1655038056,287216
1655038059,287216
1655038062,287216
1655038065,287216
1655038068,287216
1655038071,288352
1655038074,288648
1655038077,288648
1655038080,288648
1655038083,288648
1655038086,288648
1655038089,288648
1655038092,290080
1655038095,290080
1655038098,290080
1655038101,290080
1655038104,290080
1655038107,290080
1655038110,290080
1655038113,291512
1655038116,291512
1655038119,291512
1655038122,291512
1655038125,291512
1655038128,291512
1655038131,292512
1655038134,292944
1655038137,292944
1655038140,292944
1655038143,292944
1655038146,292944
1655038149,292944
1655038152,294376
1655038155,294376
1655038158,294376
1655038161,294376
1655038164,294376
1655038167,294376
1655038170,294376
1655038173,295808
1655038176,295808
1655038179,295808
1655038182,295808
1655038185,295808
1655038188,295808
1655038191,295808
1655038194,297240
1655038197,297240
1655038200,297240
1655038203,297240
1655038206,297240
1655038209,297240
1655038212,297240
1655038215,298672
1655038218,298672
1655038221,298672
1655038224,298672
1655038227,298672
1655038230,298672
1655038233,300104
1655038236,300104
1655038239,300104
1655038242,300104
1655038245,300104
1655038248,300104
1655038251,300104
1655038254,301536
1655038257,301536
1655038260,301536
1655038263,301536
1655038266,301536
1655038269,301536
1655038272,301536
1655038275,302968
1655038278,302968
1655038281,302968
1655038284,302968
1655038287,302968
1655038290,302968
1655038293,304400
1655038296,304400
1655038299,304400
1655038302,304400
1655038305,304400
1655038308,304400
1655038311,304400
1655038314,305832
1655038317,305832
1655038320,305832
1655038323,305832
1655038326,305832
1655038329,305832
1655038332,305832
1655038335,307264
1655038338,307264
1655038341,307264
1655038344,307264
1655038347,307264
1655038350,307264
1655038353,308696
1655038356,308696
1655038359,308696
1655038362,308696
1655038365,308696
1655038368,308696
1655038371,308696
1655038374,310128
1655038377,310128
1655038380,310128
1655038383,310128
1655038386,310128
1655038389,310128
1655038392,310128
1655038395,311560
1655038398,311560
1655038401,311560
1655038404,311560
1655038407,311560
1655038410,311560
1655038413,312992
1655038416,312992
1655038419,312992
1655038422,312992
1655038425,312992
1655038428,312992
1655038431,312992
1655038434,314424
1655038437,314424
1655038440,314424
1655038443,314424
1655038446,314424
1655038449,314424
1655038452,314424
1655038455,315856
1655038458,315856
1655038461,315856
1655038464,315856
1655038467,315856
1655038470,315856
1655038473,317136
1655038476,317288
1655038479,317288
1655038482,317288
1655038485,317288
1655038488,317288
1655038491,317288
1655038494,318720
1655038497,318720
1655038500,318720
1655038503,318720
1655038506,318720
1655038509,318720
1655038512,318720
1655038515,320152
1655038518,320152
1655038521,320152
1655038524,320152
1655038527,320152
1655038530,320152
1655038533,321432
1655038536,321584
1655038539,321584
1655038542,321584
1655038545,321584
1655038548,321584
1655038551,321584
1655038554,323016
1655038557,323016
1655038560,323016
1655038563,323016
1655038566,323016
1655038569,323016
1655038572,323016
1655038575,324448
1655038578,324448
1655038581,324448
1655038584,324448
1655038587,324448
1655038590,324448
1655038593,325584
1655038596,325880
1655038599,325880
1655038602,325880
1655038605,325880
1655038608,325880
1655038611,325880
1655038614,327312
1655038617,327312
1655038620,327312
1655038623,327312
1655038626,327312
1655038629,327312
1655038632,327312
1655038635,328744
1655038638,328744
1655038641,328744
1655038644,328744
1655038647,328744
1655038650,328744
1655038653,329880
1655038656,330176
1655038659,330176
1655038662,330176
1655038665,330176
1655038668,330176
1655038671,330176
1655038674,331608
1655038677,331608
1655038680,331608
1655038683,331608
1655038686,331608
1655038689,331608
1655038692,331608
1655038695,333040
1655038698,333040
1655038701,333040
1655038704,333040
1655038707,333040
1655038710,333040
1655038713,334176
1655038716,334472
1655038719,334472
1655038722,334472
1655038725,334472
1655038728,334472
1655038731,334472
1655038734,335904
1655038737,335904
1655038740,335904
1655038743,335904
1655038746,335904
1655038749,335904
1655038752,335904
1655038755,337336
1655038758,337336
1655038761,337336
1655038764,337336
1655038767,337336
1655038770,337336
1655038773,338472
1655038776,338768
1655038779,338768
1655038782,338768
1655038785,338768
1655038788,338768
1655038791,338768
1655038794,340200
1655038797,340200
1655038800,340200
1655038803,340200
1655038806,340200
1655038809,340200
1655038812,340200
1655038815,341632
1655038818,341632
1655038821,341632
1655038824,341632
1655038827,341632
1655038830,341632
1655038833,342768
1655038836,343064
1655038839,343064
1655038842,343064
1655038845,343064
1655038848,343064
1655038851,343064
1655038854,344496
1655038857,344496
1655038860,344496
1655038863,344496
1655038866,344496
1655038869,344496
1655038872,344496
1655038875,345928
1655038878,345928
1655038881,345928
1655038884,345928
1655038887,345928
1655038890,345928
1655038893,347064
1655038896,347360
1655038899,347360
1655038902,347360
1655038905,347360
1655038908,347360
1655038911,347360
1655038914,348792
1655038917,348792
1655038920,348792
1655038923,348792
1655038926,348792
1655038929,348792
1655038932,348792
1655038935,350224
1655038938,350224
1655038941,350224
1655038944,350224
1655038947,350224
1655038950,350224
1655038953,351360
1655038956,351656
1655038959,351656
1655038962,351656
1655038965,351656
1655038968,351656
1655038971,351656
1655038974,353088
1655038977,353088
1655038980,353088
1655038983,353088
1655038986,353088
1655038989,353088
1655038992,353088
1655038995,354520
1655038998,354520
1655039001,354520
1655039004,354520
1655039007,354520
1655039010,354520
1655039013,355656
1655039016,355952
1655039019,355952
1655039022,355952
1655039025,355952
1655039028,355952
1655039031,355952
1655039034,357384
1655039037,357384
1655039040,357384
1655039043,357384
1655039046,357384
1655039049,357384
1655039052,357384
1655039055,358816
1655039058,358816
1655039061,358816
1655039064,358816
1655039067,358816
1655039070,358816
1655039073,359952
1655039076,360248
1655039079,360248
1655039082,360248
1655039085,360248
1655039088,360248
1655039091,360248
1655039094,361680
1655039097,361680
1655039100,361680
1655039103,361680
1655039106,361680
1655039109,361680
1655039112,361680
1655039115,363112
1655039118,363112
1655039121,363112
1655039124,363112
1655039127,363112
1655039130,363112
1655039133,364248
1655039136,364544
1655039139,364544
1655039142,364544
1655039145,364544
1655039148,364544
1655039151,364544
1655039154,365976
1655039157,365976
1655039160,365976
