t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,64,10.546117,0.000000,0.000000,0.000000,events/second
1655037297,64,7.206775,0.000000,0.000000,0.000000,events/second
1655037300,64,5.431939,0.000000,0.000000,0.000000,events/second
1655037303,64,4.360663,0.000000,0.000000,0.000000,events/second
1655037306,64,3.618165,0.000000,0.000000,0.000000,events/second
1655037309,64,3.079410,0.000000,0.000000,0.000000,events/second
1655037312,64,2.478614,0.000000,0.000000,0.000000,events/second
1655037315,64,2.392861,0.000000,0.000000,0.000000,events/second
1655037318,64,2.102414,0.000000,0.000000,0.000000,events/second
1655037321,64,1.960299,0.000000,0.000000,0.000000,events/second
1655037324,64,1.795784,0.000000,0.000000,0.000000,events/second
1655037327,64,1.655707,0.000000,0.000000,0.000000,events/second
1655037330,64,1.535631,0.000000,0.000000,0.000000,events/second
1655037333,64,1.433853,0.000000,0.000000,0.000000,events/second
1655037336,64,1.343419,0.000000,0.000000,0.000000,events/second
1655037339,64,1.263837,0.000000,0.000000,0.000000,events/second
1655037342,64,1.190789,0.000000,0.000000,0.000000,events/second
1655037345,64,1.129953,0.000000,0.000000,0.000000,events/second
1655037348,64,1.073196,0.000000,0.000000,0.000000,events/second
1655037351,64,1.021370,0.000000,0.000000,0.000000,events/second
1655037354,64,0.975159,0.000000,0.000000,0.000000,events/second
1655037357,64,0.932449,0.000000,0.000000,0.000000,events/second
1655037360,64,0.893325,0.000000,0.000000,0.000000,events/second
1655037363,64,0.857441,0.000000,0.000000,0.000000,events/second
1655037366,64,0.824361,0.000000,0.000000,0.000000,events/second
1655037369,64,0.793317,0.000000,0.000000,0.000000,events/second
1655037372,64,0.764717,0.000000,0.000000,0.000000,events/second
1655037375,64,0.738469,0.000000,0.000000,0.000000,events/second
1655037378,64,0.713956,0.000000,0.000000,0.000000,events/second
1655037381,64,0.690566,0.000000,0.000000,0.000000,events/second
1655037384,64,0.669189,0.000000,0.000000,0.000000,events/second
1655037387,64,0.648844,0.000000,0.000000,0.000000,events/second
1655037390,64,0.629710,0.000000,0.000000,0.000000,events/second
1655037393,64,0.611648,0.000000,0.000000,0.000000,events/second
1655037396,64,0.594642,0.000000,0.000000,0.000000,events/second
1655037399,64,0.578516,0.000000,0.000000,0.000000,events/second
1655037402,64,0.562815,0.000000,0.000000,0.000000,events/second
1655037405,64,0.548522,0.000000,0.000000,0.000000,events/second
1655037408,64,0.534857,0.000000,0.000000,0.000000,events/second
1655037411,64,0.521740,0.000000,0.000000,0.000000,events/second
1655037414,64,0.509288,0.000000,0.000000,0.000000,events/second
1655037417,64,0.497440,0.000000,0.000000,0.000000,events/second
1655037420,64,0.486211,0.000000,0.000000,0.000000,events/second
1655037423,64,0.475329,0.000000,0.000000,0.000000,events/second
1655037426,64,0.465023,0.000000,0.000000,0.000000,events/second
1655037429,64,0.455098,0.000000,0.000000,0.000000,events/second
1655037432,64,0.445538,0.000000,0.000000,0.000000,events/second
1655037435,64,0.436454,0.000000,0.000000,0.000000,events/second
1655037438,64,0.427711,0.000000,0.000000,0.000000,events/second
1655037441,64,0.419301,0.000000,0.000000,0.000000,events/second
1655037444,64,0.411248,0.000000,0.000000,0.000000,events/second
1655037447,64,0.403455,0.000000,0.000000,0.000000,events/second
1655037450,64,0.395965,0.000000,0.000000,0.000000,events/second
1655037453,64,0.388759,0.000000,0.000000,0.000000,events/second
1655037456,64,0.381790,0.000000,0.000000,0.000000,events/second
1655037459,64,0.375079,0.000000,0.000000,0.000000,events/second
1655037462,64,0.368592,0.000000,0.000000,0.000000,events/second
1655037465,64,0.362337,0.000000,0.000000,0.000000,events/second
1655037468,64,0.356257,0.000000,0.000000,0.000000,events/second
1655037471,64,0.350390,0.000000,0.000000,0.000000,events/second
1655037474,64,0.344773,0.000000,0.000000,0.000000,events/second
1655037477,64,0.339275,0.000000,0.000000,0.000000,events/second
1655037480,64,0.333988,0.000000,0.000000,0.000000,events/second
1655037483,64,0.328829,0.000000,0.000000,0.000000,events/second
1655037486,64,0.323848,0.000000,0.000000,0.000000,events/second
1655037489,64,0.318999,0.000000,0.000000,0.000000,events/second
1655037492,64,0.314281,0.000000,0.000000,0.000000,events/second
1655037495,64,0.309703,0.000000,0.000000,0.000000,events/second
1655037498,64,0.304939,0.000000,0.000000,0.000000,events/second
1655037501,64,0.300984,0.000000,0.000000,0.000000,events/second
1655037504,64,0.296791,0.000000,0.000000,0.000000,events/second
1655037507,64,0.292727,0.000000,0.000000,0.000000,events/second
1655037510,64,0.288771,0.000000,0.000000,0.000000,events/second
1655037513,64,0.284915,0.000000,0.000000,0.000000,events/second
1655037516,64,0.281147,0.000000,0.000000,0.000000,events/second
1655037519,64,0.277509,0.000000,0.000000,0.000000,events/second
1655037522,64,0.273940,0.000000,0.000000,0.000000,events/second
