t,value
1655037294,0
1655037297,0
1655037300,0
1655037303,0
1655037306,0
1655037309,0
1655037312,0
1655037315,0
1655037318,0
1655037321,0
1655037324,0
1655037327,0
1655037330,0
1655037333,0
1655037336,0
1655037339,0
1655037342,0
1655037345,0
1655037348,0
1655037351,0
1655037354,0
1655037357,0
1655037360,0
1655037363,0
1655037366,0
1655037369,0
1655037372,0
1655037375,0
1655037378,0
1655037381,0
1655037384,0
1655037387,0
1655037390,0
1655037393,0
1655037396,0
1655037399,0
1655037402,0
1655037405,0
1655037408,0
1655037411,0
1655037414,0
1655037417,0
1655037420,0
1655037423,0
1655037426,0
1655037429,0
1655037432,0
1655037435,0
1655037438,0
1655037441,0
1655037444,0
1655037447,0
1655037450,0
1655037453,0
1655037456,0
1655037459,0
1655037462,0
1655037465,0
1655037468,0
1655037471,0
1655037474,0
1655037477,0
1655037480,0
1655037483,0
1655037486,0
1655037489,0
1655037492,0
1655037495,0
1655037498,0
1655037501,0
1655037504,0
1655037507,0
1655037510,0
1655037513,0
1655037516,0
1655037519,0
1655037522,0
1655037525,0
1655037528,0
1655037531,0
1655037534,0
1655037537,0
1655037540,0
1655037543,0
1655037546,0
1655037549,0
1655037552,0
1655037555,0
1655037558,0
1655037561,0
1655037564,0
1655037567,0
1655037570,0
1655037573,0
1655037576,0
1655037579,0
1655037582,0
1655037585,0
1655037588,0
1655037591,0
1655037594,0
1655037597,0
1655037600,0
1655037603,0
1655037606,0
1655037609,0
1655037612,0
1655037615,0
1655037618,0
1655037621,0
1655037624,0
1655037627,0
1655037630,0
1655037633,0
1655037636,0
1655037639,0
1655037642,0
1655037645,0
1655037648,0
1655037651,0
1655037654,0
1655037657,0
1655037660,0
1655037663,0
1655037666,0
1655037669,0
1655037672,0
1655037675,0
1655037678,0
1655037681,0
1655037684,0
1655037687,0
1655037690,0
1655037693,0
1655037696,0
1655037699,0
1655037702,0
1655037705,0
1655037708,0
1655037711,0
1655037714,0
1655037717,0
1655037720,0
1655037723,0
1655037726,0
1655037729,0
1655037732,0
1655037735,0
1655037738,0
1655037741,0
1655037744,0
1655037747,0
1655037750,0
1655037753,0
1655037756,0
1655037759,0
1655037762,0
1655037765,0
1655037768,0
1655037771,0
1655037774,0
1655037777,0
1655037780,0
1655037783,0
1655037786,0
1655037789,0
1655037792,0
1655037795,0
1655037798,0
1655037801,0
1655037804,0
1655037807,0
1655037810,0
1655037813,0
1655037816,0
1655037819,0
1655037822,0
1655037825,0
1655037828,0
1655037831,0
1655037834,0
1655037837,0
1655037840,0
1655037843,0
1655037846,0
1655037849,0
1655037852,0
1655037855,0
1655037858,0
1655037861,0
1655037864,0
1655037867,0
1655037870,0
1655037873,0
1655037876,0
1655037879,0
1655037882,0
1655037885,0
1655037888,0
1655037891,0
1655037894,0
1655037897,0
1655037900,0
1655037903,0
1655037906,0
1655037909,0
1655037912,0
1655037915,0
1655037918,0
1655037921,0
1655037924,0
1655037927,0
1655037930,0
1655037933,0
1655037936,0
1655037939,0
1655037942,0
1655037945,0
1655037948,0
1655037951,0
1655037954,0
1655037957,0
1655037960,0
1655037963,0
1655037966,0
1655037969,0
1655037972,0
1655037975,0
1655037978,0
1655037981,0
1655037984,0
1655037987,0
1655037990,0
1655037993,0
1655037996,0
1655037999,0
1655038002,0
1655038005,0
1655038008,0
1655038011,0
1655038014,0
1655038017,0
1655038020,0
1655038023,0
1655038026,0
1655038029,0
1655038032,0
1655038035,0
1655038038,0
1655038041,0
1655038044,0
1655038047,0
1655038050,0
1655038053,0
1655038056,0
1655038059,0
1655038062,0
1655038065,0
1655038068,0
1655038071,0
1655038074,0
1655038077,0
1655038080,0
1655038083,0
1655038086,0
1655038089,0
1655038092,0
1655038095,0
1655038098,0
1655038101,0
1655038104,0
1655038107,0
1655038110,0
1655038113,0
1655038116,0
1655038119,0
1655038122,0
1655038125,0
1655038128,0
1655038131,0
1655038134,0
1655038137,0
1655038140,0
1655038143,0
1655038146,0
1655038149,0
1655038152,0
1655038155,0
1655038158,0
1655038161,0
1655038164,0
1655038167,0
1655038170,0
1655038173,0
1655038176,0
1655038179,0
1655038182,0
1655038185,0
1655038188,0
1655038191,0
1655038194,0
1655038197,0
1655038200,0
1655038203,0
1655038206,0
1655038209,0
1655038212,0
1655038215,0
1655038218,0
1655038221,0
1655038224,0
1655038227,0
1655038230,0
1655038233,0
1655038236,0
1655038239,0
1655038242,0
1655038245,0
1655038248,0
1655038251,0
1655038254,0
1655038257,0
1655038260,0
1655038263,0
1655038266,0
1655038269,0
1655038272,0
1655038275,0
1655038278,0
1655038281,0
1655038284,0
1655038287,0
1655038290,0
1655038293,0
1655038296,0
1655038299,0
1655038302,0
1655038305,0
1655038308,0
1655038311,0
1655038314,0
1655038317,0
1655038320,0
1655038323,0
1655038326,0
1655038329,0
1655038332,0
1655038335,0
1655038338,0
1655038341,0
1655038344,0
1655038347,0
1655038350,0
1655038353,0
1655038356,0
1655038359,0
1655038362,0
1655038365,0
1655038368,0
1655038371,0
1655038374,0
1655038377,0
1655038380,0
1655038383,0
1655038386,0
1655038389,0
1655038392,0
1655038395,0
1655038398,0
1655038401,0
1655038404,0
1655038407,0
1655038410,0
1655038413,0
1655038416,0
1655038419,0
1655038422,0
1655038425,0
1655038428,0
1655038431,0
1655038434,0
1655038437,0
1655038440,0
1655038443,0
1655038446,0
1655038449,0
1655038452,0
1655038455,0
1655038458,0
1655038461,0
1655038464,0
1655038467,0
1655038470,0
1655038473,0
1655038476,0
1655038479,0
1655038482,0
1655038485,0
1655038488,0
1655038491,0
1655038494,0
1655038497,0
1655038500,0
1655038503,0
1655038506,0
1655038509,0
1655038512,0
1655038515,0
1655038518,0
1655038521,0
1655038524,0
1655038527,0
1655038530,0
1655038533,0
1655038536,0
1655038539,0
1655038542,0
1655038545,0
1655038548,0
1655038551,0
1655038554,0
1655038557,0
1655038560,0
1655038563,0
1655038566,0
1655038569,0
1655038572,0
1655038575,0
1655038578,0
1655038581,0
1655038584,0
1655038587,0
1655038590,0
1655038593,0
1655038596,0
1655038599,0
1655038602,0
1655038605,0
1655038608,0
1655038611,0
1655038614,0
1655038617,0
1655038620,0
1655038623,0
1655038626,0
1655038629,0
1655038632,0
1655038635,0
1655038638,0
1655038641,0
1655038644,0
1655038647,0
1655038650,0
1655038653,0
1655038656,0
1655038659,0
1655038662,0
1655038665,0
1655038668,0
1655038671,0
1655038674,0
1655038677,0
1655038680,0
1655038683,0
1655038686,0
1655038689,0
1655038692,0
1655038695,0
1655038698,0
1655038701,0
