t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037300,2,0.169722,0.000000,0.000000,0.000000,events/second
1655037303,6,0.408754,0.000000,0.000000,0.000000,events/second
1655037306,6,0.339159,0.000000,0.000000,0.000000,events/second
1655037309,6,0.288531,0.000000,0.000000,0.000000,events/second
1655037312,8,0.309757,0.000000,0.000000,0.000000,events/second
1655037315,8,0.299068,0.000000,0.000000,0.000000,events/second
1655037318,8,0.262475,0.000000,0.000000,0.000000,events/second
1655037321,8,0.245028,0.000000,0.000000,0.000000,events/second
1655037324,8,0.224464,0.000000,0.000000,0.000000,events/second
1655037327,9,0.232826,0.000000,0.000000,0.000000,events/second
1655037330,9,0.215935,0.000000,0.000000,0.000000,events/second
1655037333,9,0.201629,0.000000,0.000000,0.000000,events/second
1655037336,9,0.188914,0.000000,0.000000,0.000000,events/second
1655037339,9,0.177723,0.000000,0.000000,0.000000,events/second
1655037342,9,0.167451,0.000000,0.000000,0.000000,events/second
1655037345,9,0.158896,0.000000,0.000000,0.000000,events/second
1655037348,9,0.150914,0.000000,0.000000,0.000000,events/second
1655037351,10,0.159585,0.000000,0.000000,0.000000,events/second
1655037354,10,0.152366,0.000000,0.000000,0.000000,events/second
1655037357,10,0.145693,0.000000,0.000000,0.000000,events/second
1655037360,10,0.139580,0.000000,0.000000,0.000000,events/second
1655037363,10,0.133972,0.000000,0.000000,0.000000,events/second
1655037366,10,0.128805,0.000000,0.000000,0.000000,events/second
1655037369,10,0.123954,0.000000,0.000000,0.000000,events/second
1655037372,11,0.131434,0.000000,0.000000,0.000000,events/second
1655037375,11,0.126922,0.000000,0.000000,0.000000,events/second
1655037378,11,0.122709,0.000000,0.000000,0.000000,events/second
1655037381,11,0.118689,0.000000,0.000000,0.000000,events/second
1655037384,11,0.115015,0.000000,0.000000,0.000000,events/second
1655037387,11,0.111519,0.000000,0.000000,0.000000,events/second
1655037390,11,0.108230,0.000000,0.000000,0.000000,events/second
