t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037297,0,0.000000,0.000000,0.000000,0.000000,events/second
1655037300,2,0.169621,0.000000,0.000000,0.000000,events/second
1655037303,6,0.408660,0.000000,0.000000,0.000000,events/second
1655037306,6,0.339011,0.000000,0.000000,0.000000,events/second
1655037309,6,0.288398,0.000000,0.000000,0.000000,events/second
1655037312,8,0.309203,0.000000,0.000000,0.000000,events/second
1655037315,8,0.298979,0.000000,0.000000,0.000000,events/second
1655037318,8,0.262334,0.000000,0.000000,0.000000,events/second
1655037321,8,0.245005,0.000000,0.000000,0.000000,events/second
1655037324,8,0.224444,0.000000,0.000000,0.000000,events/second
1655037327,9,0.232801,0.000000,0.000000,0.000000,events/second
1655037330,9,0.215919,0.000000,0.000000,0.000000,events/second
1655037333,9,0.201618,0.000000,0.000000,0.000000,events/second
1655037336,9,0.188906,0.000000,0.000000,0.000000,events/second
1655037339,9,0.177716,0.000000,0.000000,0.000000,events/second
1655037342,9,0.167445,0.000000,0.000000,0.000000,events/second
1655037345,9,0.158889,0.000000,0.000000,0.000000,events/second
1655037348,9,0.150908,0.000000,0.000000,0.000000,events/second
1655037351,10,0.159577,0.000000,0.000000,0.000000,events/second
1655037354,10,0.152359,0.000000,0.000000,0.000000,events/second
1655037357,10,0.145688,0.000000,0.000000,0.000000,events/second
1655037360,10,0.139576,0.000000,0.000000,0.000000,events/second
1655037363,10,0.133967,0.000000,0.000000,0.000000,events/second
1655037366,10,0.128801,0.000000,0.000000,0.000000,events/second
1655037369,10,0.123950,0.000000,0.000000,0.000000,events/second
1655037372,11,0.131431,0.000000,0.000000,0.000000,events/second
1655037375,11,0.126917,0.000000,0.000000,0.000000,events/second
1655037378,11,0.122706,0.000000,0.000000,0.000000,events/second
1655037381,11,0.118686,0.000000,0.000000,0.000000,events/second
1655037384,11,0.115013,0.000000,0.000000,0.000000,events/second
1655037387,11,0.111515,0.000000,0.000000,0.000000,events/second
1655037390,11,0.108228,0.000000,0.000000,0.000000,events/second
