t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,49152,14031.105248,0.000000,0.000000,0.000000,events/second
1655037297,49152,7810.101029,0.000000,0.000000,0.000000,events/second
1655037300,49152,5364.503215,0.000000,0.000000,0.000000,events/second
1655037303,49152,4077.960800,0.000000,0.000000,0.000000,events/second
1655037306,49152,3261.484071,0.000000,0.000000,0.000000,events/second
1655037309,49152,2703.809561,0.000000,0.000000,0.000000,events/second
1655037312,49152,2110.035012,0.000000,0.000000,0.000000,events/second
1655037315,49152,2036.859583,0.000000,0.000000,0.000000,events/second
1655037318,49152,1763.803058,0.000000,0.000000,0.000000,events/second
1655037321,49152,1637.140073,0.000000,0.000000,0.000000,events/second
1655037324,49152,1488.811686,0.000000,0.000000,0.000000,events/second
1655037327,49152,1364.190350,0.000000,0.000000,0.000000,events/second
1655037330,49152,1258.587819,0.000000,0.000000,0.000000,events/second
1655037333,49152,1170.013332,0.000000,0.000000,0.000000,events/second
1655037336,49152,1091.954004,0.000000,0.000000,0.000000,events/second
1655037339,49152,1023.723565,0.000000,0.000000,0.000000,events/second
1655037342,49152,961.513268,0.000000,0.000000,0.000000,events/second
1655037345,49152,909.988350,0.000000,0.000000,0.000000,events/second
1655037348,49152,862.175662,0.000000,0.000000,0.000000,events/second
1655037351,49152,818.703219,0.000000,0.000000,0.000000,events/second
1655037354,49152,780.124652,0.000000,0.000000,0.000000,events/second
1655037357,49152,744.610598,0.000000,0.000000,0.000000,events/second
1655037360,49152,712.181141,0.000000,0.000000,0.000000,events/second
1655037363,49152,682.515221,0.000000,0.000000,0.000000,events/second
1655037366,49152,655.278511,0.000000,0.000000,0.000000,events/second
1655037369,49152,629.765426,0.000000,0.000000,0.000000,events/second
1655037372,49152,606.331921,0.000000,0.000000,0.000000,events/second
1655037375,49152,584.853054,0.000000,0.000000,0.000000,events/second
1655037378,49152,564.863629,0.000000,0.000000,0.000000,events/second
1655037381,49152,545.818383,0.000000,0.000000,0.000000,events/second
1655037384,49152,528.449385,0.000000,0.000000,0.000000,events/second
1655037387,49152,511.939151,0.000000,0.000000,0.000000,events/second
1655037390,49152,496.443781,0.000000,0.000000,0.000000,events/second
1655037393,49152,481.841971,0.000000,0.000000,0.000000,events/second
1655037396,49152,468.109148,0.000000,0.000000,0.000000,events/second
