t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,3325786,948140.180327,0.000000,0.000000,0.000000,events/second
1655037297,3325786,528402.878581,0.000000,0.000000,0.000000,events/second
1655037300,3325786,362972.664119,0.000000,0.000000,0.000000,events/second
1655037303,3325786,275927.236774,0.000000,0.000000,0.000000,events/second
1655037306,3325786,220678.846901,0.000000,0.000000,0.000000,events/second
1655037309,3325786,182942.637841,0.000000,0.000000,0.000000,events/second
1655037312,3325786,142770.512216,0.000000,0.000000,0.000000,events/second
1655037315,3325786,137817.040822,0.000000,0.000000,0.000000,events/second
1655037318,3325786,119342.056842,0.000000,0.000000,0.000000,events/second
1655037321,3325786,110774.286981,0.000000,0.000000,0.000000,events/second
1655037324,3325786,100738.075956,0.000000,0.000000,0.000000,events/second
1655037327,3325786,92305.791162,0.000000,0.000000,0.000000,events/second
1655037330,3325786,85160.018468,0.000000,0.000000,0.000000,events/second
1655037333,3325786,79167.028904,0.000000,0.000000,0.000000,events/second
1655037336,3325786,73885.405431,0.000000,0.000000,0.000000,events/second
1655037339,3325786,69268.657033,0.000000,0.000000,0.000000,events/second
1655037342,3325786,65059.283112,0.000000,0.000000,0.000000,events/second
1655037345,3325786,61572.879287,0.000000,0.000000,0.000000,events/second
1655037348,3325786,58337.744657,0.000000,0.000000,0.000000,events/second
1655037351,3325786,55396.127276,0.000000,0.000000,0.000000,events/second
1655037354,3325786,52785.815100,0.000000,0.000000,0.000000,events/second
1655037357,3325786,50382.739016,0.000000,0.000000,0.000000,events/second
1655037360,3325786,48188.593883,0.000000,0.000000,0.000000,events/second
1655037363,3325786,46181.232048,0.000000,0.000000,0.000000,events/second
1655037366,3325786,44338.350080,0.000000,0.000000,0.000000,events/second
1655037369,3325786,42612.061212,0.000000,0.000000,0.000000,events/second
1655037372,3325786,41026.453017,0.000000,0.000000,0.000000,events/second
1655037375,3325786,39573.071702,0.000000,0.000000,0.000000,events/second
1655037378,3325786,38220.576424,0.000000,0.000000,0.000000,events/second
1655037381,3325786,36931.874857,0.000000,0.000000,0.000000,events/second
1655037384,3325786,35756.667549,0.000000,0.000000,0.000000,events/second
1655037387,3325786,34639.527491,0.000000,0.000000,0.000000,events/second
1655037390,3325786,33591.047043,0.000000,0.000000,0.000000,events/second
1655037393,3325786,32603.053588,0.000000,0.000000,0.000000,events/second
1655037396,3325786,31673.841163,0.000000,0.000000,0.000000,events/second
1655037399,3325786,30794.189157,0.000000,0.000000,0.000000,events/second
1655037402,3325786,29938.510948,0.000000,0.000000,0.000000,events/second
1655037405,3325786,29160.248011,0.000000,0.000000,0.000000,events/second
1655037408,3325786,28417.592495,0.000000,0.000000,0.000000,events/second
1655037411,3325786,27705.443973,0.000000,0.000000,0.000000,events/second
1655037414,3325786,27029.884829,0.000000,0.000000,0.000000,events/second
1655037417,3325786,26384.287628,0.000000,0.000000,0.000000,events/second
1655037420,3325786,25780.550997,0.000000,0.000000,0.000000,events/second
1655037423,3325786,25192.076702,0.000000,0.000000,0.000000,events/second
1655037426,3325786,24635.447527,0.000000,0.000000,0.000000,events/second
1655037429,3325786,24099.386788,0.000000,0.000000,0.000000,events/second
1655037432,3325786,23583.720231,0.000000,0.000000,0.000000,events/second
1655037435,3325786,23094.132384,0.000000,0.000000,0.000000,events/second
1655037438,3325786,22623.347620,0.000000,0.000000,0.000000,events/second
1655037441,3325786,22170.675544,0.000000,0.000000,0.000000,events/second
1655037444,3325786,21737.583502,0.000000,0.000000,0.000000,events/second
1655037447,3325786,21318.689780,0.000000,0.000000,0.000000,events/second
1655037450,3325786,20916.452100,0.000000,0.000000,0.000000,events/second
1655037453,3325786,20529.666857,0.000000,0.000000,0.000000,events/second
1655037456,3325786,20155.763936,0.000000,0.000000,0.000000,events/second
1655037459,3325786,19795.973274,0.000000,0.000000,0.000000,events/second
1655037462,3325786,19448.318186,0.000000,0.000000,0.000000,events/second
1655037465,3325786,19113.291745,0.000000,0.000000,0.000000,events/second
1655037468,3325786,18787.652110,0.000000,0.000000,0.000000,events/second
1655037471,3325786,18471.157866,0.000000,0.000000,0.000000,events/second
1655037474,3325786,18173.542156,0.000000,0.000000,0.000000,events/second
1655037477,3325786,17879.528535,0.000000,0.000000,0.000000,events/second
1655037480,3325786,17597.082278,0.000000,0.000000,0.000000,events/second
1655037483,3325786,17321.476882,0.000000,0.000000,0.000000,events/second
1655037486,3325786,17055.655412,0.000000,0.000000,0.000000,events/second
1655037489,3325786,16796.916762,0.000000,0.000000,0.000000,events/second
1655037492,3325786,16545.126634,0.000000,0.000000,0.000000,events/second
1655037495,3325786,16301.050219,0.000000,0.000000,0.000000,events/second
1655037498,3325786,16046.824756,0.000000,0.000000,0.000000,events/second
1655037501,3325786,15836.321658,0.000000,0.000000,0.000000,events/second
1655037504,3325786,15613.045815,0.000000,0.000000,0.000000,events/second
1655037507,3325786,15394.950869,0.000000,0.000000,0.000000,events/second
1655037510,3325786,15186.173023,0.000000,0.000000,0.000000,events/second
1655037513,3325786,14980.956772,0.000000,0.000000,0.000000,events/second
1655037516,3325786,14780.187316,0.000000,0.000000,0.000000,events/second
1655037519,3325786,14587.048803,0.000000,0.000000,0.000000,events/second
1655037522,3325786,14397.323655,0.000000,0.000000,0.000000,events/second
1655037525,3325786,14182.093247,0.000000,0.000000,0.000000,events/second
1655037528,3325786,14032.833812,0.000000,0.000000,0.000000,events/second
1655037531,3325786,13856.656104,0.000000,0.000000,0.000000,events/second
1655037534,3325786,13686.189181,0.000000,0.000000,0.000000,events/second
1655037537,3325786,13517.796788,0.000000,0.000000,0.000000,events/second
1655037540,3325786,13355.996429,0.000000,0.000000,0.000000,events/second
1655037543,3325786,13182.170755,0.000000,0.000000,0.000000,events/second
1655037546,3325786,13042.283626,0.000000,0.000000,0.000000,events/second
1655037549,3325786,12889.039730,0.000000,0.000000,0.000000,events/second
1655037552,3325786,12731.782067,0.000000,0.000000,0.000000,events/second
1655037555,3325786,12597.118681,0.000000,0.000000,0.000000,events/second
1655037558,3325786,12455.801848,0.000000,0.000000,0.000000,events/second
1655037561,3325786,12317.136423,0.000000,0.000000,0.000000,events/second
1655037564,3325786,12178.671862,0.000000,0.000000,0.000000,events/second
1655037567,3325786,12050.018703,0.000000,0.000000,0.000000,events/second
1655037570,3325786,11920.210700,0.000000,0.000000,0.000000,events/second
1655037573,3325786,11793.439731,0.000000,0.000000,0.000000,events/second
