t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,406,115.408918,0.000000,0.000000,0.000000,events/second
1655037297,406,64.380862,0.000000,0.000000,0.000000,events/second
1655037300,406,44.277588,0.000000,0.000000,0.000000,events/second
1655037303,406,33.666983,0.000000,0.000000,0.000000,events/second
1655037306,406,26.927603,0.000000,0.000000,0.000000,events/second
1655037309,406,22.320815,0.000000,0.000000,0.000000,events/second
1655037312,406,17.420706,0.000000,0.000000,0.000000,events/second
1655037315,406,16.819673,0.000000,0.000000,0.000000,events/second
1655037318,406,14.537595,0.000000,0.000000,0.000000,events/second
1655037321,406,13.520234,0.000000,0.000000,0.000000,events/second
1655037324,406,12.295573,0.000000,0.000000,0.000000,events/second
1655037327,406,11.266540,0.000000,0.000000,0.000000,events/second
1655037330,406,10.394393,0.000000,0.000000,0.000000,events/second
1655037333,406,9.663111,0.000000,0.000000,0.000000,events/second
1655037336,406,9.018536,0.000000,0.000000,0.000000,events/second
1655037339,406,8.455054,0.000000,0.000000,0.000000,events/second
1655037342,406,7.941311,0.000000,0.000000,0.000000,events/second
1655037345,406,7.515770,0.000000,0.000000,0.000000,events/second
1655037348,406,7.120948,0.000000,0.000000,0.000000,events/second
1655037351,406,6.761867,0.000000,0.000000,0.000000,events/second
1655037354,406,6.443303,0.000000,0.000000,0.000000,events/second
1655037357,406,6.149995,0.000000,0.000000,0.000000,events/second
1655037360,406,5.882204,0.000000,0.000000,0.000000,events/second
1655037363,406,5.637173,0.000000,0.000000,0.000000,events/second
1655037366,406,5.412253,0.000000,0.000000,0.000000,events/second
1655037369,406,5.201541,0.000000,0.000000,0.000000,events/second
1655037372,406,5.007862,0.000000,0.000000,0.000000,events/second
1655037375,406,4.830586,0.000000,0.000000,0.000000,events/second
1655037378,406,4.665525,0.000000,0.000000,0.000000,events/second
1655037381,406,4.508209,0.000000,0.000000,0.000000,events/second
1655037384,406,4.364779,0.000000,0.000000,0.000000,events/second
1655037387,406,4.228417,0.000000,0.000000,0.000000,events/second
1655037390,406,4.100435,0.000000,0.000000,0.000000,events/second
1655037393,406,3.979843,0.000000,0.000000,0.000000,events/second
1655037396,406,3.866421,0.000000,0.000000,0.000000,events/second
1655037399,406,3.759052,0.000000,0.000000,0.000000,events/second
1655037402,406,3.654600,0.000000,0.000000,0.000000,events/second
1655037405,406,3.559594,0.000000,0.000000,0.000000,events/second
1655037408,406,3.468949,0.000000,0.000000,0.000000,events/second
1655037411,406,3.382021,0.000000,0.000000,0.000000,events/second
1655037414,406,3.299558,0.000000,0.000000,0.000000,events/second
1655037417,406,3.220555,0.000000,0.000000,0.000000,events/second
1655037420,406,3.147053,0.000000,0.000000,0.000000,events/second
1655037423,406,3.075196,0.000000,0.000000,0.000000,events/second
