t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,1568,445.473668,0.000000,0.000000,0.000000,events/second
1655037297,1626,257.797695,0.000000,0.000000,0.000000,events/second
1655037300,1633,178.070274,0.000000,0.000000,0.000000,events/second
1655037303,1639,135.896919,0.000000,0.000000,0.000000,events/second
1655037306,1641,108.831962,0.000000,0.000000,0.000000,events/second
1655037309,1643,90.322300,0.000000,0.000000,0.000000,events/second
1655037312,1670,71.654350,0.000000,0.000000,0.000000,events/second
1655037315,1672,69.264676,0.000000,0.000000,0.000000,events/second
1655037318,1674,59.938953,0.000000,0.000000,0.000000,events/second
1655037321,1676,55.811513,0.000000,0.000000,0.000000,events/second
1655037324,1678,50.816704,0.000000,0.000000,0.000000,events/second
1655037327,1682,46.674954,0.000000,0.000000,0.000000,events/second
1655037330,1684,43.113022,0.000000,0.000000,0.000000,events/second
1655037333,1706,40.603646,0.000000,0.000000,0.000000,events/second
1655037336,1708,37.939631,0.000000,0.000000,0.000000,events/second
1655037339,1710,35.610768,0.000000,0.000000,0.000000,events/second
1655037342,1712,33.486206,0.000000,0.000000,0.000000,events/second
1655037345,1839,34.042744,0.000000,0.000000,0.000000,events/second
1655037348,1841,32.289554,0.000000,0.000000,0.000000,events/second
1655037351,1965,32.726463,0.000000,0.000000,0.000000,events/second
1655037354,1967,31.216444,0.000000,0.000000,0.000000,events/second
1655037357,1969,29.825741,0.000000,0.000000,0.000000,events/second
1655037360,1971,28.556012,0.000000,0.000000,0.000000,events/second
1655037363,1973,27.394221,0.000000,0.000000,0.000000,events/second
1655037366,1975,26.327906,0.000000,0.000000,0.000000,events/second
1655037369,1977,25.328435,0.000000,0.000000,0.000000,events/second
1655037372,2001,24.681193,0.000000,0.000000,0.000000,events/second
1655037375,2003,23.831483,0.000000,0.000000,0.000000,events/second
1655037378,2005,23.040197,0.000000,0.000000,0.000000,events/second
1655037381,2007,22.285497,0.000000,0.000000,0.000000,events/second
1655037384,2009,21.598024,0.000000,0.000000,0.000000,events/second
1655037387,2011,20.944095,0.000000,0.000000,0.000000,events/second
1655037390,2013,20.330377,0.000000,0.000000,0.000000,events/second
1655037393,2037,19.967739,0.000000,0.000000,0.000000,events/second
1655037396,2039,19.417733,0.000000,0.000000,0.000000,events/second
1655037399,2041,18.897031,0.000000,0.000000,0.000000,events/second
1655037402,2043,18.389945,0.000000,0.000000,0.000000,events/second
1655037405,2170,19.025299,0.000000,0.000000,0.000000,events/second
1655037408,2172,18.557946,0.000000,0.000000,0.000000,events/second
1655037411,2296,19.125834,0.000000,0.000000,0.000000,events/second
1655037414,2298,18.675744,0.000000,0.000000,0.000000,events/second
1655037417,2300,18.244109,0.000000,0.000000,0.000000,events/second
1655037420,2302,17.843559,0.000000,0.000000,0.000000,events/second
1655037423,2304,17.451280,0.000000,0.000000,0.000000,events/second
1655037426,2306,17.080720,0.000000,0.000000,0.000000,events/second
1655037429,2308,16.723538,0.000000,0.000000,0.000000,events/second
1655037432,2332,16.535891,0.000000,0.000000,0.000000,events/second
1655037435,2334,16.206492,0.000000,0.000000,0.000000,events/second
1655037438,2336,15.889766,0.000000,0.000000,0.000000,events/second
1655037441,2338,15.585166,0.000000,0.000000,0.000000,events/second
1655037444,2340,15.293792,0.000000,0.000000,0.000000,events/second
1655037447,2342,15.011912,0.000000,0.000000,0.000000,events/second
1655037450,2344,14.741265,0.000000,0.000000,0.000000,events/second
1655037453,2368,14.616828,0.000000,0.000000,0.000000,events/second
1655037456,2370,14.362713,0.000000,0.000000,0.000000,events/second
1655037459,2372,14.118281,0.000000,0.000000,0.000000,events/second
1655037462,2374,13.882024,0.000000,0.000000,0.000000,events/second
1655037465,2501,14.372754,0.000000,0.000000,0.000000,events/second
1655037468,2503,14.139171,0.000000,0.000000,0.000000,events/second
1655037471,2627,14.589646,0.000000,0.000000,0.000000,events/second
1655037474,2629,14.365530,0.000000,0.000000,0.000000,events/second
1655037477,2631,14.143856,0.000000,0.000000,0.000000,events/second
1655037480,2633,13.931041,0.000000,0.000000,0.000000,events/second
1655037483,2635,13.723257,0.000000,0.000000,0.000000,events/second
1655037486,2637,13.522936,0.000000,0.000000,0.000000,events/second
1655037489,2639,13.327897,0.000000,0.000000,0.000000,events/second
1655037492,2663,13.247491,0.000000,0.000000,0.000000,events/second
