t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,66,18.729246,0.000000,0.000000,0.000000,events/second
1655037297,66,10.460146,0.000000,0.000000,0.000000,events/second
1655037300,66,7.194386,0.000000,0.000000,0.000000,events/second
1655037303,66,5.470383,0.000000,0.000000,0.000000,events/second
1655037306,66,4.376642,0.000000,0.000000,0.000000,events/second
1655037309,66,3.627584,0.000000,0.000000,0.000000,events/second
1655037312,66,2.831394,0.000000,0.000000,0.000000,events/second
1655037315,66,2.733912,0.000000,0.000000,0.000000,events/second
1655037318,66,2.363044,0.000000,0.000000,0.000000,events/second
1655037321,66,2.197716,0.000000,0.000000,0.000000,events/second
1655037324,66,1.998654,0.000000,0.000000,0.000000,events/second
1655037327,66,1.831402,0.000000,0.000000,0.000000,events/second
1655037330,66,1.689635,0.000000,0.000000,0.000000,events/second
1655037333,66,1.570779,0.000000,0.000000,0.000000,events/second
1655037336,66,1.466004,0.000000,0.000000,0.000000,events/second
1655037339,66,1.374408,0.000000,0.000000,0.000000,events/second
1655037342,66,1.290904,0.000000,0.000000,0.000000,events/second
1655037345,66,1.221727,0.000000,0.000000,0.000000,events/second
1655037348,66,1.157554,0.000000,0.000000,0.000000,events/second
1655037351,66,1.099182,0.000000,0.000000,0.000000,events/second
1655037354,66,1.047401,0.000000,0.000000,0.000000,events/second
1655037357,66,0.999724,0.000000,0.000000,0.000000,events/second
1655037360,66,0.956193,0.000000,0.000000,0.000000,events/second
1655037363,66,0.916358,0.000000,0.000000,0.000000,events/second
1655037366,66,0.879802,0.000000,0.000000,0.000000,events/second
1655037369,66,0.845543,0.000000,0.000000,0.000000,events/second
1655037372,66,0.814051,0.000000,0.000000,0.000000,events/second
1655037375,66,0.785245,0.000000,0.000000,0.000000,events/second
1655037378,66,0.758418,0.000000,0.000000,0.000000,events/second
1655037381,66,0.732843,0.000000,0.000000,0.000000,events/second
1655037384,66,0.709531,0.000000,0.000000,0.000000,events/second
1655037387,66,0.687364,0.000000,0.000000,0.000000,events/second
1655037390,66,0.666558,0.000000,0.000000,0.000000,events/second
1655037393,66,0.646957,0.000000,0.000000,0.000000,events/second
1655037396,66,0.628521,0.000000,0.000000,0.000000,events/second
1655037399,66,0.611067,0.000000,0.000000,0.000000,events/second
1655037402,66,0.594088,0.000000,0.000000,0.000000,events/second
1655037405,66,0.578642,0.000000,0.000000,0.000000,events/second
1655037408,66,0.563909,0.000000,0.000000,0.000000,events/second
1655037411,66,0.549778,0.000000,0.000000,0.000000,events/second
1655037414,66,0.536372,0.000000,0.000000,0.000000,events/second
1655037417,66,0.523503,0.000000,0.000000,0.000000,events/second
1655037420,66,0.511582,0.000000,0.000000,0.000000,events/second
1655037423,66,0.499901,0.000000,0.000000,0.000000,events/second
1655037426,66,0.488862,0.000000,0.000000,0.000000,events/second
1655037429,66,0.478224,0.000000,0.000000,0.000000,events/second
1655037432,66,0.467992,0.000000,0.000000,0.000000,events/second
1655037435,66,0.458276,0.000000,0.000000,0.000000,events/second
1655037438,66,0.448936,0.000000,0.000000,0.000000,events/second
1655037441,66,0.439954,0.000000,0.000000,0.000000,events/second
1655037444,66,0.431359,0.000000,0.000000,0.000000,events/second
