t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,1634,463.053765,0.000000,0.000000,0.000000,events/second
1655037297,1692,268.163203,0.000000,0.000000,0.000000,events/second
1655037300,1699,185.201883,0.000000,0.000000,0.000000,events/second
1655037303,1705,141.315389,0.000000,0.000000,0.000000,events/second
1655037306,1707,113.196624,0.000000,0.000000,0.000000,events/second
1655037309,1709,93.918713,0.000000,0.000000,0.000000,events/second
1655037312,1736,74.473426,0.000000,0.000000,0.000000,events/second
1655037315,1738,71.993154,0.000000,0.000000,0.000000,events/second
1655037318,1740,62.298984,0.000000,0.000000,0.000000,events/second
1655037321,1742,58.006968,0.000000,0.000000,0.000000,events/second
1655037324,1744,52.813302,0.000000,0.000000,0.000000,events/second
1655037327,1748,48.504919,0.000000,0.000000,0.000000,events/second
1655037330,1750,44.801277,0.000000,0.000000,0.000000,events/second
1655037333,1772,42.173451,0.000000,0.000000,0.000000,events/second
1655037336,1774,39.404799,0.000000,0.000000,0.000000,events/second
1655037339,1776,36.984379,0.000000,0.000000,0.000000,events/second
1655037342,1778,34.776457,0.000000,0.000000,0.000000,events/second
1655037345,1905,35.263721,0.000000,0.000000,0.000000,events/second
1655037348,1907,33.446546,0.000000,0.000000,0.000000,events/second
1655037351,2031,33.825051,0.000000,0.000000,0.000000,events/second
1655037354,2033,32.263334,0.000000,0.000000,0.000000,events/second
1655037357,2035,30.825009,0.000000,0.000000,0.000000,events/second
1655037360,2037,29.511751,0.000000,0.000000,0.000000,events/second
1655037363,2039,28.309987,0.000000,0.000000,0.000000,events/second
1655037366,2041,27.207349,0.000000,0.000000,0.000000,events/second
1655037369,2043,26.173466,0.000000,0.000000,0.000000,events/second
1655037372,2067,25.494557,0.000000,0.000000,0.000000,events/second
1655037375,2069,24.616333,0.000000,0.000000,0.000000,events/second
1655037378,2071,23.798342,0.000000,0.000000,0.000000,events/second
1655037381,2073,23.018006,0.000000,0.000000,0.000000,events/second
1655037384,2075,22.307327,0.000000,0.000000,0.000000,events/second
1655037387,2077,21.631240,0.000000,0.000000,0.000000,events/second
1655037390,2079,20.996651,0.000000,0.000000,0.000000,events/second
1655037393,2103,20.614489,0.000000,0.000000,0.000000,events/second
1655037396,2105,20.046091,0.000000,0.000000,0.000000,events/second
1655037399,2107,19.507945,0.000000,0.000000,0.000000,events/second
1655037402,2109,18.983873,0.000000,0.000000,0.000000,events/second
1655037405,2236,19.603748,0.000000,0.000000,0.000000,events/second
1655037408,2238,19.121699,0.000000,0.000000,0.000000,events/second
1655037411,2362,19.675436,0.000000,0.000000,0.000000,events/second
1655037414,2364,19.211878,0.000000,0.000000,0.000000,events/second
1655037417,2366,18.765885,0.000000,0.000000,0.000000,events/second
1655037420,2368,18.354985,0.000000,0.000000,0.000000,events/second
1655037423,2370,17.951022,0.000000,0.000000,0.000000,events/second
1655037426,2372,17.569470,0.000000,0.000000,0.000000,events/second
1655037429,2374,17.201642,0.000000,0.000000,0.000000,events/second
1655037432,2398,17.003760,0.000000,0.000000,0.000000,events/second
1655037435,2400,16.664642,0.000000,0.000000,0.000000,events/second
1655037438,2402,16.338599,0.000000,0.000000,0.000000,events/second
1655037441,2404,16.025020,0.000000,0.000000,0.000000,events/second
1655037444,2406,15.725056,0.000000,0.000000,0.000000,events/second
1655037447,2408,15.434869,0.000000,0.000000,0.000000,events/second
1655037450,2410,15.156243,0.000000,0.000000,0.000000,events/second
1655037453,2434,15.024133,0.000000,0.000000,0.000000,events/second
1655037456,2436,14.762595,0.000000,0.000000,0.000000,events/second
1655037459,2438,14.511027,0.000000,0.000000,0.000000,events/second
1655037462,2440,14.267877,0.000000,0.000000,0.000000,events/second
1655037465,2567,14.751966,0.000000,0.000000,0.000000,events/second
1655037468,2569,14.511916,0.000000,0.000000,0.000000,events/second
1655037471,2693,14.956043,0.000000,0.000000,0.000000,events/second
1655037474,2695,14.726098,0.000000,0.000000,0.000000,events/second
1655037477,2697,14.498583,0.000000,0.000000,0.000000,events/second
1655037480,2699,14.280172,0.000000,0.000000,0.000000,events/second
1655037483,2701,14.066906,0.000000,0.000000,0.000000,events/second
1655037486,2703,13.861330,0.000000,0.000000,0.000000,events/second
1655037489,2705,13.661158,0.000000,0.000000,0.000000,events/second
1655037492,2729,13.575751,0.000000,0.000000,0.000000,events/second
1655037495,2731,13.385220,0.000000,0.000000,0.000000,events/second
1655037498,2733,13.186145,0.000000,0.000000,0.000000,events/second
1655037501,2735,13.022725,0.000000,0.000000,0.000000,events/second
1655037504,2737,12.848528,0.000000,0.000000,0.000000,events/second
1655037507,2739,12.678282,0.000000,0.000000,0.000000,events/second
1655037510,2741,12.515535,0.000000,0.000000,0.000000,events/second
1655037513,2765,12.454492,0.000000,0.000000,0.000000,events/second
1655037516,2767,12.295929,0.000000,0.000000,0.000000,events/second
1655037519,2769,12.144587,0.000000,0.000000,0.000000,events/second
1655037522,2771,11.995291,0.000000,0.000000,0.000000,events/second
1655037525,2898,12.357468,0.000000,0.000000,0.000000,events/second
1655037528,2900,12.235850,0.000000,0.000000,0.000000,events/second
1655037531,3024,12.598880,0.000000,0.000000,0.000000,events/second
1655037534,3026,12.452151,0.000000,0.000000,0.000000,events/second
1655037537,3028,12.307090,0.000000,0.000000,0.000000,events/second
1655037540,3030,12.167800,0.000000,0.000000,0.000000,events/second
1655037543,3032,12.017366,0.000000,0.000000,0.000000,events/second
1655037546,3034,11.897707,0.000000,0.000000,0.000000,events/second
1655037549,3036,11.765532,0.000000,0.000000,0.000000,events/second
1655037552,3060,11.713954,0.000000,0.000000,0.000000,events/second
1655037555,3062,11.597661,0.000000,0.000000,0.000000,events/second
1655037558,3064,11.475062,0.000000,0.000000,0.000000,events/second
1655037561,3066,11.354700,0.000000,0.000000,0.000000,events/second
1655037564,3068,11.234380,0.000000,0.000000,0.000000,events/second
1655037567,3070,11.122957,0.000000,0.000000,0.000000,events/second
1655037570,3072,11.010310,0.000000,0.000000,0.000000,events/second
1655037573,3096,10.978325,0.000000,0.000000,0.000000,events/second
1655037576,3098,10.869959,0.000000,0.000000,0.000000,events/second
1655037579,3100,10.763760,0.000000,0.000000,0.000000,events/second
1655037582,3102,10.659671,0.000000,0.000000,0.000000,events/second
1655037585,3229,10.982843,0.000000,0.000000,0.000000,events/second
1655037588,3231,10.878546,0.000000,0.000000,0.000000,events/second
1655037591,3355,11.183194,0.000000,0.000000,0.000000,events/second
1655037594,3357,11.078643,0.000000,0.000000,0.000000,events/second
1655037597,3359,10.976263,0.000000,0.000000,0.000000,events/second
1655037600,3361,10.876744,0.000000,0.000000,0.000000,events/second
1655037603,3363,10.778461,0.000000,0.000000,0.000000,events/second
1655037606,3365,10.682010,0.000000,0.000000,0.000000,events/second
1655037609,3367,10.587732,0.000000,0.000000,0.000000,events/second
1655037612,3391,10.563324,0.000000,0.000000,0.000000,events/second
1655037615,3393,10.471873,0.000000,0.000000,0.000000,events/second
1655037618,3395,10.381696,0.000000,0.000000,0.000000,events/second
1655037621,3397,10.292997,0.000000,0.000000,0.000000,events/second
1655037624,3399,10.207026,0.000000,0.000000,0.000000,events/second
1655037627,3401,10.121679,0.000000,0.000000,0.000000,events/second
1655037630,3403,10.038305,0.000000,0.000000,0.000000,events/second
1655037633,3427,10.020370,0.000000,0.000000,0.000000,events/second
1655037636,3429,9.939091,0.000000,0.000000,0.000000,events/second
1655037639,3431,9.859039,0.000000,0.000000,0.000000,events/second
1655037642,3433,9.780463,0.000000,0.000000,0.000000,events/second
1655037645,3560,10.056251,0.000000,0.000000,0.000000,events/second
1655037648,3562,9.976975,0.000000,0.000000,0.000000,events/second
1655037651,3686,10.238572,0.000000,0.000000,0.000000,events/second
1655037654,3688,10.159339,0.000000,0.000000,0.000000,events/second
1655037657,3690,10.081527,0.000000,0.000000,0.000000,events/second
1655037660,3692,10.005125,0.000000,0.000000,0.000000,events/second
1655037663,3694,9.926958,0.000000,0.000000,0.000000,events/second
1655037666,3696,9.855688,0.000000,0.000000,0.000000,events/second
1655037669,3698,9.782949,0.000000,0.000000,0.000000,events/second
1655037672,3722,9.768961,0.000000,0.000000,0.000000,events/second
1655037675,3724,9.697414,0.000000,0.000000,0.000000,events/second
1655037678,3726,9.627497,0.000000,0.000000,0.000000,events/second
1655037681,3728,9.558847,0.000000,0.000000,0.000000,events/second
1655037684,3730,9.490908,0.000000,0.000000,0.000000,events/second
1655037687,3732,9.423995,0.000000,0.000000,0.000000,events/second
1655037690,3734,9.358193,0.000000,0.000000,0.000000,events/second
1655037693,3758,9.348192,0.000000,0.000000,0.000000,events/second
1655037696,3760,9.283767,0.000000,0.000000,0.000000,events/second
1655037699,3762,9.220544,0.000000,0.000000,0.000000,events/second
1655037702,3764,9.158115,0.000000,0.000000,0.000000,events/second
1655037705,3891,9.398254,0.000000,0.000000,0.000000,events/second
1655037708,3893,9.335312,0.000000,0.000000,0.000000,events/second
1655037711,4017,9.563797,0.000000,0.000000,0.000000,events/second
1655037714,4019,9.501084,0.000000,0.000000,0.000000,events/second
1655037717,4021,9.438692,0.000000,0.000000,0.000000,events/second
1655037720,4023,9.376710,0.000000,0.000000,0.000000,events/second
1655037723,4025,9.317056,0.000000,0.000000,0.000000,events/second
1655037726,4027,9.257265,0.000000,0.000000,0.000000,events/second
1655037729,4029,9.198499,0.000000,0.000000,0.000000,events/second
1655037732,4053,9.190429,0.000000,0.000000,0.000000,events/second
1655037735,4055,9.132701,0.000000,0.000000,0.000000,events/second
1655037738,4057,9.076026,0.000000,0.000000,0.000000,events/second
1655037741,4059,9.019745,0.000000,0.000000,0.000000,events/second
1655037744,4061,8.964309,0.000000,0.000000,0.000000,events/second
1655037747,4063,8.909817,0.000000,0.000000,0.000000,events/second
1655037750,4065,8.855954,0.000000,0.000000,0.000000,events/second
1655037753,4089,8.850366,0.000000,0.000000,0.000000,events/second
1655037756,4091,8.797562,0.000000,0.000000,0.000000,events/second
1655037759,4093,8.745524,0.000000,0.000000,0.000000,events/second
1655037762,4095,8.693992,0.000000,0.000000,0.000000,events/second
1655037765,4222,8.906888,0.000000,0.000000,0.000000,events/second
1655037768,4224,8.855229,0.000000,0.000000,0.000000,events/second
1655037771,4348,9.058123,0.000000,0.000000,0.000000,events/second
1655037774,4350,9.005791,0.000000,0.000000,0.000000,events/second
1655037777,4352,8.954271,0.000000,0.000000,0.000000,events/second
1655037780,4354,8.903586,0.000000,0.000000,0.000000,events/second
1655037783,4356,8.853240,0.000000,0.000000,0.000000,events/second
1655037786,4358,8.803813,0.000000,0.000000,0.000000,events/second
1655037789,4360,8.754619,0.000000,0.000000,0.000000,events/second
1655037792,4384,8.750241,0.000000,0.000000,0.000000,events/second
1655037795,4386,8.668624,0.000000,0.000000,0.000000,events/second
1655037798,4388,8.653195,0.000000,0.000000,0.000000,events/second
1655037801,4390,8.606917,0.000000,0.000000,0.000000,events/second
1655037804,4392,8.560721,0.000000,0.000000,0.000000,events/second
1655037807,4394,8.514723,0.000000,0.000000,0.000000,events/second
1655037810,4396,8.469575,0.000000,0.000000,0.000000,events/second
1655037813,4420,8.466430,0.000000,0.000000,0.000000,events/second
1655037816,4422,8.421530,0.000000,0.000000,0.000000,events/second
1655037819,4424,8.378311,0.000000,0.000000,0.000000,events/second
1655037822,4426,8.334860,0.000000,0.000000,0.000000,events/second
1655037825,4553,8.525092,0.000000,0.000000,0.000000,events/second
1655037828,4555,8.482139,0.000000,0.000000,0.000000,events/second
1655037831,4679,8.664015,0.000000,0.000000,0.000000,events/second
1655037834,4681,8.620187,0.000000,0.000000,0.000000,events/second
1655037837,4683,8.576420,0.000000,0.000000,0.000000,events/second
1655037840,4685,8.533292,0.000000,0.000000,0.000000,events/second
1655037843,4687,8.490560,0.000000,0.000000,0.000000,events/second
1655037846,4689,8.443704,0.000000,0.000000,0.000000,events/second
1655037849,4691,8.405169,0.000000,0.000000,0.000000,events/second
1655037852,4715,8.404301,0.000000,0.000000,0.000000,events/second
1655037855,4717,8.363041,0.000000,0.000000,0.000000,events/second
1655037858,4719,8.322411,0.000000,0.000000,0.000000,events/second
1655037861,4721,8.281762,0.000000,0.000000,0.000000,events/second
1655037864,4723,8.242060,0.000000,0.000000,0.000000,events/second
1655037867,4725,8.202738,0.000000,0.000000,0.000000,events/second
1655037870,4727,8.163668,0.000000,0.000000,0.000000,events/second
1655037873,4751,8.162980,0.000000,0.000000,0.000000,events/second
1655037876,4753,8.124572,0.000000,0.000000,0.000000,events/second
1655037879,4755,8.086009,0.000000,0.000000,0.000000,events/second
1655037882,4757,8.048920,0.000000,0.000000,0.000000,events/second
1655037885,4884,8.222075,0.000000,0.000000,0.000000,events/second
1655037888,4886,8.184018,0.000000,0.000000,0.000000,events/second
1655037891,5010,8.349664,0.000000,0.000000,0.000000,events/second
1655037894,5012,8.311560,0.000000,0.000000,0.000000,events/second
1655037897,5014,8.273692,0.000000,0.000000,0.000000,events/second
1655037900,5016,8.236175,0.000000,0.000000,0.000000,events/second
1655037903,5018,8.199084,0.000000,0.000000,0.000000,events/second
1655037906,5020,8.162340,0.000000,0.000000,0.000000,events/second
1655037909,5022,8.126098,0.000000,0.000000,0.000000,events/second
1655037912,5050,8.131765,0.000000,0.000000,0.000000,events/second
1655037915,5052,8.095942,0.000000,0.000000,0.000000,events/second
1655037918,5054,8.060409,0.000000,0.000000,0.000000,events/second
1655037921,5056,8.025212,0.000000,0.000000,0.000000,events/second
1655037924,5058,7.990353,0.000000,0.000000,0.000000,events/second
1655037927,5060,7.955801,0.000000,0.000000,0.000000,events/second
1655037930,5062,7.921635,0.000000,0.000000,0.000000,events/second
1655037933,5086,7.921796,0.000000,0.000000,0.000000,events/second
1655037936,5088,7.888266,0.000000,0.000000,0.000000,events/second
1655037939,5090,7.854604,0.000000,0.000000,0.000000,events/second
1655037942,5092,7.821507,0.000000,0.000000,0.000000,events/second
1655037945,5219,7.979876,0.000000,0.000000,0.000000,events/second
1655037948,5221,7.937571,0.000000,0.000000,0.000000,events/second
1655037951,5345,8.093074,0.000000,0.000000,0.000000,events/second
1655037954,5347,8.064235,0.000000,0.000000,0.000000,events/second
1655037957,5349,8.030766,0.000000,0.000000,0.000000,events/second
1655037960,5351,7.998251,0.000000,0.000000,0.000000,events/second
1655037963,5353,7.964944,0.000000,0.000000,0.000000,events/second
1655037966,5355,7.933143,0.000000,0.000000,0.000000,events/second
1655037969,5357,7.901022,0.000000,0.000000,0.000000,events/second
1655037972,5381,7.901377,0.000000,0.000000,0.000000,events/second
1655037975,5383,7.869164,0.000000,0.000000,0.000000,events/second
1655037978,5385,7.838220,0.000000,0.000000,0.000000,events/second
