t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,1633,462.166349,0.000000,0.000000,0.000000,events/second
1655037297,1691,267.971413,0.000000,0.000000,0.000000,events/second
1655037300,1698,185.087799,0.000000,0.000000,0.000000,events/second
1655037303,1704,141.227015,0.000000,0.000000,0.000000,events/second
1655037306,1706,113.127737,0.000000,0.000000,0.000000,events/second
1655037309,1708,93.848593,0.000000,0.000000,0.000000,events/second
1655037312,1735,74.429239,0.000000,0.000000,0.000000,events/second
1655037315,1737,71.950145,0.000000,0.000000,0.000000,events/second
1655037318,1739,62.262466,0.000000,0.000000,0.000000,events/second
1655037321,1741,57.973373,0.000000,0.000000,0.000000,events/second
1655037324,1743,52.782595,0.000000,0.000000,0.000000,events/second
1655037327,1747,48.477109,0.000000,0.000000,0.000000,events/second
1655037330,1749,44.775374,0.000000,0.000000,0.000000,events/second
1655037333,1771,42.149652,0.000000,0.000000,0.000000,events/second
1655037336,1773,39.382571,0.000000,0.000000,0.000000,events/second
1655037339,1775,36.963538,0.000000,0.000000,0.000000,events/second
1655037342,1777,34.756898,0.000000,0.000000,0.000000,events/second
1655037345,1904,35.245068,0.000000,0.000000,0.000000,events/second
1655037348,1906,33.429012,0.000000,0.000000,0.000000,events/second
1655037351,2030,33.808369,0.000000,0.000000,0.000000,events/second
1655037354,2032,32.247451,0.000000,0.000000,0.000000,events/second
1655037357,2034,30.809864,0.000000,0.000000,0.000000,events/second
1655037360,2036,29.497251,0.000000,0.000000,0.000000,events/second
1655037363,2038,28.296041,0.000000,0.000000,0.000000,events/second
1655037366,2040,27.194012,0.000000,0.000000,0.000000,events/second
1655037369,2042,26.160620,0.000000,0.000000,0.000000,events/second
1655037372,2066,25.482183,0.000000,0.000000,0.000000,events/second
1655037375,2068,24.604395,0.000000,0.000000,0.000000,events/second
1655037378,2070,23.786849,0.000000,0.000000,0.000000,events/second
1655037381,2072,23.006872,0.000000,0.000000,0.000000,events/second
1655037384,2074,22.296580,0.000000,0.000000,0.000000,events/second
1655037387,2076,21.620822,0.000000,0.000000,0.000000,events/second
1655037390,2078,20.986547,0.000000,0.000000,0.000000,events/second
1655037393,2102,20.604672,0.000000,0.000000,0.000000,events/second
1655037396,2104,20.036577,0.000000,0.000000,0.000000,events/second
1655037399,2106,19.498694,0.000000,0.000000,0.000000,events/second
1655037402,2108,18.974876,0.000000,0.000000,0.000000,events/second
1655037405,2235,19.594971,0.000000,0.000000,0.000000,events/second
1655037408,2237,19.113154,0.000000,0.000000,0.000000,events/second
1655037411,2361,19.667093,0.000000,0.000000,0.000000,events/second
1655037414,2363,19.203612,0.000000,0.000000,0.000000,events/second
1655037417,2365,18.757859,0.000000,0.000000,0.000000,events/second
1655037420,2367,18.347225,0.000000,0.000000,0.000000,events/second
1655037423,2369,17.943415,0.000000,0.000000,0.000000,events/second
1655037426,2371,17.562068,0.000000,0.000000,0.000000,events/second
1655037429,2373,17.194393,0.000000,0.000000,0.000000,events/second
1655037432,2397,16.996653,0.000000,0.000000,0.000000,events/second
1655037435,2399,16.657692,0.000000,0.000000,0.000000,events/second
1655037438,2401,16.331797,0.000000,0.000000,0.000000,events/second
1655037441,2403,16.018355,0.000000,0.000000,0.000000,events/second
1655037444,2405,15.718521,0.000000,0.000000,0.000000,events/second
1655037447,2407,15.428461,0.000000,0.000000,0.000000,events/second
1655037450,2409,15.149955,0.000000,0.000000,0.000000,events/second
1655037453,2433,15.017948,0.000000,0.000000,0.000000,events/second
1655037456,2435,14.756533,0.000000,0.000000,0.000000,events/second
1655037459,2437,14.505078,0.000000,0.000000,0.000000,events/second
1655037462,2439,14.262029,0.000000,0.000000,0.000000,events/second
1655037465,2566,14.746223,0.000000,0.000000,0.000000,events/second
1655037468,2568,14.506267,0.000000,0.000000,0.000000,events/second
1655037471,2692,14.950476,0.000000,0.000000,0.000000,events/second
1655037474,2694,14.720637,0.000000,0.000000,0.000000,events/second
1655037477,2696,14.493208,0.000000,0.000000,0.000000,events/second
1655037480,2698,14.274884,0.000000,0.000000,0.000000,events/second
1655037483,2700,14.061696,0.000000,0.000000,0.000000,events/second
1655037486,2702,13.856201,0.000000,0.000000,0.000000,events/second
1655037489,2704,13.656111,0.000000,0.000000,0.000000,events/second
1655037492,2728,13.570776,0.000000,0.000000,0.000000,events/second
1655037495,2730,13.380317,0.000000,0.000000,0.000000,events/second
1655037498,2732,13.181311,0.000000,0.000000,0.000000,events/second
1655037501,2734,13.017960,0.000000,0.000000,0.000000,events/second
1655037504,2736,12.843833,0.000000,0.000000,0.000000,events/second
1655037507,2738,12.673648,0.000000,0.000000,0.000000,events/second
1655037510,2740,12.510972,0.000000,0.000000,0.000000,events/second
1655037513,2764,12.449987,0.000000,0.000000,0.000000,events/second
1655037516,2766,12.291450,0.000000,0.000000,0.000000,events/second
1655037519,2768,12.140201,0.000000,0.000000,0.000000,events/second
1655037522,2770,11.990962,0.000000,0.000000,0.000000,events/second
1655037525,2897,12.353200,0.000000,0.000000,0.000000,events/second
1655037528,2899,12.231619,0.000000,0.000000,0.000000,events/second
1655037531,3023,12.594710,0.000000,0.000000,0.000000,events/second
1655037534,3025,12.448037,0.000000,0.000000,0.000000,events/second
1655037537,3027,12.303028,0.000000,0.000000,0.000000,events/second
1655037540,3029,12.163784,0.000000,0.000000,0.000000,events/second
1655037543,3031,12.013401,0.000000,0.000000,0.000000,events/second
1655037546,3033,11.893787,0.000000,0.000000,0.000000,events/second
1655037549,3035,11.761637,0.000000,0.000000,0.000000,events/second
1655037552,3059,11.710120,0.000000,0.000000,0.000000,events/second
1655037555,3061,11.593875,0.000000,0.000000,0.000000,events/second
1655037558,3063,11.471319,0.000000,0.000000,0.000000,events/second
1655037561,3065,11.350992,0.000000,0.000000,0.000000,events/second
1655037564,3067,11.230717,0.000000,0.000000,0.000000,events/second
1655037567,3069,11.119333,0.000000,0.000000,0.000000,events/second
1655037570,3071,11.006726,0.000000,0.000000,0.000000,events/second
1655037573,3095,10.974779,0.000000,0.000000,0.000000,events/second
1655037576,3097,10.866447,0.000000,0.000000,0.000000,events/second
1655037579,3099,10.760286,0.000000,0.000000,0.000000,events/second
1655037582,3101,10.656233,0.000000,0.000000,0.000000,events/second
1655037585,3228,10.979443,0.000000,0.000000,0.000000,events/second
1655037588,3230,10.875181,0.000000,0.000000,0.000000,events/second
1655037591,3354,11.179860,0.000000,0.000000,0.000000,events/second
1655037594,3356,11.075345,0.000000,0.000000,0.000000,events/second
1655037597,3358,10.972997,0.000000,0.000000,0.000000,events/second
1655037600,3360,10.873508,0.000000,0.000000,0.000000,events/second
1655037603,3362,10.775258,0.000000,0.000000,0.000000,events/second
1655037606,3364,10.678836,0.000000,0.000000,0.000000,events/second
1655037609,3366,10.584589,0.000000,0.000000,0.000000,events/second
1655037612,3390,10.560209,0.000000,0.000000,0.000000,events/second
1655037615,3392,10.468789,0.000000,0.000000,0.000000,events/second
1655037618,3394,10.378639,0.000000,0.000000,0.000000,events/second
1655037621,3396,10.289964,0.000000,0.000000,0.000000,events/second
1655037624,3398,10.204024,0.000000,0.000000,0.000000,events/second
1655037627,3400,10.118701,0.000000,0.000000,0.000000,events/second
