t,value
1655037294,8
1655037297,8
1655037300,8
1655037303,8
1655037306,8
1655037309,8
1655037312,8
1655037315,8
1655037318,8
1655037321,8
1655037324,8
1655037327,8
1655037330,8
1655037333,8
1655037336,8
1655037339,8
1655037342,8
1655037345,8
1655037348,8
1655037351,8
1655037354,8
1655037357,8
1655037360,8
1655037363,8
1655037366,8
1655037369,8
1655037372,8
1655037375,8
1655037378,8
1655037381,8
1655037384,8
1655037387,8
1655037390,8
1655037393,8
1655037396,8
1655037399,8
1655037402,8
1655037405,8
1655037408,8
1655037411,8
1655037414,8
1655037417,8
1655037420,8
1655037423,8
1655037426,8
1655037429,8
1655037432,8
1655037435,8
1655037438,8
1655037441,8
1655037444,8
1655037447,8
1655037450,8
1655037453,8
1655037456,8
1655037459,8
1655037462,8
1655037465,8
1655037468,8
1655037471,8
1655037474,8
1655037477,8
1655037480,8
1655037483,8
1655037486,8
1655037489,8
1655037492,8
1655037495,8
1655037498,8
1655037501,8
1655037504,8
1655037507,8
1655037510,8
1655037513,8
1655037516,8
1655037519,8
1655037522,8
1655037525,8
1655037528,8
1655037531,8
1655037534,8
1655037537,8
1655037540,8
1655037543,8
1655037546,8
1655037549,8
1655037552,8
1655037555,8
1655037558,8
1655037561,8
1655037564,8
1655037567,8
1655037570,8
1655037573,8
1655037576,8
1655037579,8
1655037582,8
1655037585,8
1655037588,8
1655037591,8
1655037594,8
1655037597,8
1655037600,8
1655037603,8
1655037606,8
1655037609,8
1655037612,8
1655037615,8
1655037618,8
1655037621,8
1655037624,8
1655037627,8
1655037630,8
1655037633,8
1655037636,8
1655037639,8
1655037642,8
1655037645,8
1655037648,8
1655037651,8
1655037654,8
1655037657,8
1655037660,8
1655037663,8
1655037666,8
1655037669,8
1655037672,8
1655037675,8
1655037678,8
1655037681,8
1655037684,8
1655037687,8
1655037690,8
1655037693,8
1655037696,8
1655037699,8
1655037702,8
1655037705,8
1655037708,8
1655037711,8
1655037714,8
1655037717,8
1655037720,8
1655037723,8
1655037726,8
1655037729,8
1655037732,8
1655037735,8
1655037738,8
1655037741,8
1655037744,8
1655037747,8
1655037750,8
1655037753,8
1655037756,8
1655037759,8
1655037762,8
1655037765,8
1655037768,8
1655037771,8
1655037774,8
1655037777,8
1655037780,8
1655037783,8
1655037786,8
1655037789,8
1655037792,8
1655037795,8
1655037798,8
1655037801,8
1655037804,8
1655037807,8
1655037810,8
1655037813,8
1655037816,8
1655037819,8
1655037822,8
1655037825,8
1655037828,8
1655037831,8
1655037834,8
1655037837,8
1655037840,8
1655037843,8
1655037846,8
1655037849,8
1655037852,8
1655037855,8
1655037858,8
1655037861,8
1655037864,8
1655037867,8
1655037870,8
1655037873,8
1655037876,8
1655037879,8
1655037882,8
1655037885,8
1655037888,8
1655037891,8
1655037894,8
1655037897,8
1655037900,8
1655037903,8
1655037906,8
1655037909,8
1655037912,8
1655037915,8
1655037918,8
1655037921,8
1655037924,8
1655037927,8
1655037930,8
1655037933,8
1655037936,8
1655037939,8
1655037942,8
1655037945,8
1655037948,8
1655037951,8
1655037954,8
1655037957,8
1655037960,8
1655037963,8
1655037966,8
1655037969,8
1655037972,8
1655037975,8
1655037978,8
1655037981,8
1655037984,8
1655037987,8
1655037990,8
1655037993,8
1655037996,8
1655037999,8
1655038002,8
1655038005,8
1655038008,8
1655038011,8
1655038014,8
1655038017,8
1655038020,8
1655038023,8
1655038026,8
1655038029,8
1655038032,8
1655038035,8
1655038038,8
1655038041,8
1655038044,8
1655038047,8
1655038050,8
1655038053,8
1655038056,8
1655038059,8
1655038062,8
1655038065,8
1655038068,8
1655038071,8
1655038074,8
1655038077,8
1655038080,8
1655038083,8
1655038086,8
1655038089,8
1655038092,8
1655038095,8
1655038098,8
1655038101,8
1655038104,8
1655038107,8
1655038110,8
1655038113,8
1655038116,8
1655038119,8
1655038122,8
1655038125,8
1655038128,8
1655038131,8
1655038134,8
1655038137,8
1655038140,8
1655038143,8
1655038146,8
1655038149,8
1655038152,8
1655038155,8
1655038158,8
1655038161,8
1655038164,8
1655038167,8
1655038170,8
1655038173,8
1655038176,8
1655038179,8
1655038182,8
1655038185,8
1655038188,8
1655038191,8
1655038194,8
1655038197,8
1655038200,8
1655038203,8
1655038206,8
1655038209,8
1655038212,8
1655038215,8
1655038218,8
1655038221,8
1655038224,8
1655038227,8
1655038230,8
1655038233,8
1655038236,8
1655038239,8
1655038242,8
1655038245,8
1655038248,8
1655038251,8
1655038254,8
1655038257,8
1655038260,8
1655038263,8
1655038266,8
1655038269,8
1655038272,8
1655038275,8
1655038278,8
1655038281,8
1655038284,8
1655038287,8
1655038290,8
1655038293,8
1655038296,8
1655038299,8
1655038302,8
1655038305,8
1655038308,8
1655038311,8
1655038314,8
1655038317,8
1655038320,8
1655038323,8
1655038326,8
1655038329,8
1655038332,8
1655038335,8
1655038338,8
1655038341,8
1655038344,8
1655038347,8
1655038350,8
1655038353,8
1655038356,8
1655038359,8
1655038362,8
1655038365,8
1655038368,8
1655038371,8
1655038374,8
1655038377,8
1655038380,8
1655038383,8
1655038386,8
1655038389,8
1655038392,8
