t,value
1655037294,4
1655037297,4
1655037300,4
1655037303,4
1655037306,4
1655037309,4
1655037312,4
1655037315,4
1655037318,4
1655037321,4
1655037324,4
1655037327,4
1655037330,4
1655037333,4
1655037336,4
1655037339,4
1655037342,4
1655037345,4
1655037348,4
1655037351,4
1655037354,5
1655037357,5
1655037360,5
1655037363,5
1655037366,5
1655037369,5
1655037372,5
1655037375,5
1655037378,5
1655037381,5
1655037384,5
1655037387,5
1655037390,5
1655037393,5
1655037396,5
1655037399,5
1655037402,5
1655037405,5
1655037408,5
1655037411,5
1655037414,5
1655037417,5
1655037420,5
1655037423,5
1655037426,5
1655037429,5
1655037432,5
1655037435,5
1655037438,5
1655037441,5
1655037444,5
1655037447,5
1655037450,5
1655037453,5
1655037456,5
1655037459,5
1655037462,5
1655037465,5
1655037468,5
1655037471,5
1655037474,5
1655037477,5
1655037480,5
1655037483,5
1655037486,5
1655037489,5
1655037492,5
1655037495,5
1655037498,5
1655037501,5
1655037504,5
1655037507,5
1655037510,5
1655037513,5
1655037516,5
1655037519,5
1655037522,5
1655037525,5
1655037528,5
1655037531,5
1655037534,5
1655037537,5
1655037540,5
1655037543,5
1655037546,5
1655037549,5
1655037552,5
1655037555,5
1655037558,5
1655037561,5
1655037564,5
1655037567,5
1655037570,5
1655037573,5
1655037576,5
1655037579,5
1655037582,5
1655037585,5
1655037588,5
1655037591,5
1655037594,5
1655037597,5
1655037600,5
1655037603,5
1655037606,5
1655037609,5
1655037612,5
1655037615,5
1655037618,5
1655037621,5
1655037624,5
1655037627,5
1655037630,5
1655037633,5
1655037636,5
1655037639,5
1655037642,5
1655037645,5
1655037648,5
1655037651,5
1655037654,5
1655037657,5
1655037660,5
1655037663,5
1655037666,5
1655037669,5
1655037672,5
1655037675,5
1655037678,5
1655037681,5
1655037684,5
1655037687,5
1655037690,5
1655037693,5
1655037696,5
1655037699,5
1655037702,5
1655037705,5
1655037708,5
1655037711,5
1655037714,5
1655037717,5
1655037720,5
1655037723,5
1655037726,5
1655037729,5
1655037732,5
1655037735,5
1655037738,5
1655037741,5
1655037744,5
1655037747,5
1655037750,5
1655037753,5
1655037756,5
1655037759,5
1655037762,5
1655037765,5
1655037768,5
1655037771,5
1655037774,5
1655037777,5
1655037780,5
1655037783,5
1655037786,5
1655037789,5
1655037792,5
1655037795,5
1655037798,5
1655037801,5
1655037804,5
1655037807,5
1655037810,5
1655037813,5
1655037816,5
1655037819,5
1655037822,5
1655037825,5
1655037828,5
1655037831,5
1655037834,5
1655037837,5
1655037840,5
1655037843,5
1655037846,5
1655037849,5
1655037852,5
1655037855,5
1655037858,5
1655037861,5
1655037864,5
1655037867,5
1655037870,5
1655037873,5
1655037876,5
1655037879,5
1655037882,5
1655037885,5
1655037888,5
1655037891,5
1655037894,5
1655037897,5
1655037900,5
1655037903,5
1655037906,5
1655037909,5
1655037912,5
1655037915,5
1655037918,5
1655037921,5
1655037924,5
1655037927,5
1655037930,5
1655037933,5
1655037936,5
1655037939,5
1655037942,5
1655037945,5
1655037948,5
1655037951,5
1655037954,5
1655037957,5
1655037960,5
1655037963,5
1655037966,5
1655037969,5
1655037972,5
1655037975,5
1655037978,5
1655037981,5
1655037984,5
1655037987,5
1655037990,5
1655037993,5
1655037996,5
1655037999,5
1655038002,5
1655038005,5
1655038008,5
1655038011,5
1655038014,5
1655038017,5
1655038020,5
1655038023,5
1655038026,5
1655038029,5
1655038032,5
1655038035,5
1655038038,5
1655038041,5
1655038044,5
1655038047,5
1655038050,5
1655038053,5
1655038056,5
1655038059,5
1655038062,5
1655038065,5
1655038068,5
1655038071,5
1655038074,5
1655038077,5
1655038080,5
1655038083,5
1655038086,5
1655038089,5
1655038092,5
1655038095,5
1655038098,5
1655038101,5
1655038104,5
1655038107,5
1655038110,5
1655038113,5
1655038116,5
1655038119,5
1655038122,5
1655038125,5
1655038128,5
1655038131,5
1655038134,5
1655038137,5
1655038140,5
1655038143,5
1655038146,5
1655038149,5
1655038152,5
1655038155,5
1655038158,5
1655038161,5
1655038164,5
1655038167,5
1655038170,5
1655038173,5
1655038176,5
1655038179,5
1655038182,5
1655038185,5
1655038188,5
1655038191,5
1655038194,5
1655038197,5
1655038200,5
1655038203,5
1655038206,5
1655038209,5
1655038212,5
1655038215,5
1655038218,5
1655038221,5
1655038224,5
1655038227,5
1655038230,5
1655038233,5
1655038236,5
1655038239,5
1655038242,5
1655038245,5
1655038248,5
1655038251,5
1655038254,5
1655038257,5
1655038260,5
1655038263,5
1655038266,5
1655038269,5
1655038272,5
1655038275,5
1655038278,5
1655038281,5
1655038284,5
1655038287,5
1655038290,5
1655038293,5
1655038296,5
1655038299,5
1655038302,5
1655038305,5
1655038308,5
1655038311,5
1655038314,5
1655038317,5
1655038320,5
1655038323,5
1655038326,5
1655038329,5
1655038332,5
1655038335,5
1655038338,5
1655038341,5
1655038344,5
1655038347,5
1655038350,5
1655038353,5
1655038356,5
1655038359,5
1655038362,5
