t,value
1655037294,32
1655037297,32
1655037300,32
1655037303,32
1655037306,32
1655037309,32
1655037312,32
1655037315,32
1655037318,32
1655037321,32
1655037324,32
1655037327,32
1655037330,32
1655037333,32
1655037336,32
1655037339,32
1655037342,32
1655037345,32
1655037348,32
1655037351,32
1655037354,32
1655037357,32
1655037360,32
1655037363,32
1655037366,32
1655037369,32
1655037372,32
1655037375,32
1655037378,32
1655037381,32
1655037384,32
1655037387,32
1655037390,32
1655037393,32
1655037396,32
1655037399,32
1655037402,32
1655037405,32
1655037408,32
1655037411,32
1655037414,32
1655037417,32
1655037420,32
1655037423,32
1655037426,32
1655037429,32
1655037432,32
1655037435,32
1655037438,32
1655037441,32
1655037444,32
1655037447,32
1655037450,32
1655037453,32
1655037456,32
1655037459,32
1655037462,32
1655037465,32
1655037468,32
1655037471,32
1655037474,32
1655037477,32
1655037480,32
1655037483,32
1655037486,32
1655037489,32
1655037492,32
1655037495,32
1655037498,32
1655037501,32
1655037504,32
1655037507,32
1655037510,32
1655037513,32
1655037516,32
1655037519,32
1655037522,32
1655037525,32
1655037528,32
1655037531,32
1655037534,32
1655037537,32
1655037540,32
1655037543,32
1655037546,32
1655037549,32
1655037552,32
1655037555,32
1655037558,32
1655037561,32
1655037564,32
1655037567,32
1655037570,32
1655037573,32
1655037576,32
1655037579,32
1655037582,32
1655037585,32
1655037588,32
1655037591,32
1655037594,32
1655037597,32
1655037600,32
1655037603,32
1655037606,32
1655037609,32
1655037612,32
1655037615,32
1655037618,32
1655037621,32
1655037624,32
1655037627,32
1655037630,32
1655037633,32
1655037636,32
1655037639,32
1655037642,32
1655037645,32
1655037648,32
1655037651,32
1655037654,32
1655037657,32
1655037660,32
1655037663,32
1655037666,32
1655037669,32
1655037672,32
1655037675,32
1655037678,32
1655037681,32
1655037684,32
1655037687,32
1655037690,32
1655037693,32
1655037696,32
1655037699,32
1655037702,32
1655037705,32
1655037708,32
1655037711,32
1655037714,32
1655037717,32
1655037720,32
1655037723,32
1655037726,32
1655037729,32
1655037732,32
1655037735,32
1655037738,32
1655037741,32
1655037744,32
1655037747,32
1655037750,32
1655037753,32
1655037756,32
1655037759,32
1655037762,32
1655037765,32
1655037768,32
1655037771,32
1655037774,32
1655037777,32
1655037780,32
1655037783,32
1655037786,32
1655037789,32
1655037792,32
1655037795,32
1655037798,32
1655037801,32
1655037804,32
1655037807,32
1655037810,32
1655037813,32
1655037816,32
1655037819,32
1655037822,32
1655037825,32
1655037828,32
1655037831,32
1655037834,32
1655037837,32
1655037840,32
1655037843,32
1655037846,32
1655037849,32
1655037852,32
1655037855,32
1655037858,32
1655037861,32
1655037864,32
1655037867,32
1655037870,32
1655037873,32
1655037876,32
1655037879,32
1655037882,32
1655037885,32
1655037888,32
1655037891,32
1655037894,32
1655037897,32
1655037900,32
1655037903,32
1655037906,32
1655037909,32
1655037912,32
1655037915,32
1655037918,32
1655037921,32
1655037924,32
1655037927,32
1655037930,32
1655037933,32
1655037936,32
1655037939,32
1655037942,32
1655037945,32
1655037948,32
1655037951,32
1655037954,32
1655037957,32
1655037960,32
1655037963,32
1655037966,32
1655037969,32
1655037972,32
1655037975,32
1655037978,32
1655037981,32
1655037984,32
1655037987,32
1655037990,32
1655037993,32
1655037996,32
1655037999,32
1655038002,32
1655038005,32
1655038008,32
1655038011,32
1655038014,32
1655038017,32
1655038020,32
1655038023,32
1655038026,32
1655038029,32
1655038032,32
1655038035,32
1655038038,32
1655038041,32
1655038044,32
1655038047,32
1655038050,32
1655038053,32
1655038056,32
1655038059,32
1655038062,32
1655038065,32
1655038068,32
1655038071,32
1655038074,32
1655038077,32
1655038080,32
1655038083,32
1655038086,32
1655038089,32
1655038092,32
1655038095,32
1655038098,32
1655038101,32
1655038104,32
1655038107,32
1655038110,32
1655038113,32
1655038116,32
1655038119,32
1655038122,32
1655038125,32
1655038128,32
1655038131,32
1655038134,32
1655038137,32
1655038140,32
1655038143,32
1655038146,32
1655038149,32
1655038152,32
1655038155,32
1655038158,32
1655038161,32
1655038164,32
1655038167,32
1655038170,32
1655038173,32
1655038176,32
1655038179,32
1655038182,32
1655038185,32
1655038188,32
1655038191,32
1655038194,32
1655038197,32
1655038200,32
1655038203,32
1655038206,32
1655038209,32
1655038212,32
1655038215,32
1655038218,32
1655038221,32
1655038224,32
1655038227,32
1655038230,32
1655038233,32
1655038236,32
1655038239,32
1655038242,32
1655038245,32
1655038248,32
1655038251,32
1655038254,32
1655038257,32
1655038260,32
1655038263,32
1655038266,32
1655038269,32
1655038272,32
1655038275,32
1655038278,32
1655038281,32
1655038284,32
1655038287,32
1655038290,32
1655038293,32
1655038296,32
1655038299,32
1655038302,32
1655038305,32
1655038308,32
1655038311,32
1655038314,32
1655038317,32
1655038320,32
1655038323,32
1655038326,32
1655038329,32
1655038332,32
1655038335,32
1655038338,32
1655038341,32
1655038344,32
1655038347,32
1655038350,32
1655038353,32
1655038356,32
1655038359,32
1655038362,32
1655038365,32
1655038368,32
1655038371,32
1655038374,32
1655038377,32
1655038380,32
1655038383,32
1655038386,32
1655038389,32
1655038392,32
1655038395,32
1655038398,32
1655038401,32
1655038404,32
1655038407,32
1655038410,32
1655038413,32
1655038416,32
1655038419,32
1655038422,32
1655038425,32
1655038428,32
1655038431,32
1655038434,32
1655038437,32
1655038440,32
1655038443,32
1655038446,32
1655038449,32
1655038452,32
1655038455,32
1655038458,32
1655038461,32
1655038464,32
1655038467,32
1655038470,32
1655038473,32
1655038476,32
1655038479,32
1655038482,32
1655038485,32
1655038488,32
1655038491,32
1655038494,32
1655038497,32
1655038500,32
1655038503,32
1655038506,32
1655038509,32
1655038512,32
1655038515,32
1655038518,32
1655038521,32
1655038524,32
1655038527,32
1655038530,32
1655038533,32
1655038536,32
1655038539,32
1655038542,32
1655038545,32
1655038548,32
1655038551,32
1655038554,32
1655038557,32
1655038560,32
1655038563,32
1655038566,32
1655038569,32
1655038572,32
1655038575,32
1655038578,32
1655038581,32
1655038584,32
1655038587,32
1655038590,32
1655038593,32
1655038596,32
1655038599,32
1655038602,32
1655038605,32
1655038608,32
1655038611,32
1655038614,32
1655038617,32
1655038620,32
1655038623,32
1655038626,32
1655038629,32
1655038632,32
1655038635,32
1655038638,32
1655038641,32
1655038644,32
1655038647,32
1655038650,32
1655038653,32
1655038656,32
1655038659,32
1655038662,32
1655038665,32
1655038668,32
1655038671,32
1655038674,32
1655038677,32
1655038680,32
1655038683,32
1655038686,32
1655038689,32
1655038692,32
1655038695,32
1655038698,32
1655038701,32
1655038704,32
1655038707,32
1655038710,32
1655038713,32
1655038716,32
1655038719,32
1655038722,32
1655038725,32
1655038728,32
1655038731,32
1655038734,32
1655038737,32
1655038740,32
1655038743,32
1655038746,32
1655038749,32
1655038752,32
1655038755,32
1655038758,32
1655038761,32
1655038764,32
1655038767,32
1655038770,32
1655038773,32
1655038776,32
1655038779,32
1655038782,32
1655038785,32
1655038788,32
1655038791,32
1655038794,32
1655038797,32
1655038800,32
1655038803,32
1655038806,32
1655038809,32
1655038812,32
1655038815,32
1655038818,32
1655038821,32
1655038824,32
1655038827,32
1655038830,32
1655038833,32
1655038836,32
1655038839,32
1655038842,32
1655038845,32
1655038848,32
1655038851,32
1655038854,32
1655038857,32
1655038860,32
1655038863,32
1655038866,32
1655038869,32
1655038872,32
1655038875,32
1655038878,32
1655038881,32
1655038884,32
1655038887,32
1655038890,32
1655038893,32
1655038896,32
1655038899,32
1655038902,32
1655038905,32
1655038908,32
1655038911,32
1655038914,32
1655038917,32
1655038920,32
1655038923,32
1655038926,32
1655038929,32
1655038932,32
1655038935,32
1655038938,32
1655038941,32
1655038944,32
1655038947,32
1655038950,32
1655038953,32
1655038956,32
1655038959,32
1655038962,32
1655038965,32
1655038968,32
1655038971,32
1655038974,32
1655038977,32
1655038980,32
1655038983,32
1655038986,32
1655038989,32
1655038992,32
1655038995,32
1655038998,32
1655039001,32
1655039004,32
1655039007,32
1655039010,32
1655039013,32
1655039016,32
1655039019,32
1655039022,32
1655039025,32
1655039028,32
1655039031,32
1655039034,32
1655039037,32
1655039040,32
1655039043,32
1655039046,32
1655039049,32
1655039052,32
1655039055,32
1655039058,32
1655039061,32
1655039064,32
1655039067,32
1655039070,32
1655039073,32
1655039076,32
1655039079,32
1655039082,32
1655039085,32
1655039088,32
1655039091,32
1655039094,32
1655039097,32
1655039100,32
1655039103,32
1655039106,32
1655039109,32
1655039112,32
1655039115,32
1655039118,32
1655039121,32
1655039124,32
1655039127,32
1655039130,32
1655039133,32
1655039136,32
1655039139,32
1655039142,32
1655039145,32
1655039148,32
1655039151,32
1655039154,32
1655039157,32
1655039160,32
1655039163,32
1655039166,32
1655039169,32
1655039172,32
1655039175,32
1655039178,32
1655039181,32
1655039184,32
1655039187,32
1655039190,32
1655039193,32
1655039196,32
1655039199,32
1655039202,32
1655039205,32
1655039208,32
1655039211,32
1655039214,32
1655039217,32
1655039220,32
1655039223,32
1655039226,32
1655039229,32
1655039232,32
1655039235,32
1655039238,32
1655039241,32
1655039244,32
1655039247,32
1655039250,32
1655039253,32
1655039256,32
1655039259,32
1655039262,32
1655039265,32
1655039268,32
1655039271,32
1655039274,32
1655039277,32
1655039280,32
1655039283,32
1655039286,32
1655039289,32
1655039292,32
1655039295,32
1655039298,32
1655039301,32
1655039304,32
1655039307,32
1655039310,32
1655039313,32
1655039316,32
1655039319,32
1655039322,32
1655039325,32
1655039328,32
1655039331,32
1655039334,32
1655039337,32
1655039340,32
1655039343,32
1655039346,32
1655039349,32
1655039352,32
1655039355,32
1655039358,32
1655039361,32
1655039364,32
1655039367,32
1655039370,32
1655039373,32
1655039376,32
1655039379,32
1655039382,32
1655039385,32
1655039388,32
1655039391,32
1655039394,32
1655039397,32
1655039400,32
1655039403,32
1655039406,32
1655039409,32
1655039412,32
1655039415,32
1655039418,32
1655039421,32
1655039424,32
1655039427,32
1655039430,32
1655039433,32
1655039436,32
1655039439,32
1655039442,32
1655039445,32
1655039448,32
1655039451,32
1655039454,32
1655039457,32
1655039460,32
1655039463,32
1655039466,32
1655039469,32
1655039472,32
1655039475,32
1655039478,32
1655039481,32
1655039484,32
1655039487,32
1655039490,32
1655039493,32
1655039496,32
1655039499,32
1655039502,32
1655039505,32
1655039508,32
1655039511,32
1655039514,32
1655039517,32
1655039520,32
1655039523,32
1655039526,32
1655039529,32
1655039532,32
1655039535,32
1655039538,32
1655039541,32
1655039544,32
1655039547,32
1655039550,32
1655039553,32
1655039556,32
1655039559,32
1655039562,32
1655039565,32
1655039568,32
1655039571,32
1655039574,32
1655039577,32
1655039580,32
1655039583,32
1655039586,32
1655039589,32
1655039592,32
1655039595,32
1655039598,32
1655039601,32
1655039604,32
1655039607,32
1655039610,32
1655039613,32
1655039616,32
1655039619,32
1655039622,32
1655039625,32
1655039628,32
1655039631,32
1655039634,32
1655039637,32
1655039640,32
1655039643,32
1655039646,32
1655039649,32
1655039652,32
1655039655,32
1655039658,32
1655039661,32
1655039664,32
1655039667,32
1655039670,32
1655039673,32
1655039676,32
1655039679,32
1655039682,32
1655039685,32
1655039688,32
1655039691,32
1655039694,32
1655039697,32
1655039700,32
1655039703,32
1655039706,32
1655039709,32
1655039712,32
1655039715,32
1655039718,32
1655039721,32
1655039724,32
1655039727,32
1655039730,32
1655039733,32
1655039736,32
1655039739,32
1655039742,32
1655039745,32
1655039748,32
1655039751,32
1655039754,32
1655039757,32
1655039760,32
1655039763,32
1655039766,32
1655039769,32
1655039772,32
1655039775,32
1655039778,32
1655039781,32
1655039784,32
1655039787,32
1655039790,32
1655039793,32
1655039796,32
1655039799,32
1655039802,32
1655039805,32
1655039808,32
1655039811,32
1655039814,32
1655039817,32
1655039820,32
1655039823,32
1655039826,32
1655039829,32
1655039832,32
1655039835,32
1655039838,32
1655039841,32
1655039844,32
1655039847,32
1655039850,32
1655039853,32
1655039856,32
1655039859,32
1655039862,32
1655039865,32
1655039868,32
1655039871,32
1655039874,32
1655039877,32
1655039880,32
1655039883,32
1655039886,32
1655039889,32
1655039892,32
1655039895,32
1655039898,32
1655039901,32
1655039904,32
1655039907,32
1655039910,32
1655039913,32
1655039916,32
1655039919,32
1655039922,32
1655039925,32
1655039928,32
1655039931,32
1655039934,32
1655039937,32
1655039940,32
1655039943,32
1655039946,32
1655039949,32
1655039952,32
1655039955,32
1655039958,32
1655039961,32
1655039964,32
1655039967,32
1655039970,32
1655039973,32
1655039976,32
1655039979,32
1655039982,32
1655039985,32
1655039988,32
1655039991,32
1655039994,32
1655039997,32
1655040000,32
1655040003,32
1655040006,32
1655040009,32
1655040012,32
1655040015,32
1655040018,32
1655040021,32
1655040024,32
1655040027,32
1655040030,32
1655040033,32
1655040036,32
1655040039,32
1655040042,32
1655040045,32
1655040048,32
1655040051,32
1655040054,32
1655040057,32
1655040060,32
1655040063,32
1655040066,32
1655040069,32
1655040072,32
1655040075,32
1655040078,32
1655040081,32
1655040084,32
1655040087,32
1655040090,32
1655040093,32
1655040096,32
1655040099,32
1655040102,32
1655040105,32
1655040108,32
1655040111,32
1655040114,32
1655040117,32
1655040120,32
1655040123,32
1655040126,32
1655040129,32
1655040132,32
1655040135,32
1655040138,32
1655040141,32
1655040144,32
1655040147,32
1655040150,32
1655040153,32
1655040156,32
1655040159,32
1655040162,32
1655040165,32
1655040168,32
1655040171,32
1655040174,32
1655040177,32
1655040180,32
1655040183,32
1655040186,32
1655040189,32
1655040192,32
1655040195,32
1655040198,32
1655040201,32
1655040204,32
1655040207,32
1655040210,32
1655040213,32
1655040216,32
1655040219,32
1655040222,32
1655040225,32
1655040228,32
1655040231,32
1655040234,32
1655040237,32
1655040240,32
1655040243,32
1655040246,32
1655040249,32
1655040252,32
1655040255,32
1655040258,32
1655040261,32
1655040264,32
1655040267,32
1655040270,32
1655040273,32
1655040276,32
1655040279,32
1655040282,32
1655040285,32
1655040288,32
1655040291,32
1655040294,32
1655040297,32
1655040300,32
1655040303,32
1655040306,32
1655040309,32
1655040312,32
1655040315,32
1655040318,32
1655040321,32
1655040324,32
1655040327,32
1655040330,32
1655040333,32
1655040336,32
1655040339,32
1655040342,32
1655040345,32
1655040348,32
1655040351,32
1655040354,32
1655040357,32
1655040360,32
1655040363,32
1655040366,32
1655040369,32
1655040372,32
1655040375,32
1655040378,32
1655040381,32
1655040384,32
1655040387,32
1655040390,32
1655040393,32
1655040396,32
1655040399,32
1655040402,32
1655040405,32
1655040408,32
1655040411,32
1655040414,32
1655040417,32
1655040420,32
1655040423,32
1655040426,32
1655040429,32
1655040432,32
1655040435,32
1655040438,32
1655040441,32
1655040444,32
1655040447,32
1655040450,32
1655040453,32
1655040456,32
1655040459,32
1655040462,32
1655040465,32
1655040468,32
1655040471,32
1655040474,32
1655040477,32
1655040480,32
1655040483,32
1655040486,32
1655040489,32
1655040492,32
1655040495,32
1655040498,32
1655040501,32
1655040504,32
1655040507,32
1655040510,32
1655040513,32
1655040516,32
1655040519,32
1655040522,32
1655040525,32
1655040528,32
1655040531,32
1655040534,32
1655040537,32
1655040540,32
1655040543,32
1655040546,32
1655040549,32
1655040552,32
1655040555,32
1655040558,32
1655040561,32
1655040564,32
1655040567,32
1655040570,32
1655040573,32
1655040576,32
1655040579,32
1655040582,32
1655040585,32
1655040588,32
1655040591,32
1655040594,32
1655040597,32
1655040600,32
1655040603,32
1655040606,32
1655040609,32
1655040612,32
1655040615,32
1655040618,32
1655040621,32
1655040624,32
1655040627,32
1655040630,32
1655040633,32
1655040636,32
1655040639,32
1655040642,32
1655040645,32
1655040648,32
1655040651,32
1655040654,32
1655040657,32
1655040660,32
1655040663,32
1655040666,32
1655040669,32
1655040672,32
1655040675,32
1655040678,32
1655040681,32
1655040684,32
1655040687,32
1655040690,32
1655040693,32
1655040696,32
1655040699,32
1655040702,32
1655040705,32
1655040708,32
1655040711,32
1655040714,32
1655040717,32
1655040720,32
1655040723,32
1655040726,32
1655040729,32
1655040732,32
1655040735,32
1655040738,32
1655040741,32
1655040744,32
1655040747,32
1655040750,32
1655040753,32
1655040756,32
1655040759,32
1655040762,32
1655040765,32
1655040768,32
1655040771,32
1655040774,32
1655040777,32
1655040780,32
1655040783,32
1655040786,32
1655040789,32
1655040792,32
1655040795,32
1655040798,32
1655040801,32
1655040804,32
1655040807,32
1655040810,32
1655040813,32
1655040816,32
1655040819,32
1655040822,32
1655040825,32
1655040828,32
1655040831,32
1655040834,32
1655040837,32
1655040840,32
1655040843,32
1655040846,32
1655040849,32
1655040852,32
1655040855,32
1655040858,32
1655040861,32
1655040864,32
1655040867,32
1655040870,32
1655040873,32
1655040876,32
1655040879,32
1655040882,32
1655040885,32
1655040888,32
1655040891,32
1655040894,32
1655040897,32
1655040900,32
1655040903,32
1655040906,32
1655040909,32
1655040912,32
1655040915,32
1655040918,32
1655040921,32
1655040924,32
1655040927,32
1655040930,32
1655040933,32
1655040936,32
1655040939,32
1655040942,32
1655040945,32
1655040948,32
1655040951,32
1655040954,32
1655040957,32
1655040960,32
1655040963,32
1655040966,32
1655040969,32
1655040972,32
1655040975,32
1655040978,32
1655040981,32
1655040984,32
1655040987,32
1655040990,32
1655040993,32
1655040996,32
1655040999,32
1655041002,32
1655041005,32
1655041008,32
1655041011,32
1655041014,32
1655041017,32
1655041020,32
1655041023,32
1655041026,32
1655041029,32
1655041032,32
1655041035,32
1655041038,32
1655041041,32
1655041044,32
1655041047,32
1655041050,32
1655041053,32
1655041056,32
1655041059,32
1655041062,32
1655041065,32
1655041068,32
1655041071,32
1655041074,32
1655041077,32
1655041080,32
1655041083,32
1655041086,32
1655041089,32
1655041092,32
1655041095,32
1655041098,32
1655041101,32
1655041104,32
1655041107,32
1655041110,32
1655041113,32
1655041116,32
1655041119,32
1655041122,32
1655041125,32
1655041128,32
1655041131,32
1655041134,32
1655041137,32
1655041140,32
1655041143,32
1655041146,32
1655041149,32
1655041152,32
1655041155,32
1655041158,32
1655041161,32
