t,value
1655037294,80
1655037297,80
1655037300,80
1655037303,80
1655037306,80
1655037309,80
1655037312,80
1655037315,80
1655037318,80
1655037321,80
1655037324,80
1655037327,80
1655037330,80
1655037333,80
1655037336,80
1655037339,80
1655037342,80
1655037345,80
1655037348,80
1655037351,80
1655037354,80
1655037357,80
1655037360,80
1655037363,80
1655037366,80
1655037369,80
1655037372,80
1655037375,80
1655037378,80
1655037381,80
1655037384,80
1655037387,80
1655037390,80
1655037393,80
1655037396,80
1655037399,80
1655037402,80
1655037405,80
1655037408,80
1655037411,80
1655037414,80
1655037417,80
1655037420,80
1655037423,80
1655037426,80
1655037429,80
1655037432,80
1655037435,80
1655037438,80
1655037441,80
1655037444,80
1655037447,80
1655037450,80
1655037453,80
1655037456,80
1655037459,80
1655037462,80
1655037465,80
1655037468,80
1655037471,80
1655037474,80
1655037477,80
1655037480,80
1655037483,80
1655037486,80
1655037489,80
1655037492,80
1655037495,80
1655037498,80
1655037501,80
1655037504,80
1655037507,80
1655037510,80
1655037513,80
1655037516,80
1655037519,80
1655037522,80
1655037525,80
1655037528,80
1655037531,80
1655037534,80
1655037537,80
1655037540,80
1655037543,80
1655037546,80
1655037549,80
1655037552,80
1655037555,80
1655037558,80
1655037561,80
1655037564,80
1655037567,80
1655037570,80
1655037573,80
1655037576,80
1655037579,80
1655037582,80
1655037585,80
1655037588,80
1655037591,80
1655037594,80
1655037597,80
1655037600,80
1655037603,80
1655037606,80
1655037609,80
1655037612,80
1655037615,80
1655037618,80
1655037621,80
1655037624,80
1655037627,80
1655037630,80
1655037633,80
1655037636,80
1655037639,80
1655037642,80
1655037645,80
1655037648,80
1655037651,80
1655037654,80
1655037657,80
1655037660,80
1655037663,80
1655037666,80
1655037669,80
1655037672,80
1655037675,80
1655037678,80
1655037681,80
1655037684,80
1655037687,80
1655037690,80
1655037693,80
1655037696,80
1655037699,80
1655037702,80
1655037705,80
1655037708,80
1655037711,80
1655037714,80
1655037717,80
1655037720,80
1655037723,80
1655037726,80
1655037729,80
1655037732,80
1655037735,80
1655037738,80
1655037741,80
1655037744,80
1655037747,80
1655037750,80
1655037753,80
1655037756,80
1655037759,80
1655037762,80
1655037765,80
1655037768,80
1655037771,80
1655037774,80
1655037777,80
1655037780,80
1655037783,80
1655037786,80
1655037789,80
1655037792,80
1655037795,80
1655037798,80
1655037801,80
1655037804,80
1655037807,80
1655037810,80
1655037813,80
1655037816,80
1655037819,80
1655037822,80
1655037825,80
1655037828,80
1655037831,80
1655037834,80
1655037837,80
1655037840,80
1655037843,80
1655037846,80
1655037849,80
1655037852,80
1655037855,80
1655037858,80
1655037861,80
1655037864,80
1655037867,80
1655037870,80
1655037873,80
1655037876,80
1655037879,80
1655037882,80
1655037885,80
1655037888,80
1655037891,80
1655037894,80
1655037897,80
1655037900,80
1655037903,80
1655037906,80
1655037909,80
1655037912,80
1655037915,80
1655037918,80
1655037921,80
1655037924,80
1655037927,80
1655037930,80
1655037933,80
1655037936,80
1655037939,80
1655037942,80
1655037945,80
1655037948,80
1655037951,80
1655037954,80
1655037957,80
1655037960,80
1655037963,80
1655037966,80
1655037969,80
1655037972,80
1655037975,80
1655037978,80
1655037981,80
1655037984,80
1655037987,80
1655037990,80
1655037993,80
1655037996,80
1655037999,80
1655038002,80
1655038005,80
1655038008,80
1655038011,80
1655038014,80
1655038017,80
1655038020,80
1655038023,80
1655038026,80
1655038029,80
1655038032,80
1655038035,80
1655038038,80
1655038041,80
1655038044,80
1655038047,80
1655038050,80
1655038053,80
1655038056,80
1655038059,80
1655038062,80
1655038065,80
1655038068,80
1655038071,80
1655038074,80
1655038077,80
1655038080,80
1655038083,80
1655038086,80
1655038089,80
1655038092,80
1655038095,80
1655038098,80
1655038101,80
1655038104,80
1655038107,80
1655038110,80
1655038113,80
1655038116,80
1655038119,80
