t,value
1655037294,6
1655037297,6
1655037300,6
1655037303,6
1655037306,6
1655037309,6
1655037312,6
1655037315,6
1655037318,6
1655037321,6
1655037324,6
1655037327,6
1655037330,6
1655037333,6
1655037336,6
1655037339,6
1655037342,6
1655037345,6
1655037348,6
1655037351,6
1655037354,6
1655037357,6
1655037360,6
1655037363,6
1655037366,6
1655037369,6
1655037372,6
1655037375,6
1655037378,6
1655037381,6
1655037384,6
1655037387,6
1655037390,6
1655037393,6
1655037396,6
1655037399,6
1655037402,6
1655037405,6
1655037408,6
1655037411,6
1655037414,6
1655037417,6
1655037420,6
1655037423,6
1655037426,6
1655037429,6
1655037432,6
1655037435,6
1655037438,6
1655037441,6
1655037444,6
1655037447,6
1655037450,6
1655037453,6
1655037456,6
1655037459,6
1655037462,6
1655037465,6
1655037468,6
1655037471,6
1655037474,6
1655037477,6
1655037480,6
1655037483,6
1655037486,6
1655037489,6
1655037492,6
1655037495,6
1655037498,6
1655037501,6
1655037504,6
1655037507,6
1655037510,6
1655037513,6
1655037516,6
1655037519,6
1655037522,6
1655037525,6
1655037528,6
1655037531,6
1655037534,6
1655037537,6
1655037540,6
1655037543,6
1655037546,6
1655037549,6
1655037552,6
1655037555,6
1655037558,6
1655037561,6
1655037564,6
1655037567,6
1655037570,6
1655037573,6
1655037576,6
1655037579,6
1655037582,6
1655037585,6
1655037588,6
1655037591,6
1655037594,6
1655037597,6
1655037600,6
1655037603,6
1655037606,6
1655037609,6
1655037612,6
1655037615,6
1655037618,6
1655037621,6
1655037624,6
1655037627,6
1655037630,6
1655037633,6
1655037636,6
1655037639,6
1655037642,6
1655037645,6
1655037648,6
1655037651,6
1655037654,6
1655037657,6
1655037660,6
1655037663,6
1655037666,6
1655037669,6
1655037672,6
1655037675,6
1655037678,6
1655037681,6
1655037684,6
1655037687,6
1655037690,6
1655037693,6
1655037696,6
1655037699,6
1655037702,6
1655037705,6
1655037708,6
1655037711,6
1655037714,6
1655037717,6
1655037720,6
1655037723,6
1655037726,6
1655037729,6
1655037732,6
1655037735,6
1655037738,6
1655037741,6
1655037744,6
1655037747,6
1655037750,6
1655037753,6
1655037756,6
1655037759,6
1655037762,6
1655037765,6
1655037768,6
1655037771,6
1655037774,6
1655037777,6
1655037780,6
1655037783,6
1655037786,6
1655037789,6
1655037792,6
1655037795,6
1655037798,6
1655037801,6
1655037804,6
1655037807,6
1655037810,6
1655037813,6
1655037816,6
1655037819,6
1655037822,6
1655037825,6
1655037828,6
1655037831,6
1655037834,6
1655037837,6
1655037840,6
1655037843,6
1655037846,6
1655037849,6
1655037852,6
1655037855,6
1655037858,6
1655037861,6
1655037864,6
1655037867,6
1655037870,6
1655037873,6
1655037876,6
1655037879,6
1655037882,6
1655037885,6
1655037888,6
1655037891,6
1655037894,6
1655037897,6
1655037900,6
1655037903,6
1655037906,6
1655037909,6
1655037912,6
1655037915,6
1655037918,6
1655037921,6
1655037924,6
1655037927,6
1655037930,6
1655037933,6
1655037936,6
1655037939,6
1655037942,6
1655037945,6
1655037948,6
1655037951,6
1655037954,6
1655037957,6
1655037960,6
1655037963,6
1655037966,6
1655037969,6
1655037972,6
1655037975,6
1655037978,6
1655037981,6
1655037984,6
1655037987,6
1655037990,6
1655037993,6
1655037996,6
1655037999,6
1655038002,6
1655038005,6
1655038008,6
1655038011,6
1655038014,6
1655038017,6
1655038020,6
1655038023,6
1655038026,6
1655038029,6
1655038032,6
1655038035,6
1655038038,6
1655038041,6
1655038044,6
1655038047,6
1655038050,6
1655038053,6
1655038056,6
1655038059,6
1655038062,6
1655038065,6
1655038068,6
1655038071,6
1655038074,6
1655038077,6
1655038080,6
1655038083,6
1655038086,6
1655038089,6
1655038092,6
1655038095,6
1655038098,6
1655038101,6
1655038104,6
1655038107,6
1655038110,6
1655038113,6
1655038116,6
1655038119,6
1655038122,6
1655038125,6
1655038128,6
1655038131,6
1655038134,6
1655038137,6
1655038140,6
1655038143,6
1655038146,6
1655038149,6
1655038152,6
1655038155,6
1655038158,6
1655038161,6
1655038164,6
1655038167,6
1655038170,6
1655038173,6
1655038176,6
1655038179,6
1655038182,6
1655038185,6
1655038188,6
1655038191,6
1655038194,6
1655038197,6
1655038200,6
1655038203,6
1655038206,6
1655038209,6
1655038212,6
1655038215,6
1655038218,6
1655038221,6
1655038224,6
1655038227,6
1655038230,6
1655038233,6
1655038236,6
1655038239,6
1655038242,6
1655038245,6
1655038248,6
1655038251,6
1655038254,6
1655038257,6
1655038260,6
1655038263,6
1655038266,6
1655038269,6
1655038272,6
1655038275,6
1655038278,6
1655038281,6
1655038284,6
1655038287,6
1655038290,6
1655038293,6
1655038296,6
1655038299,6
1655038302,6
1655038305,6
1655038308,6
1655038311,6
1655038314,6
1655038317,6
1655038320,6
1655038323,6
1655038326,6
1655038329,6
1655038332,6
1655038335,6
1655038338,6
1655038341,6
1655038344,6
1655038347,6
1655038350,6
1655038353,6
1655038356,6
1655038359,6
1655038362,6
1655038365,6
1655038368,6
1655038371,6
1655038374,6
1655038377,6
1655038380,6
1655038383,6
1655038386,6
1655038389,6
1655038392,6
1655038395,6
1655038398,6
1655038401,6
1655038404,6
1655038407,6
1655038410,6
1655038413,6
1655038416,6
1655038419,6
1655038422,6
1655038425,6
1655038428,6
1655038431,6
1655038434,6
1655038437,6
1655038440,6
1655038443,6
1655038446,6
1655038449,6
1655038452,6
1655038455,6
1655038458,6
1655038461,6
1655038464,6
1655038467,6
1655038470,6
1655038473,6
1655038476,6
1655038479,6
1655038482,6
1655038485,6
1655038488,6
1655038491,6
1655038494,6
1655038497,6
1655038500,6
1655038503,6
1655038506,6
1655038509,6
1655038512,6
1655038515,6
1655038518,6
1655038521,6
1655038524,6
1655038527,6
1655038530,6
1655038533,6
1655038536,6
1655038539,6
1655038542,6
1655038545,6
1655038548,6
1655038551,6
1655038554,6
1655038557,6
1655038560,6
1655038563,6
1655038566,6
1655038569,6
1655038572,6
1655038575,6
1655038578,6
1655038581,6
1655038584,6
1655038587,6
1655038590,6
1655038593,6
1655038596,6
1655038599,6
1655038602,6
1655038605,6
1655038608,6
1655038611,6
1655038614,6
1655038617,6
1655038620,6
1655038623,6
1655038626,6
1655038629,6
1655038632,6
1655038635,6
1655038638,6
1655038641,6
1655038644,6
1655038647,6
1655038650,6
1655038653,6
1655038656,6
1655038659,6
1655038662,6
1655038665,6
1655038668,6
1655038671,6
1655038674,6
1655038677,6
1655038680,6
1655038683,6
1655038686,6
1655038689,6
1655038692,6
1655038695,6
1655038698,6
1655038701,6
1655038704,6
1655038707,6
1655038710,6
1655038713,6
1655038716,6
1655038719,6
1655038722,6
1655038725,6
1655038728,6
1655038731,6
1655038734,6
1655038737,6
1655038740,6
1655038743,6
1655038746,6
1655038749,6
1655038752,6
1655038755,6
1655038758,6
1655038761,6
1655038764,6
1655038767,6
1655038770,6
1655038773,6
1655038776,6
1655038779,6
1655038782,6
1655038785,6
1655038788,6
1655038791,6
1655038794,6
1655038797,6
1655038800,6
1655038803,6
1655038806,6
1655038809,6
1655038812,6
1655038815,6
1655038818,6
1655038821,6
1655038824,6
1655038827,6
1655038830,6
1655038833,6
1655038836,6
1655038839,6
1655038842,6
1655038845,6
1655038848,6
1655038851,6
1655038854,6
1655038857,6
1655038860,6
1655038863,6
1655038866,6
1655038869,6
1655038872,6
1655038875,6
1655038878,6
1655038881,6
1655038884,6
1655038887,6
1655038890,6
1655038893,6
1655038896,6
1655038899,6
1655038902,6
1655038905,6
1655038908,6
1655038911,6
1655038914,6
1655038917,6
1655038920,6
1655038923,6
1655038926,6
1655038929,6
1655038932,6
1655038935,6
1655038938,6
1655038941,6
1655038944,6
1655038947,6
1655038950,6
1655038953,6
1655038956,6
1655038959,6
1655038962,6
1655038965,6
1655038968,6
1655038971,6
1655038974,6
