t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,32466,2776.984867,0.000000,0.000000,0.000000,events/second
1655037297,32466,2243.740690,0.000000,0.000000,0.000000,events/second
1655037300,32466,1874.284197,0.000000,0.000000,0.000000,events/second
1655037303,32466,1605.947941,0.000000,0.000000,0.000000,events/second
1655037306,32466,1397.623666,0.000000,0.000000,0.000000,events/second
1655037309,32466,1231.383666,0.000000,0.000000,0.000000,events/second
1655037312,32466,1031.357575,0.000000,0.000000,0.000000,events/second
1655037315,32466,1005.434057,0.000000,0.000000,0.000000,events/second
1655037318,32466,897.790821,0.000000,0.000000,0.000000,events/second
1655037321,32466,850.379067,0.000000,0.000000,0.000000,events/second
1655037324,32466,788.596649,0.000000,0.000000,0.000000,events/second
1655037327,32466,734.787010,0.000000,0.000000,0.000000,events/second
1655037330,32466,687.674307,0.000000,0.000000,0.000000,events/second
1655037333,32466,647.204805,0.000000,0.000000,0.000000,events/second
1655037336,32466,610.648718,0.000000,0.000000,0.000000,events/second
1655037339,32466,578.022449,0.000000,0.000000,0.000000,events/second
1655037342,32466,547.736597,0.000000,0.000000,0.000000,events/second
1655037345,32466,522.222765,0.000000,0.000000,0.000000,events/second
1655037348,32466,498.229018,0.000000,0.000000,0.000000,events/second
1655037351,32466,476.103912,0.000000,0.000000,0.000000,events/second
1655037354,32466,456.244442,0.000000,0.000000,0.000000,events/second
1655037357,32466,437.757845,0.000000,0.000000,0.000000,events/second
1655037360,32466,420.705280,0.000000,0.000000,0.000000,events/second
1655037363,32466,404.958243,0.000000,0.000000,0.000000,events/second
1655037366,32466,390.389971,0.000000,0.000000,0.000000,events/second
1655037369,32466,376.622575,0.000000,0.000000,0.000000,events/second
1655037372,32466,363.875882,0.000000,0.000000,0.000000,events/second
1655037375,32466,352.137178,0.000000,0.000000,0.000000,events/second
1655037378,32466,341.139531,0.000000,0.000000,0.000000,events/second
1655037381,32466,330.587441,0.000000,0.000000,0.000000,events/second
1655037384,32466,320.920795,0.000000,0.000000,0.000000,events/second
1655037387,32466,311.677631,0.000000,0.000000,0.000000,events/second
1655037390,32466,302.961322,0.000000,0.000000,0.000000,events/second
1655037393,32466,294.710724,0.000000,0.000000,0.000000,events/second
1655037396,32466,286.918447,0.000000,0.000000,0.000000,events/second
1655037399,32466,279.509737,0.000000,0.000000,0.000000,events/second
1655037402,32466,272.272905,0.000000,0.000000,0.000000,events/second
1655037405,32466,265.664178,0.000000,0.000000,0.000000,events/second
1655037408,32466,259.341659,0.000000,0.000000,0.000000,events/second
1655037411,32466,253.255522,0.000000,0.000000,0.000000,events/second
1655037414,32466,247.459272,0.000000,0.000000,0.000000,events/second
1655037417,32466,241.835915,0.000000,0.000000,0.000000,events/second
