t,value
1655037294,61
1655037297,61
1655037300,61
1655037303,61
1655037306,61
1655037309,61
1655037312,61
1655037315,61
1655037318,61
1655037321,61
1655037324,61
1655037327,61
1655037330,61
1655037333,61
1655037336,61
1655037339,61
1655037342,61
1655037345,61
1655037348,61
1655037351,61
1655037354,61
1655037357,61
1655037360,61
1655037363,61
1655037366,61
1655037369,61
1655037372,61
1655037375,61
1655037378,61
1655037381,61
1655037384,61
1655037387,61
1655037390,61
1655037393,61
1655037396,61
1655037399,61
1655037402,61
1655037405,61
1655037408,61
1655037411,61
1655037414,61
1655037417,61
1655037420,61
1655037423,61
1655037426,61
1655037429,61
1655037432,61
1655037435,61
1655037438,61
1655037441,61
1655037444,61
1655037447,61
1655037450,61
1655037453,61
1655037456,61
1655037459,61
1655037462,61
1655037465,61
1655037468,61
1655037471,61
1655037474,61
1655037477,61
1655037480,61
1655037483,61
1655037486,61
1655037489,61
1655037492,61
1655037495,61
1655037498,61
1655037501,61
1655037504,61
1655037507,61
1655037510,61
1655037513,61
1655037516,61
1655037519,61
1655037522,61
1655037525,61
1655037528,61
1655037531,61
1655037534,61
1655037537,61
1655037540,61
1655037543,61
1655037546,61
1655037549,61
1655037552,61
1655037555,61
1655037558,61
1655037561,61
1655037564,61
1655037567,61
1655037570,61
1655037573,61
1655037576,61
1655037579,61
1655037582,61
1655037585,61
1655037588,61
1655037591,61
1655037594,61
1655037597,61
1655037600,61
1655037603,61
1655037606,61
1655037609,61
1655037612,61
1655037615,61
1655037618,61
1655037621,61
1655037624,61
1655037627,61
1655037630,61
1655037633,61
1655037636,61
1655037639,61
1655037642,61
1655037645,61
1655037648,61
1655037651,61
1655037654,61
1655037657,61
1655037660,61
1655037663,61
1655037666,61
1655037669,61
1655037672,61
1655037675,61
1655037678,61
1655037681,61
1655037684,61
1655037687,61
1655037690,61
1655037693,61
1655037696,61
1655037699,61
1655037702,61
1655037705,61
1655037708,61
1655037711,61
1655037714,61
1655037717,61
1655037720,61
1655037723,61
1655037726,61
1655037729,61
1655037732,61
1655037735,61
1655037738,61
1655037741,61
1655037744,61
1655037747,61
1655037750,61
1655037753,61
1655037756,61
1655037759,61
1655037762,61
1655037765,61
1655037768,61
1655037771,61
1655037774,61
1655037777,61
1655037780,61
1655037783,61
1655037786,61
1655037789,61
1655037792,61
1655037795,61
1655037798,61
1655037801,61
1655037804,61
1655037807,61
1655037810,61
1655037813,61
1655037816,61
1655037819,61
1655037822,61
1655037825,61
1655037828,61
1655037831,61
1655037834,61
1655037837,61
1655037840,61
1655037843,61
1655037846,61
1655037849,61
1655037852,61
