t,value
1655037294,1048576
1655037297,1048576
1655037300,1048576
1655037303,1048576
1655037306,1048576
1655037309,1048576
1655037312,1048576
1655037315,1048576
1655037318,1048576
1655037321,1048576
1655037324,1048576
1655037327,1048576
1655037330,1048576
1655037333,1048576
1655037336,1048576
1655037339,1048576
1655037342,1048576
1655037345,1048576
1655037348,1048576
1655037351,1048576
1655037354,1048576
1655037357,1048576
1655037360,1048576
1655037363,1048576
1655037366,1048576
1655037369,1048576
1655037372,1048576
1655037375,1048576
1655037378,1048576
1655037381,1048576
1655037384,1048576
1655037387,1048576
1655037390,1048576
1655037393,1048576
1655037396,1048576
1655037399,1048576
1655037402,1048576
1655037405,1048576
1655037408,1048576
1655037411,1048576
1655037414,1048576
1655037417,1048576
1655037420,1048576
1655037423,1048576
1655037426,1048576
1655037429,1048576
1655037432,1048576
1655037435,1048576
1655037438,1048576
1655037441,1048576
1655037444,1048576
1655037447,1048576
1655037450,1048576
1655037453,1048576
1655037456,1048576
1655037459,1048576
1655037462,1048576
1655037465,1048576
1655037468,1048576
1655037471,1048576
1655037474,1048576
1655037477,1048576
1655037480,1048576
1655037483,1048576
1655037486,1048576
1655037489,1048576
1655037492,1048576
1655037495,1048576
1655037498,1048576
1655037501,1048576
1655037504,1048576
1655037507,1048576
1655037510,1048576
1655037513,1048576
1655037516,1048576
1655037519,1048576
1655037522,1048576
1655037525,1048576
1655037528,1048576
1655037531,1048576
1655037534,1048576
1655037537,1048576
1655037540,1048576
1655037543,1048576
1655037546,1048576
1655037549,1048576
1655037552,1048576
1655037555,1048576
1655037558,1048576
1655037561,1048576
1655037564,1048576
1655037567,1048576
1655037570,1048576
1655037573,1048576
1655037576,1048576
1655037579,1048576
1655037582,1048576
1655037585,1048576
1655037588,1048576
1655037591,1048576
1655037594,1048576
1655037597,1048576
1655037600,1048576
1655037603,1048576
1655037606,1048576
1655037609,1048576
1655037612,1048576
1655037615,1048576
1655037618,1048576
1655037621,1048576
1655037624,1048576
1655037627,1048576
1655037630,1048576
1655037633,1048576
1655037636,1048576
1655037639,1048576
1655037642,1048576
1655037645,1048576
1655037648,1048576
1655037651,1048576
1655037654,1048576
1655037657,1048576
1655037660,1048576
1655037663,1048576
1655037666,1048576
1655037669,1048576
1655037672,1048576
1655037675,1048576
1655037678,1048576
1655037681,1048576
1655037684,1048576
1655037687,1048576
1655037690,1048576
1655037693,1048576
1655037696,1048576
1655037699,1048576
1655037702,1048576
1655037705,1048576
1655037708,1048576
1655037711,1048576
1655037714,1048576
1655037717,1048576
1655037720,1048576
1655037723,1048576
1655037726,1048576
1655037729,1048576
1655037732,1048576
1655037735,1048576
1655037738,1048576
1655037741,1048576
1655037744,1048576
1655037747,1048576
1655037750,1048576
1655037753,1048576
1655037756,1048576
1655037759,1048576
1655037762,1048576
1655037765,1048576
1655037768,1048576
1655037771,1048576
1655037774,1048576
1655037777,1048576
1655037780,1048576
1655037783,1048576
1655037786,1048576
1655037789,1048576
1655037792,1048576
1655037795,1048576
1655037798,1048576
1655037801,1048576
1655037804,1048576
1655037807,1048576
1655037810,1048576
1655037813,1048576
1655037816,1048576
1655037819,1048576
1655037822,1048576
1655037825,1048576
1655037828,1048576
1655037831,1048576
1655037834,1048576
1655037837,1048576
1655037840,1048576
1655037843,1048576
1655037846,1048576
1655037849,1048576
1655037852,1048576
1655037855,1048576
1655037858,1048576
1655037861,1048576
1655037864,1048576
1655037867,1048576
1655037870,1048576
1655037873,1048576
1655037876,1048576
1655037879,1048576
1655037882,1048576
1655037885,1048576
1655037888,1048576
1655037891,1048576
1655037894,1048576
1655037897,1048576
1655037900,1048576
1655037903,1048576
1655037906,1048576
1655037909,1048576
1655037912,1048576
1655037915,1048576
1655037918,1048576
1655037921,1048576
1655037924,1048576
1655037927,1048576
1655037930,1048576
1655037933,1048576
1655037936,1048576
1655037939,1048576
1655037942,1048576
1655037945,1048576
1655037948,1048576
1655037951,1048576
1655037954,1048576
1655037957,1048576
1655037960,1048576
1655037963,1048576
1655037966,1048576
1655037969,1048576
1655037972,1048576
1655037975,1048576
1655037978,1048576
1655037981,1048576
1655037984,1048576
1655037987,1048576
1655037990,1048576
1655037993,1048576
1655037996,1048576
1655037999,1048576
1655038002,1048576
1655038005,1048576
1655038008,1048576
1655038011,1048576
1655038014,1048576
1655038017,1048576
1655038020,1048576
1655038023,1048576
1655038026,1048576
1655038029,1048576
1655038032,1048576
1655038035,1048576
1655038038,1048576
1655038041,1048576
1655038044,1048576
1655038047,1048576
1655038050,1048576
1655038053,1048576
1655038056,1048576
1655038059,1048576
1655038062,1048576
1655038065,1048576
1655038068,1048576
1655038071,1048576
1655038074,1048576
1655038077,1048576
1655038080,1048576
1655038083,1048576
1655038086,1048576
1655038089,1048576
1655038092,1048576
1655038095,1048576
1655038098,1048576
1655038101,1048576
1655038104,1048576
1655038107,1048576
1655038110,1048576
1655038113,1048576
1655038116,1048576
1655038119,1048576
1655038122,1048576
1655038125,1048576
1655038128,1048576
1655038131,1048576
1655038134,1048576
1655038137,1048576
1655038140,1048576
1655038143,1048576
1655038146,1048576
1655038149,1048576
1655038152,1048576
1655038155,1048576
1655038158,1048576
1655038161,1048576
1655038164,1048576
1655038167,1048576
1655038170,1048576
1655038173,1048576
1655038176,1048576
1655038179,1048576
1655038182,1048576
1655038185,1048576
1655038188,1048576
1655038191,1048576
1655038194,1048576
1655038197,1048576
1655038200,1048576
1655038203,1048576
1655038206,1048576
1655038209,1048576
1655038212,1048576
1655038215,1048576
1655038218,1048576
1655038221,1048576
1655038224,1048576
1655038227,1048576
1655038230,1048576
1655038233,1048576
1655038236,1048576
1655038239,1048576
1655038242,1048576
1655038245,1048576
1655038248,1048576
1655038251,1048576
1655038254,1048576
1655038257,1048576
1655038260,1048576
1655038263,1048576
1655038266,1048576
1655038269,1048576
1655038272,1048576
1655038275,1048576
1655038278,1048576
1655038281,1048576
1655038284,1048576
1655038287,1048576
1655038290,1048576
1655038293,1048576
1655038296,1048576
1655038299,1048576
1655038302,1048576
1655038305,1048576
1655038308,1048576
1655038311,1048576
1655038314,1048576
1655038317,1048576
1655038320,1048576
1655038323,1048576
1655038326,1048576
1655038329,1048576
1655038332,1048576
1655038335,1048576
1655038338,1048576
1655038341,1048576
1655038344,1048576
1655038347,1048576
1655038350,1048576
1655038353,1048576
1655038356,1048576
1655038359,1048576
1655038362,1048576
1655038365,1048576
1655038368,1048576
1655038371,1048576
1655038374,1048576
1655038377,1048576
1655038380,1048576
1655038383,1048576
1655038386,1048576
1655038389,1048576
1655038392,1048576
1655038395,1048576
1655038398,1048576
1655038401,1048576
1655038404,1048576
1655038407,1048576
1655038410,1048576
1655038413,1048576
1655038416,1048576
1655038419,1048576
1655038422,1048576
1655038425,1048576
1655038428,1048576
1655038431,1048576
1655038434,1048576
1655038437,1048576
1655038440,1048576
1655038443,1048576
1655038446,1048576
1655038449,1048576
1655038452,1048576
1655038455,1048576
1655038458,1048576
1655038461,1048576
1655038464,1048576
1655038467,1048576
1655038470,1048576
1655038473,1048576
1655038476,1048576
1655038479,1048576
1655038482,1048576
1655038485,1048576
1655038488,1048576
1655038491,1048576
1655038494,1048576
1655038497,1048576
1655038500,1048576
1655038503,1048576
1655038506,1048576
1655038509,1048576
1655038512,1048576
1655038515,1048576
1655038518,1048576
1655038521,1048576
1655038524,1048576
1655038527,1048576
1655038530,1048576
1655038533,1048576
1655038536,1048576
1655038539,1048576
1655038542,1048576
1655038545,1048576
1655038548,1048576
1655038551,1048576
1655038554,1048576
1655038557,1048576
1655038560,1048576
1655038563,1048576
1655038566,1048576
1655038569,1048576
1655038572,1048576
1655038575,1048576
1655038578,1048576
1655038581,1048576
1655038584,1048576
1655038587,1048576
1655038590,1048576
1655038593,1048576
1655038596,1048576
1655038599,1048576
1655038602,1048576
1655038605,1048576
1655038608,1048576
1655038611,1048576
1655038614,1048576
1655038617,1048576
1655038620,1048576
1655038623,1048576
1655038626,1048576
1655038629,1048576
1655038632,1048576
1655038635,1048576
1655038638,1048576
1655038641,1048576
1655038644,1048576
1655038647,1048576
1655038650,1048576
1655038653,1048576
1655038656,1048576
1655038659,1048576
1655038662,1048576
1655038665,1048576
1655038668,1048576
1655038671,1048576
1655038674,1048576
1655038677,1048576
1655038680,1048576
1655038683,1048576
1655038686,1048576
1655038689,1048576
1655038692,1048576
1655038695,1048576
1655038698,1048576
1655038701,1048576
1655038704,1048576
1655038707,1048576
1655038710,1048576
1655038713,1048576
1655038716,1048576
1655038719,1048576
1655038722,1048576
1655038725,1048576
1655038728,1048576
1655038731,1048576
1655038734,1048576
1655038737,1048576
1655038740,1048576
1655038743,1048576
1655038746,1048576
1655038749,1048576
1655038752,1048576
1655038755,1048576
1655038758,1048576
1655038761,1048576
1655038764,1048576
1655038767,1048576
1655038770,1048576
1655038773,1048576
1655038776,1048576
1655038779,1048576
1655038782,1048576
1655038785,1048576
1655038788,1048576
1655038791,1048576
1655038794,1048576
1655038797,1048576
1655038800,1048576
1655038803,1048576
1655038806,1048576
1655038809,1048576
1655038812,1048576
1655038815,1048576
1655038818,1048576
1655038821,1048576
1655038824,1048576
1655038827,1048576
1655038830,1048576
1655038833,1048576
1655038836,1048576
1655038839,1048576
1655038842,1048576
1655038845,1048576
1655038848,1048576
1655038851,1048576
1655038854,1048576
1655038857,1048576
1655038860,1048576
1655038863,1048576
1655038866,1048576
1655038869,1048576
1655038872,1048576
1655038875,1048576
1655038878,1048576
1655038881,1048576
1655038884,1048576
1655038887,1048576
1655038890,1048576
1655038893,1048576
1655038896,1048576
1655038899,1048576
1655038902,1048576
1655038905,1048576
1655038908,1048576
1655038911,1048576
1655038914,1048576
1655038917,1048576
1655038920,1048576
1655038923,1048576
1655038926,1048576
1655038929,1048576
1655038932,1048576
1655038935,1048576
1655038938,1048576
1655038941,1048576
1655038944,1048576
1655038947,1048576
1655038950,1048576
1655038953,1048576
1655038956,1048576
1655038959,1048576
1655038962,1048576
1655038965,1048576
1655038968,1048576
1655038971,1048576
1655038974,1048576
1655038977,1048576
1655038980,1048576
1655038983,1048576
1655038986,1048576
1655038989,1048576
1655038992,1048576
1655038995,1048576
1655038998,1048576
1655039001,1048576
1655039004,1048576
1655039007,1048576
1655039010,1048576
1655039013,1048576
1655039016,1048576
1655039019,1048576
1655039022,1048576
1655039025,1048576
1655039028,1048576
1655039031,1048576
1655039034,1048576
1655039037,1048576
1655039040,1048576
1655039043,1048576
1655039046,1048576
1655039049,1048576
1655039052,1048576
1655039055,1048576
1655039058,1048576
1655039061,1048576
1655039064,1048576
1655039067,1048576
1655039070,1048576
1655039073,1048576
1655039076,1048576
1655039079,1048576
1655039082,1048576
1655039085,1048576
1655039088,1048576
1655039091,1048576
1655039094,1048576
1655039097,1048576
1655039100,1048576
1655039103,1048576
1655039106,1048576
1655039109,1048576
1655039112,1048576
1655039115,1048576
1655039118,1048576
1655039121,1048576
1655039124,1048576
1655039127,1048576
1655039130,1048576
1655039133,1048576
1655039136,1048576
1655039139,1048576
1655039142,1048576
1655039145,1048576
1655039148,1048576
1655039151,1048576
1655039154,1048576
1655039157,1048576
1655039160,1048576
1655039163,1048576
1655039166,1048576
1655039169,1048576
1655039172,1048576
1655039175,1048576
1655039178,1048576
1655039181,1048576
1655039184,1048576
1655039187,1048576
1655039190,1048576
1655039193,1048576
1655039196,1048576
1655039199,1048576
1655039202,1048576
1655039205,1048576
1655039208,1048576
1655039211,1048576
1655039214,1048576
1655039217,1048576
1655039220,1048576
1655039223,1048576
1655039226,1048576
1655039229,1048576
1655039232,1048576
1655039235,1048576
1655039238,1048576
1655039241,1048576
1655039244,1048576
1655039247,1048576
1655039250,1048576
1655039253,1048576
1655039256,1048576
1655039259,1048576
1655039262,1048576
1655039265,1048576
1655039268,1048576
1655039271,1048576
1655039274,1048576
1655039277,1048576
