t,value
1655037294,9223372036854775807
1655037297,9223372036854775807
1655037300,9223372036854775807
1655037303,9223372036854775807
1655037306,9223372036854775807
1655037309,9223372036854775807
1655037312,9223372036854775807
1655037315,9223372036854775807
1655037318,9223372036854775807
1655037321,9223372036854775807
1655037324,9223372036854775807
1655037327,9223372036854775807
1655037330,9223372036854775807
1655037333,9223372036854775807
1655037336,9223372036854775807
1655037339,9223372036854775807
1655037342,9223372036854775807
1655037345,9223372036854775807
1655037348,9223372036854775807
1655037351,9223372036854775807
1655037354,9223372036854775807
1655037357,9223372036854775807
1655037360,9223372036854775807
1655037363,9223372036854775807
1655037366,9223372036854775807
1655037369,9223372036854775807
1655037372,9223372036854775807
1655037375,9223372036854775807
1655037378,9223372036854775807
1655037381,9223372036854775807
1655037384,9223372036854775807
1655037387,9223372036854775807
1655037390,9223372036854775807
1655037393,9223372036854775807
1655037396,9223372036854775807
1655037399,9223372036854775807
1655037402,9223372036854775807
1655037405,9223372036854775807
1655037408,9223372036854775807
1655037411,9223372036854775807
1655037414,9223372036854775807
1655037417,9223372036854775807
1655037420,9223372036854775807
1655037423,9223372036854775807
1655037426,9223372036854775807
1655037429,9223372036854775807
1655037432,9223372036854775807
1655037435,9223372036854775807
1655037438,9223372036854775807
1655037441,9223372036854775807
1655037444,9223372036854775807
1655037447,9223372036854775807
1655037450,9223372036854775807
1655037453,9223372036854775807
1655037456,9223372036854775807
1655037459,9223372036854775807
1655037462,9223372036854775807
1655037465,9223372036854775807
1655037468,9223372036854775807
1655037471,9223372036854775807
1655037474,9223372036854775807
1655037477,9223372036854775807
1655037480,9223372036854775807
1655037483,9223372036854775807
1655037486,9223372036854775807
1655037489,9223372036854775807
1655037492,9223372036854775807
1655037495,9223372036854775807
1655037498,9223372036854775807
1655037501,9223372036854775807
1655037504,9223372036854775807
1655037507,9223372036854775807
1655037510,9223372036854775807
1655037513,9223372036854775807
1655037516,9223372036854775807
1655037519,9223372036854775807
1655037522,9223372036854775807
1655037525,9223372036854775807
1655037528,9223372036854775807
1655037531,9223372036854775807
1655037534,9223372036854775807
1655037537,9223372036854775807
1655037540,9223372036854775807
1655037543,9223372036854775807
1655037546,9223372036854775807
1655037549,9223372036854775807
1655037552,9223372036854775807
1655037555,9223372036854775807
1655037558,9223372036854775807
1655037561,9223372036854775807
1655037564,9223372036854775807
1655037567,9223372036854775807
1655037570,9223372036854775807
1655037573,9223372036854775807
1655037576,9223372036854775807
1655037579,9223372036854775807
1655037582,9223372036854775807
1655037585,9223372036854775807
1655037588,9223372036854775807
1655037591,9223372036854775807
1655037594,9223372036854775807
1655037597,9223372036854775807
1655037600,9223372036854775807
1655037603,9223372036854775807
1655037606,9223372036854775807
1655037609,9223372036854775807
1655037612,9223372036854775807
1655037615,9223372036854775807
1655037618,9223372036854775807
1655037621,9223372036854775807
1655037624,9223372036854775807
1655037627,9223372036854775807
1655037630,9223372036854775807
1655037633,9223372036854775807
1655037636,9223372036854775807
1655037639,9223372036854775807
1655037642,9223372036854775807
1655037645,9223372036854775807
1655037648,9223372036854775807
1655037651,9223372036854775807
1655037654,9223372036854775807
1655037657,9223372036854775807
1655037660,9223372036854775807
1655037663,9223372036854775807
1655037666,9223372036854775807
1655037669,9223372036854775807
1655037672,9223372036854775807
1655037675,9223372036854775807
1655037678,9223372036854775807
1655037681,9223372036854775807
1655037684,9223372036854775807
1655037687,9223372036854775807
1655037690,9223372036854775807
1655037693,9223372036854775807
1655037696,9223372036854775807
1655037699,9223372036854775807
1655037702,9223372036854775807
1655037705,9223372036854775807
1655037708,9223372036854775807
1655037711,9223372036854775807
1655037714,9223372036854775807
1655037717,9223372036854775807
1655037720,9223372036854775807
1655037723,9223372036854775807
1655037726,9223372036854775807
1655037729,9223372036854775807
1655037732,9223372036854775807
1655037735,9223372036854775807
1655037738,9223372036854775807
1655037741,9223372036854775807
1655037744,9223372036854775807
1655037747,9223372036854775807
1655037750,9223372036854775807
1655037753,9223372036854775807
1655037756,9223372036854775807
1655037759,9223372036854775807
1655037762,9223372036854775807
1655037765,9223372036854775807
1655037768,9223372036854775807
1655037771,9223372036854775807
1655037774,9223372036854775807
1655037777,9223372036854775807
1655037780,9223372036854775807
1655037783,9223372036854775807
1655037786,9223372036854775807
1655037789,9223372036854775807
1655037792,9223372036854775807
1655037795,9223372036854775807
1655037798,9223372036854775807
1655037801,9223372036854775807
1655037804,9223372036854775807
1655037807,9223372036854775807
1655037810,9223372036854775807
1655037813,9223372036854775807
1655037816,9223372036854775807
1655037819,9223372036854775807
1655037822,9223372036854775807
1655037825,9223372036854775807
1655037828,9223372036854775807
1655037831,9223372036854775807
1655037834,9223372036854775807
1655037837,9223372036854775807
1655037840,9223372036854775807
1655037843,9223372036854775807
1655037846,9223372036854775807
1655037849,9223372036854775807
1655037852,9223372036854775807
1655037855,9223372036854775807
1655037858,9223372036854775807
1655037861,9223372036854775807
1655037864,9223372036854775807
1655037867,9223372036854775807
1655037870,9223372036854775807
1655037873,9223372036854775807
1655037876,9223372036854775807
1655037879,9223372036854775807
1655037882,9223372036854775807
1655037885,9223372036854775807
1655037888,9223372036854775807
1655037891,9223372036854775807
1655037894,9223372036854775807
1655037897,9223372036854775807
1655037900,9223372036854775807
1655037903,9223372036854775807
1655037906,9223372036854775807
1655037909,9223372036854775807
1655037912,9223372036854775807
1655037915,9223372036854775807
1655037918,9223372036854775807
1655037921,9223372036854775807
1655037924,9223372036854775807
1655037927,9223372036854775807
1655037930,9223372036854775807
1655037933,9223372036854775807
1655037936,9223372036854775807
1655037939,9223372036854775807
1655037942,9223372036854775807
1655037945,9223372036854775807
1655037948,9223372036854775807
1655037951,9223372036854775807
1655037954,9223372036854775807
1655037957,9223372036854775807
1655037960,9223372036854775807
1655037963,9223372036854775807
1655037966,9223372036854775807
1655037969,9223372036854775807
1655037972,9223372036854775807
1655037975,9223372036854775807
1655037978,9223372036854775807
1655037981,9223372036854775807
1655037984,9223372036854775807
1655037987,9223372036854775807
1655037990,9223372036854775807
1655037993,9223372036854775807
1655037996,9223372036854775807
1655037999,9223372036854775807
1655038002,9223372036854775807
1655038005,9223372036854775807
1655038008,9223372036854775807
1655038011,9223372036854775807
1655038014,9223372036854775807
1655038017,9223372036854775807
1655038020,9223372036854775807
1655038023,9223372036854775807
1655038026,9223372036854775807
1655038029,9223372036854775807
1655038032,9223372036854775807
1655038035,9223372036854775807
1655038038,9223372036854775807
1655038041,9223372036854775807
1655038044,9223372036854775807
1655038047,9223372036854775807
1655038050,9223372036854775807
1655038053,9223372036854775807
1655038056,9223372036854775807
1655038059,9223372036854775807
1655038062,9223372036854775807
1655038065,9223372036854775807
1655038068,9223372036854775807
1655038071,9223372036854775807
1655038074,9223372036854775807
1655038077,9223372036854775807
1655038080,9223372036854775807
1655038083,9223372036854775807
1655038086,9223372036854775807
1655038089,9223372036854775807
1655038092,9223372036854775807
1655038095,9223372036854775807
1655038098,9223372036854775807
1655038101,9223372036854775807
1655038104,9223372036854775807
1655038107,9223372036854775807
1655038110,9223372036854775807
1655038113,9223372036854775807
1655038116,9223372036854775807
1655038119,9223372036854775807
1655038122,9223372036854775807
1655038125,9223372036854775807
1655038128,9223372036854775807
1655038131,9223372036854775807
1655038134,9223372036854775807
1655038137,9223372036854775807
1655038140,9223372036854775807
1655038143,9223372036854775807
1655038146,9223372036854775807
1655038149,9223372036854775807
1655038152,9223372036854775807
1655038155,9223372036854775807
1655038158,9223372036854775807
1655038161,9223372036854775807
1655038164,9223372036854775807
1655038167,9223372036854775807
1655038170,9223372036854775807
1655038173,9223372036854775807
1655038176,9223372036854775807
1655038179,9223372036854775807
1655038182,9223372036854775807
1655038185,9223372036854775807
1655038188,9223372036854775807
1655038191,9223372036854775807
1655038194,9223372036854775807
1655038197,9223372036854775807
1655038200,9223372036854775807
1655038203,9223372036854775807
1655038206,9223372036854775807
1655038209,9223372036854775807
1655038212,9223372036854775807
1655038215,9223372036854775807
1655038218,9223372036854775807
1655038221,9223372036854775807
1655038224,9223372036854775807
1655038227,9223372036854775807
1655038230,9223372036854775807
1655038233,9223372036854775807
1655038236,9223372036854775807
1655038239,9223372036854775807
1655038242,9223372036854775807
1655038245,9223372036854775807
1655038248,9223372036854775807
1655038251,9223372036854775807
1655038254,9223372036854775807
1655038257,9223372036854775807
1655038260,9223372036854775807
1655038263,9223372036854775807
1655038266,9223372036854775807
1655038269,9223372036854775807
1655038272,9223372036854775807
1655038275,9223372036854775807
1655038278,9223372036854775807
1655038281,9223372036854775807
1655038284,9223372036854775807
1655038287,9223372036854775807
1655038290,9223372036854775807
1655038293,9223372036854775807
1655038296,9223372036854775807
1655038299,9223372036854775807
1655038302,9223372036854775807
1655038305,9223372036854775807
1655038308,9223372036854775807
1655038311,9223372036854775807
1655038314,9223372036854775807
1655038317,9223372036854775807
1655038320,9223372036854775807
1655038323,9223372036854775807
1655038326,9223372036854775807
1655038329,9223372036854775807
1655038332,9223372036854775807
1655038335,9223372036854775807
1655038338,9223372036854775807
1655038341,9223372036854775807
1655038344,9223372036854775807
1655038347,9223372036854775807
1655038350,9223372036854775807
1655038353,9223372036854775807
1655038356,9223372036854775807
1655038359,9223372036854775807
1655038362,9223372036854775807
1655038365,9223372036854775807
1655038368,9223372036854775807
1655038371,9223372036854775807
1655038374,9223372036854775807
1655038377,9223372036854775807
1655038380,9223372036854775807
1655038383,9223372036854775807
1655038386,9223372036854775807
1655038389,9223372036854775807
1655038392,9223372036854775807
1655038395,9223372036854775807
1655038398,9223372036854775807
1655038401,9223372036854775807
1655038404,9223372036854775807
1655038407,9223372036854775807
1655038410,9223372036854775807
1655038413,9223372036854775807
1655038416,9223372036854775807
1655038419,9223372036854775807
1655038422,9223372036854775807
1655038425,9223372036854775807
1655038428,9223372036854775807
1655038431,9223372036854775807
1655038434,9223372036854775807
1655038437,9223372036854775807
1655038440,9223372036854775807
1655038443,9223372036854775807
1655038446,9223372036854775807
1655038449,9223372036854775807
1655038452,9223372036854775807
1655038455,9223372036854775807
1655038458,9223372036854775807
1655038461,9223372036854775807
1655038464,9223372036854775807
1655038467,9223372036854775807
1655038470,9223372036854775807
1655038473,9223372036854775807
1655038476,9223372036854775807
1655038479,9223372036854775807
1655038482,9223372036854775807
1655038485,9223372036854775807
1655038488,9223372036854775807
1655038491,9223372036854775807
1655038494,9223372036854775807
1655038497,9223372036854775807
1655038500,9223372036854775807
