t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,140,11.966908,0.000000,0.000000,0.000000,events/second
1655037297,143,9.879799,0.000000,0.000000,0.000000,events/second
1655037300,143,8.253816,0.000000,0.000000,0.000000,events/second
1655037303,143,7.071364,0.000000,0.000000,0.000000,events/second
1655037306,143,6.155025,0.000000,0.000000,0.000000,events/second
1655037309,143,5.422919,0.000000,0.000000,0.000000,events/second
1655037312,153,4.859490,0.000000,0.000000,0.000000,events/second
1655037315,153,4.737551,0.000000,0.000000,0.000000,events/second
1655037318,153,4.230542,0.000000,0.000000,0.000000,events/second
1655037321,153,4.007185,0.000000,0.000000,0.000000,events/second
1655037324,153,3.716064,0.000000,0.000000,0.000000,events/second
1655037327,158,3.575672,0.000000,0.000000,0.000000,events/second
1655037330,158,3.346414,0.000000,0.000000,0.000000,events/second
1655037333,163,3.249194,0.000000,0.000000,0.000000,events/second
1655037336,163,3.065671,0.000000,0.000000,0.000000,events/second
1655037339,163,2.901876,0.000000,0.000000,0.000000,events/second
1655037342,163,2.749854,0.000000,0.000000,0.000000,events/second
1655037345,163,2.621762,0.000000,0.000000,0.000000,events/second
1655037348,163,2.501315,0.000000,0.000000,0.000000,events/second
1655037351,166,2.434234,0.000000,0.000000,0.000000,events/second
1655037354,166,2.332702,0.000000,0.000000,0.000000,events/second
1655037357,166,2.238187,0.000000,0.000000,0.000000,events/second
1655037360,166,2.151003,0.000000,0.000000,0.000000,events/second
1655037363,166,2.070487,0.000000,0.000000,0.000000,events/second
1655037366,166,1.996010,0.000000,0.000000,0.000000,events/second
1655037369,166,1.925605,0.000000,0.000000,0.000000,events/second
1655037372,169,1.894073,0.000000,0.000000,0.000000,events/second
1655037375,169,1.832957,0.000000,0.000000,0.000000,events/second
1655037378,169,1.775730,0.000000,0.000000,0.000000,events/second
1655037381,169,1.720800,0.000000,0.000000,0.000000,events/second
1655037384,169,1.670489,0.000000,0.000000,0.000000,events/second
1655037387,169,1.622376,0.000000,0.000000,0.000000,events/second
1655037390,169,1.577007,0.000000,0.000000,0.000000,events/second
1655037393,172,1.561292,0.000000,0.000000,0.000000,events/second
1655037396,172,1.520015,0.000000,0.000000,0.000000,events/second
1655037399,172,1.480766,0.000000,0.000000,0.000000,events/second
1655037402,172,1.442427,0.000000,0.000000,0.000000,events/second
1655037405,172,1.407412,0.000000,0.000000,0.000000,events/second
1655037408,172,1.373922,0.000000,0.000000,0.000000,events/second
1655037411,174,1.357281,0.000000,0.000000,0.000000,events/second
1655037414,175,1.333830,0.000000,0.000000,0.000000,events/second
1655037417,175,1.303526,0.000000,0.000000,0.000000,events/second
1655037420,175,1.275872,0.000000,0.000000,0.000000,events/second
1655037423,175,1.248418,0.000000,0.000000,0.000000,events/second
1655037426,175,1.222442,0.000000,0.000000,0.000000,events/second
1655037429,175,1.197323,0.000000,0.000000,0.000000,events/second
1655037432,178,1.193212,0.000000,0.000000,0.000000,events/second
1655037435,178,1.169762,0.000000,0.000000,0.000000,events/second
1655037438,178,1.147181,0.000000,0.000000,0.000000,events/second
1655037441,178,1.125410,0.000000,0.000000,0.000000,events/second
1655037444,178,1.104538,0.000000,0.000000,0.000000,events/second
1655037447,178,1.084312,0.000000,0.000000,0.000000,events/second
1655037450,178,1.064851,0.000000,0.000000,0.000000,events/second
1655037453,181,1.063735,0.000000,0.000000,0.000000,events/second
1655037456,181,1.045271,0.000000,0.000000,0.000000,events/second
1655037459,181,1.027481,0.000000,0.000000,0.000000,events/second
1655037462,181,1.010254,0.000000,0.000000,0.000000,events/second
1655037465,181,0.993633,0.000000,0.000000,0.000000,events/second
1655037468,181,0.977443,0.000000,0.000000,0.000000,events/second
1655037471,184,0.977622,0.000000,0.000000,0.000000,events/second
1655037474,184,0.962558,0.000000,0.000000,0.000000,events/second
1655037477,184,0.947636,0.000000,0.000000,0.000000,events/second
1655037480,184,0.933289,0.000000,0.000000,0.000000,events/second
1655037483,184,0.919254,0.000000,0.000000,0.000000,events/second
1655037486,184,0.905727,0.000000,0.000000,0.000000,events/second
1655037489,184,0.892530,0.000000,0.000000,0.000000,events/second
1655037492,187,0.894009,0.000000,0.000000,0.000000,events/second
1655037495,187,0.881326,0.000000,0.000000,0.000000,events/second
1655037498,187,0.868099,0.000000,0.000000,0.000000,events/second
1655037501,187,0.857141,0.000000,0.000000,0.000000,events/second
1655037504,187,0.845504,0.000000,0.000000,0.000000,events/second
1655037507,187,0.833347,0.000000,0.000000,0.000000,events/second
1655037510,187,0.823220,0.000000,0.000000,0.000000,events/second
1655037513,190,0.825522,0.000000,0.000000,0.000000,events/second
1655037516,190,0.814794,0.000000,0.000000,0.000000,events/second
1655037519,190,0.804566,0.000000,0.000000,0.000000,events/second
1655037522,190,0.794459,0.000000,0.000000,0.000000,events/second
1655037525,190,0.782975,0.000000,0.000000,0.000000,events/second
1655037528,190,0.775010,0.000000,0.000000,0.000000,events/second
1655037531,191,0.769630,0.000000,0.000000,0.000000,events/second
1655037534,193,0.768437,0.000000,0.000000,0.000000,events/second
1655037537,193,0.759287,0.000000,0.000000,0.000000,events/second
1655037540,193,0.750485,0.000000,0.000000,0.000000,events/second
1655037543,193,0.741022,0.000000,0.000000,0.000000,events/second
1655037546,193,0.733405,0.000000,0.000000,0.000000,events/second
1655037549,193,0.725039,0.000000,0.000000,0.000000,events/second
1655037552,196,0.727606,0.000000,0.000000,0.000000,events/second
1655037555,196,0.720144,0.000000,0.000000,0.000000,events/second
1655037558,196,0.712306,0.000000,0.000000,0.000000,events/second
1655037561,196,0.704605,0.000000,0.000000,0.000000,events/second
1655037564,196,0.696914,0.000000,0.000000,0.000000,events/second
1655037567,196,0.689764,0.000000,0.000000,0.000000,events/second
1655037570,196,0.682545,0.000000,0.000000,0.000000,events/second
1655037573,199,0.685829,0.000000,0.000000,0.000000,events/second
1655037576,199,0.678822,0.000000,0.000000,0.000000,events/second
1655037579,199,0.671891,0.000000,0.000000,0.000000,events/second
1655037582,199,0.665213,0.000000,0.000000,0.000000,events/second
1655037585,199,0.658607,0.000000,0.000000,0.000000,events/second
1655037588,199,0.652126,0.000000,0.000000,0.000000,events/second
1655037591,200,0.649028,0.000000,0.000000,0.000000,events/second
1655037594,202,0.649175,0.000000,0.000000,0.000000,events/second
1655037597,202,0.642958,0.000000,0.000000,0.000000,events/second
1655037600,202,0.636908,0.000000,0.000000,0.000000,events/second
1655037603,202,0.630934,0.000000,0.000000,0.000000,events/second
1655037606,202,0.625068,0.000000,0.000000,0.000000,events/second
1655037609,202,0.619331,0.000000,0.000000,0.000000,events/second
1655037612,205,0.622787,0.000000,0.000000,0.000000,events/second
1655037615,205,0.617173,0.000000,0.000000,0.000000,events/second
1655037618,205,0.611635,0.000000,0.000000,0.000000,events/second
1655037621,205,0.606187,0.000000,0.000000,0.000000,events/second
1655037624,205,0.600900,0.000000,0.000000,0.000000,events/second
1655037627,205,0.595651,0.000000,0.000000,0.000000,events/second
1655037630,205,0.590522,0.000000,0.000000,0.000000,events/second
1655037633,208,0.594027,0.000000,0.000000,0.000000,events/second
1655037636,208,0.588984,0.000000,0.000000,0.000000,events/second
1655037639,208,0.584016,0.000000,0.000000,0.000000,events/second
1655037642,208,0.579137,0.000000,0.000000,0.000000,events/second
1655037645,208,0.574336,0.000000,0.000000,0.000000,events/second
1655037648,208,0.569593,0.000000,0.000000,0.000000,events/second
1655037651,209,0.567687,0.000000,0.000000,0.000000,events/second
1655037654,211,0.568480,0.000000,0.000000,0.000000,events/second
1655037657,211,0.563923,0.000000,0.000000,0.000000,events/second
1655037660,211,0.559444,0.000000,0.000000,0.000000,events/second
1655037663,211,0.554873,0.000000,0.000000,0.000000,events/second
1655037666,211,0.550682,0.000000,0.000000,0.000000,events/second
1655037669,211,0.546415,0.000000,0.000000,0.000000,events/second
1655037672,214,0.549905,0.000000,0.000000,0.000000,events/second
1655037675,214,0.545683,0.000000,0.000000,0.000000,events/second
1655037678,214,0.541545,0.000000,0.000000,0.000000,events/second
1655037681,214,0.537480,0.000000,0.000000,0.000000,events/second
1655037684,214,0.533457,0.000000,0.000000,0.000000,events/second
1655037687,214,0.529494,0.000000,0.000000,0.000000,events/second
1655037690,214,0.525595,0.000000,0.000000,0.000000,events/second
1655037693,217,0.529072,0.000000,0.000000,0.000000,events/second
1655037696,217,0.525224,0.000000,0.000000,0.000000,events/second
1655037699,217,0.521445,0.000000,0.000000,0.000000,events/second
1655037702,217,0.517713,0.000000,0.000000,0.000000,events/second
1655037705,217,0.514021,0.000000,0.000000,0.000000,events/second
1655037708,217,0.510387,0.000000,0.000000,0.000000,events/second
1655037711,218,0.509142,0.000000,0.000000,0.000000,events/second
1655037714,220,0.510259,0.000000,0.000000,0.000000,events/second
1655037717,220,0.506723,0.000000,0.000000,0.000000,events/second
1655037720,220,0.503213,0.000000,0.000000,0.000000,events/second
1655037723,220,0.499827,0.000000,0.000000,0.000000,events/second
1655037726,220,0.496436,0.000000,0.000000,0.000000,events/second
1655037729,220,0.493101,0.000000,0.000000,0.000000,events/second
1655037732,223,0.496492,0.000000,0.000000,0.000000,events/second
1655037735,223,0.493191,0.000000,0.000000,0.000000,events/second
1655037738,223,0.489948,0.000000,0.000000,0.000000,events/second
1655037741,223,0.486728,0.000000,0.000000,0.000000,events/second
1655037744,223,0.483555,0.000000,0.000000,0.000000,events/second
1655037747,223,0.480435,0.000000,0.000000,0.000000,events/second
1655037750,223,0.477349,0.000000,0.000000,0.000000,events/second
1655037753,226,0.480683,0.000000,0.000000,0.000000,events/second
1655037756,226,0.477635,0.000000,0.000000,0.000000,events/second
1655037759,226,0.474631,0.000000,0.000000,0.000000,events/second
1655037762,226,0.471655,0.000000,0.000000,0.000000,events/second
1655037765,226,0.468720,0.000000,0.000000,0.000000,events/second
1655037768,226,0.465830,0.000000,0.000000,0.000000,events/second
1655037771,227,0.465011,0.000000,0.000000,0.000000,events/second
1655037774,229,0.466232,0.000000,0.000000,0.000000,events/second
1655037777,229,0.463399,0.000000,0.000000,0.000000,events/second
1655037780,229,0.460611,0.000000,0.000000,0.000000,events/second
1655037783,229,0.457842,0.000000,0.000000,0.000000,events/second
1655037786,229,0.455121,0.000000,0.000000,0.000000,events/second
1655037789,229,0.452415,0.000000,0.000000,0.000000,events/second
1655037792,232,0.455648,0.000000,0.000000,0.000000,events/second
1655037795,232,0.451263,0.000000,0.000000,0.000000,events/second
1655037798,232,0.450270,0.000000,0.000000,0.000000,events/second
1655037801,232,0.447694,0.000000,0.000000,0.000000,events/second
1655037804,232,0.445134,0.000000,0.000000,0.000000,events/second
1655037807,232,0.442581,0.000000,0.000000,0.000000,events/second
1655037810,232,0.440071,0.000000,0.000000,0.000000,events/second
1655037813,235,0.443219,0.000000,0.000000,0.000000,events/second
1655037816,235,0.440703,0.000000,0.000000,0.000000,events/second
1655037819,235,0.438285,0.000000,0.000000,0.000000,events/second
1655037822,235,0.435852,0.000000,0.000000,0.000000,events/second
1655037825,235,0.433403,0.000000,0.000000,0.000000,events/second
1655037828,235,0.431066,0.000000,0.000000,0.000000,events/second
1655037831,236,0.430499,0.000000,0.000000,0.000000,events/second
1655037834,238,0.431803,0.000000,0.000000,0.000000,events/second
1655037837,238,0.429462,0.000000,0.000000,0.000000,events/second
1655037840,238,0.427154,0.000000,0.000000,0.000000,events/second
1655037843,238,0.424867,0.000000,0.000000,0.000000,events/second
1655037846,238,0.422337,0.000000,0.000000,0.000000,events/second
1655037849,238,0.420293,0.000000,0.000000,0.000000,events/second
1655037852,241,0.423422,0.000000,0.000000,0.000000,events/second
1655037855,241,0.421197,0.000000,0.000000,0.000000,events/second
1655037858,241,0.419004,0.000000,0.000000,0.000000,events/second
1655037861,241,0.416812,0.000000,0.000000,0.000000,events/second
1655037864,241,0.414668,0.000000,0.000000,0.000000,events/second
1655037867,241,0.412545,0.000000,0.000000,0.000000,events/second
1655037870,241,0.410437,0.000000,0.000000,0.000000,events/second
1655037873,244,0.413441,0.000000,0.000000,0.000000,events/second
1655037876,244,0.411353,0.000000,0.000000,0.000000,events/second
1655037879,244,0.409254,0.000000,0.000000,0.000000,events/second
1655037882,244,0.407236,0.000000,0.000000,0.000000,events/second
1655037885,244,0.405208,0.000000,0.000000,0.000000,events/second
1655037888,244,0.403195,0.000000,0.000000,0.000000,events/second
1655037891,245,0.402845,0.000000,0.000000,0.000000,events/second
1655037894,247,0.404146,0.000000,0.000000,0.000000,events/second
1655037897,247,0.402171,0.000000,0.000000,0.000000,events/second
1655037900,247,0.400214,0.000000,0.000000,0.000000,events/second
1655037903,247,0.398278,0.000000,0.000000,0.000000,events/second
1655037906,247,0.396361,0.000000,0.000000,0.000000,events/second
1655037909,247,0.394469,0.000000,0.000000,0.000000,events/second
1655037912,251,0.398937,0.000000,0.000000,0.000000,events/second
1655037915,251,0.397048,0.000000,0.000000,0.000000,events/second
1655037918,251,0.395173,0.000000,0.000000,0.000000,events/second
1655037921,251,0.393316,0.000000,0.000000,0.000000,events/second
1655037924,251,0.391476,0.000000,0.000000,0.000000,events/second
1655037927,251,0.389653,0.000000,0.000000,0.000000,events/second
1655037930,251,0.387849,0.000000,0.000000,0.000000,events/second
1655037933,254,0.390664,0.000000,0.000000,0.000000,events/second
1655037936,254,0.388880,0.000000,0.000000,0.000000,events/second
1655037939,254,0.387090,0.000000,0.000000,0.000000,events/second
1655037942,254,0.385330,0.000000,0.000000,0.000000,events/second
1655037945,254,0.383587,0.000000,0.000000,0.000000,events/second
1655037948,254,0.381434,0.000000,0.000000,0.000000,events/second
1655037951,255,0.381379,0.000000,0.000000,0.000000,events/second
1655037954,257,0.382895,0.000000,0.000000,0.000000,events/second
1655037957,257,0.381185,0.000000,0.000000,0.000000,events/second
1655037960,257,0.379520,0.000000,0.000000,0.000000,events/second
1655037963,257,0.377819,0.000000,0.000000,0.000000,events/second
1655037966,257,0.376190,0.000000,0.000000,0.000000,events/second
1655037969,257,0.374547,0.000000,0.000000,0.000000,events/second
1655037972,260,0.377265,0.000000,0.000000,0.000000,events/second
1655037975,260,0.375607,0.000000,0.000000,0.000000,events/second
1655037978,260,0.374011,0.000000,0.000000,0.000000,events/second
1655037981,260,0.372404,0.000000,0.000000,0.000000,events/second
1655037984,260,0.370813,0.000000,0.000000,0.000000,events/second
1655037987,260,0.369233,0.000000,0.000000,0.000000,events/second
1655037990,260,0.367663,0.000000,0.000000,0.000000,events/second
1655037993,263,0.370336,0.000000,0.000000,0.000000,events/second
1655037996,263,0.368781,0.000000,0.000000,0.000000,events/second
1655037999,263,0.367048,0.000000,0.000000,0.000000,events/second
1655038002,263,0.365697,0.000000,0.000000,0.000000,events/second
1655038005,263,0.364175,0.000000,0.000000,0.000000,events/second
1655038008,263,0.362671,0.000000,0.000000,0.000000,events/second
1655038011,264,0.362552,0.000000,0.000000,0.000000,events/second
1655038014,266,0.363793,0.000000,0.000000,0.000000,events/second
1655038017,266,0.362275,0.000000,0.000000,0.000000,events/second
1655038020,266,0.360838,0.000000,0.000000,0.000000,events/second
1655038023,266,0.359376,0.000000,0.000000,0.000000,events/second
1655038026,266,0.357927,0.000000,0.000000,0.000000,events/second
1655038029,266,0.356493,0.000000,0.000000,0.000000,events/second
1655038032,269,0.359069,0.000000,0.000000,0.000000,events/second
1655038035,269,0.357634,0.000000,0.000000,0.000000,events/second
1655038038,269,0.356214,0.000000,0.000000,0.000000,events/second
1655038041,269,0.354804,0.000000,0.000000,0.000000,events/second
1655038044,269,0.353402,0.000000,0.000000,0.000000,events/second
1655038047,269,0.352014,0.000000,0.000000,0.000000,events/second
1655038050,269,0.350643,0.000000,0.000000,0.000000,events/second
1655038053,272,0.353171,0.000000,0.000000,0.000000,events/second
1655038056,272,0.351801,0.000000,0.000000,0.000000,events/second
1655038059,272,0.350433,0.000000,0.000000,0.000000,events/second
1655038062,272,0.349089,0.000000,0.000000,0.000000,events/second
1655038065,272,0.347738,0.000000,0.000000,0.000000,events/second
1655038068,272,0.346421,0.000000,0.000000,0.000000,events/second
1655038071,273,0.346364,0.000000,0.000000,0.000000,events/second
1655038074,275,0.347574,0.000000,0.000000,0.000000,events/second
1655038077,275,0.346269,0.000000,0.000000,0.000000,events/second
1655038080,275,0.344968,0.000000,0.000000,0.000000,events/second
1655038083,275,0.343601,0.000000,0.000000,0.000000,events/second
1655038086,275,0.342383,0.000000,0.000000,0.000000,events/second
1655038089,275,0.341120,0.000000,0.000000,0.000000,events/second
1655038092,278,0.343564,0.000000,0.000000,0.000000,events/second
1655038095,278,0.342296,0.000000,0.000000,0.000000,events/second
1655038098,278,0.341028,0.000000,0.000000,0.000000,events/second
1655038101,278,0.339767,0.000000,0.000000,0.000000,events/second
1655038104,278,0.338505,0.000000,0.000000,0.000000,events/second
1655038107,278,0.337306,0.000000,0.000000,0.000000,events/second
1655038110,278,0.336079,0.000000,0.000000,0.000000,events/second
1655038113,281,0.338443,0.000000,0.000000,0.000000,events/second
1655038116,281,0.337257,0.000000,0.000000,0.000000,events/second
1655038119,281,0.336054,0.000000,0.000000,0.000000,events/second
1655038122,281,0.334855,0.000000,0.000000,0.000000,events/second
1655038125,281,0.333664,0.000000,0.000000,0.000000,events/second
1655038128,281,0.332477,0.000000,0.000000,0.000000,events/second
1655038131,282,0.332475,0.000000,0.000000,0.000000,events/second
1655038134,284,0.333660,0.000000,0.000000,0.000000,events/second
1655038137,284,0.332486,0.000000,0.000000,0.000000,events/second
1655038140,284,0.331325,0.000000,0.000000,0.000000,events/second
1655038143,284,0.330163,0.000000,0.000000,0.000000,events/second
1655038146,284,0.329019,0.000000,0.000000,0.000000,events/second
1655038149,284,0.327886,0.000000,0.000000,0.000000,events/second
1655038152,287,0.330200,0.000000,0.000000,0.000000,events/second
1655038155,287,0.329066,0.000000,0.000000,0.000000,events/second
1655038158,287,0.327934,0.000000,0.000000,0.000000,events/second
1655038161,287,0.326813,0.000000,0.000000,0.000000,events/second
1655038164,287,0.325692,0.000000,0.000000,0.000000,events/second
1655038167,287,0.324592,0.000000,0.000000,0.000000,events/second
1655038170,287,0.323499,0.000000,0.000000,0.000000,events/second
1655038173,290,0.325573,0.000000,0.000000,0.000000,events/second
1655038176,290,0.324682,0.000000,0.000000,0.000000,events/second
1655038179,290,0.323602,0.000000,0.000000,0.000000,events/second
1655038182,290,0.322518,0.000000,0.000000,0.000000,events/second
1655038185,290,0.321446,0.000000,0.000000,0.000000,events/second
1655038188,290,0.320381,0.000000,0.000000,0.000000,events/second
1655038191,290,0.319322,0.000000,0.000000,0.000000,events/second
1655038194,293,0.321568,0.000000,0.000000,0.000000,events/second
1655038197,293,0.320513,0.000000,0.000000,0.000000,events/second
1655038200,293,0.319459,0.000000,0.000000,0.000000,events/second
1655038203,293,0.318421,0.000000,0.000000,0.000000,events/second
1655038206,293,0.317384,0.000000,0.000000,0.000000,events/second
1655038209,293,0.316361,0.000000,0.000000,0.000000,events/second
1655038212,293,0.315336,0.000000,0.000000,0.000000,events/second
1655038215,296,0.317538,0.000000,0.000000,0.000000,events/second
1655038218,296,0.316521,0.000000,0.000000,0.000000,events/second
1655038221,296,0.315507,0.000000,0.000000,0.000000,events/second
1655038224,296,0.314504,0.000000,0.000000,0.000000,events/second
1655038227,296,0.313504,0.000000,0.000000,0.000000,events/second
1655038230,296,0.312511,0.000000,0.000000,0.000000,events/second
1655038233,299,0.314681,0.000000,0.000000,0.000000,events/second
1655038236,299,0.313691,0.000000,0.000000,0.000000,events/second
1655038239,299,0.312708,0.000000,0.000000,0.000000,events/second
1655038242,299,0.311729,0.000000,0.000000,0.000000,events/second
1655038245,299,0.310758,0.000000,0.000000,0.000000,events/second
1655038248,299,0.309791,0.000000,0.000000,0.000000,events/second
1655038251,299,0.308830,0.000000,0.000000,0.000000,events/second
1655038254,302,0.310963,0.000000,0.000000,0.000000,events/second
1655038257,302,0.310006,0.000000,0.000000,0.000000,events/second
1655038260,302,0.309054,0.000000,0.000000,0.000000,events/second
1655038263,302,0.308080,0.000000,0.000000,0.000000,events/second
1655038266,302,0.307174,0.000000,0.000000,0.000000,events/second
1655038269,302,0.306219,0.000000,0.000000,0.000000,events/second
1655038272,302,0.305301,0.000000,0.000000,0.000000,events/second
1655038275,305,0.307403,0.000000,0.000000,0.000000,events/second
1655038278,305,0.306481,0.000000,0.000000,0.000000,events/second
1655038281,305,0.305559,0.000000,0.000000,0.000000,events/second
1655038284,305,0.304645,0.000000,0.000000,0.000000,events/second
1655038287,305,0.303733,0.000000,0.000000,0.000000,events/second
1655038290,305,0.302829,0.000000,0.000000,0.000000,events/second
1655038293,308,0.304897,0.000000,0.000000,0.000000,events/second
1655038296,308,0.303998,0.000000,0.000000,0.000000,events/second
1655038299,308,0.303100,0.000000,0.000000,0.000000,events/second
1655038302,308,0.302208,0.000000,0.000000,0.000000,events/second
1655038305,308,0.301318,0.000000,0.000000,0.000000,events/second
1655038308,308,0.300437,0.000000,0.000000,0.000000,events/second
1655038311,308,0.299561,0.000000,0.000000,0.000000,events/second
1655038314,311,0.301598,0.000000,0.000000,0.000000,events/second
1655038317,311,0.300725,0.000000,0.000000,0.000000,events/second
1655038320,311,0.299855,0.000000,0.000000,0.000000,events/second
1655038323,311,0.298990,0.000000,0.000000,0.000000,events/second
1655038326,311,0.298131,0.000000,0.000000,0.000000,events/second
1655038329,311,0.297277,0.000000,0.000000,0.000000,events/second
1655038332,311,0.296424,0.000000,0.000000,0.000000,events/second
1655038335,314,0.298434,0.000000,0.000000,0.000000,events/second
1655038338,314,0.297585,0.000000,0.000000,0.000000,events/second
1655038341,314,0.296739,0.000000,0.000000,0.000000,events/second
1655038344,314,0.295903,0.000000,0.000000,0.000000,events/second
1655038347,314,0.295067,0.000000,0.000000,0.000000,events/second
1655038350,314,0.294227,0.000000,0.000000,0.000000,events/second
