t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,95,8.119042,0.000000,0.000000,0.000000,events/second
1655037297,98,6.770592,0.000000,0.000000,0.000000,events/second
1655037300,98,5.656356,0.000000,0.000000,0.000000,events/second
1655037303,98,4.844317,0.000000,0.000000,0.000000,events/second
1655037306,98,4.218074,0.000000,0.000000,0.000000,events/second
1655037309,98,3.716174,0.000000,0.000000,0.000000,events/second
1655037312,108,3.429804,0.000000,0.000000,0.000000,events/second
1655037315,108,3.344085,0.000000,0.000000,0.000000,events/second
1655037318,108,2.986239,0.000000,0.000000,0.000000,events/second
1655037321,108,2.828575,0.000000,0.000000,0.000000,events/second
1655037324,108,2.623090,0.000000,0.000000,0.000000,events/second
1655037327,113,2.557270,0.000000,0.000000,0.000000,events/second
1655037330,113,2.393308,0.000000,0.000000,0.000000,events/second
1655037333,118,2.352171,0.000000,0.000000,0.000000,events/second
1655037336,118,2.219313,0.000000,0.000000,0.000000,events/second
1655037339,118,2.100736,0.000000,0.000000,0.000000,events/second
1655037342,118,1.990688,0.000000,0.000000,0.000000,events/second
1655037345,118,1.897955,0.000000,0.000000,0.000000,events/second
1655037348,118,1.810765,0.000000,0.000000,0.000000,events/second
1655037351,121,1.774347,0.000000,0.000000,0.000000,events/second
1655037354,121,1.700340,0.000000,0.000000,0.000000,events/second
1655037357,121,1.631445,0.000000,0.000000,0.000000,events/second
1655037360,121,1.567897,0.000000,0.000000,0.000000,events/second
1655037363,121,1.509206,0.000000,0.000000,0.000000,events/second
1655037366,121,1.454920,0.000000,0.000000,0.000000,events/second
1655037369,121,1.403602,0.000000,0.000000,0.000000,events/second
1655037372,124,1.389731,0.000000,0.000000,0.000000,events/second
1655037375,124,1.344888,0.000000,0.000000,0.000000,events/second
1655037378,124,1.302901,0.000000,0.000000,0.000000,events/second
1655037381,124,1.262596,0.000000,0.000000,0.000000,events/second
1655037384,124,1.225683,0.000000,0.000000,0.000000,events/second
1655037387,124,1.190381,0.000000,0.000000,0.000000,events/second
1655037390,124,1.157092,0.000000,0.000000,0.000000,events/second
1655037393,127,1.152813,0.000000,0.000000,0.000000,events/second
1655037396,127,1.122336,0.000000,0.000000,0.000000,events/second
1655037399,127,1.093356,0.000000,0.000000,0.000000,events/second
1655037402,127,1.065047,0.000000,0.000000,0.000000,events/second
1655037405,127,1.039191,0.000000,0.000000,0.000000,events/second
1655037408,127,1.014465,0.000000,0.000000,0.000000,events/second
1655037411,129,1.006260,0.000000,0.000000,0.000000,events/second
1655037414,130,0.990843,0.000000,0.000000,0.000000,events/second
1655037417,130,0.968332,0.000000,0.000000,0.000000,events/second
1655037420,130,0.947789,0.000000,0.000000,0.000000,events/second
1655037423,130,0.927396,0.000000,0.000000,0.000000,events/second
1655037426,130,0.908099,0.000000,0.000000,0.000000,events/second
1655037429,130,0.889440,0.000000,0.000000,0.000000,events/second
1655037432,133,0.891556,0.000000,0.000000,0.000000,events/second
1655037435,133,0.874033,0.000000,0.000000,0.000000,events/second
1655037438,133,0.857163,0.000000,0.000000,0.000000,events/second
1655037441,133,0.840895,0.000000,0.000000,0.000000,events/second
1655037444,133,0.825300,0.000000,0.000000,0.000000,events/second
1655037447,133,0.810188,0.000000,0.000000,0.000000,events/second
1655037450,133,0.795647,0.000000,0.000000,0.000000,events/second
1655037453,136,0.799270,0.000000,0.000000,0.000000,events/second
1655037456,136,0.785396,0.000000,0.000000,0.000000,events/second
1655037459,136,0.772029,0.000000,0.000000,0.000000,events/second
1655037462,136,0.759086,0.000000,0.000000,0.000000,events/second
1655037465,136,0.746597,0.000000,0.000000,0.000000,events/second
1655037468,136,0.734432,0.000000,0.000000,0.000000,events/second
1655037471,139,0.738528,0.000000,0.000000,0.000000,events/second
1655037474,139,0.727149,0.000000,0.000000,0.000000,events/second
1655037477,139,0.715876,0.000000,0.000000,0.000000,events/second
1655037480,139,0.705039,0.000000,0.000000,0.000000,events/second
1655037483,139,0.694436,0.000000,0.000000,0.000000,events/second
1655037486,139,0.684217,0.000000,0.000000,0.000000,events/second
1655037489,139,0.674248,0.000000,0.000000,0.000000,events/second
1655037492,142,0.678872,0.000000,0.000000,0.000000,events/second
1655037495,142,0.669242,0.000000,0.000000,0.000000,events/second
1655037498,142,0.659197,0.000000,0.000000,0.000000,events/second
1655037501,142,0.650876,0.000000,0.000000,0.000000,events/second
1655037504,142,0.642040,0.000000,0.000000,0.000000,events/second
1655037507,142,0.632808,0.000000,0.000000,0.000000,events/second
1655037510,142,0.625119,0.000000,0.000000,0.000000,events/second
1655037513,145,0.630003,0.000000,0.000000,0.000000,events/second
1655037516,145,0.621815,0.000000,0.000000,0.000000,events/second
1655037519,145,0.614011,0.000000,0.000000,0.000000,events/second
1655037522,145,0.606297,0.000000,0.000000,0.000000,events/second
1655037525,145,0.597533,0.000000,0.000000,0.000000,events/second
1655037528,145,0.591455,0.000000,0.000000,0.000000,events/second
1655037531,146,0.588303,0.000000,0.000000,0.000000,events/second
1655037534,148,0.589267,0.000000,0.000000,0.000000,events/second
1655037537,148,0.582251,0.000000,0.000000,0.000000,events/second
1655037540,148,0.575501,0.000000,0.000000,0.000000,events/second
1655037543,148,0.568245,0.000000,0.000000,0.000000,events/second
1655037546,148,0.562404,0.000000,0.000000,0.000000,events/second
1655037549,148,0.555988,0.000000,0.000000,0.000000,events/second
1655037552,151,0.560553,0.000000,0.000000,0.000000,events/second
1655037555,151,0.554804,0.000000,0.000000,0.000000,events/second
1655037558,151,0.548766,0.000000,0.000000,0.000000,events/second
1655037561,151,0.542833,0.000000,0.000000,0.000000,events/second
1655037564,151,0.536908,0.000000,0.000000,0.000000,events/second
1655037567,151,0.531400,0.000000,0.000000,0.000000,events/second
1655037570,151,0.525838,0.000000,0.000000,0.000000,events/second
1655037573,154,0.530742,0.000000,0.000000,0.000000,events/second
1655037576,154,0.525319,0.000000,0.000000,0.000000,events/second
1655037579,154,0.519934,0.000000,0.000000,0.000000,events/second
1655037582,154,0.514788,0.000000,0.000000,0.000000,events/second
1655037585,154,0.509676,0.000000,0.000000,0.000000,events/second
1655037588,154,0.504661,0.000000,0.000000,0.000000,events/second
1655037591,155,0.502997,0.000000,0.000000,0.000000,events/second
1655037594,157,0.504557,0.000000,0.000000,0.000000,events/second
1655037597,157,0.499725,0.000000,0.000000,0.000000,events/second
1655037600,157,0.495023,0.000000,0.000000,0.000000,events/second
1655037603,157,0.490380,0.000000,0.000000,0.000000,events/second
1655037606,157,0.485820,0.000000,0.000000,0.000000,events/second
1655037609,157,0.481361,0.000000,0.000000,0.000000,events/second
1655037612,160,0.486077,0.000000,0.000000,0.000000,events/second
1655037615,160,0.481696,0.000000,0.000000,0.000000,events/second
1655037618,160,0.477374,0.000000,0.000000,0.000000,events/second
1655037621,160,0.473121,0.000000,0.000000,0.000000,events/second
1655037624,160,0.468995,0.000000,0.000000,0.000000,events/second
1655037627,160,0.464898,0.000000,0.000000,0.000000,events/second
1655037630,160,0.460895,0.000000,0.000000,0.000000,events/second
1655037633,163,0.465512,0.000000,0.000000,0.000000,events/second
1655037636,163,0.461560,0.000000,0.000000,0.000000,events/second
1655037639,163,0.457666,0.000000,0.000000,0.000000,events/second
1655037642,163,0.453843,0.000000,0.000000,0.000000,events/second
1655037645,163,0.450080,0.000000,0.000000,0.000000,events/second
1655037648,163,0.446364,0.000000,0.000000,0.000000,events/second
1655037651,164,0.445458,0.000000,0.000000,0.000000,events/second
1655037654,166,0.447240,0.000000,0.000000,0.000000,events/second
1655037657,166,0.443655,0.000000,0.000000,0.000000,events/second
1655037660,166,0.440131,0.000000,0.000000,0.000000,events/second
1655037663,166,0.436535,0.000000,0.000000,0.000000,events/second
1655037666,166,0.433238,0.000000,0.000000,0.000000,events/second
1655037669,166,0.429881,0.000000,0.000000,0.000000,events/second
1655037672,169,0.434269,0.000000,0.000000,0.000000,events/second
1655037675,169,0.430936,0.000000,0.000000,0.000000,events/second
1655037678,169,0.427669,0.000000,0.000000,0.000000,events/second
1655037681,169,0.424458,0.000000,0.000000,0.000000,events/second
1655037684,169,0.421282,0.000000,0.000000,0.000000,events/second
1655037687,169,0.418152,0.000000,0.000000,0.000000,events/second
1655037690,169,0.415072,0.000000,0.000000,0.000000,events/second
1655037693,172,0.419357,0.000000,0.000000,0.000000,events/second
1655037696,172,0.416307,0.000000,0.000000,0.000000,events/second
1655037699,172,0.413311,0.000000,0.000000,0.000000,events/second
1655037702,172,0.410353,0.000000,0.000000,0.000000,events/second
1655037705,172,0.407426,0.000000,0.000000,0.000000,events/second
1655037708,172,0.404546,0.000000,0.000000,0.000000,events/second
1655037711,173,0.404044,0.000000,0.000000,0.000000,events/second
1655037714,175,0.405888,0.000000,0.000000,0.000000,events/second
1655037717,175,0.403075,0.000000,0.000000,0.000000,events/second
1655037720,175,0.400283,0.000000,0.000000,0.000000,events/second
1655037723,175,0.397590,0.000000,0.000000,0.000000,events/second
1655037726,175,0.394893,0.000000,0.000000,0.000000,events/second
1655037729,175,0.392240,0.000000,0.000000,0.000000,events/second
1655037732,178,0.396303,0.000000,0.000000,0.000000,events/second
1655037735,178,0.393668,0.000000,0.000000,0.000000,events/second
1655037738,178,0.391079,0.000000,0.000000,0.000000,events/second
1655037741,178,0.388509,0.000000,0.000000,0.000000,events/second
1655037744,178,0.385976,0.000000,0.000000,0.000000,events/second
1655037747,178,0.383486,0.000000,0.000000,0.000000,events/second
1655037750,178,0.381023,0.000000,0.000000,0.000000,events/second
1655037753,181,0.384972,0.000000,0.000000,0.000000,events/second
1655037756,181,0.382531,0.000000,0.000000,0.000000,events/second
1655037759,181,0.380125,0.000000,0.000000,0.000000,events/second
1655037762,181,0.377741,0.000000,0.000000,0.000000,events/second
1655037765,181,0.375391,0.000000,0.000000,0.000000,events/second
1655037768,181,0.373076,0.000000,0.000000,0.000000,events/second
1655037771,182,0.372828,0.000000,0.000000,0.000000,events/second
1655037774,184,0.374614,0.000000,0.000000,0.000000,events/second
1655037777,184,0.372338,0.000000,0.000000,0.000000,events/second
1655037780,184,0.370098,0.000000,0.000000,0.000000,events/second
1655037783,184,0.367873,0.000000,0.000000,0.000000,events/second
1655037786,184,0.365687,0.000000,0.000000,0.000000,events/second
1655037789,184,0.363513,0.000000,0.000000,0.000000,events/second
1655037792,187,0.367268,0.000000,0.000000,0.000000,events/second
1655037795,187,0.363733,0.000000,0.000000,0.000000,events/second
1655037798,187,0.362933,0.000000,0.000000,0.000000,events/second
1655037801,187,0.360857,0.000000,0.000000,0.000000,events/second
1655037804,187,0.358793,0.000000,0.000000,0.000000,events/second
1655037807,187,0.356736,0.000000,0.000000,0.000000,events/second
1655037810,187,0.354712,0.000000,0.000000,0.000000,events/second
1655037813,190,0.358347,0.000000,0.000000,0.000000,events/second
1655037816,190,0.356313,0.000000,0.000000,0.000000,events/second
1655037819,190,0.354358,0.000000,0.000000,0.000000,events/second
1655037822,190,0.352391,0.000000,0.000000,0.000000,events/second
