t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,45,3.845393,0.000000,0.000000,0.000000,events/second
1655037297,45,3.108776,0.000000,0.000000,0.000000,events/second
1655037300,45,2.597256,0.000000,0.000000,0.000000,events/second
1655037303,45,2.224331,0.000000,0.000000,0.000000,events/second
1655037306,45,1.936846,0.000000,0.000000,0.000000,events/second
1655037309,45,1.706379,0.000000,0.000000,0.000000,events/second
1655037312,45,1.428952,0.000000,0.000000,0.000000,events/second
1655037315,45,1.393346,0.000000,0.000000,0.000000,events/second
1655037318,45,1.244258,0.000000,0.000000,0.000000,events/second
1655037321,45,1.178566,0.000000,0.000000,0.000000,events/second
1655037324,45,1.092947,0.000000,0.000000,0.000000,events/second
1655037327,45,1.018377,0.000000,0.000000,0.000000,events/second
1655037330,45,0.953082,0.000000,0.000000,0.000000,events/second
1655037333,45,0.897013,0.000000,0.000000,0.000000,events/second
1655037336,45,0.846346,0.000000,0.000000,0.000000,events/second
1655037339,45,0.801126,0.000000,0.000000,0.000000,events/second
1655037342,45,0.759159,0.000000,0.000000,0.000000,events/second
1655037345,45,0.723795,0.000000,0.000000,0.000000,events/second
1655037348,45,0.690545,0.000000,0.000000,0.000000,events/second
1655037351,45,0.659880,0.000000,0.000000,0.000000,events/second
1655037354,45,0.632357,0.000000,0.000000,0.000000,events/second
1655037357,45,0.606735,0.000000,0.000000,0.000000,events/second
1655037360,45,0.583101,0.000000,0.000000,0.000000,events/second
1655037363,45,0.561274,0.000000,0.000000,0.000000,events/second
1655037366,45,0.541085,0.000000,0.000000,0.000000,events/second
1655037369,45,0.522000,0.000000,0.000000,0.000000,events/second
1655037372,45,0.504337,0.000000,0.000000,0.000000,events/second
1655037375,45,0.488063,0.000000,0.000000,0.000000,events/second
1655037378,45,0.472827,0.000000,0.000000,0.000000,events/second
1655037381,45,0.458199,0.000000,0.000000,0.000000,events/second
1655037384,45,0.444804,0.000000,0.000000,0.000000,events/second
1655037387,45,0.431993,0.000000,0.000000,0.000000,events/second
1655037390,45,0.419912,0.000000,0.000000,0.000000,events/second
1655037393,45,0.408477,0.000000,0.000000,0.000000,events/second
1655037396,45,0.397678,0.000000,0.000000,0.000000,events/second
1655037399,45,0.387409,0.000000,0.000000,0.000000,events/second
1655037402,45,0.377379,0.000000,0.000000,0.000000,events/second
1655037405,45,0.368216,0.000000,0.000000,0.000000,events/second
1655037408,45,0.359456,0.000000,0.000000,0.000000,events/second
1655037411,45,0.351021,0.000000,0.000000,0.000000,events/second
1655037414,45,0.342977,0.000000,0.000000,0.000000,events/second
1655037417,45,0.335191,0.000000,0.000000,0.000000,events/second
1655037420,45,0.328081,0.000000,0.000000,0.000000,events/second
1655037423,45,0.321021,0.000000,0.000000,0.000000,events/second
1655037426,45,0.314342,0.000000,0.000000,0.000000,events/second
1655037429,45,0.307883,0.000000,0.000000,0.000000,events/second
1655037432,45,0.301654,0.000000,0.000000,0.000000,events/second
1655037435,45,0.295725,0.000000,0.000000,0.000000,events/second
1655037438,45,0.290017,0.000000,0.000000,0.000000,events/second
1655037441,45,0.284513,0.000000,0.000000,0.000000,events/second
1655037444,45,0.279237,0.000000,0.000000,0.000000,events/second
1655037447,45,0.274124,0.000000,0.000000,0.000000,events/second
1655037450,45,0.269204,0.000000,0.000000,0.000000,events/second
1655037453,45,0.264464,0.000000,0.000000,0.000000,events/second
1655037456,45,0.259874,0.000000,0.000000,0.000000,events/second
1655037459,45,0.255451,0.000000,0.000000,0.000000,events/second
1655037462,45,0.251168,0.000000,0.000000,0.000000,events/second
1655037465,45,0.247036,0.000000,0.000000,0.000000,events/second
1655037468,45,0.243010,0.000000,0.000000,0.000000,events/second
1655037471,45,0.239091,0.000000,0.000000,0.000000,events/second
1655037474,45,0.235408,0.000000,0.000000,0.000000,events/second
1655037477,45,0.231758,0.000000,0.000000,0.000000,events/second
1655037480,45,0.228250,0.000000,0.000000,0.000000,events/second
1655037483,45,0.224817,0.000000,0.000000,0.000000,events/second
1655037486,45,0.221509,0.000000,0.000000,0.000000,events/second
1655037489,45,0.218282,0.000000,0.000000,0.000000,events/second
1655037492,45,0.215135,0.000000,0.000000,0.000000,events/second
1655037495,45,0.212084,0.000000,0.000000,0.000000,events/second
1655037498,45,0.208900,0.000000,0.000000,0.000000,events/second
1655037501,45,0.206263,0.000000,0.000000,0.000000,events/second
1655037504,45,0.203463,0.000000,0.000000,0.000000,events/second
1655037507,45,0.200537,0.000000,0.000000,0.000000,events/second
1655037510,45,0.198101,0.000000,0.000000,0.000000,events/second
1655037513,45,0.195518,0.000000,0.000000,0.000000,events/second
1655037516,45,0.192976,0.000000,0.000000,0.000000,events/second
1655037519,45,0.190555,0.000000,0.000000,0.000000,events/second
1655037522,45,0.188161,0.000000,0.000000,0.000000,events/second
1655037525,45,0.185441,0.000000,0.000000,0.000000,events/second
1655037528,45,0.183555,0.000000,0.000000,0.000000,events/second
1655037531,45,0.181326,0.000000,0.000000,0.000000,events/second
1655037534,45,0.179169,0.000000,0.000000,0.000000,events/second
1655037537,45,0.177036,0.000000,0.000000,0.000000,events/second
1655037540,45,0.174983,0.000000,0.000000,0.000000,events/second
1655037543,45,0.172777,0.000000,0.000000,0.000000,events/second
1655037546,45,0.171001,0.000000,0.000000,0.000000,events/second
1655037549,45,0.169050,0.000000,0.000000,0.000000,events/second
1655037552,45,0.167052,0.000000,0.000000,0.000000,events/second
1655037555,45,0.165339,0.000000,0.000000,0.000000,events/second
1655037558,45,0.163540,0.000000,0.000000,0.000000,events/second
1655037561,45,0.161771,0.000000,0.000000,0.000000,events/second
1655037564,45,0.160006,0.000000,0.000000,0.000000,events/second
1655037567,45,0.158364,0.000000,0.000000,0.000000,events/second
1655037570,45,0.156707,0.000000,0.000000,0.000000,events/second
1655037573,45,0.155087,0.000000,0.000000,0.000000,events/second
1655037576,45,0.153502,0.000000,0.000000,0.000000,events/second
1655037579,45,0.151928,0.000000,0.000000,0.000000,events/second
1655037582,45,0.150425,0.000000,0.000000,0.000000,events/second
1655037585,45,0.148931,0.000000,0.000000,0.000000,events/second
1655037588,45,0.147466,0.000000,0.000000,0.000000,events/second
1655037591,45,0.146031,0.000000,0.000000,0.000000,events/second
1655037594,45,0.144618,0.000000,0.000000,0.000000,events/second
1655037597,45,0.143233,0.000000,0.000000,0.000000,events/second
1655037600,45,0.141885,0.000000,0.000000,0.000000,events/second
1655037603,45,0.140555,0.000000,0.000000,0.000000,events/second
1655037606,45,0.139248,0.000000,0.000000,0.000000,events/second
