t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,46,3.929677,0.000000,0.000000,0.000000,events/second
1655037297,46,3.177699,0.000000,0.000000,0.000000,events/second
1655037300,46,2.654863,0.000000,0.000000,0.000000,events/second
1655037303,46,2.273533,0.000000,0.000000,0.000000,events/second
1655037306,46,1.979681,0.000000,0.000000,0.000000,events/second
1655037309,46,1.744267,0.000000,0.000000,0.000000,events/second
1655037312,46,1.460685,0.000000,0.000000,0.000000,events/second
1655037315,46,1.424225,0.000000,0.000000,0.000000,events/second
1655037318,46,1.271914,0.000000,0.000000,0.000000,events/second
1655037321,46,1.204759,0.000000,0.000000,0.000000,events/second
1655037324,46,1.117239,0.000000,0.000000,0.000000,events/second
1655037327,46,1.041008,0.000000,0.000000,0.000000,events/second
1655037330,46,0.974262,0.000000,0.000000,0.000000,events/second
1655037333,46,0.916953,0.000000,0.000000,0.000000,events/second
1655037336,46,0.865160,0.000000,0.000000,0.000000,events/second
1655037339,46,0.818932,0.000000,0.000000,0.000000,events/second
1655037342,46,0.776034,0.000000,0.000000,0.000000,events/second
1655037345,46,0.739883,0.000000,0.000000,0.000000,events/second
1655037348,46,0.705894,0.000000,0.000000,0.000000,events/second
1655037351,46,0.674547,0.000000,0.000000,0.000000,events/second
1655037354,46,0.646412,0.000000,0.000000,0.000000,events/second
1655037357,46,0.620221,0.000000,0.000000,0.000000,events/second
1655037360,46,0.596062,0.000000,0.000000,0.000000,events/second
1655037363,46,0.573748,0.000000,0.000000,0.000000,events/second
1655037366,46,0.553112,0.000000,0.000000,0.000000,events/second
1655037369,46,0.533602,0.000000,0.000000,0.000000,events/second
1655037372,46,0.515545,0.000000,0.000000,0.000000,events/second
1655037375,46,0.498908,0.000000,0.000000,0.000000,events/second
1655037378,46,0.483336,0.000000,0.000000,0.000000,events/second
1655037381,46,0.468382,0.000000,0.000000,0.000000,events/second
1655037384,46,0.454690,0.000000,0.000000,0.000000,events/second
1655037387,46,0.441594,0.000000,0.000000,0.000000,events/second
1655037390,46,0.429245,0.000000,0.000000,0.000000,events/second
1655037393,46,0.417555,0.000000,0.000000,0.000000,events/second
1655037396,46,0.406517,0.000000,0.000000,0.000000,events/second
1655037399,46,0.396020,0.000000,0.000000,0.000000,events/second
1655037402,46,0.385766,0.000000,0.000000,0.000000,events/second
1655037405,46,0.376399,0.000000,0.000000,0.000000,events/second
1655037408,46,0.367445,0.000000,0.000000,0.000000,events/second
1655037411,46,0.358822,0.000000,0.000000,0.000000,events/second
1655037414,46,0.350593,0.000000,0.000000,0.000000,events/second
1655037417,46,0.342641,0.000000,0.000000,0.000000,events/second
1655037420,46,0.335372,0.000000,0.000000,0.000000,events/second
1655037423,46,0.328156,0.000000,0.000000,0.000000,events/second
1655037426,46,0.321328,0.000000,0.000000,0.000000,events/second
