t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,2,0.170803,0.000000,0.000000,0.000000,events/second
1655037297,2,0.138115,0.000000,0.000000,0.000000,events/second
1655037300,2,0.115412,0.000000,0.000000,0.000000,events/second
1655037303,2,0.098832,0.000000,0.000000,0.000000,events/second
1655037306,2,0.086063,0.000000,0.000000,0.000000,events/second
1655037309,2,0.075830,0.000000,0.000000,0.000000,events/second
1655037312,3,0.095254,0.000000,0.000000,0.000000,events/second
1655037315,3,0.092875,0.000000,0.000000,0.000000,events/second
1655037318,3,0.082945,0.000000,0.000000,0.000000,events/second
1655037321,3,0.078566,0.000000,0.000000,0.000000,events/second
1655037324,3,0.072859,0.000000,0.000000,0.000000,events/second
1655037327,3,0.067888,0.000000,0.000000,0.000000,events/second
1655037330,3,0.063535,0.000000,0.000000,0.000000,events/second
1655037333,3,0.059799,0.000000,0.000000,0.000000,events/second
1655037336,3,0.056421,0.000000,0.000000,0.000000,events/second
1655037339,3,0.053406,0.000000,0.000000,0.000000,events/second
1655037342,3,0.050609,0.000000,0.000000,0.000000,events/second
1655037345,3,0.048251,0.000000,0.000000,0.000000,events/second
1655037348,3,0.046035,0.000000,0.000000,0.000000,events/second
1655037351,3,0.043991,0.000000,0.000000,0.000000,events/second
1655037354,3,0.042156,0.000000,0.000000,0.000000,events/second
1655037357,3,0.040448,0.000000,0.000000,0.000000,events/second
1655037360,3,0.038872,0.000000,0.000000,0.000000,events/second
1655037363,3,0.037417,0.000000,0.000000,0.000000,events/second
1655037366,3,0.036071,0.000000,0.000000,0.000000,events/second
1655037369,3,0.034799,0.000000,0.000000,0.000000,events/second
1655037372,3,0.033622,0.000000,0.000000,0.000000,events/second
1655037375,3,0.032537,0.000000,0.000000,0.000000,events/second
1655037378,3,0.031521,0.000000,0.000000,0.000000,events/second
1655037381,3,0.030546,0.000000,0.000000,0.000000,events/second
1655037384,3,0.029653,0.000000,0.000000,0.000000,events/second
1655037387,3,0.028799,0.000000,0.000000,0.000000,events/second
1655037390,3,0.027994,0.000000,0.000000,0.000000,events/second
1655037393,3,0.027231,0.000000,0.000000,0.000000,events/second
1655037396,3,0.026511,0.000000,0.000000,0.000000,events/second
1655037399,3,0.025827,0.000000,0.000000,0.000000,events/second
1655037402,3,0.025158,0.000000,0.000000,0.000000,events/second
1655037405,3,0.024547,0.000000,0.000000,0.000000,events/second
1655037408,3,0.023963,0.000000,0.000000,0.000000,events/second
1655037411,3,0.023401,0.000000,0.000000,0.000000,events/second
1655037414,3,0.022864,0.000000,0.000000,0.000000,events/second
1655037417,3,0.022346,0.000000,0.000000,0.000000,events/second
1655037420,3,0.021872,0.000000,0.000000,0.000000,events/second
1655037423,3,0.021401,0.000000,0.000000,0.000000,events/second
1655037426,3,0.020956,0.000000,0.000000,0.000000,events/second
1655037429,3,0.020525,0.000000,0.000000,0.000000,events/second
1655037432,3,0.020110,0.000000,0.000000,0.000000,events/second
1655037435,3,0.019715,0.000000,0.000000,0.000000,events/second
1655037438,3,0.019334,0.000000,0.000000,0.000000,events/second
1655037441,3,0.018967,0.000000,0.000000,0.000000,events/second
1655037444,3,0.018616,0.000000,0.000000,0.000000,events/second
1655037447,3,0.018275,0.000000,0.000000,0.000000,events/second
1655037450,3,0.017947,0.000000,0.000000,0.000000,events/second
1655037453,3,0.017631,0.000000,0.000000,0.000000,events/second
1655037456,3,0.017325,0.000000,0.000000,0.000000,events/second
1655037459,3,0.017030,0.000000,0.000000,0.000000,events/second
1655037462,3,0.016744,0.000000,0.000000,0.000000,events/second
1655037465,3,0.016469,0.000000,0.000000,0.000000,events/second
1655037468,3,0.016200,0.000000,0.000000,0.000000,events/second
1655037471,3,0.015939,0.000000,0.000000,0.000000,events/second
1655037474,3,0.015694,0.000000,0.000000,0.000000,events/second
1655037477,3,0.015450,0.000000,0.000000,0.000000,events/second
1655037480,3,0.015217,0.000000,0.000000,0.000000,events/second
1655037483,3,0.014988,0.000000,0.000000,0.000000,events/second
1655037486,3,0.014767,0.000000,0.000000,0.000000,events/second
1655037489,3,0.014552,0.000000,0.000000,0.000000,events/second
1655037492,3,0.014342,0.000000,0.000000,0.000000,events/second
1655037495,3,0.014139,0.000000,0.000000,0.000000,events/second
1655037498,3,0.013927,0.000000,0.000000,0.000000,events/second
1655037501,3,0.013751,0.000000,0.000000,0.000000,events/second
1655037504,3,0.013564,0.000000,0.000000,0.000000,events/second
1655037507,3,0.013369,0.000000,0.000000,0.000000,events/second
1655037510,3,0.013207,0.000000,0.000000,0.000000,events/second
1655037513,3,0.013034,0.000000,0.000000,0.000000,events/second
1655037516,3,0.012865,0.000000,0.000000,0.000000,events/second
1655037519,3,0.012704,0.000000,0.000000,0.000000,events/second
1655037522,3,0.012544,0.000000,0.000000,0.000000,events/second
1655037525,3,0.012363,0.000000,0.000000,0.000000,events/second
1655037528,3,0.012237,0.000000,0.000000,0.000000,events/second
1655037531,3,0.012088,0.000000,0.000000,0.000000,events/second
1655037534,3,0.011945,0.000000,0.000000,0.000000,events/second
1655037537,3,0.011802,0.000000,0.000000,0.000000,events/second
1655037540,3,0.011665,0.000000,0.000000,0.000000,events/second
1655037543,3,0.011518,0.000000,0.000000,0.000000,events/second
1655037546,3,0.011400,0.000000,0.000000,0.000000,events/second
1655037549,3,0.011270,0.000000,0.000000,0.000000,events/second
1655037552,3,0.011137,0.000000,0.000000,0.000000,events/second
1655037555,3,0.011023,0.000000,0.000000,0.000000,events/second
1655037558,3,0.010903,0.000000,0.000000,0.000000,events/second
1655037561,3,0.010785,0.000000,0.000000,0.000000,events/second
1655037564,3,0.010667,0.000000,0.000000,0.000000,events/second
1655037567,3,0.010558,0.000000,0.000000,0.000000,events/second
1655037570,3,0.010447,0.000000,0.000000,0.000000,events/second
1655037573,3,0.010339,0.000000,0.000000,0.000000,events/second
1655037576,3,0.010233,0.000000,0.000000,0.000000,events/second
1655037579,3,0.010128,0.000000,0.000000,0.000000,events/second
1655037582,3,0.010028,0.000000,0.000000,0.000000,events/second
1655037585,3,0.009929,0.000000,0.000000,0.000000,events/second
1655037588,3,0.009831,0.000000,0.000000,0.000000,events/second
1655037591,3,0.009735,0.000000,0.000000,0.000000,events/second
1655037594,3,0.009641,0.000000,0.000000,0.000000,events/second
1655037597,3,0.009549,0.000000,0.000000,0.000000,events/second
