t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,141,12.015134,0.000000,0.000000,0.000000,events/second
1655037297,144,9.919537,0.000000,0.000000,0.000000,events/second
1655037300,144,8.308079,0.000000,0.000000,0.000000,events/second
1655037303,144,7.114198,0.000000,0.000000,0.000000,events/second
1655037306,144,6.195839,0.000000,0.000000,0.000000,events/second
1655037309,144,5.459203,0.000000,0.000000,0.000000,events/second
1655037312,154,4.889187,0.000000,0.000000,0.000000,events/second
1655037315,154,4.766779,0.000000,0.000000,0.000000,events/second
1655037318,154,4.248553,0.000000,0.000000,0.000000,events/second
1655037321,154,4.032894,0.000000,0.000000,0.000000,events/second
1655037324,154,3.739931,0.000000,0.000000,0.000000,events/second
1655037327,159,3.597889,0.000000,0.000000,0.000000,events/second
1655037330,159,3.367250,0.000000,0.000000,0.000000,events/second
1655037333,164,3.268901,0.000000,0.000000,0.000000,events/second
1655037336,164,3.084237,0.000000,0.000000,0.000000,events/second
1655037339,164,2.919474,0.000000,0.000000,0.000000,events/second
1655037342,164,2.766562,0.000000,0.000000,0.000000,events/second
1655037345,164,2.637672,0.000000,0.000000,0.000000,events/second
1655037348,164,2.516526,0.000000,0.000000,0.000000,events/second
1655037351,167,2.448764,0.000000,0.000000,0.000000,events/second
1655037354,167,2.346639,0.000000,0.000000,0.000000,events/second
1655037357,167,2.251560,0.000000,0.000000,0.000000,events/second
1655037360,167,2.163858,0.000000,0.000000,0.000000,events/second
1655037363,167,2.082850,0.000000,0.000000,0.000000,events/second
1655037366,167,2.007947,0.000000,0.000000,0.000000,events/second
1655037369,167,1.937121,0.000000,0.000000,0.000000,events/second
1655037372,170,1.905189,0.000000,0.000000,0.000000,events/second
1655037375,170,1.843696,0.000000,0.000000,0.000000,events/second
1655037378,170,1.786173,0.000000,0.000000,0.000000,events/second
1655037381,170,1.730908,0.000000,0.000000,0.000000,events/second
1655037384,170,1.680319,0.000000,0.000000,0.000000,events/second
1655037387,170,1.631921,0.000000,0.000000,0.000000,events/second
1655037390,170,1.586286,0.000000,0.000000,0.000000,events/second
1655037393,173,1.570317,0.000000,0.000000,0.000000,events/second
1655037396,173,1.528812,0.000000,0.000000,0.000000,events/second
1655037399,173,1.489338,0.000000,0.000000,0.000000,events/second
1655037402,173,1.450773,0.000000,0.000000,0.000000,events/second
1655037405,173,1.415535,0.000000,0.000000,0.000000,events/second
1655037408,173,1.381863,0.000000,0.000000,0.000000,events/second
1655037411,175,1.365044,0.000000,0.000000,0.000000,events/second
1655037414,176,1.341322,0.000000,0.000000,0.000000,events/second
1655037417,176,1.310932,0.000000,0.000000,0.000000,events/second
1655037420,176,1.283127,0.000000,0.000000,0.000000,events/second
1655037423,176,1.255521,0.000000,0.000000,0.000000,events/second
1655037426,176,1.229399,0.000000,0.000000,0.000000,events/second
1655037429,176,1.204141,0.000000,0.000000,0.000000,events/second
1655037432,179,1.199888,0.000000,0.000000,0.000000,events/second
1655037435,179,1.176298,0.000000,0.000000,0.000000,events/second
1655037438,179,1.153603,0.000000,0.000000,0.000000,events/second
1655037441,179,1.131707,0.000000,0.000000,0.000000,events/second
1655037444,179,1.110721,0.000000,0.000000,0.000000,events/second
1655037447,179,1.090383,0.000000,0.000000,0.000000,events/second
1655037450,179,1.070813,0.000000,0.000000,0.000000,events/second
1655037453,182,1.069592,0.000000,0.000000,0.000000,events/second
1655037456,182,1.051025,0.000000,0.000000,0.000000,events/second
1655037459,182,1.033139,0.000000,0.000000,0.000000,events/second
1655037462,182,1.015817,0.000000,0.000000,0.000000,events/second
1655037465,182,0.999107,0.000000,0.000000,0.000000,events/second
1655037468,182,0.982821,0.000000,0.000000,0.000000,events/second
1655037471,185,0.982913,0.000000,0.000000,0.000000,events/second
1655037474,185,0.967774,0.000000,0.000000,0.000000,events/second
1655037477,185,0.952769,0.000000,0.000000,0.000000,events/second
1655037480,185,0.938347,0.000000,0.000000,0.000000,events/second
1655037483,185,0.924230,0.000000,0.000000,0.000000,events/second
1655037486,185,0.910635,0.000000,0.000000,0.000000,events/second
1655037489,185,0.897368,0.000000,0.000000,0.000000,events/second
1655037492,188,0.898773,0.000000,0.000000,0.000000,events/second
1655037495,188,0.886025,0.000000,0.000000,0.000000,events/second
1655037498,188,0.872722,0.000000,0.000000,0.000000,events/second
1655037501,188,0.861709,0.000000,0.000000,0.000000,events/second
1655037504,188,0.850012,0.000000,0.000000,0.000000,events/second
1655037507,188,0.837781,0.000000,0.000000,0.000000,events/second
1655037510,188,0.827612,0.000000,0.000000,0.000000,events/second
1655037513,191,0.829855,0.000000,0.000000,0.000000,events/second
1655037516,191,0.819053,0.000000,0.000000,0.000000,events/second
1655037519,191,0.808789,0.000000,0.000000,0.000000,events/second
1655037522,191,0.798629,0.000000,0.000000,0.000000,events/second
1655037525,191,0.787082,0.000000,0.000000,0.000000,events/second
1655037528,191,0.779076,0.000000,0.000000,0.000000,events/second
1655037531,192,0.773649,0.000000,0.000000,0.000000,events/second
1655037534,194,0.772408,0.000000,0.000000,0.000000,events/second
1655037537,194,0.763212,0.000000,0.000000,0.000000,events/second
1655037540,194,0.754363,0.000000,0.000000,0.000000,events/second
1655037543,194,0.744851,0.000000,0.000000,0.000000,events/second
1655037546,194,0.737193,0.000000,0.000000,0.000000,events/second
1655037549,194,0.728783,0.000000,0.000000,0.000000,events/second
1655037552,197,0.731308,0.000000,0.000000,0.000000,events/second
1655037555,197,0.723809,0.000000,0.000000,0.000000,events/second
1655037558,197,0.715933,0.000000,0.000000,0.000000,events/second
1655037561,197,0.708191,0.000000,0.000000,0.000000,events/second
1655037564,197,0.700460,0.000000,0.000000,0.000000,events/second
1655037567,197,0.693276,0.000000,0.000000,0.000000,events/second
1655037570,197,0.686020,0.000000,0.000000,0.000000,events/second
1655037573,200,0.689267,0.000000,0.000000,0.000000,events/second
1655037576,200,0.682225,0.000000,0.000000,0.000000,events/second
1655037579,200,0.675135,0.000000,0.000000,0.000000,events/second
1655037582,200,0.668549,0.000000,0.000000,0.000000,events/second
1655037585,200,0.661910,0.000000,0.000000,0.000000,events/second
1655037588,200,0.655397,0.000000,0.000000,0.000000,events/second
1655037591,201,0.652266,0.000000,0.000000,0.000000,events/second
1655037594,203,0.652382,0.000000,0.000000,0.000000,events/second
1655037597,203,0.646135,0.000000,0.000000,0.000000,events/second
1655037600,203,0.640056,0.000000,0.000000,0.000000,events/second
1655037603,203,0.634052,0.000000,0.000000,0.000000,events/second
1655037606,203,0.628156,0.000000,0.000000,0.000000,events/second
1655037609,203,0.622391,0.000000,0.000000,0.000000,events/second
1655037612,206,0.625818,0.000000,0.000000,0.000000,events/second
