t,value
1655037294,-1
1655037297,-1
1655037300,-1
1655037303,-1
1655037306,-1
1655037309,-1
1655037312,-1
1655037315,-1
1655037318,-1
1655037321,-1
1655037324,-1
1655037327,-1
1655037330,-1
1655037333,-1
1655037336,-1
1655037339,-1
1655037342,-1
1655037345,-1
1655037348,-1
1655037351,-1
1655037354,-1
1655037357,-1
1655037360,-1
1655037363,-1
1655037366,-1
1655037369,-1
1655037372,-1
1655037375,-1
1655037378,-1
1655037381,-1
1655037384,-1
1655037387,-1
1655037390,-1
1655037393,-1
1655037396,-1
1655037399,-1
1655037402,-1
1655037405,-1
1655037408,-1
1655037411,-1
1655037414,-1
1655037417,-1
1655037420,-1
1655037423,-1
1655037426,-1
1655037429,-1
1655037432,-1
1655037435,-1
1655037438,-1
1655037441,-1
1655037444,-1
1655037447,-1
1655037450,-1
1655037453,-1
1655037456,-1
1655037459,-1
1655037462,-1
1655037465,-1
1655037468,-1
1655037471,-1
1655037474,-1
1655037477,-1
1655037480,-1
1655037483,-1
1655037486,-1
1655037489,-1
1655037492,-1
1655037495,-1
1655037498,-1
1655037501,-1
1655037504,-1
1655037507,-1
1655037510,-1
1655037513,-1
1655037516,-1
1655037519,-1
1655037522,-1
1655037525,-1
1655037528,-1
1655037531,-1
1655037534,-1
1655037537,-1
1655037540,-1
1655037543,-1
1655037546,-1
1655037549,-1
1655037552,-1
1655037555,-1
1655037558,-1
1655037561,-1
1655037564,-1
1655037567,-1
1655037570,-1
1655037573,-1
1655037576,-1
1655037579,-1
1655037582,-1
1655037585,-1
1655037588,-1
1655037591,-1
1655037594,-1
1655037597,-1
1655037600,-1
1655037603,-1
1655037606,-1
1655037609,-1
1655037612,-1
1655037615,-1
1655037618,-1
1655037621,-1
1655037624,-1
1655037627,-1
1655037630,-1
1655037633,-1
1655037636,-1
1655037639,-1
1655037642,-1
1655037645,-1
1655037648,-1
1655037651,-1
1655037654,-1
1655037657,-1
1655037660,-1
1655037663,-1
1655037666,-1
1655037669,-1
1655037672,-1
1655037675,-1
1655037678,-1
1655037681,-1
1655037684,-1
1655037687,-1
1655037690,-1
1655037693,-1
1655037696,-1
1655037699,-1
1655037702,-1
1655037705,-1
1655037708,-1
1655037711,-1
1655037714,-1
1655037717,-1
1655037720,-1
1655037723,-1
1655037726,-1
1655037729,-1
1655037732,-1
1655037735,-1
1655037738,-1
1655037741,-1
1655037744,-1
1655037747,-1
1655037750,-1
1655037753,-1
1655037756,-1
1655037759,-1
1655037762,-1
1655037765,-1
1655037768,-1
1655037771,-1
1655037774,-1
1655037777,-1
1655037780,-1
1655037783,-1
1655037786,-1
1655037789,-1
1655037792,-1
1655037795,-1
1655037798,-1
1655037801,-1
1655037804,-1
1655037807,-1
1655037810,-1
1655037813,-1
1655037816,-1
1655037819,-1
1655037822,-1
1655037825,-1
1655037828,-1
1655037831,-1
1655037834,-1
1655037837,-1
1655037840,-1
1655037843,-1
1655037846,-1
1655037849,-1
1655037852,-1
1655037855,-1
1655037858,-1
1655037861,-1
1655037864,-1
1655037867,-1
1655037870,-1
1655037873,-1
1655037876,-1
1655037879,-1
1655037882,-1
1655037885,-1
1655037888,-1
1655037891,-1
1655037894,-1
1655037897,-1
1655037900,-1
1655037903,-1
1655037906,-1
1655037909,-1
1655037912,-1
1655037915,-1
1655037918,-1
1655037921,-1
1655037924,-1
1655037927,-1
1655037930,-1
1655037933,-1
1655037936,-1
1655037939,-1
1655037942,-1
1655037945,-1
1655037948,-1
1655037951,-1
1655037954,-1
1655037957,-1
1655037960,-1
1655037963,-1
1655037966,-1
1655037969,-1
1655037972,-1
1655037975,-1
1655037978,-1
1655037981,-1
1655037984,-1
1655037987,-1
1655037990,-1
1655037993,-1
1655037996,-1
1655037999,-1
1655038002,-1
1655038005,-1
1655038008,-1
1655038011,-1
1655038014,-1
1655038017,-1
1655038020,-1
1655038023,-1
1655038026,-1
1655038029,-1
1655038032,-1
1655038035,-1
1655038038,-1
1655038041,-1
1655038044,-1
1655038047,-1
1655038050,-1
1655038053,-1
1655038056,-1
1655038059,-1
1655038062,-1
1655038065,-1
1655038068,-1
1655038071,-1
1655038074,-1
1655038077,-1
1655038080,-1
1655038083,-1
1655038086,-1
1655038089,-1
1655038092,-1
1655038095,-1
1655038098,-1
1655038101,-1
1655038104,-1
1655038107,-1
1655038110,-1
1655038113,-1
1655038116,-1
1655038119,-1
1655038122,-1
1655038125,-1
1655038128,-1
1655038131,-1
1655038134,-1
1655038137,-1
1655038140,-1
1655038143,-1
1655038146,-1
1655038149,-1
1655038152,-1
1655038155,-1
1655038158,-1
1655038161,-1
1655038164,-1
1655038167,-1
1655038170,-1
1655038173,-1
1655038176,-1
1655038179,-1
1655038182,-1
1655038185,-1
1655038188,-1
1655038191,-1
1655038194,-1
1655038197,-1
1655038200,-1
1655038203,-1
1655038206,-1
1655038209,-1
1655038212,-1
1655038215,-1
1655038218,-1
1655038221,-1
1655038224,-1
1655038227,-1
1655038230,-1
1655038233,-1
1655038236,-1
1655038239,-1
1655038242,-1
1655038245,-1
1655038248,-1
1655038251,-1
1655038254,-1
1655038257,-1
1655038260,-1
1655038263,-1
1655038266,-1
1655038269,-1
1655038272,-1
1655038275,-1
1655038278,-1
1655038281,-1
1655038284,-1
1655038287,-1
1655038290,-1
1655038293,-1
1655038296,-1
1655038299,-1
1655038302,-1
1655038305,-1
1655038308,-1
1655038311,-1
1655038314,-1
1655038317,-1
1655038320,-1
1655038323,-1
1655038326,-1
1655038329,-1
1655038332,-1
1655038335,-1
1655038338,-1
1655038341,-1
1655038344,-1
1655038347,-1
1655038350,-1
1655038353,-1
1655038356,-1
1655038359,-1
1655038362,-1
1655038365,-1
1655038368,-1
1655038371,-1
1655038374,-1
1655038377,-1
1655038380,-1
1655038383,-1
1655038386,-1
1655038389,-1
1655038392,-1
1655038395,-1
1655038398,-1
1655038401,-1
1655038404,-1
1655038407,-1
1655038410,-1
1655038413,-1
1655038416,-1
1655038419,-1
1655038422,-1
1655038425,-1
1655038428,-1
1655038431,-1
1655038434,-1
1655038437,-1
1655038440,-1
1655038443,-1
1655038446,-1
1655038449,-1
1655038452,-1
1655038455,-1
1655038458,-1
1655038461,-1
1655038464,-1
1655038467,-1
1655038470,-1
1655038473,-1
1655038476,-1
1655038479,-1
1655038482,-1
1655038485,-1
1655038488,-1
1655038491,-1
1655038494,-1
1655038497,-1
1655038500,-1
1655038503,-1
1655038506,-1
1655038509,-1
1655038512,-1
1655038515,-1
1655038518,-1
1655038521,-1
1655038524,-1
1655038527,-1
1655038530,-1
1655038533,-1
