t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,11,3.064864,0.000000,0.000000,0.000000,events/second
1655037297,11,1.726525,0.000000,0.000000,0.000000,events/second
1655037300,12,1.305295,0.000000,0.000000,0.000000,events/second
1655037303,12,0.992654,0.000000,0.000000,0.000000,events/second
1655037306,12,0.795259,0.000000,0.000000,0.000000,events/second
1655037309,12,0.658446,0.000000,0.000000,0.000000,events/second
1655037312,13,0.556811,0.000000,0.000000,0.000000,events/second
1655037315,13,0.537278,0.000000,0.000000,0.000000,events/second
1655037318,13,0.461529,0.000000,0.000000,0.000000,events/second
1655037321,13,0.432826,0.000000,0.000000,0.000000,events/second
1655037324,13,0.393656,0.000000,0.000000,0.000000,events/second
1655037327,13,0.360717,0.000000,0.000000,0.000000,events/second
1655037330,13,0.332760,0.000000,0.000000,0.000000,events/second
1655037333,13,0.309405,0.000000,0.000000,0.000000,events/second
1655037336,13,0.288762,0.000000,0.000000,0.000000,events/second
1655037339,13,0.270717,0.000000,0.000000,0.000000,events/second
1655037342,13,0.254273,0.000000,0.000000,0.000000,events/second
1655037345,13,0.240640,0.000000,0.000000,0.000000,events/second
1655037348,13,0.228008,0.000000,0.000000,0.000000,events/second
1655037351,13,0.216506,0.000000,0.000000,0.000000,events/second
1655037354,13,0.206311,0.000000,0.000000,0.000000,events/second
1655037357,13,0.196919,0.000000,0.000000,0.000000,events/second
1655037360,13,0.188343,0.000000,0.000000,0.000000,events/second
1655037363,13,0.180493,0.000000,0.000000,0.000000,events/second
1655037366,13,0.173296,0.000000,0.000000,0.000000,events/second
1655037369,13,0.166546,0.000000,0.000000,0.000000,events/second
1655037372,13,0.160343,0.000000,0.000000,0.000000,events/second
1655037375,13,0.154665,0.000000,0.000000,0.000000,events/second
1655037378,13,0.149388,0.000000,0.000000,0.000000,events/second
1655037381,13,0.144347,0.000000,0.000000,0.000000,events/second
1655037384,13,0.139759,0.000000,0.000000,0.000000,events/second
1655037387,13,0.135391,0.000000,0.000000,0.000000,events/second
1655037390,13,0.131294,0.000000,0.000000,0.000000,events/second
1655037393,13,0.127432,0.000000,0.000000,0.000000,events/second
1655037396,13,0.123803,0.000000,0.000000,0.000000,events/second
1655037399,13,0.120365,0.000000,0.000000,0.000000,events/second
1655037402,13,0.117019,0.000000,0.000000,0.000000,events/second
1655037405,13,0.113973,0.000000,0.000000,0.000000,events/second
1655037408,13,0.111073,0.000000,0.000000,0.000000,events/second
1655037411,13,0.108290,0.000000,0.000000,0.000000,events/second
1655037414,13,0.105638,0.000000,0.000000,0.000000,events/second
1655037417,13,0.103086,0.000000,0.000000,0.000000,events/second
1655037420,13,0.100767,0.000000,0.000000,0.000000,events/second
1655037423,13,0.098465,0.000000,0.000000,0.000000,events/second
1655037426,13,0.096292,0.000000,0.000000,0.000000,events/second
1655037429,13,0.094197,0.000000,0.000000,0.000000,events/second
1655037432,13,0.092181,0.000000,0.000000,0.000000,events/second
1655037435,13,0.090266,0.000000,0.000000,0.000000,events/second
1655037438,13,0.088428,0.000000,0.000000,0.000000,events/second
1655037441,13,0.086659,0.000000,0.000000,0.000000,events/second
1655037444,13,0.084966,0.000000,0.000000,0.000000,events/second
1655037447,13,0.083329,0.000000,0.000000,0.000000,events/second
1655037450,13,0.081757,0.000000,0.000000,0.000000,events/second
1655037453,13,0.080245,0.000000,0.000000,0.000000,events/second
1655037456,13,0.078783,0.000000,0.000000,0.000000,events/second
1655037459,13,0.077377,0.000000,0.000000,0.000000,events/second
1655037462,13,0.076018,0.000000,0.000000,0.000000,events/second
1655037465,13,0.074709,0.000000,0.000000,0.000000,events/second
1655037468,13,0.073435,0.000000,0.000000,0.000000,events/second
1655037471,13,0.072197,0.000000,0.000000,0.000000,events/second
1655037474,13,0.071036,0.000000,0.000000,0.000000,events/second
1655037477,13,0.069886,0.000000,0.000000,0.000000,events/second
1655037480,13,0.068783,0.000000,0.000000,0.000000,events/second
1655037483,13,0.067704,0.000000,0.000000,0.000000,events/second
1655037486,13,0.066666,0.000000,0.000000,0.000000,events/second
1655037489,13,0.065655,0.000000,0.000000,0.000000,events/second
1655037492,13,0.064670,0.000000,0.000000,0.000000,events/second
1655037495,13,0.063716,0.000000,0.000000,0.000000,events/second
1655037498,13,0.062721,0.000000,0.000000,0.000000,events/second
1655037501,13,0.061900,0.000000,0.000000,0.000000,events/second
1655037504,13,0.061027,0.000000,0.000000,0.000000,events/second
1655037507,13,0.060116,0.000000,0.000000,0.000000,events/second
1655037510,13,0.059359,0.000000,0.000000,0.000000,events/second
1655037513,14,0.063061,0.000000,0.000000,0.000000,events/second
1655037516,14,0.062210,0.000000,0.000000,0.000000,events/second
1655037519,14,0.061403,0.000000,0.000000,0.000000,events/second
1655037522,14,0.060604,0.000000,0.000000,0.000000,events/second
1655037525,14,0.059698,0.000000,0.000000,0.000000,events/second
1655037528,14,0.059070,0.000000,0.000000,0.000000,events/second
1655037531,14,0.058328,0.000000,0.000000,0.000000,events/second
1655037534,14,0.057611,0.000000,0.000000,0.000000,events/second
1655037537,14,0.056903,0.000000,0.000000,0.000000,events/second
1655037540,14,0.056221,0.000000,0.000000,0.000000,events/second
1655037543,14,0.055489,0.000000,0.000000,0.000000,events/second
1655037546,14,0.054901,0.000000,0.000000,0.000000,events/second
1655037549,14,0.054254,0.000000,0.000000,0.000000,events/second
1655037552,14,0.053593,0.000000,0.000000,0.000000,events/second
1655037555,14,0.053027,0.000000,0.000000,0.000000,events/second
1655037558,14,0.052432,0.000000,0.000000,0.000000,events/second
1655037561,14,0.051848,0.000000,0.000000,0.000000,events/second
1655037564,14,0.051265,0.000000,0.000000,0.000000,events/second
1655037567,14,0.050724,0.000000,0.000000,0.000000,events/second
1655037570,14,0.050177,0.000000,0.000000,0.000000,events/second
1655037573,14,0.049644,0.000000,0.000000,0.000000,events/second
1655037576,14,0.049122,0.000000,0.000000,0.000000,events/second
1655037579,14,0.048597,0.000000,0.000000,0.000000,events/second
1655037582,14,0.048110,0.000000,0.000000,0.000000,events/second
1655037585,14,0.047619,0.000000,0.000000,0.000000,events/second
1655037588,14,0.047137,0.000000,0.000000,0.000000,events/second
1655037591,14,0.046666,0.000000,0.000000,0.000000,events/second
1655037594,14,0.046203,0.000000,0.000000,0.000000,events/second
1655037597,14,0.045748,0.000000,0.000000,0.000000,events/second
