t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1655037294,102,28.391357,0.000000,0.000000,0.000000,events/second
1655037297,102,16.003918,0.000000,0.000000,0.000000,events/second
1655037300,135,14.673748,0.000000,0.000000,0.000000,events/second
1655037303,135,11.166193,0.000000,0.000000,0.000000,events/second
1655037306,135,8.945789,0.000000,0.000000,0.000000,events/second
1655037309,135,7.406944,0.000000,0.000000,0.000000,events/second
1655037312,162,6.938270,0.000000,0.000000,0.000000,events/second
1655037315,162,6.691133,0.000000,0.000000,0.000000,events/second
1655037318,162,5.751052,0.000000,0.000000,0.000000,events/second
1655037321,162,5.393340,0.000000,0.000000,0.000000,events/second
1655037324,162,4.905370,0.000000,0.000000,0.000000,events/second
1655037327,162,4.494925,0.000000,0.000000,0.000000,events/second
1655037330,162,4.146540,0.000000,0.000000,0.000000,events/second
1655037333,162,3.855575,0.000000,0.000000,0.000000,events/second
1655037336,162,3.598336,0.000000,0.000000,0.000000,events/second
1655037339,162,3.373475,0.000000,0.000000,0.000000,events/second
1655037342,162,3.168544,0.000000,0.000000,0.000000,events/second
1655037345,162,2.998681,0.000000,0.000000,0.000000,events/second
1655037348,162,2.841277,0.000000,0.000000,0.000000,events/second
1655037351,162,2.697925,0.000000,0.000000,0.000000,events/second
1655037354,162,2.570888,0.000000,0.000000,0.000000,events/second
1655037357,162,2.453878,0.000000,0.000000,0.000000,events/second
1655037360,162,2.347006,0.000000,0.000000,0.000000,events/second
1655037363,162,2.249180,0.000000,0.000000,0.000000,events/second
1655037366,162,2.159500,0.000000,0.000000,0.000000,events/second
1655037369,162,2.075394,0.000000,0.000000,0.000000,events/second
1655037372,162,1.998086,0.000000,0.000000,0.000000,events/second
1655037375,162,1.927332,0.000000,0.000000,0.000000,events/second
1655037378,162,1.861582,0.000000,0.000000,0.000000,events/second
1655037381,162,1.798759,0.000000,0.000000,0.000000,events/second
1655037384,162,1.741592,0.000000,0.000000,0.000000,events/second
1655037387,162,1.687164,0.000000,0.000000,0.000000,events/second
1655037390,162,1.636107,0.000000,0.000000,0.000000,events/second
1655037393,162,1.587984,0.000000,0.000000,0.000000,events/second
1655037396,162,1.542763,0.000000,0.000000,0.000000,events/second
1655037399,162,1.499922,0.000000,0.000000,0.000000,events/second
1655037402,162,1.458228,0.000000,0.000000,0.000000,events/second
1655037405,162,1.420263,0.000000,0.000000,0.000000,events/second
1655037408,162,1.384119,0.000000,0.000000,0.000000,events/second
1655037411,162,1.349453,0.000000,0.000000,0.000000,events/second
1655037414,162,1.316381,0.000000,0.000000,0.000000,events/second
1655037417,162,1.284602,0.000000,0.000000,0.000000,events/second
1655037420,162,1.255697,0.000000,0.000000,0.000000,events/second
1655037423,162,1.227013,0.000000,0.000000,0.000000,events/second
1655037426,162,1.199943,0.000000,0.000000,0.000000,events/second
1655037429,162,1.173837,0.000000,0.000000,0.000000,events/second
1655037432,162,1.148707,0.000000,0.000000,0.000000,events/second
1655037435,162,1.124845,0.000000,0.000000,0.000000,events/second
1655037438,162,1.101945,0.000000,0.000000,0.000000,events/second
1655037441,162,1.079892,0.000000,0.000000,0.000000,events/second
1655037444,162,1.058800,0.000000,0.000000,0.000000,events/second
1655037447,162,1.038397,0.000000,0.000000,0.000000,events/second
1655037450,162,1.018806,0.000000,0.000000,0.000000,events/second
1655037453,162,0.999967,0.000000,0.000000,0.000000,events/second
1655037456,162,0.981752,0.000000,0.000000,0.000000,events/second
1655037459,162,0.964235,0.000000,0.000000,0.000000,events/second
1655037462,162,0.947296,0.000000,0.000000,0.000000,events/second
