t,value
1655037294,1073741824
1655037297,1073741824
1655037300,1073741824
1655037303,1073741824
1655037306,1073741824
1655037309,1073741824
1655037312,1073741824
1655037315,1073741824
1655037318,1073741824
1655037321,1073741824
1655037324,1073741824
1655037327,1073741824
1655037330,1073741824
1655037333,1073741824
1655037336,1073741824
1655037339,1073741824
1655037342,1073741824
1655037345,1073741824
1655037348,1073741824
1655037351,1073741824
1655037354,1073741824
1655037357,1073741824
1655037360,1073741824
1655037363,1073741824
1655037366,1073741824
1655037369,1073741824
1655037372,1073741824
1655037375,1073741824
1655037378,1073741824
1655037381,1073741824
1655037384,1073741824
1655037387,1073741824
1655037390,1073741824
1655037393,1073741824
1655037396,1073741824
1655037399,1073741824
1655037402,1073741824
1655037405,1073741824
1655037408,1073741824
1655037411,1073741824
1655037414,1073741824
1655037417,1073741824
1655037420,1073741824
1655037423,1073741824
1655037426,1073741824
1655037429,1073741824
1655037432,1073741824
1655037435,1073741824
1655037438,1073741824
1655037441,1073741824
1655037444,1073741824
1655037447,1073741824
1655037450,1073741824
1655037453,1073741824
1655037456,1073741824
1655037459,1073741824
1655037462,1073741824
1655037465,1073741824
1655037468,1073741824
1655037471,1073741824
1655037474,1073741824
1655037477,1073741824
1655037480,1073741824
1655037483,1073741824
1655037486,1073741824
1655037489,1073741824
1655037492,1073741824
1655037495,1073741824
1655037498,1073741824
1655037501,1073741824
1655037504,1073741824
1655037507,1073741824
1655037510,1073741824
1655037513,1073741824
1655037516,1073741824
1655037519,1073741824
1655037522,1073741824
1655037525,1073741824
1655037528,1073741824
1655037531,1073741824
1655037534,1073741824
1655037537,1073741824
1655037540,1073741824
1655037543,1073741824
1655037546,1073741824
1655037549,1073741824
1655037552,1073741824
1655037555,1073741824
1655037558,1073741824
1655037561,1073741824
1655037564,1073741824
1655037567,1073741824
1655037570,1073741824
1655037573,1073741824
1655037576,1073741824
1655037579,1073741824
1655037582,1073741824
1655037585,1073741824
1655037588,1073741824
1655037591,1073741824
1655037594,1073741824
1655037597,1073741824
1655037600,1073741824
1655037603,1073741824
1655037606,1073741824
1655037609,1073741824
1655037612,1073741824
1655037615,1073741824
1655037618,1073741824
1655037621,1073741824
1655037624,1073741824
1655037627,1073741824
1655037630,1073741824
1655037633,1073741824
1655037636,1073741824
1655037639,1073741824
1655037642,1073741824
1655037645,1073741824
1655037648,1073741824
1655037651,1073741824
1655037654,1073741824
1655037657,1073741824
1655037660,1073741824
1655037663,1073741824
1655037666,1073741824
1655037669,1073741824
1655037672,1073741824
1655037675,1073741824
1655037678,1073741824
1655037681,1073741824
1655037684,1073741824
1655037687,1073741824
1655037690,1073741824
1655037693,1073741824
1655037696,1073741824
1655037699,1073741824
1655037702,1073741824
1655037705,1073741824
1655037708,1073741824
1655037711,1073741824
1655037714,1073741824
1655037717,1073741824
1655037720,1073741824
1655037723,1073741824
1655037726,1073741824
1655037729,1073741824
1655037732,1073741824
1655037735,1073741824
1655037738,1073741824
1655037741,1073741824
1655037744,1073741824
1655037747,1073741824
1655037750,1073741824
1655037753,1073741824
1655037756,1073741824
1655037759,1073741824
1655037762,1073741824
1655037765,1073741824
1655037768,1073741824
1655037771,1073741824
1655037774,1073741824
1655037777,1073741824
1655037780,1073741824
1655037783,1073741824
1655037786,1073741824
1655037789,1073741824
1655037792,1073741824
1655037795,1073741824
1655037798,1073741824
1655037801,1073741824
1655037804,1073741824
1655037807,1073741824
1655037810,1073741824
1655037813,1073741824
1655037816,1073741824
1655037819,1073741824
1655037822,1073741824
1655037825,1073741824
1655037828,1073741824
1655037831,1073741824
1655037834,1073741824
1655037837,1073741824
1655037840,1073741824
1655037843,1073741824
1655037846,1073741824
1655037849,1073741824
1655037852,1073741824
1655037855,1073741824
1655037858,1073741824
1655037861,1073741824
1655037864,1073741824
1655037867,1073741824
1655037870,1073741824
1655037873,1073741824
1655037876,1073741824
1655037879,1073741824
1655037882,1073741824
1655037885,1073741824
1655037888,1073741824
1655037891,1073741824
1655037894,1073741824
1655037897,1073741824
1655037900,1073741824
1655037903,1073741824
1655037906,1073741824
1655037909,1073741824
1655037912,1073741824
1655037915,1073741824
1655037918,1073741824
1655037921,1073741824
1655037924,1073741824
1655037927,1073741824
1655037930,1073741824
1655037933,1073741824
1655037936,1073741824
1655037939,1073741824
1655037942,1073741824
1655037945,1073741824
1655037948,1073741824
1655037951,1073741824
1655037954,1073741824
1655037957,1073741824
1655037960,1073741824
1655037963,1073741824
1655037966,1073741824
1655037969,1073741824
1655037972,1073741824
1655037975,1073741824
1655037978,1073741824
1655037981,1073741824
1655037984,1073741824
1655037987,1073741824
1655037990,1073741824
1655037993,1073741824
1655037996,1073741824
1655037999,1073741824
1655038002,1073741824
1655038005,1073741824
1655038008,1073741824
1655038011,1073741824
1655038014,1073741824
1655038017,1073741824
1655038020,1073741824
1655038023,1073741824
1655038026,1073741824
1655038029,1073741824
1655038032,1073741824
1655038035,1073741824
1655038038,1073741824
1655038041,1073741824
1655038044,1073741824
1655038047,1073741824
1655038050,1073741824
1655038053,1073741824
1655038056,1073741824
1655038059,1073741824
1655038062,1073741824
1655038065,1073741824
1655038068,1073741824
1655038071,1073741824
1655038074,1073741824
1655038077,1073741824
1655038080,1073741824
1655038083,1073741824
1655038086,1073741824
1655038089,1073741824
1655038092,1073741824
1655038095,1073741824
1655038098,1073741824
1655038101,1073741824
1655038104,1073741824
1655038107,1073741824
1655038110,1073741824
1655038113,1073741824
1655038116,1073741824
1655038119,1073741824
1655038122,1073741824
1655038125,1073741824
1655038128,1073741824
1655038131,1073741824
1655038134,1073741824
1655038137,1073741824
1655038140,1073741824
1655038143,1073741824
1655038146,1073741824
1655038149,1073741824
1655038152,1073741824
1655038155,1073741824
1655038158,1073741824
1655038161,1073741824
1655038164,1073741824
1655038167,1073741824
1655038170,1073741824
1655038173,1073741824
1655038176,1073741824
1655038179,1073741824
1655038182,1073741824
1655038185,1073741824
1655038188,1073741824
1655038191,1073741824
1655038194,1073741824
1655038197,1073741824
1655038200,1073741824
1655038203,1073741824
1655038206,1073741824
1655038209,1073741824
1655038212,1073741824
1655038215,1073741824
1655038218,1073741824
1655038221,1073741824
1655038224,1073741824
1655038227,1073741824
1655038230,1073741824
1655038233,1073741824
1655038236,1073741824
1655038239,1073741824
1655038242,1073741824
1655038245,1073741824
1655038248,1073741824
1655038251,1073741824
1655038254,1073741824
1655038257,1073741824
1655038260,1073741824
1655038263,1073741824
1655038266,1073741824
1655038269,1073741824
1655038272,1073741824
1655038275,1073741824
1655038278,1073741824
1655038281,1073741824
1655038284,1073741824
1655038287,1073741824
1655038290,1073741824
1655038293,1073741824
1655038296,1073741824
1655038299,1073741824
1655038302,1073741824
1655038305,1073741824
1655038308,1073741824
1655038311,1073741824
1655038314,1073741824
1655038317,1073741824
1655038320,1073741824
1655038323,1073741824
1655038326,1073741824
1655038329,1073741824
1655038332,1073741824
1655038335,1073741824
1655038338,1073741824
1655038341,1073741824
1655038344,1073741824
1655038347,1073741824
1655038350,1073741824
1655038353,1073741824
1655038356,1073741824
1655038359,1073741824
1655038362,1073741824
1655038365,1073741824
1655038368,1073741824
1655038371,1073741824
1655038374,1073741824
1655038377,1073741824
1655038380,1073741824
1655038383,1073741824
1655038386,1073741824
1655038389,1073741824
1655038392,1073741824
1655038395,1073741824
1655038398,1073741824
1655038401,1073741824
1655038404,1073741824
1655038407,1073741824
1655038410,1073741824
1655038413,1073741824
1655038416,1073741824
1655038419,1073741824
1655038422,1073741824
1655038425,1073741824
1655038428,1073741824
1655038431,1073741824
1655038434,1073741824
1655038437,1073741824
1655038440,1073741824
1655038443,1073741824
1655038446,1073741824
1655038449,1073741824
1655038452,1073741824
1655038455,1073741824
1655038458,1073741824
1655038461,1073741824
1655038464,1073741824
1655038467,1073741824
1655038470,1073741824
1655038473,1073741824
1655038476,1073741824
1655038479,1073741824
1655038482,1073741824
1655038485,1073741824
1655038488,1073741824
1655038491,1073741824
1655038494,1073741824
1655038497,1073741824
1655038500,1073741824
1655038503,1073741824
1655038506,1073741824
1655038509,1073741824
1655038512,1073741824
1655038515,1073741824
1655038518,1073741824
1655038521,1073741824
1655038524,1073741824
1655038527,1073741824
1655038530,1073741824
1655038533,1073741824
1655038536,1073741824
1655038539,1073741824
1655038542,1073741824
1655038545,1073741824
1655038548,1073741824
1655038551,1073741824
1655038554,1073741824
1655038557,1073741824
1655038560,1073741824
1655038563,1073741824
1655038566,1073741824
1655038569,1073741824
1655038572,1073741824
1655038575,1073741824
1655038578,1073741824
1655038581,1073741824
1655038584,1073741824
1655038587,1073741824
1655038590,1073741824
1655038593,1073741824
1655038596,1073741824
1655038599,1073741824
1655038602,1073741824
1655038605,1073741824
1655038608,1073741824
1655038611,1073741824
1655038614,1073741824
1655038617,1073741824
1655038620,1073741824
1655038623,1073741824
1655038626,1073741824
1655038629,1073741824
1655038632,1073741824
1655038635,1073741824
1655038638,1073741824
1655038641,1073741824
1655038644,1073741824
1655038647,1073741824
1655038650,1073741824
1655038653,1073741824
1655038656,1073741824
1655038659,1073741824
1655038662,1073741824
1655038665,1073741824
1655038668,1073741824
1655038671,1073741824
1655038674,1073741824
1655038677,1073741824
1655038680,1073741824
1655038683,1073741824
1655038686,1073741824
1655038689,1073741824
1655038692,1073741824
1655038695,1073741824
1655038698,1073741824
1655038701,1073741824
1655038704,1073741824
1655038707,1073741824
1655038710,1073741824
1655038713,1073741824
1655038716,1073741824
1655038719,1073741824
1655038722,1073741824
1655038725,1073741824
1655038728,1073741824
1655038731,1073741824
1655038734,1073741824
1655038737,1073741824
1655038740,1073741824
1655038743,1073741824
1655038746,1073741824
1655038749,1073741824
1655038752,1073741824
1655038755,1073741824
1655038758,1073741824
1655038761,1073741824
1655038764,1073741824
1655038767,1073741824
1655038770,1073741824
1655038773,1073741824
1655038776,1073741824
1655038779,1073741824
1655038782,1073741824
1655038785,1073741824
1655038788,1073741824
1655038791,1073741824
1655038794,1073741824
1655038797,1073741824
1655038800,1073741824
1655038803,1073741824
1655038806,1073741824
1655038809,1073741824
1655038812,1073741824
1655038815,1073741824
1655038818,1073741824
1655038821,1073741824
1655038824,1073741824
1655038827,1073741824
1655038830,1073741824
1655038833,1073741824
1655038836,1073741824
1655038839,1073741824
1655038842,1073741824
1655038845,1073741824
1655038848,1073741824
1655038851,1073741824
1655038854,1073741824
1655038857,1073741824
1655038860,1073741824
1655038863,1073741824
1655038866,1073741824
1655038869,1073741824
1655038872,1073741824
1655038875,1073741824
1655038878,1073741824
1655038881,1073741824
1655038884,1073741824
1655038887,1073741824
1655038890,1073741824
1655038893,1073741824
1655038896,1073741824
1655038899,1073741824
1655038902,1073741824
1655038905,1073741824
1655038908,1073741824
1655038911,1073741824
1655038914,1073741824
1655038917,1073741824
1655038920,1073741824
1655038923,1073741824
1655038926,1073741824
1655038929,1073741824
1655038932,1073741824
1655038935,1073741824
1655038938,1073741824
1655038941,1073741824
1655038944,1073741824
1655038947,1073741824
1655038950,1073741824
1655038953,1073741824
1655038956,1073741824
1655038959,1073741824
1655038962,1073741824
1655038965,1073741824
1655038968,1073741824
1655038971,1073741824
1655038974,1073741824
1655038977,1073741824
1655038980,1073741824
1655038983,1073741824
1655038986,1073741824
1655038989,1073741824
1655038992,1073741824
1655038995,1073741824
1655038998,1073741824
1655039001,1073741824
1655039004,1073741824
1655039007,1073741824
1655039010,1073741824
1655039013,1073741824
1655039016,1073741824
1655039019,1073741824
1655039022,1073741824
1655039025,1073741824
1655039028,1073741824
1655039031,1073741824
1655039034,1073741824
1655039037,1073741824
1655039040,1073741824
1655039043,1073741824
1655039046,1073741824
1655039049,1073741824
1655039052,1073741824
1655039055,1073741824
1655039058,1073741824
1655039061,1073741824
1655039064,1073741824
1655039067,1073741824
1655039070,1073741824
1655039073,1073741824
1655039076,1073741824
1655039079,1073741824
1655039082,1073741824
1655039085,1073741824
1655039088,1073741824
1655039091,1073741824
1655039094,1073741824
1655039097,1073741824
1655039100,1073741824
1655039103,1073741824
1655039106,1073741824
1655039109,1073741824
1655039112,1073741824
1655039115,1073741824
1655039118,1073741824
1655039121,1073741824
1655039124,1073741824
1655039127,1073741824
1655039130,1073741824
1655039133,1073741824
1655039136,1073741824
1655039139,1073741824
1655039142,1073741824
1655039145,1073741824
1655039148,1073741824
1655039151,1073741824
1655039154,1073741824
1655039157,1073741824
1655039160,1073741824
1655039163,1073741824
1655039166,1073741824
1655039169,1073741824
1655039172,1073741824
1655039175,1073741824
1655039178,1073741824
1655039181,1073741824
1655039184,1073741824
1655039187,1073741824
1655039190,1073741824
1655039193,1073741824
1655039196,1073741824
1655039199,1073741824
1655039202,1073741824
1655039205,1073741824
1655039208,1073741824
1655039211,1073741824
1655039214,1073741824
1655039217,1073741824
1655039220,1073741824
1655039223,1073741824
1655039226,1073741824
1655039229,1073741824
1655039232,1073741824
1655039235,1073741824
1655039238,1073741824
1655039241,1073741824
1655039244,1073741824
1655039247,1073741824
1655039250,1073741824
1655039253,1073741824
1655039256,1073741824
1655039259,1073741824
1655039262,1073741824
1655039265,1073741824
1655039268,1073741824
1655039271,1073741824
1655039274,1073741824
1655039277,1073741824
1655039280,1073741824
1655039283,1073741824
1655039286,1073741824
1655039289,1073741824
1655039292,1073741824
1655039295,1073741824
1655039298,1073741824
1655039301,1073741824
1655039304,1073741824
1655039307,1073741824
1655039310,1073741824
1655039313,1073741824
1655039316,1073741824
1655039319,1073741824
1655039322,1073741824
1655039325,1073741824
1655039328,1073741824
1655039331,1073741824
1655039334,1073741824
1655039337,1073741824
1655039340,1073741824
1655039343,1073741824
1655039346,1073741824
1655039349,1073741824
1655039352,1073741824
1655039355,1073741824
1655039358,1073741824
1655039361,1073741824
1655039364,1073741824
1655039367,1073741824
1655039370,1073741824
1655039373,1073741824
1655039376,1073741824
1655039379,1073741824
1655039382,1073741824
1655039385,1073741824
1655039388,1073741824
1655039391,1073741824
1655039394,1073741824
1655039397,1073741824
1655039400,1073741824
1655039403,1073741824
1655039406,1073741824
1655039409,1073741824
1655039412,1073741824
1655039415,1073741824
1655039418,1073741824
1655039421,1073741824
1655039424,1073741824
1655039427,1073741824
1655039430,1073741824
1655039433,1073741824
1655039436,1073741824
1655039439,1073741824
1655039442,1073741824
1655039445,1073741824
1655039448,1073741824
1655039451,1073741824
1655039454,1073741824
1655039457,1073741824
1655039460,1073741824
1655039463,1073741824
1655039466,1073741824
1655039469,1073741824
1655039472,1073741824
1655039475,1073741824
1655039478,1073741824
1655039481,1073741824
1655039484,1073741824
1655039487,1073741824
1655039490,1073741824
1655039493,1073741824
1655039496,1073741824
1655039499,1073741824
1655039502,1073741824
1655039505,1073741824
1655039508,1073741824
1655039511,1073741824
1655039514,1073741824
1655039517,1073741824
1655039520,1073741824
1655039523,1073741824
1655039526,1073741824
1655039529,1073741824
1655039532,1073741824
1655039535,1073741824
1655039538,1073741824
1655039541,1073741824
1655039544,1073741824
1655039547,1073741824
1655039550,1073741824
1655039553,1073741824
1655039556,1073741824
1655039559,1073741824
1655039562,1073741824
1655039565,1073741824
1655039568,1073741824
1655039571,1073741824
1655039574,1073741824
1655039577,1073741824
1655039580,1073741824
1655039583,1073741824
1655039586,1073741824
1655039589,1073741824
1655039592,1073741824
1655039595,1073741824
1655039598,1073741824
1655039601,1073741824
1655039604,1073741824
1655039607,1073741824
1655039610,1073741824
1655039613,1073741824
1655039616,1073741824
1655039619,1073741824
1655039622,1073741824
1655039625,1073741824
1655039628,1073741824
1655039631,1073741824
1655039634,1073741824
1655039637,1073741824
1655039640,1073741824
