t,value
1655037294,209068544
1655037297,302391808
1655037300,119537664
1655037303,150994944
1655037306,150994944
1655037309,153092096
1655037312,80923648
1655037315,86166528
1655037318,92457984
1655037321,111332352
1655037324,112380928
1655037327,136498176
1655037330,137546752
1655037333,140692480
1655037336,141741056
1655037339,142789632
1655037342,142789632
1655037345,154323968
1655037348,155372544
1655037351,167955456
1655037354,170052608
1655037357,171101184
1655037360,171101184
1655037363,172149760
1655037366,173198336
1655037369,174246912
1655037372,177392640
1655037375,178441216
1655037378,179489792
1655037381,179489792
1655037384,180538368
1655037387,181586944
1655037390,182635520
1655037393,185781248
1655037396,186829824
1655037399,187878400
1655037402,188926976
1655037405,199412736
1655037408,200461312
1655037411,213044224
1655037414,213044224
1655037417,214092800
1655037420,215141376
1655037423,215141376
1655037426,216189952
1655037429,217238528
1655037432,221432832
1655037435,221432832
1655037438,222481408
1655037441,223529984
1655037444,224578560
1655037447,224578560
1655037450,225627136
1655037453,228772864
1655037456,229821440
1655037459,230870016
1655037462,231918592
1655037465,242404352
1655037468,243452928
1655037471,254987264
1655037474,256035840
1655037477,257084416
1655037480,258132992
1655037483,259181568
1655037486,259181568
1655037489,260230144
1655037492,264424448
1655037495,265473024
1655037498,266521600
1655037501,266521600
1655037504,267570176
1655037507,268618752
1655037510,268618752
1655037513,71486464
1655037516,72535040
1655037519,73583616
1655037522,73583616
1655037525,86166528
1655037528,86166528
1655037531,98749440
1655037534,99798016
1655037537,100846592
1655037540,100846592
1655037543,101895168
1655037546,102943744
1655037549,102943744
1655037552,107138048
1655037555,108186624
1655037558,109235200
1655037561,110283776
1655037564,110283776
1655037567,111332352
1655037570,112380928
1655037573,115526656
1655037576,116575232
1655037579,116575232
1655037582,117623808
1655037585,129158144
1655037588,130206720
1655037591,141741056
1655037594,142789632
1655037597,143838208
1655037600,143838208
1655037603,144886784
1655037606,145935360
1655037609,146983936
1655037612,150129664
1655037615,151178240
1655037618,152226816
1655037621,152226816
1655037624,153275392
1655037627,154323968
1655037630,155372544
1655037633,158518272
1655037636,159566848
1655037639,159566848
1655037642,160615424
1655037645,171101184
1655037648,172149760
1655037651,183684096
1655037654,185781248
1655037657,185781248
1655037660,186829824
1655037663,187878400
1655037666,188926976
1655037669,188926976
1655037672,193121280
1655037675,193121280
1655037678,194169856
1655037681,195218432
1655037684,196267008
1655037687,196267008
1655037690,197315584
1655037693,200461312
1655037696,201509888
1655037699,202558464
1655037702,202558464
1655037705,214092800
1655037708,215141376
1655037711,225627136
1655037714,227724288
1655037717,227724288
