t,value
1655037294,10196
1655037297,10435
1655037300,10616
1655037303,10696
1655037306,10696
1655037309,10696
1655037312,13113
1655037315,13113
1655037318,16692
1655037321,23610
1655037324,23610
1655037327,23610
1655037330,23610
1655037333,23610
1655037336,23610
1655037339,23610
1655037342,23610
1655037345,23610
1655037348,23610
1655037351,22987
1655037354,22987
1655037357,22987
1655037360,22987
1655037363,22987
1655037366,22987
1655037369,22987
1655037372,22987
1655037375,22987
1655037378,22987
1655037381,22987
1655037384,22987
1655037387,22987
1655037390,22987
1655037393,22987
1655037396,22987
1655037399,22987
1655037402,22987
1655037405,22987
1655037408,22987
1655037411,22987
1655037414,22987
1655037417,22987
1655037420,22987
1655037423,22987
1655037426,22987
1655037429,22987
1655037432,22987
1655037435,22987
1655037438,22987
1655037441,22987
1655037444,22987
1655037447,22987
1655037450,22987
1655037453,22987
1655037456,22987
1655037459,22987
1655037462,22987
1655037465,22987
1655037468,22987
1655037471,22987
1655037474,22987
1655037477,22987
1655037480,22987
1655037483,22987
1655037486,22987
1655037489,22987
1655037492,22987
1655037495,22987
1655037498,22987
1655037501,22987
1655037504,22987
1655037507,22987
1655037510,22987
1655037513,22987
1655037516,22987
1655037519,22987
1655037522,22987
1655037525,22987
1655037528,22987
1655037531,22987
1655037534,22987
1655037537,22987
1655037540,22987
1655037543,22987
1655037546,22987
1655037549,22987
1655037552,22987
1655037555,22987
1655037558,22987
1655037561,22987
1655037564,22987
1655037567,22987
1655037570,22987
1655037573,22987
1655037576,22987
1655037579,22987
1655037582,22987
1655037585,22987
1655037588,22987
1655037591,22987
1655037594,22987
1655037597,22987
1655037600,22987
1655037603,22987
1655037606,22987
1655037609,22987
1655037612,22987
1655037615,22987
1655037618,22987
1655037621,22987
1655037624,22987
1655037627,22987
1655037630,22987
1655037633,22987
1655037636,22987
1655037639,22987
1655037642,22987
1655037645,22987
1655037648,22987
1655037651,22987
1655037654,22987
1655037657,22987
1655037660,22987
1655037663,22987
1655037666,22987
1655037669,22987
1655037672,22987
1655037675,22987
1655037678,22987
1655037681,22987
1655037684,22987
1655037687,22987
1655037690,22987
1655037693,22987
1655037696,22987
1655037699,22987
1655037702,22987
1655037705,22987
1655037708,22987
1655037711,22987
1655037714,22987
1655037717,22987
1655037720,22987
1655037723,22987
1655037726,22987
1655037729,22987
1655037732,22987
1655037735,22987
1655037738,22987
1655037741,22987
1655037744,22987
1655037747,22987
1655037750,22987
1655037753,22987
1655037756,22987
1655037759,22987
1655037762,22987
1655037765,22987
1655037768,22987
1655037771,22987
1655037774,22987
1655037777,22987
1655037780,22987
1655037783,22987
1655037786,22987
1655037789,22987
1655037792,22987
1655037795,22987
1655037798,22987
1655037801,22987
1655037804,22987
1655037807,22987
1655037810,22987
1655037813,22987
1655037816,22987
1655037819,22987
1655037822,22987
1655037825,22987
1655037828,22987
1655037831,22987
1655037834,22987
1655037837,22987
1655037840,22987
1655037843,22987
1655037846,22987
1655037849,22987
1655037852,22987
1655037855,22987
1655037858,22987
1655037861,22987
1655037864,22987
1655037867,22987
1655037870,22987
1655037873,22987
1655037876,22987
1655037879,22987
1655037882,22987
1655037885,22987
1655037888,22987
1655037891,22987
1655037894,22987
1655037897,22987
1655037900,22987
1655037903,22987
1655037906,22987
1655037909,22987
1655037912,22987
1655037915,22987
1655037918,22987
1655037921,22987
1655037924,22987
1655037927,22987
1655037930,22987
1655037933,22987
1655037936,22987
1655037939,22987
1655037942,22987
1655037945,22987
1655037948,22987
1655037951,22987
1655037954,22987
1655037957,22987
1655037960,22987
1655037963,22987
1655037966,22987
1655037969,22987
1655037972,22987
1655037975,22987
1655037978,22987
1655037981,22987
1655037984,22987
1655037987,22987
1655037990,22987
1655037993,22987
1655037996,22987
1655037999,22987
1655038002,22987
1655038005,22987
1655038008,22987
1655038011,22987
1655038014,22987
1655038017,22987
1655038020,22987
1655038023,22987
1655038026,22987
1655038029,22987
1655038032,22987
1655038035,22987
1655038038,22987
1655038041,22987
1655038044,22987
1655038047,22987
1655038050,22987
1655038053,22987
1655038056,22987
1655038059,22987
1655038062,22987
1655038065,22987
1655038068,22987
1655038071,32811
1655038074,32811
1655038077,32811
1655038080,32811
1655038083,32811
1655038086,32811
1655038089,32811
1655038092,32811
1655038095,32811
1655038098,32811
1655038101,32811
1655038104,32811
1655038107,32811
1655038110,32811
1655038113,32811
1655038116,32811
1655038119,32811
1655038122,32811
1655038125,32811
1655038128,32811
1655038131,32811
1655038134,32811
1655038137,32811
1655038140,32811
1655038143,32811
1655038146,32811
1655038149,32811
1655038152,32811
1655038155,32811
1655038158,32811
1655038161,32811
1655038164,32811
1655038167,40812
1655038170,40812
1655038173,40812
1655038176,40812
1655038179,40812
1655038182,40812
1655038185,40812
1655038188,40812
1655038191,40812
1655038194,40812
1655038197,40812
1655038200,40812
1655038203,40812
1655038206,40812
1655038209,40812
1655038212,40812
1655038215,40812
1655038218,40812
1655038221,40812
1655038224,40812
1655038227,40812
1655038230,40812
1655038233,40812
1655038236,40812
1655038239,40812
1655038242,40812
1655038245,40812
1655038248,40812
1655038251,40812
1655038254,40812
1655038257,40812
1655038260,40812
1655038263,40812
1655038266,40812
1655038269,40812
1655038272,40812
1655038275,40812
1655038278,40812
1655038281,40812
1655038284,40812
1655038287,40812
1655038290,40812
1655038293,40812
1655038296,40812
1655038299,40812
1655038302,40812
1655038305,40812
1655038308,40812
1655038311,40812
1655038314,40812
1655038317,40812
1655038320,40812
1655038323,40812
1655038326,40812
1655038329,40812
1655038332,40812
1655038335,40812
1655038338,40812
1655038341,40812
1655038344,40812
1655038347,40812
1655038350,40812
1655038353,40812
1655038356,40812
1655038359,40812
1655038362,40812
1655038365,40812
1655038368,40812
1655038371,40812
1655038374,40812
1655038377,40812
1655038380,40812
1655038383,40812
1655038386,40812
1655038389,40812
1655038392,40812
1655038395,40812
1655038398,40812
1655038401,40812
1655038404,40812
1655038407,40812
1655038410,40812
1655038413,40812
1655038416,40812
1655038419,40812
1655038422,40812
1655038425,40812
1655038428,40812
1655038431,40812
1655038434,40812
1655038437,40812
1655038440,40812
1655038443,40812
1655038446,40812
1655038449,40812
1655038452,40812
1655038455,40812
1655038458,40812
1655038461,40812
1655038464,40812
1655038467,23511
1655038470,23511
1655038473,23511
1655038476,23511
1655038479,23511
1655038482,23511
1655038485,23511
1655038488,23511
1655038491,23511
1655038494,23511
1655038497,23511
1655038500,23511
1655038503,23511
1655038506,23511
1655038509,23511
1655038512,23511
1655038515,23511
1655038518,23511
1655038521,23511
1655038524,23511
1655038527,23511
1655038530,23511
1655038533,23511
1655038536,23511
1655038539,23511
1655038542,23511
1655038545,23511
1655038548,23511
1655038551,23511
1655038554,23511
1655038557,23511
1655038560,23511
1655038563,23511
1655038566,23511
1655038569,23511
1655038572,23511
1655038575,23511
1655038578,23511
1655038581,23511
1655038584,23511
1655038587,23511
1655038590,23511
1655038593,23511
1655038596,23511
1655038599,23511
1655038602,23511
1655038605,23511
1655038608,23511
1655038611,23511
1655038614,23511
1655038617,23511
1655038620,23511
1655038623,23511
1655038626,23511
1655038629,23511
1655038632,23511
1655038635,23511
1655038638,23511
1655038641,23511
1655038644,23511
1655038647,23511
1655038650,23511
1655038653,23511
1655038656,23511
1655038659,23511
1655038662,23511
1655038665,23511
1655038668,23511
1655038671,23511
1655038674,23511
1655038677,23511
1655038680,23511
1655038683,23511
1655038686,23511
1655038689,23511
1655038692,23511
1655038695,23511
1655038698,23511
1655038701,23511
1655038704,23511
1655038707,23511
1655038710,23511
1655038713,23511
1655038716,23511
1655038719,23511
1655038722,23511
1655038725,23511
1655038728,23511
1655038731,23511
1655038734,23511
1655038737,23511
1655038740,23511
1655038743,23511
1655038746,23511
1655038749,23511
1655038752,23511
1655038755,23511
1655038758,23511
1655038761,23511
1655038764,23511
1655038767,23511
1655038770,23511
1655038773,23511
1655038776,23511
1655038779,23511
1655038782,23511
1655038785,23511
1655038788,23511
1655038791,23511
1655038794,23511
1655038797,23511
1655038800,23511
1655038803,23511
1655038806,23511
1655038809,23511
1655038812,23511
1655038815,23511
1655038818,23511
1655038821,23511
1655038824,23511
1655038827,23699
1655038830,23710
1655038833,23710
1655038836,23710
1655038839,23710
1655038842,23710
1655038845,23710
1655038848,23710
1655038851,23710
1655038854,23710
1655038857,23710
1655038860,23710
1655038863,23710
1655038866,23710
1655038869,23710
1655038872,23710
1655038875,23710
1655038878,23710
1655038881,23710
1655038884,23710
1655038887,23710
1655038890,23710
1655038893,23710
1655038896,23710
1655038899,23710
1655038902,23710
1655038905,23710
1655038908,23710
1655038911,23710
1655038914,23710
1655038917,23710
1655038920,23710
1655038923,23710
1655038926,23710
1655038929,23710
1655038932,23710
1655038935,23710
1655038938,23710
1655038941,23710
1655038944,23710
1655038947,23710
1655038950,23710
1655038953,23710
1655038956,23710
1655038959,23710
1655038962,23710
1655038965,23710
1655038968,23710
1655038971,23710
1655038974,23710
1655038977,23710
1655038980,23710
1655038983,23710
1655038986,23710
1655038989,23710
1655038992,23710
1655038995,23710
1655038998,23710
1655039001,23710
1655039004,23710
1655039007,23710
1655039010,23710
1655039013,23710
1655039016,23710
1655039019,23710
1655039022,23710
1655039025,23710
1655039028,23710
1655039031,23710
1655039034,23710
1655039037,23710
1655039040,23710
1655039043,23710
1655039046,23710
1655039049,23710
1655039052,23710
1655039055,23710
1655039058,23710
1655039061,23710
1655039064,23710
1655039067,23710
1655039070,23710
1655039073,23710
1655039076,23710
1655039079,23710
1655039082,23710
1655039085,23710
1655039088,23710
1655039091,23710
1655039094,23710
1655039097,23710
1655039100,23710
1655039103,23710
1655039106,23710
1655039109,23710
1655039112,23710
1655039115,23710
1655039118,23710
1655039121,23710
1655039124,23710
1655039127,23710
1655039130,23710
1655039133,23710
1655039136,23710
1655039139,23710
1655039142,23710
1655039145,23710
1655039148,23710
1655039151,23710
1655039154,23710
1655039157,23710
1655039160,23710
1655039163,23710
1655039166,23710
1655039169,23710
1655039172,23710
1655039175,23710
1655039178,23710
1655039181,23710
1655039184,23710
1655039187,23710
1655039190,23710
1655039193,23710
1655039196,23710
1655039199,23710
1655039202,23710
1655039205,23710
1655039208,23710
1655039211,23710
1655039214,23710
1655039217,23710
1655039220,23710
1655039223,23710
1655039226,23710
1655039229,23710
1655039232,23710
1655039235,23710
1655039238,23710
1655039241,23710
1655039244,23710
1655039247,23710
1655039250,23710
1655039253,23710
1655039256,23710
1655039259,23710
1655039262,23710
1655039265,23710
1655039268,23710
1655039271,23710
1655039274,23710
1655039277,23710
1655039280,23710
1655039283,23710
1655039286,23710
1655039289,23710
1655039292,23710
1655039295,23710
1655039298,23710
1655039301,23710
1655039304,23710
1655039307,23710
1655039310,23710
1655039313,23710
1655039316,23710
1655039319,23710
1655039322,23710
1655039325,23710
1655039328,23710
1655039331,23710
1655039334,23710
1655039337,23710
1655039340,23710
1655039343,23710
1655039346,23710
1655039349,23710
1655039352,23710
1655039355,23710
1655039358,23710
1655039361,23710
1655039364,23710
1655039367,23710
1655039370,23710
1655039373,23710
1655039376,23710
1655039379,23710
1655039382,23710
1655039385,23710
1655039388,23710
1655039391,23710
1655039394,23710
1655039397,23710
1655039400,23710
1655039403,23710
1655039406,23710
1655039409,23710
1655039412,23710
1655039415,23710
1655039418,23710
1655039421,23710
1655039424,23710
1655039427,23710
1655039430,23710
1655039433,23710
1655039436,23710
1655039439,23710
1655039442,23710
1655039445,23710
1655039448,23710
1655039451,23710
1655039454,23710
1655039457,23710
1655039460,23710
1655039463,23710
1655039466,23710
1655039469,23710
1655039472,23710
1655039475,23710
1655039478,23710
1655039481,23710
1655039484,23710
1655039487,23710
1655039490,23710
1655039493,23710
1655039496,23710
1655039499,23710
1655039502,23710
1655039505,23710
1655039508,23710
1655039511,23710
1655039514,23710
1655039517,23710
1655039520,23710
1655039523,23710
1655039526,23710
1655039529,23710
1655039532,23710
1655039535,23710
1655039538,23710
1655039541,23710
1655039544,23710
1655039547,23710
1655039550,23710
1655039553,23710
1655039556,23710
1655039559,23710
1655039562,23710
1655039565,23710
1655039568,23710
1655039571,23710
1655039574,23710
1655039577,23710
1655039580,23710
1655039583,23710
1655039586,23710
1655039589,23710
1655039592,23710
1655039595,23710
1655039598,23710
1655039601,23710
1655039604,23710
1655039607,23710
1655039610,23710
1655039613,23710
1655039616,23710
1655039619,23710
1655039622,23710
1655039625,23710
1655039628,23710
1655039631,23710
1655039634,23710
1655039637,23710
1655039640,23710
1655039643,23710
1655039646,23710
1655039649,23710
1655039652,23710
1655039655,23710
1655039658,23710
1655039661,23710
1655039664,23710
1655039667,23710
1655039670,23710
1655039673,23710
1655039676,23710
1655039679,23710
1655039682,23710
1655039685,23710
1655039688,23710
1655039691,23710
1655039694,23710
1655039697,23710
1655039700,23710
1655039703,23710
1655039706,23710
1655039709,23710
1655039712,23710
1655039715,23710
1655039718,23710
1655039721,23710
1655039724,23710
1655039727,23710
1655039730,23710
1655039733,23710
1655039736,23710
1655039739,23710
1655039742,23710
1655039745,23710
1655039748,23710
1655039751,23710
1655039754,23710
1655039757,23710
1655039760,23710
1655039763,23710
1655039766,23710
1655039769,23710
1655039772,23710
1655039775,23710
1655039778,23710
1655039781,23710
1655039784,23710
1655039787,23710
1655039790,23710
1655039793,23710
1655039796,23710
1655039799,23710
1655039802,23710
1655039805,23710
1655039808,23710
1655039811,23710
1655039814,23710
1655039817,23710
1655039820,23710
1655039823,23710
1655039826,23710
1655039829,23710
1655039832,23710
1655039835,23710
1655039838,23710
1655039841,23710
1655039844,23710
1655039847,23710
1655039850,23710
1655039853,23710
1655039856,23710
1655039859,23710
1655039862,23710
1655039865,23710
1655039868,23710
1655039871,23710
1655039874,23710
1655039877,23710
1655039880,23710
1655039883,23710
1655039886,23710
1655039889,23710
1655039892,23710
1655039895,23710
1655039898,23710
1655039901,23710
1655039904,23710
1655039907,23710
1655039910,23710
1655039913,23710
1655039916,23710
1655039919,23710
1655039922,23710
1655039925,23710
1655039928,23710
1655039931,23710
1655039934,23710
1655039937,23710
1655039940,23710
1655039943,23710
1655039946,23710
