t,value
1655037294,11
1655037297,13
1655037300,13
1655037303,13
1655037306,13
1655037309,13
1655037312,17
1655037315,17
1655037318,17
1655037321,17
1655037324,17
1655037327,17
1655037330,17
1655037333,17
1655037336,17
1655037339,17
1655037342,17
1655037345,17
1655037348,17
1655037351,15
1655037354,15
1655037357,15
1655037360,15
1655037363,15
1655037366,15
1655037369,15
1655037372,15
1655037375,15
1655037378,15
1655037381,15
1655037384,15
1655037387,15
1655037390,15
1655037393,15
1655037396,15
1655037399,15
1655037402,15
1655037405,15
1655037408,15
1655037411,15
1655037414,15
1655037417,15
1655037420,15
1655037423,15
1655037426,15
1655037429,15
1655037432,15
1655037435,15
1655037438,15
1655037441,15
1655037444,15
1655037447,15
1655037450,15
1655037453,15
1655037456,15
1655037459,15
1655037462,15
1655037465,15
1655037468,15
1655037471,15
1655037474,15
1655037477,15
1655037480,15
1655037483,15
1655037486,15
1655037489,15
1655037492,15
1655037495,15
1655037498,15
1655037501,15
1655037504,15
1655037507,15
1655037510,15
1655037513,15
1655037516,15
1655037519,15
1655037522,15
1655037525,15
1655037528,15
1655037531,15
1655037534,15
1655037537,15
1655037540,15
1655037543,15
1655037546,15
1655037549,15
1655037552,15
1655037555,15
1655037558,15
1655037561,15
1655037564,15
1655037567,15
1655037570,15
1655037573,15
1655037576,15
1655037579,15
1655037582,15
1655037585,15
1655037588,15
1655037591,15
1655037594,15
1655037597,15
1655037600,15
1655037603,15
1655037606,15
1655037609,15
1655037612,15
1655037615,15
1655037618,15
1655037621,15
1655037624,15
1655037627,15
1655037630,15
1655037633,15
1655037636,15
1655037639,15
1655037642,15
1655037645,15
1655037648,15
1655037651,15
1655037654,15
1655037657,15
1655037660,15
1655037663,15
1655037666,15
1655037669,15
1655037672,15
1655037675,15
1655037678,15
1655037681,15
1655037684,15
1655037687,15
1655037690,15
1655037693,15
1655037696,15
1655037699,15
1655037702,15
1655037705,15
1655037708,15
1655037711,15
1655037714,15
1655037717,15
1655037720,15
1655037723,15
1655037726,15
1655037729,15
1655037732,15
1655037735,15
1655037738,15
1655037741,15
1655037744,15
1655037747,15
1655037750,15
1655037753,15
1655037756,15
1655037759,15
1655037762,15
1655037765,15
1655037768,15
1655037771,15
1655037774,15
1655037777,15
1655037780,15
1655037783,15
1655037786,15
1655037789,15
1655037792,15
1655037795,15
1655037798,15
1655037801,15
1655037804,15
1655037807,15
1655037810,15
1655037813,15
1655037816,15
1655037819,15
1655037822,15
1655037825,15
1655037828,15
1655037831,15
1655037834,15
1655037837,15
1655037840,15
1655037843,15
1655037846,15
1655037849,15
1655037852,15
1655037855,15
1655037858,15
1655037861,15
1655037864,15
1655037867,15
1655037870,15
1655037873,15
1655037876,15
1655037879,15
1655037882,15
1655037885,15
1655037888,15
1655037891,15
1655037894,15
1655037897,15
1655037900,15
1655037903,15
1655037906,15
1655037909,15
1655037912,15
1655037915,15
1655037918,15
1655037921,15
1655037924,15
1655037927,15
1655037930,15
1655037933,15
1655037936,15
1655037939,15
1655037942,15
1655037945,15
1655037948,15
1655037951,15
1655037954,15
1655037957,15
1655037960,15
1655037963,15
1655037966,15
1655037969,15
