t,value
1655037294,10197
1655037297,10436
1655037300,10617
1655037303,10697
1655037306,10697
1655037309,10697
1655037312,13114
1655037315,13114
1655037318,16693
1655037321,23611
1655037324,23611
1655037327,23611
1655037330,23611
1655037333,23611
1655037336,23611
1655037339,23611
1655037342,23611
1655037345,23611
1655037348,23611
1655037351,22988
1655037354,22988
1655037357,22988
1655037360,22988
1655037363,22988
1655037366,22988
1655037369,22988
1655037372,22988
1655037375,22988
1655037378,22988
1655037381,22988
1655037384,22988
1655037387,22988
1655037390,22988
1655037393,22988
1655037396,22988
1655037399,22988
1655037402,22988
1655037405,22988
1655037408,22988
1655037411,22988
1655037414,22988
1655037417,22988
1655037420,22988
1655037423,22988
1655037426,22988
1655037429,22988
1655037432,22988
1655037435,22988
1655037438,22988
1655037441,22988
1655037444,22988
1655037447,22988
1655037450,22988
1655037453,22988
1655037456,22988
1655037459,22988
1655037462,22988
1655037465,22988
1655037468,22988
1655037471,22988
1655037474,22988
1655037477,22988
1655037480,22988
1655037483,22988
1655037486,22988
1655037489,22988
1655037492,22988
1655037495,22988
1655037498,22988
1655037501,22988
1655037504,22988
1655037507,22988
1655037510,22988
1655037513,22988
1655037516,22988
1655037519,22988
1655037522,22988
1655037525,22988
1655037528,22988
1655037531,22988
1655037534,22988
1655037537,22988
1655037540,22988
1655037543,22988
1655037546,22988
1655037549,22988
1655037552,22988
1655037555,22988
1655037558,22988
1655037561,22988
1655037564,22988
1655037567,22988
1655037570,22988
1655037573,22988
1655037576,22988
1655037579,22988
1655037582,22988
1655037585,22988
1655037588,22988
1655037591,22988
1655037594,22988
1655037597,22988
1655037600,22988
1655037603,22988
1655037606,22988
1655037609,22988
1655037612,22988
1655037615,22988
1655037618,22988
1655037621,22988
1655037624,22988
1655037627,22988
1655037630,22988
1655037633,22988
1655037636,22988
1655037639,22988
1655037642,22988
1655037645,22988
1655037648,22988
1655037651,22988
1655037654,22988
1655037657,22988
1655037660,22988
1655037663,22988
1655037666,22988
1655037669,22988
1655037672,22988
1655037675,22988
1655037678,22988
1655037681,22988
1655037684,22988
1655037687,22988
1655037690,22988
1655037693,22988
1655037696,22988
1655037699,22988
1655037702,22988
1655037705,22988
1655037708,22988
1655037711,22988
1655037714,22988
1655037717,22988
1655037720,22988
1655037723,22988
1655037726,22988
1655037729,22988
1655037732,22988
1655037735,22988
1655037738,22988
1655037741,22988
1655037744,22988
1655037747,22988
1655037750,22988
1655037753,22988
1655037756,22988
1655037759,22988
1655037762,22988
1655037765,22988
1655037768,22988
1655037771,22988
1655037774,22988
1655037777,22988
1655037780,22988
1655037783,22988
1655037786,22988
1655037789,22988
1655037792,22988
1655037795,22988
1655037798,22988
1655037801,22988
1655037804,22988
1655037807,22988
1655037810,22988
1655037813,22988
1655037816,22988
1655037819,22988
1655037822,22988
1655037825,22988
1655037828,22988
1655037831,22988
1655037834,22988
1655037837,22988
1655037840,22988
1655037843,22988
1655037846,22988
1655037849,22988
1655037852,22988
1655037855,22988
1655037858,22988
1655037861,22988
1655037864,22988
1655037867,22988
1655037870,22988
1655037873,22988
1655037876,22988
1655037879,22988
1655037882,22988
1655037885,22988
1655037888,22988
1655037891,22988
1655037894,22988
1655037897,22988
1655037900,22988
1655037903,22988
1655037906,22988
1655037909,22988
1655037912,22988
1655037915,22988
1655037918,22988
1655037921,22988
1655037924,22988
1655037927,22988
1655037930,22988
1655037933,22988
1655037936,22988
1655037939,22988
1655037942,22988
1655037945,22988
1655037948,22988
1655037951,22988
1655037954,22988
1655037957,22988
1655037960,22988
1655037963,22988
1655037966,22988
1655037969,22988
1655037972,22988
1655037975,22988
1655037978,22988
1655037981,22988
1655037984,22988
1655037987,22988
1655037990,22988
1655037993,22988
1655037996,22988
1655037999,22988
1655038002,22988
1655038005,22988
1655038008,22988
1655038011,22988
1655038014,22988
1655038017,22988
1655038020,22988
1655038023,22988
1655038026,22988
1655038029,22988
1655038032,22988
1655038035,22988
1655038038,22988
1655038041,22988
1655038044,22988
1655038047,22988
1655038050,22988
1655038053,22988
1655038056,22988
1655038059,22988
1655038062,22988
1655038065,22988
1655038068,22988
1655038071,32812
1655038074,32812
1655038077,32812
1655038080,32812
1655038083,32812
1655038086,32812
1655038089,32812
1655038092,32812
1655038095,32812
1655038098,32812
1655038101,32812
1655038104,32812
1655038107,32812
1655038110,32812
1655038113,32812
1655038116,32812
1655038119,32812
1655038122,32812
1655038125,32812
1655038128,32812
1655038131,32812
1655038134,32812
1655038137,32812
1655038140,32812
1655038143,32812
1655038146,32812
1655038149,32812
1655038152,32812
1655038155,32812
1655038158,32812
1655038161,32812
1655038164,32812
1655038167,40813
1655038170,40813
1655038173,40813
1655038176,40813
1655038179,40813
1655038182,40813
1655038185,40813
1655038188,40813
1655038191,40813
1655038194,40813
1655038197,40813
1655038200,40813
1655038203,40813
1655038206,40813
1655038209,40813
1655038212,40813
1655038215,40813
1655038218,40813
1655038221,40813
1655038224,40813
1655038227,40813
1655038230,40813
1655038233,40813
1655038236,40813
1655038239,40813
1655038242,40813
1655038245,40813
1655038248,40813
1655038251,40813
1655038254,40813
1655038257,40813
1655038260,40813
1655038263,40813
1655038266,40813
1655038269,40813
1655038272,40813
1655038275,40813
1655038278,40813
1655038281,40813
1655038284,40813
1655038287,40813
1655038290,40813
1655038293,40813
1655038296,40813
1655038299,40813
1655038302,40813
1655038305,40813
1655038308,40813
1655038311,40813
1655038314,40813
1655038317,40813
1655038320,40813
1655038323,40813
1655038326,40813
1655038329,40813
1655038332,40813
1655038335,40813
1655038338,40813
1655038341,40813
1655038344,40813
1655038347,40813
1655038350,40813
1655038353,40813
1655038356,40813
1655038359,40813
1655038362,40813
1655038365,40813
1655038368,40813
1655038371,40813
1655038374,40813
1655038377,40813
1655038380,40813
1655038383,40813
1655038386,40813
1655038389,40813
1655038392,40813
1655038395,40813
1655038398,40813
1655038401,40813
1655038404,40813
1655038407,40813
1655038410,40813
1655038413,40813
1655038416,40813
1655038419,40813
1655038422,40813
1655038425,40813
1655038428,40813
1655038431,40813
1655038434,40813
1655038437,40813
1655038440,40813
1655038443,40813
1655038446,40813
1655038449,40813
1655038452,40813
1655038455,40813
1655038458,40813
1655038461,40813
1655038464,40813
1655038467,23512
1655038470,23512
1655038473,23512
1655038476,23512
1655038479,23512
1655038482,23512
1655038485,23512
1655038488,23512
1655038491,23512
1655038494,23512
1655038497,23512
1655038500,23512
1655038503,23512
1655038506,23512
1655038509,23512
1655038512,23512
1655038515,23512
1655038518,23512
1655038521,23512
1655038524,23512
1655038527,23512
1655038530,23512
1655038533,23512
1655038536,23512
1655038539,23512
1655038542,23512
1655038545,23512
1655038548,23512
1655038551,23512
1655038554,23512
1655038557,23512
1655038560,23512
1655038563,23512
1655038566,23512
1655038569,23512
1655038572,23512
1655038575,23512
1655038578,23512
1655038581,23512
1655038584,23512
1655038587,23512
1655038590,23512
1655038593,23512
1655038596,23512
1655038599,23512
1655038602,23512
1655038605,23512
1655038608,23512
1655038611,23512
1655038614,23512
1655038617,23512
1655038620,23512
1655038623,23512
1655038626,23512
1655038629,23512
1655038632,23512
1655038635,23512
1655038638,23512
1655038641,23512
1655038644,23512
1655038647,23512
1655038650,23512
1655038653,23512
1655038656,23512
1655038659,23512
1655038662,23512
1655038665,23512
1655038668,23512
