t,value
1655037294,1443456
1655037297,1453952
1655037300,1485440
1655037303,1490432
1655037306,1490432
1655037309,1490432
1655037312,1508992
1655037315,1508992
1655037318,1508992
1655037321,1508992
1655037324,1514752
1655037327,1508992
1655037330,1508992
1655037333,1508992
1655037336,1508992
1655037339,1508992
1655037342,1508992
1655037345,1508992
1655037348,1508992
1655037351,1508992
1655037354,1508992
1655037357,1508992
1655037360,1508992
1655037363,1508992
1655037366,1508992
1655037369,1508992
1655037372,1508992
1655037375,1508992
1655037378,1508992
1655037381,1508992
1655037384,1508992
1655037387,1508992
1655037390,1508992
1655037393,1508992
1655037396,1508992
1655037399,1508992
1655037402,1508992
1655037405,1508992
1655037408,1508992
1655037411,1508992
1655037414,1508992
1655037417,1508992
1655037420,1508992
1655037423,1508992
1655037426,1508992
1655037429,1508992
1655037432,1508992
1655037435,1508992
1655037438,1508992
1655037441,1508992
1655037444,1508992
1655037447,1508992
1655037450,1508992
1655037453,1508992
1655037456,1508992
1655037459,1508992
1655037462,1508992
1655037465,1508992
1655037468,1508992
1655037471,1508992
1655037474,1508992
1655037477,1508992
1655037480,1508992
1655037483,1508992
1655037486,1508992
1655037489,1508992
1655037492,1508992
1655037495,1508992
1655037498,1508992
1655037501,1508992
1655037504,1523584
1655037507,1508992
1655037510,1508992
1655037513,1509632
1655037516,1509632
1655037519,1509632
1655037522,1509632
1655037525,1509632
1655037528,1509632
1655037531,1509632
1655037534,1509632
1655037537,1509632
1655037540,1509632
1655037543,1509632
1655037546,1509632
1655037549,1509632
1655037552,1509632
1655037555,1509632
1655037558,1509632
1655037561,1509632
1655037564,1509632
1655037567,1509632
1655037570,1509632
1655037573,1509632
1655037576,1509632
1655037579,1509632
1655037582,1509632
1655037585,1509632
1655037588,1509632
1655037591,1509632
1655037594,1509632
1655037597,1509632
1655037600,1509632
1655037603,1509632
1655037606,1509632
1655037609,1509632
1655037612,1509632
1655037615,1509632
1655037618,1509632
1655037621,1509632
1655037624,1509632
1655037627,1509632
1655037630,1509632
1655037633,1509632
1655037636,1509632
1655037639,1509632
1655037642,1509632
1655037645,1509632
1655037648,1509632
1655037651,1509632
1655037654,1509632
1655037657,1509632
1655037660,1509632
1655037663,1509632
1655037666,1509632
1655037669,1509632
1655037672,1509632
1655037675,1509632
1655037678,1509632
1655037681,1509632
1655037684,1509632
1655037687,1509632
1655037690,1509632
1655037693,1509632
1655037696,1509632
1655037699,1509632
1655037702,1509632
1655037705,1509632
1655037708,1509632
1655037711,1509632
1655037714,1509632
1655037717,1509632
1655037720,1509632
1655037723,1509632
1655037726,1509632
1655037729,1509632
1655037732,1509632
1655037735,1509632
1655037738,1509632
1655037741,1509632
1655037744,1509632
1655037747,1509632
1655037750,1509632
1655037753,1509632
1655037756,1509632
1655037759,1509632
1655037762,1509632
1655037765,1522432
1655037768,1509632
1655037771,1509632
1655037774,1509632
1655037777,1509632
1655037780,1509632
1655037783,1509632
1655037786,1509632
1655037789,1509632
1655037792,1509632
1655037795,1509632
1655037798,1509632
1655037801,1509632
1655037804,1509632
1655037807,1509632
1655037810,1509632
1655037813,1509632
1655037816,1509632
1655037819,1509632
1655037822,1509632
1655037825,1509632
1655037828,1509632
1655037831,1509632
1655037834,1509632
1655037837,1509632
1655037840,1509632
1655037843,1509632
1655037846,1509632
1655037849,1509632
1655037852,1509632
1655037855,1509632
1655037858,1509632
1655037861,1509632
1655037864,1509632
1655037867,1509632
1655037870,1509632
1655037873,1509632
1655037876,1509632
1655037879,1509632
1655037882,1509632
1655037885,1509632
1655037888,1509632
1655037891,1509632
1655037894,1509632
1655037897,1509632
1655037900,1509632
1655037903,1509632
1655037906,1509632
1655037909,1509632
1655037912,1513984
1655037915,1513984
1655037918,1513984
1655037921,1513984
1655037924,1513984
1655037927,1513984
1655037930,1513984
1655037933,1513984
1655037936,1513984
1655037939,1513984
1655037942,1513984
1655037945,1513984
1655037948,1513984
1655037951,1513984
1655037954,1513984
1655037957,1513984
1655037960,1513984
1655037963,1513984
1655037966,1513984
1655037969,1513984
1655037972,1513984
1655037975,1513984
1655037978,1513984
1655037981,1513984
1655037984,1513984
1655037987,1513984
1655037990,1513984
1655037993,1513984
1655037996,1513984
1655037999,1513984
1655038002,1513984
1655038005,1513984
1655038008,1513984
1655038011,1513984
1655038014,1513984
1655038017,1513984
1655038020,1513984
1655038023,1513984
1655038026,1513984
1655038029,1513984
1655038032,1513984
1655038035,1513984
1655038038,1513984
1655038041,1513984
1655038044,1513984
1655038047,1513984
1655038050,1513984
1655038053,1513984
1655038056,1513984
1655038059,1513984
1655038062,1513984
1655038065,1513984
1655038068,1513984
1655038071,1513984
1655038074,1513984
1655038077,1513984
1655038080,1513984
1655038083,1513984
1655038086,1513984
1655038089,1513984
1655038092,1513984
1655038095,1513984
1655038098,1513984
1655038101,1513984
1655038104,1513984
1655038107,1513984
1655038110,1513984
1655038113,1513984
1655038116,1513984
1655038119,1513984
1655038122,1513984
1655038125,1513984
1655038128,1513984
1655038131,1513984
1655038134,1513984
1655038137,1513984
1655038140,1513984
1655038143,1513984
1655038146,1513984
1655038149,1513984
1655038152,1513984
1655038155,1513984
1655038158,1513984
1655038161,1513984
1655038164,1513984
1655038167,1513984
1655038170,1513984
1655038173,1513984
1655038176,1513984
1655038179,1513984
1655038182,1513984
1655038185,1513984
1655038188,1513984
1655038191,1513984
1655038194,1513984
1655038197,1513984
1655038200,1513984
1655038203,1513984
1655038206,1513984
1655038209,1513984
1655038212,1513984
1655038215,1513984
1655038218,1513984
1655038221,1513984
1655038224,1513984
1655038227,1513984
1655038230,1513984
1655038233,1513984
1655038236,1513984
1655038239,1513984
1655038242,1513984
1655038245,1513984
1655038248,1513984
1655038251,1513984
1655038254,1513984
1655038257,1513984
1655038260,1513984
1655038263,1513984
1655038266,1513984
1655038269,1513984
1655038272,1513984
1655038275,1513984
1655038278,1513984
1655038281,1513984
1655038284,1513984
1655038287,1513984
1655038290,1513984
1655038293,1513984
1655038296,1513984
1655038299,1513984
1655038302,1513984
1655038305,1513984
1655038308,1513984
1655038311,1513984
1655038314,1513984
1655038317,1513984
1655038320,1513984
1655038323,1513984
1655038326,1513984
1655038329,1513984
1655038332,1513984
1655038335,1513984
1655038338,1513984
1655038341,1513984
1655038344,1513984
1655038347,1513984
1655038350,1513984
1655038353,1513984
1655038356,1513984
1655038359,1513984
1655038362,1513984
1655038365,1513984
1655038368,1513984
1655038371,1513984
1655038374,1513984
1655038377,1513984
1655038380,1513984
1655038383,1513984
1655038386,1513984
1655038389,1513984
1655038392,1513984
1655038395,1513984
1655038398,1513984
1655038401,1513984
1655038404,1513984
1655038407,1513984
1655038410,1513984
1655038413,1513984
1655038416,1513984
1655038419,1513984
1655038422,1513984
1655038425,1513984
1655038428,1513984
1655038431,1513984
1655038434,1513984
1655038437,1513984
1655038440,1513984
1655038443,1513984
1655038446,1513984
1655038449,1513984
1655038452,1513984
1655038455,1513984
1655038458,1513984
1655038461,1513984
1655038464,1513984
1655038467,1513984
1655038470,1513984
1655038473,1513984
1655038476,1513984
1655038479,1513984
1655038482,1513984
1655038485,1513984
1655038488,1513984
1655038491,1513984
1655038494,1513984
1655038497,1513984
1655038500,1513984
1655038503,1513984
1655038506,1513984
1655038509,1513984
1655038512,1513984
1655038515,1513984
1655038518,1513984
1655038521,1513984
1655038524,1513984
1655038527,1513984
1655038530,1513984
1655038533,1513984
1655038536,1513984
1655038539,1513984
1655038542,1513984
1655038545,1513984
1655038548,1513984
1655038551,1513984
1655038554,1513984
1655038557,1513984
1655038560,1513984
1655038563,1513984
1655038566,1513984
1655038569,1513984
1655038572,1513984
1655038575,1513984
1655038578,1513984
1655038581,1513984
1655038584,1513984
1655038587,1513984
1655038590,1513984
1655038593,1513984
1655038596,1513984
1655038599,1513984
1655038602,1513984
1655038605,1513984
1655038608,1513984
1655038611,1513984
1655038614,1513984
1655038617,1513984
1655038620,1513984
1655038623,1513984
1655038626,1513984
1655038629,1513984
1655038632,1513984
1655038635,1513984
1655038638,1513984
1655038641,1513984
1655038644,1513984
1655038647,1513984
1655038650,1513984
1655038653,1513984
1655038656,1513984
1655038659,1513984
1655038662,1513984
1655038665,1513984
1655038668,1513984
1655038671,1513984
1655038674,1513984
1655038677,1513984
1655038680,1513984
1655038683,1513984
1655038686,1513984
1655038689,1513984
1655038692,1513984
1655038695,1513984
1655038698,1513984
1655038701,1513984
1655038704,1513984
1655038707,1513984
1655038710,1513984
1655038713,1513984
1655038716,1513984
1655038719,1513984
1655038722,1513984
1655038725,1513984
1655038728,1513984
1655038731,1513984
1655038734,1513984
1655038737,1513984
1655038740,1513984
1655038743,1513984
1655038746,1513984
1655038749,1513984
1655038752,1513984
1655038755,1513984
1655038758,1513984
1655038761,1513984
1655038764,1513984
1655038767,1513984
1655038770,1513984
1655038773,1513984
1655038776,1513984
1655038779,1513984
1655038782,1513984
1655038785,1513984
1655038788,1513984
1655038791,1513984
1655038794,1513984
1655038797,1513984
1655038800,1513984
1655038803,1513984
1655038806,1513984
1655038809,1513984
1655038812,1513984
1655038815,1513984
1655038818,1513984
1655038821,1513984
1655038824,1513984
1655038827,1513984
1655038830,1517184
1655038833,1517184
1655038836,1517184
1655038839,1517184
1655038842,1517184
1655038845,1517184
1655038848,1517184
1655038851,1517184
1655038854,1517184
1655038857,1517184
1655038860,1517184
1655038863,1517184
1655038866,1517184
1655038869,1517184
1655038872,1517184
1655038875,1517184
1655038878,1517184
1655038881,1517184
1655038884,1517184
1655038887,1517184
1655038890,1517184
1655038893,1517184
1655038896,1517184
1655038899,1517184
1655038902,1517184
1655038905,1517184
1655038908,1517184
1655038911,1517184
1655038914,1517184
1655038917,1517184
1655038920,1517184
1655038923,1517184
1655038926,1517184
1655038929,1517184
1655038932,1517184
1655038935,1517184
1655038938,1517184
1655038941,1517184
1655038944,1517184
1655038947,1517184
1655038950,1517184
1655038953,1517184
1655038956,1517184
1655038959,1517184
1655038962,1517184
1655038965,1517184
1655038968,1517184
1655038971,1517184
1655038974,1517184
1655038977,1517184
1655038980,1517184
1655038983,1517184
1655038986,1517184
1655038989,1517184
1655038992,1517184
1655038995,1517184
1655038998,1517184
1655039001,1517184
1655039004,1517184
1655039007,1517184
1655039010,1517184
1655039013,1517184
1655039016,1517184
1655039019,1517184
1655039022,1517184
1655039025,1517184
1655039028,1517184
1655039031,1517184
1655039034,1517184
1655039037,1517184
1655039040,1517184
1655039043,1517184
1655039046,1517184
1655039049,1517184
1655039052,1517184
1655039055,1517184
1655039058,1517184
1655039061,1517184
1655039064,1517184
1655039067,1517184
1655039070,1517184
1655039073,1517184
1655039076,1517184
1655039079,1517184
1655039082,1517184
1655039085,1517184
1655039088,1517184
1655039091,1517184
1655039094,1517184
1655039097,1517184
1655039100,1517184
1655039103,1517184
1655039106,1517184
1655039109,1517184
1655039112,1517184
1655039115,1517184
1655039118,1517184
1655039121,1517184
1655039124,1517184
1655039127,1517184
1655039130,1517184
1655039133,1517184
1655039136,1517184
1655039139,1517184
1655039142,1517184
1655039145,1517184
1655039148,1517184
1655039151,1517184
1655039154,1517184
1655039157,1517184
1655039160,1517184
1655039163,1517184
1655039166,1517184
1655039169,1517184
1655039172,1517184
1655039175,1517184
1655039178,1517184
1655039181,1517184
1655039184,1517184
1655039187,1517184
1655039190,1517184
1655039193,1517184
1655039196,1517184
1655039199,1517184
1655039202,1517184
1655039205,1517184
1655039208,1517184
1655039211,1517184
1655039214,1517184
1655039217,1517184
1655039220,1517184
1655039223,1517184
1655039226,1517184
1655039229,1517184
1655039232,1517184
1655039235,1517184
1655039238,1517184
1655039241,1517184
1655039244,1517184
1655039247,1517184
1655039250,1517184
1655039253,1517184
1655039256,1517184
1655039259,1517184
1655039262,1517184
1655039265,1517184
1655039268,1517184
1655039271,1517184
1655039274,1517184
1655039277,1517184
1655039280,1517184
1655039283,1517184
1655039286,1517184
1655039289,1517184
1655039292,1517184
1655039295,1517184
1655039298,1517184
1655039301,1517184
1655039304,1517184
1655039307,1517184
1655039310,1517184
1655039313,1517184
1655039316,1517184
1655039319,1517184
1655039322,1517184
1655039325,1517184
1655039328,1517184
1655039331,1517184
1655039334,1517184
1655039337,1517184
1655039340,1517184
1655039343,1517184
1655039346,1517184
1655039349,1517184
1655039352,1517184
1655039355,1517184
1655039358,1517184
1655039361,1517184
1655039364,1517184
1655039367,1517184
1655039370,1517184
1655039373,1517184
1655039376,1517184
1655039379,1517184
1655039382,1517184
1655039385,1517184
1655039388,1517184
1655039391,1517184
1655039394,1517184
1655039397,1517184
1655039400,1517184
1655039403,1517184
1655039406,1517184
1655039409,1517184
1655039412,1517184
1655039415,1517184
1655039418,1517184
1655039421,1517184
1655039424,1517184
1655039427,1517184
1655039430,1517184
1655039433,1517184
1655039436,1517184
1655039439,1517184
1655039442,1517184
1655039445,1517184
1655039448,1517184
1655039451,1517184
1655039454,1517184
1655039457,1517184
1655039460,1517184
1655039463,1517184
