t,value
1655037294,4146560
1655037297,4856064
1655037300,5217920
1655037303,5778816
1655037306,5823488
1655037309,5906560
1655037312,6829440
1655037315,7054592
1655037318,7204736
1655037321,7640576
1655037324,7647616
1655037327,7996800
1655037330,8005760
1655037333,8125440
1655037336,8129024
1655037339,8132096
1655037342,8133504
1655037345,8166400
1655037348,8168576
1655037351,8313472
1655037354,8323072
1655037357,8328320
1655037360,8341376
1655037363,8365440
1655037366,8401024
1655037369,8429440
1655037372,8525312
1655037375,8539008
1655037378,8575616
1655037381,8587392
1655037384,8616320
1655037387,8618496
1655037390,8626560
1655037393,8702720
1655037396,8718208
1655037399,8718208
1655037402,8718208
1655037405,8744960
1655037408,8744960
1655037411,8831744
1655037414,8835456
1655037417,8835456
1655037420,8836224
1655037423,8836224
1655037426,8837120
1655037429,8837120
1655037432,8919040
1655037435,8919040
1655037438,8919040
1655037441,8920064
1655037444,8920064
1655037447,8920064
1655037450,8920064
1655037453,8960000
1655037456,8965248
1655037459,8967296
1655037462,8967296
1655037465,8995968
1655037468,8998784
1655037471,8549632
1655037474,8557824
1655037477,8558848
1655037480,8559872
1655037483,8561664
1655037486,8563456
1655037489,8563456
1655037492,8624256
1655037495,8624256
1655037498,8625792
1655037501,8632960
1655037504,8667776
1655037507,8681472
1655037510,8684288
1655037513,8975488
1655037516,8977664
1655037519,8977664
1655037522,8977664
1655037525,8981632
1655037528,8981632
1655037531,9003392
1655037534,9030400
1655037537,9030400
1655037540,9030400
1655037543,9030400
1655037546,9030400
1655037549,9030400
1655037552,9093376
1655037555,9099776
1655037558,9099776
1655037561,9105792
1655037564,9105792
1655037567,9105792
1655037570,9111168
1655037573,9146240
1655037576,9154432
1655037579,9181440
1655037582,9181440
1655037585,9183232
1655037588,9183232
1655037591,9203840
1655037594,9225088
1655037597,9225088
1655037600,9232640
1655037603,9232640
1655037606,9232640
1655037609,9232640
1655037612,9318912
1655037615,9318912
1655037618,9326592
1655037621,9326592
1655037624,9326592
1655037627,9326592
1655037630,9326592
1655037633,9417728
1655037636,9417728
1655037639,9417728
1655037642,9417728
1655037645,9421952
1655037648,9428480
1655037651,9453312
1655037654,9459968
1655037657,9459968
1655037660,9459968
1655037663,9459968
1655037666,9459968
1655037669,9460864
1655037672,9483776
1655037675,9483776
1655037678,9483776
1655037681,9483776
1655037684,9484672
1655037687,9485440
1655037690,9485440
1655037693,9500672
1655037696,9500672
1655037699,9500672
1655037702,9500672
1655037705,9501824
1655037708,9501824
1655037711,9515648
1655037714,9519744
1655037717,9519744
1655037720,9519744
1655037723,9519744
1655037726,9519744
1655037729,9519744
1655037732,9007232
1655037735,9007232
1655037738,9007232
1655037741,9008640
1655037744,9008640
1655037747,9009408
1655037750,9009408
1655037753,9052800
1655037756,9052800
1655037759,9052800
1655037762,9052800
1655037765,9056256
1655037768,9056256
1655037771,9065984
1655037774,9071872
1655037777,9071872
1655037780,9071872
1655037783,9071872
1655037786,9071872
1655037789,9071872
1655037792,9105920
1655037795,9105920
1655037798,9105920
1655037801,9107328
1655037804,9107328
1655037807,9107328
1655037810,9107328
1655037813,9119488
1655037816,9119488
1655037819,9119488
1655037822,9130624
1655037825,9131648
1655037828,9131648
1655037831,9173760
1655037834,9231104
1655037837,9231104
1655037840,9231104
1655037843,9231104
1655037846,9231104
1655037849,9231104
1655037852,9253120
1655037855,9253120
1655037858,9253120
1655037861,9253120
1655037864,9268224
1655037867,9268224
1655037870,9270656
1655037873,9338752
1655037876,9344512
1655037879,9347072
1655037882,9347072
1655037885,9396224
1655037888,9396224
1655037891,9402368
1655037894,9408128
1655037897,9408128
1655037900,9408128
1655037903,9408128
1655037906,9408128
1655037909,9408128
1655037912,9418496
1655037915,9419648
1655037918,9419648
1655037921,9420544
1655037924,9420544
1655037927,9420544
1655037930,9420544
1655037933,9442304
1655037936,9442304
1655037939,9442304
1655037942,9442304
1655037945,9447936
1655037948,9447936
1655037951,9504896
1655037954,9520000
1655037957,9520000
1655037960,9520000
1655037963,9520000
1655037966,9520000
1655037969,9520000
1655037972,9585152
1655037975,9585152
1655037978,9585152
1655037981,9585152
1655037984,9585152
1655037987,9585152
1655037990,9585152
1655037993,9638912
1655037996,9638912
1655037999,9638912
1655038002,9638912
1655038005,9638912
1655038008,9640192
1655038011,9652352
1655038014,9677056
1655038017,9677056
1655038020,9677056
1655038023,9677056
1655038026,9677056
1655038029,9677056
1655038032,9680896
1655038035,9680896
1655038038,9680896
1655038041,9680896
1655038044,9680896
1655038047,9680896
1655038050,9680896
1655038053,9723392
1655038056,9723392
1655038059,9723392
1655038062,9723392
1655038065,9723392
1655038068,9723392
1655038071,9977472
1655038074,9979904
1655038077,9979904
1655038080,9979904
1655038083,9979904
1655038086,9979904
1655038089,9979904
1655038092,10006656
1655038095,10006656
1655038098,10006656
1655038101,10006656
1655038104,10006656
1655038107,10006656
1655038110,10006656
1655038113,10039168
1655038116,10039168
1655038119,10039168
1655038122,10039168
1655038125,10039936
1655038128,10039936
1655038131,10045952
1655038134,10064512
1655038137,10064512
1655038140,10064512
1655038143,10064512
1655038146,10064512
1655038149,10064512
1655038152,10088192
1655038155,10088192
1655038158,10088192
1655038161,10088192
1655038164,10088192
1655038167,10330240
1655038170,10331136
1655038173,10351744
1655038176,10368000
1655038179,10368000
1655038182,10368000
1655038185,10391808
1655038188,10392576
1655038191,10392576
1655038194,10424704
1655038197,10425856
1655038200,10425856
1655038203,10425856
1655038206,10426752
1655038209,10430208
1655038212,10430208
1655038215,10473856
1655038218,10473856
1655038221,10473856
1655038224,10473856
1655038227,10473856
1655038230,10473856
1655038233,10491264
1655038236,10491264
1655038239,10491264
1655038242,10491264
1655038245,10491264
1655038248,10491264
1655038251,10489472
1655038254,10523520
1655038257,10523520
1655038260,10523520
1655038263,10523520
1655038266,10523520
1655038269,10523520
1655038272,10527104
1655038275,10543104
1655038278,10543104
1655038281,10543104
1655038284,10543104
1655038287,10543104
1655038290,10543104
1655038293,10548608
1655038296,10548608
1655038299,10548608
1655038302,10548608
1655038305,10548608
1655038308,10550528
1655038311,10550528
1655038314,10576128
1655038317,10576128
1655038320,10576128
1655038323,10579584
1655038326,10579584
1655038329,10580224
1655038332,10580224
1655038335,10602368
1655038338,10602368
1655038341,10602368
1655038344,10643328
1655038347,10643328
1655038350,10643328
1655038353,10657792
1655038356,10657792
1655038359,10657792
1655038362,10657792
1655038365,10658560
1655038368,10658560
1655038371,10659456
1655038374,10725632
1655038377,10725632
1655038380,10725632
1655038383,10725632
1655038386,10725632
1655038389,10725632
1655038392,10725632
1655038395,10739584
1655038398,10739584
1655038401,10739584
1655038404,10739584
1655038407,10739584
1655038410,10739584
1655038413,10706688
1655038416,10706688
1655038419,10706688
1655038422,10706688
1655038425,10708096
1655038428,10708096
1655038431,10708096
1655038434,10715392
1655038437,10719488
1655038440,10719488
1655038443,10719488
1655038446,10724992
1655038449,10724992
1655038452,10724992
1655038455,10731648
1655038458,10731648
1655038461,10731648
1655038464,10731648
1655038467,10732928
1655038470,10732928
1655038473,10737024
1655038476,10743296
1655038479,10743296
1655038482,10743296
1655038485,10743296
1655038488,10743296
1655038491,10797312
1655038494,10814208
1655038497,10815616
1655038500,10821248
1655038503,10821248
1655038506,10821248
1655038509,10821248
1655038512,10822272
1655038515,10843520
1655038518,10843520
1655038521,10843520
1655038524,10843520
1655038527,10843520
1655038530,10843520
1655038533,10848384
1655038536,10849024
1655038539,10849024
1655038542,10849024
1655038545,10849024
1655038548,10849024
1655038551,10852864
1655038554,10939520
1655038557,10939520
1655038560,10939520
1655038563,10939520
1655038566,10939520
1655038569,10939520
1655038572,10939520
1655038575,10968064
1655038578,10968064
1655038581,10968064
1655038584,10968064
1655038587,10968064
1655038590,10968064
1655038593,10936320
1655038596,10936320
1655038599,10936320
1655038602,10936320
1655038605,10943616
1655038608,10943616
1655038611,10943616
1655038614,10961920
1655038617,10961920
1655038620,10961920
1655038623,10961920
1655038626,10961920
1655038629,10961920
1655038632,10961920
1655038635,10988416
1655038638,10993408
1655038641,10994304
1655038644,10994304
1655038647,10994304
1655038650,10994304
1655038653,11047040
1655038656,11059968
1655038659,11059968
1655038662,11059968
1655038665,11059968
1655038668,11059968
1655038671,11060736
1655038674,11113984
1655038677,11113984
1655038680,11113984
1655038683,11113984
1655038686,11113984
1655038689,11113984
1655038692,11113984
1655038695,11120128
1655038698,11120128
1655038701,11120128
1655038704,11120128
1655038707,11120128
1655038710,11120128
1655038713,11120128
1655038716,11121536
1655038719,11121536
1655038722,11121536
1655038725,11121536
1655038728,11122688
1655038731,11125248
1655038734,11163392
1655038737,11163392
1655038740,11163392
1655038743,11165568
1655038746,11169280
1655038749,11169280
1655038752,11169280
1655038755,11181696
1655038758,11181696
1655038761,11182592
1655038764,11182592
1655038767,11182592
1655038770,11182592
1655038773,11186560
1655038776,11187584
1655038779,11187584
1655038782,11187584
1655038785,11187584
1655038788,11187584
1655038791,11187584
1655038794,11190784
1655038797,11190784
1655038800,11190784
1655038803,11190784
1655038806,11190784
1655038809,11198848
1655038812,11198848
1655038815,11208576
1655038818,11208576
1655038821,11208576
1655038824,11208576
1655038827,11228800
1655038830,11343232
1655038833,11353088
1655038836,11356288
1655038839,11356288
1655038842,11356288
1655038845,11356288
1655038848,11356288
1655038851,11359232
1655038854,11362432
1655038857,11362432
1655038860,11362432
1655038863,11362432
1655038866,11362432
1655038869,11362432
1655038872,11362432
1655038875,11381120
1655038878,11381120
1655038881,11381120
1655038884,11381120
1655038887,11381120
1655038890,11381120
1655038893,11341184
1655038896,11341184
1655038899,11341184
1655038902,11346816
1655038905,11348096
1655038908,11399680
1655038911,11400576
1655038914,11409024
1655038917,11409024
1655038920,11409024
1655038923,11409024
1655038926,11409024
1655038929,11409024
1655038932,11409024
1655038935,11422592
1655038938,11422592
1655038941,11422592
1655038944,11422592
1655038947,11422592
1655038950,11422592
1655038953,11384320
1655038956,11384320
1655038959,11384320
1655038962,11384320
1655038965,11386880
1655038968,11386880
1655038971,11386880
1655038974,11387648
1655038977,11392640
1655038980,11392640
1655038983,11392640
1655038986,11392640
1655038989,11392640
1655038992,11392640
1655038995,11333888
1655038998,11333888
1655039001,11333888
1655039004,11333888
1655039007,11333888
1655039010,11333888
1655039013,11335936
1655039016,11339264
1655039019,11340800
1655039022,11340800
1655039025,11342080
1655039028,11342080
1655039031,11343488
1655039034,11369984
1655039037,11369984
1655039040,11369984
1655039043,11369984
1655039046,11369984
1655039049,11369984
1655039052,11369984
1655039055,11382016
1655039058,11382016
1655039061,11382016
1655039064,11382016
1655039067,11382016
1655039070,11382016
1655039073,11386752
1655039076,11386752
1655039079,11386752
1655039082,11386752
1655039085,11390976
1655039088,11391872
1655039091,11392896
1655039094,11400192
1655039097,11400192
1655039100,11400192
1655039103,11400192
1655039106,11400192
1655039109,11400192
1655039112,11404288
1655039115,11419008
1655039118,11419008
1655039121,11419008
1655039124,11419008
1655039127,11420160
1655039130,11421440
1655039133,11423616
1655039136,11426944
1655039139,11426944
1655039142,11426944
1655039145,11427968
1655039148,11427968
1655039151,11427968
1655039154,11447808
1655039157,11447808
1655039160,11447808
1655039163,11447808
1655039166,11447808
1655039169,11447808
1655039172,11451136
1655039175,11465984
1655039178,11465984
1655039181,11465984
1655039184,11465984
1655039187,11465984
1655039190,11465984
1655039193,11466624
1655039196,11474944
1655039199,11474944
1655039202,11474944
1655039205,11474944
1655039208,11474944
1655039211,11474944
1655039214,11476992
1655039217,11476992
1655039220,11476992
1655039223,11476992
1655039226,11476992
1655039229,11476992
1655039232,11476992
1655039235,11477888
1655039238,11477888
1655039241,11477888
1655039244,11477888
1655039247,11477888
1655039250,11477888
1655039253,11479936
1655039256,11480960
1655039259,11480960
1655039262,11480960
1655039265,11482496
1655039268,11482496
1655039271,11482496
1655039274,11486208
1655039277,11486208
1655039280,11486208
1655039283,11486208
1655039286,11486208
1655039289,11486208
1655039292,11486208
1655039295,11519744
1655039298,11520896
1655039301,11520896
1655039304,11520896
1655039307,11523072
1655039310,11526400
1655039313,11534464
1655039316,11547520
1655039319,11547520
1655039322,11547520
1655039325,11547520
1655039328,11547520
1655039331,11547520
1655039334,11548672
1655039337,11548672
1655039340,11548672
1655039343,11548672
1655039346,11549440
1655039349,11549440
1655039352,11549440
1655039355,11579008
1655039358,11579008
1655039361,11579008
1655039364,11579008
1655039367,11579008
1655039370,11579008
1655039373,11581952
1655039376,11584768
1655039379,11584768
