t,value
1655037294,13862272
1655037297,14433408
1655037300,15308160
1655037303,17239936
1655037306,17307264
1655037309,17334144
1655037312,23052544
1655037315,23303168
1655037318,23744000
1655037321,25062144
1655037324,25068800
1655037327,26329472
1655037330,26340864
1655037333,26514304
1655037336,26525696
1655037339,26541056
1655037342,26547456
1655037345,26743936
1655037348,26743936
1655037351,27089792
1655037354,27140480
1655037357,27141632
1655037360,27143168
1655037363,27146240
1655037366,27147776
1655037369,27147776
1655037372,27367552
1655037375,27371776
1655037378,27395584
1655037381,27399552
1655037384,27401472
1655037387,27406336
1655037390,27436800
1655037393,27616000
1655037396,27632512
1655037399,27632512
1655037402,27632512
1655037405,27704064
1655037408,27704064
1655037411,27930368
1655037414,27947008
1655037417,27965952
1655037420,27968128
1655037423,28007808
1655037426,28013568
1655037429,28013568
1655037432,28181504
1655037435,28181504
1655037438,28181504
1655037441,28181504
1655037444,28181504
1655037447,28181504
1655037450,28190720
1655037453,28345216
1655037456,28352128
1655037459,28352128
1655037462,28352128
1655037465,28376704
1655037468,28376704
1655037471,27068928
1655037474,27102720
1655037477,27102720
1655037480,27122432
1655037483,27133312
1655037486,27159808
1655037489,27161600
1655037492,27318656
1655037495,27318656
1655037498,27318656
1655037501,27318656
1655037504,27320960
1655037507,27320960
1655037510,27320960
1655037513,27790976
1655037516,27790976
1655037519,27790976
1655037522,27797632
1655037525,27816576
1655037528,27816576
1655037531,27955840
1655037534,27971328
1655037537,27972480
1655037540,27975552
1655037543,27991936
1655037546,27995904
1655037549,27995904
1655037552,28188800
1655037555,28195328
1655037558,28195328
1655037561,28195328
1655037564,28200576
1655037567,28200576
1655037570,28200576
1655037573,28258048
1655037576,28258048
1655037579,28258048
1655037582,28258048
1655037585,28269696
1655037588,28269696
1655037591,28409600
1655037594,28437248
1655037597,28438912
1655037600,28438912
1655037603,28438912
1655037606,28462080
1655037609,28462080
1655037612,28613632
1655037615,28615808
1655037618,28621184
1655037621,28621184
1655037624,28621184
1655037627,28633728
1655037630,28633728
1655037633,28746112
1655037636,28746112
1655037639,28746112
1655037642,28746112
1655037645,28749184
1655037648,28750720
1655037651,28799232
1655037654,28833536
1655037657,28833536
1655037660,28835072
1655037663,28837760
1655037666,28837760
1655037669,28837760
1655037672,28964480
1655037675,29024384
1655037678,29045376
1655037681,29045376
1655037684,29045376
1655037687,29045376
1655037690,29045376
1655037693,29096064
1655037696,29096064
1655037699,29096064
1655037702,29096064
1655037705,29123456
1655037708,29123456
1655037711,29160576
1655037714,29214464
1655037717,29214464
1655037720,29214464
1655037723,29214464
1655037726,29214464
1655037729,29214464
1655037732,26373248
1655037735,26373248
1655037738,26373248
1655037741,26373248
1655037744,26374272
1655037747,26374272
1655037750,26374272
1655037753,26462592
1655037756,26462592
1655037759,26462592
1655037762,26462592
1655037765,26462592
1655037768,26462592
1655037771,26509952
1655037774,26583680
1655037777,26584832
1655037780,26584832
1655037783,26584832
1655037786,26586496
1655037789,26586496
1655037792,26651392
1655037795,26652928
1655037798,26652928
1655037801,26656384
1655037804,26678272
1655037807,26678272
1655037810,26678272
1655037813,26742912
1655037816,26742912
1655037819,26742912
1655037822,26742912
1655037825,26787328
1655037828,26795136
1655037831,26834304
1655037834,26861312
1655037837,26861312
1655037840,26861312
1655037843,26861312
1655037846,26873856
1655037849,26873856
1655037852,26942720
1655037855,26942720
1655037858,26942720
1655037861,26942720
1655037864,26942720
1655037867,26969600
1655037870,26970880
1655037873,27009664
1655037876,27009664
1655037879,27009664
1655037882,27009664
1655037885,27011456
1655037888,27011456
1655037891,27037184
1655037894,27089792
1655037897,27089792
1655037900,27089792
1655037903,27089792
1655037906,27089792
1655037909,27089792
1655037912,27181824
1655037915,27181824
1655037918,27181824
1655037921,27182848
1655037924,27182848
1655037927,27182848
1655037930,27185920
1655037933,27296512
1655037936,27296512
1655037939,27296512
1655037942,27296512
1655037945,27296512
1655037948,27296512
1655037951,27332992
1655037954,27373952
1655037957,27373952
1655037960,27373952
1655037963,27373952
1655037966,27373952
1655037969,27373952
1655037972,26910336
1655037975,26910336
1655037978,26910336
1655037981,26910336
1655037984,26912128
1655037987,26912128
1655037990,26912128
1655037993,27027200
1655037996,27027200
1655037999,27028224
1655038002,27028224
1655038005,27028224
1655038008,27028224
1655038011,27089920
1655038014,27130368
1655038017,27130368
1655038020,27130368
1655038023,27130368
1655038026,27130368
1655038029,27124480
1655038032,27186816
1655038035,27186816
1655038038,27186816
1655038041,27186816
1655038044,27189888
1655038047,27189888
1655038050,27193600
1655038053,27264128
1655038056,27269504
1655038059,27338112
1655038062,27355776
1655038065,27355776
1655038068,27355776
