t,value
1655037294,10445472
1655037297,12305336
1655037300,15002160
1655037303,15649024
1655037306,15649024
1655037309,15649024
1655037312,16824504
1655037315,16849032
1655037318,16903208
1655037321,16904312
1655037324,16904312
1655037327,16905416
1655037330,16905416
1655037333,16905416
1655037336,16905416
1655037339,16905416
1655037342,16905416
1655037345,16909568
1655037348,16909568
1655037351,16909568
1655037354,16909568
1655037357,16909568
1655037360,16909568
1655037363,16909568
1655037366,16909568
1655037369,16909568
1655037372,16909568
1655037375,16909568
1655037378,16909568
1655037381,16909568
1655037384,16909568
1655037387,16909568
1655037390,16909568
1655037393,16909568
1655037396,16909568
1655037399,16909568
1655037402,16909568
1655037405,16909568
1655037408,16909568
1655037411,16909568
1655037414,16909568
1655037417,16909568
1655037420,16909568
1655037423,16909568
1655037426,16909568
1655037429,16909568
1655037432,16909568
1655037435,16909568
1655037438,16909568
1655037441,16909568
1655037444,16909568
1655037447,16909568
1655037450,16909568
1655037453,16909568
1655037456,16909568
1655037459,16909568
1655037462,16909568
1655037465,16909568
1655037468,16909568
1655037471,16909568
1655037474,16909568
1655037477,16909568
1655037480,16909568
1655037483,16909568
1655037486,16909568
1655037489,16909568
1655037492,16909568
1655037495,16909568
1655037498,16910120
1655037501,16910120
1655037504,16910120
1655037507,16910120
1655037510,16910120
1655037513,16981888
1655037516,16981888
1655037519,16981888
1655037522,16981888
1655037525,16981888
1655037528,16981888
1655037531,16981888
1655037534,16981888
1655037537,16981888
1655037540,16981888
1655037543,16981888
1655037546,16981888
1655037549,16981888
1655037552,16981888
1655037555,16981888
1655037558,16981888
1655037561,16981888
1655037564,16981888
1655037567,16981888
1655037570,16981888
1655037573,16981888
1655037576,16981888
1655037579,16981888
1655037582,16981888
1655037585,16981888
1655037588,16981888
1655037591,16982896
1655037594,16982896
1655037597,16982896
1655037600,16982896
1655037603,16982896
1655037606,16982896
1655037609,16982896
1655037612,16982896
1655037615,16982896
1655037618,16982896
1655037621,16982896
1655037624,16982896
1655037627,16982896
1655037630,16982896
1655037633,16982896
1655037636,16982896
1655037639,16982896
1655037642,16982896
1655037645,16982896
1655037648,16982896
1655037651,16982896
1655037654,16982896
1655037657,16982896
1655037660,16982896
1655037663,16982896
1655037666,16982896
1655037669,16982896
1655037672,16982896
1655037675,16982896
1655037678,16982896
1655037681,16982896
1655037684,16982896
1655037687,16982896
1655037690,16982896
1655037693,16982896
1655037696,16982896
1655037699,16982896
1655037702,16982896
1655037705,16982896
1655037708,16982896
1655037711,16983448
1655037714,16983448
1655037717,16983448
1655037720,16983448
1655037723,16983448
1655037726,16983448
1655037729,16983448
1655037732,16983448
1655037735,16983448
1655037738,16983448
1655037741,16983448
1655037744,16983448
1655037747,16983448
1655037750,16983448
1655037753,16983448
1655037756,16983448
1655037759,16983448
1655037762,16983448
1655037765,16983448
1655037768,16983448
1655037771,16983448
1655037774,16983448
1655037777,16983448
1655037780,16983448
1655037783,16983448
1655037786,16983448
1655037789,16983448
1655037792,16983448
1655037795,16983448
1655037798,16983448
1655037801,16983448
1655037804,16983448
1655037807,16983448
1655037810,16983448
1655037813,16983448
1655037816,16983448
1655037819,16983448
1655037822,16983448
1655037825,16983448
1655037828,16983448
1655037831,16983448
1655037834,16983448
1655037837,16983448
1655037840,16983448
1655037843,16983448
1655037846,16983448
1655037849,16983448
1655037852,16983448
1655037855,16983448
1655037858,16983448
1655037861,16983448
1655037864,16983448
1655037867,16983448
1655037870,16983448
1655037873,16983448
1655037876,16983448
1655037879,16983448
1655037882,16983448
1655037885,16983448
1655037888,16983448
1655037891,16983448
1655037894,16983448
1655037897,16983448
1655037900,16983448
1655037903,16983448
1655037906,16983448
1655037909,16983448
1655037912,16989616
1655037915,16989616
1655037918,16989616
1655037921,16989616
1655037924,16989616
1655037927,16989616
1655037930,16989616
1655037933,16989616
1655037936,16989616
1655037939,16989616
1655037942,16989616
1655037945,16989616
1655037948,16989616
1655037951,16989616
1655037954,16989616
1655037957,16989616
1655037960,16989616
1655037963,16989616
1655037966,16989616
1655037969,16989616
1655037972,16989616
1655037975,16989616
1655037978,16989616
1655037981,16989616
1655037984,16989616
1655037987,16989616
1655037990,16989616
1655037993,16989616
1655037996,16989616
1655037999,16989616
1655038002,16989616
