t,value
1655037294,174063616
1655037297,267386880
1655037300,70254592
1655037303,101711872
1655037306,101711872
1655037309,103809024
1655037312,27262976
1655037315,30408704
1655037318,36700160
1655037321,55574528
1655037324,56623104
1655037327,80740352
1655037330,81788928
1655037333,84934656
1655037336,85983232
1655037339,87031808
1655037342,87031808
1655037345,98566144
1655037348,99614720
1655037351,112197632
1655037354,114294784
1655037357,115343360
1655037360,115343360
1655037363,116391936
1655037366,117440512
1655037369,118489088
1655037372,121634816
1655037375,122683392
1655037378,123731968
1655037381,123731968
1655037384,124780544
1655037387,125829120
1655037390,126877696
1655037393,130023424
1655037396,131072000
1655037399,132120576
1655037402,133169152
1655037405,143654912
1655037408,144703488
1655037411,157286400
1655037414,157286400
1655037417,158334976
1655037420,159383552
1655037423,160432128
1655037426,160432128
1655037429,161480704
1655037432,165675008
1655037435,165675008
1655037438,166723584
1655037441,167772160
1655037444,168820736
1655037447,168820736
1655037450,169869312
1655037453,173015040
1655037456,174063616
1655037459,175112192
1655037462,176160768
1655037465,186646528
1655037468,187695104
1655037471,199229440
1655037474,200278016
1655037477,201326592
1655037480,202375168
1655037483,203423744
1655037486,204472320
1655037489,204472320
1655037492,208666624
1655037495,209715200
1655037498,210763776
1655037501,210763776
1655037504,211812352
1655037507,212860928
1655037510,213909504
1655037513,14680064
1655037516,15728640
1655037519,16777216
1655037522,16777216
1655037525,29360128
1655037528,29360128
1655037531,41943040
1655037534,42991616
1655037537,44040192
1655037540,44040192
1655037543,45088768
1655037546,46137344
1655037549,46137344
1655037552,50331648
1655037555,51380224
1655037558,52428800
1655037561,53477376
1655037564,53477376
1655037567,54525952
1655037570,55574528
1655037573,58720256
1655037576,59768832
1655037579,59768832
1655037582,60817408
1655037585,72351744
1655037588,73400320
1655037591,84934656
1655037594,85983232
1655037597,87031808
1655037600,87031808
1655037603,88080384
1655037606,89128960
1655037609,90177536
1655037612,93323264
1655037615,94371840
1655037618,95420416
1655037621,95420416
1655037624,96468992
1655037627,97517568
1655037630,98566144
1655037633,101711872
1655037636,102760448
1655037639,103809024
1655037642,103809024
1655037645,115343360
1655037648,115343360
1655037651,126877696
1655037654,128974848
1655037657,128974848
1655037660,130023424
1655037663,131072000
1655037666,132120576
1655037669,132120576
1655037672,136314880
1655037675,136314880
1655037678,137363456
1655037681,138412032
1655037684,139460608
1655037687,139460608
1655037690,140509184
1655037693,143654912
1655037696,144703488
1655037699,145752064
1655037702,145752064
1655037705,157286400
1655037708,158334976
1655037711,169869312
1655037714,170917888
1655037717,170917888
1655037720,171966464
1655037723,173015040
1655037726,174063616
