t,value
1655037294,30810624
1655037297,30810624
1655037300,30408704
1655037303,30408704
1655037306,30408704
1655037309,30408704
1655037312,49466368
1655037315,49466368
1655037318,49466368
1655037321,49466368
1655037324,49466368
1655037327,49466368
1655037330,49466368
1655037333,49466368
1655037336,49466368
1655037339,49466368
1655037342,49466368
1655037345,49466368
1655037348,49466368
1655037351,49466368
1655037354,49466368
1655037357,49466368
1655037360,49466368
1655037363,49466368
1655037366,49466368
1655037369,49466368
1655037372,49466368
1655037375,49466368
1655037378,49466368
1655037381,49466368
1655037384,49466368
1655037387,49466368
1655037390,49466368
1655037393,49466368
1655037396,49466368
1655037399,49466368
1655037402,49466368
1655037405,49466368
1655037408,49466368
1655037411,49466368
1655037414,49466368
1655037417,49466368
1655037420,49466368
1655037423,49466368
1655037426,49466368
1655037429,49466368
1655037432,49466368
1655037435,49466368
1655037438,49466368
1655037441,49466368
1655037444,49466368
1655037447,49466368
1655037450,49466368
1655037453,49466368
1655037456,49466368
1655037459,49466368
1655037462,49466368
1655037465,49466368
1655037468,49466368
1655037471,49466368
1655037474,49466368
1655037477,49466368
1655037480,49466368
1655037483,49466368
1655037486,49466368
1655037489,49466368
1655037492,49466368
1655037495,49466368
1655037498,49466368
1655037501,49466368
1655037504,49466368
1655037507,49466368
1655037510,49466368
1655037513,49466368
1655037516,49466368
1655037519,49466368
1655037522,49466368
1655037525,49466368
1655037528,49466368
1655037531,49466368
1655037534,49466368
1655037537,49466368
1655037540,49466368
1655037543,49466368
1655037546,49466368
1655037549,49466368
1655037552,49466368
1655037555,49466368
1655037558,49466368
1655037561,49466368
1655037564,49466368
1655037567,49466368
1655037570,49466368
1655037573,49466368
1655037576,49466368
1655037579,49466368
1655037582,49466368
1655037585,49466368
1655037588,49466368
1655037591,49466368
1655037594,49466368
1655037597,49466368
1655037600,49466368
1655037603,49466368
1655037606,49466368
1655037609,49466368
1655037612,49466368
1655037615,49466368
1655037618,49466368
1655037621,49466368
1655037624,49466368
1655037627,49466368
1655037630,49466368
1655037633,49466368
1655037636,49466368
1655037639,49466368
1655037642,49466368
1655037645,49466368
1655037648,49466368
1655037651,49466368
1655037654,49466368
1655037657,49466368
1655037660,49466368
1655037663,49466368
1655037666,49466368
1655037669,49466368
1655037672,49466368
1655037675,49466368
1655037678,49466368
1655037681,49466368
1655037684,49466368
1655037687,49466368
1655037690,49466368
1655037693,49466368
1655037696,49466368
1655037699,49466368
1655037702,49466368
1655037705,49466368
1655037708,49466368
1655037711,49466368
1655037714,49466368
1655037717,49466368
1655037720,49466368
1655037723,49466368
1655037726,49466368
1655037729,49466368
1655037732,49466368
1655037735,49466368
1655037738,49466368
1655037741,49466368
1655037744,49466368
1655037747,49466368
1655037750,49466368
1655037753,49466368
1655037756,49466368
1655037759,49466368
1655037762,49466368
1655037765,49466368
1655037768,49466368
1655037771,49466368
1655037774,49466368
1655037777,49466368
1655037780,49466368
1655037783,49466368
1655037786,49466368
1655037789,49466368
1655037792,49466368
1655037795,49466368
1655037798,49466368
1655037801,49466368
1655037804,49466368
1655037807,49466368
1655037810,49466368
1655037813,49466368
1655037816,49466368
1655037819,49466368
1655037822,49466368
1655037825,49466368
1655037828,49466368
1655037831,48757536
1655037834,48757536
1655037837,48757536
1655037840,48757536
1655037843,48757536
1655037846,48757536
1655037849,48757536
1655037852,48757536
1655037855,48757536
1655037858,48757536
1655037861,48757536
1655037864,48757536
1655037867,48757536
1655037870,48757536
1655037873,48757536
1655037876,48757536
1655037879,48757536
1655037882,48757536
1655037885,48757536
1655037888,48757536
1655037891,48757536
1655037894,48757536
1655037897,48757536
1655037900,48757536
1655037903,48757536
1655037906,48757536
1655037909,48757536
1655037912,48757536
1655037915,48757536
1655037918,48757536
1655037921,48757536
1655037924,48757536
1655037927,48757536
1655037930,48757536
1655037933,48757536
1655037936,48757536
1655037939,48757536
1655037942,48757536
1655037945,48757536
1655037948,48757536
1655037951,48757536
1655037954,48757536
1655037957,48757536
1655037960,48757536
1655037963,48757536
1655037966,48757536
1655037969,48757536
1655037972,48757536
1655037975,48757536
1655037978,48757536
1655037981,48757536
1655037984,48757536
1655037987,48757536
1655037990,48757536
1655037993,48757536
1655037996,48757536
1655037999,48757536
1655038002,48757536
1655038005,48757536
1655038008,48757536
1655038011,48757536
1655038014,48757536
1655038017,48757536
1655038020,48757536
1655038023,48757536
1655038026,48757536
1655038029,48757536
