t,value
1655037294,4194304
1655037297,4194304
1655037300,18874368
1655037303,18874368
1655037306,18874368
1655037309,18874368
1655037312,6291456
1655037315,6291456
1655037318,6291456
1655037321,6291456
1655037324,6291456
1655037327,6291456
1655037330,6291456
1655037333,6291456
1655037336,6291456
1655037339,6291456
1655037342,6291456
1655037345,6291456
1655037348,6291456
1655037351,6291456
1655037354,6291456
1655037357,6291456
1655037360,6291456
1655037363,6291456
1655037366,6291456
1655037369,6291456
1655037372,6291456
1655037375,6291456
1655037378,6291456
1655037381,6291456
1655037384,6291456
1655037387,6291456
1655037390,6291456
1655037393,6291456
1655037396,6291456
1655037399,6291456
1655037402,6291456
1655037405,6291456
1655037408,6291456
1655037411,6291456
1655037414,6291456
1655037417,6291456
1655037420,6291456
1655037423,6291456
1655037426,6291456
1655037429,6291456
1655037432,6291456
1655037435,6291456
1655037438,6291456
1655037441,6291456
1655037444,6291456
1655037447,6291456
1655037450,6291456
1655037453,6291456
1655037456,6291456
1655037459,6291456
1655037462,6291456
1655037465,6291456
1655037468,6291456
1655037471,6291456
1655037474,6291456
1655037477,6291456
1655037480,6291456
1655037483,6291456
1655037486,6291456
1655037489,6291456
1655037492,6291456
1655037495,6291456
1655037498,6291456
1655037501,6291456
1655037504,6291456
1655037507,6291456
1655037510,6291456
1655037513,7340032
1655037516,7340032
1655037519,7340032
1655037522,7340032
1655037525,7340032
1655037528,7340032
1655037531,7340032
1655037534,7340032
1655037537,7340032
1655037540,7340032
1655037543,7340032
1655037546,7340032
1655037549,7340032
1655037552,7340032
1655037555,7340032
1655037558,7340032
1655037561,7340032
1655037564,7340032
1655037567,7340032
1655037570,7340032
1655037573,7340032
1655037576,7340032
1655037579,7340032
1655037582,7340032
1655037585,7340032
1655037588,7340032
1655037591,7340032
1655037594,7340032
1655037597,7340032
1655037600,7340032
1655037603,7340032
1655037606,7340032
1655037609,7340032
1655037612,7340032
1655037615,7340032
1655037618,7340032
1655037621,7340032
1655037624,7340032
1655037627,7340032
1655037630,7340032
1655037633,7340032
1655037636,7340032
1655037639,7340032
1655037642,7340032
1655037645,7340032
1655037648,7340032
1655037651,7340032
1655037654,7340032
1655037657,7340032
1655037660,7340032
1655037663,7340032
1655037666,7340032
1655037669,7340032
1655037672,7340032
1655037675,7340032
1655037678,7340032
1655037681,7340032
1655037684,7340032
1655037687,7340032
1655037690,7340032
1655037693,7340032
1655037696,7340032
1655037699,7340032
1655037702,7340032
1655037705,7340032
1655037708,7340032
1655037711,7340032
1655037714,7340032
1655037717,7340032
1655037720,7340032
1655037723,7340032
1655037726,7340032
1655037729,7340032
1655037732,7340032
1655037735,7340032
1655037738,7340032
1655037741,7340032
