t,value
1655037294,77841320
1655037297,87224792
1655037300,104159136
1655037303,107505256
1655037306,107521336
1655037309,107533320
1655037312,114122104
1655037315,114265320
1655037318,114584176
1655037321,114958344
1655037324,114959256
1655037327,115259432
1655037330,115260608
1655037333,115307496
1655037336,115307936
1655037339,115313656
1655037342,115315608
1655037345,115375144
1655037348,115375144
1655037351,115480792
1655037354,115488392
1655037357,115488392
1655037360,115488832
1655037363,115491296
1655037366,115491736
1655037369,115491736
1655037372,115538872
1655037375,115541568
1655037378,115548624
1655037381,115549856
1655037384,115550320
1655037387,115552080
1655037390,115555464
1655037393,115599336
1655037396,115601112
1655037399,115601112
1655037402,115601112
1655037405,115613448
1655037408,115613448
1655037411,115677528
1655037414,115680920
1655037417,115683808
1655037420,115684304
1655037423,115689736
1655037426,115691264
1655037429,115691264
1655037432,115743984
1655037435,115743984
1655037438,115743984
1655037441,115743984
1655037444,115743984
1655037447,115743984
1655037450,115746680
1655037453,115807056
1655037456,115809248
1655037459,115809248
1655037462,115809248
1655037465,115810968
1655037468,115810968
1655037471,115851912
1655037474,115860424
1655037477,115860424
1655037480,115863688
1655037483,115867240
1655037486,115877448
1655037489,115877448
1655037492,115923312
1655037495,115923312
1655037498,115927360
1655037501,115927360
1655037504,115929240
1655037507,115929240
1655037510,115929240
1655037513,116337360
1655037516,116337360
1655037519,116337360
1655037522,116338752
1655037525,116346096
1655037528,116346096
1655037531,116397896
1655037534,116402456
1655037537,116402824
1655037540,116403632
1655037543,116407408
1655037546,116409104
1655037549,116409104
1655037552,116469728
1655037555,116471160
1655037558,116471160
1655037561,116471160
1655037564,116472056
1655037567,116472056
1655037570,116472056
1655037573,116494904
1655037576,116494904
1655037579,116494904
1655037582,116494904
1655037585,116497824
1655037588,116497824
1655037591,116526432
1655037594,116534888
1655037597,116535304
1655037600,116535304
1655037603,116535304
1655037606,116546720
1655037609,116546720
1655037612,116580800
1655037615,116581456
1655037618,116582312
1655037621,116582312
1655037624,116582312
1655037627,116584640
1655037630,116584640
1655037633,116612616
1655037636,116612616
1655037639,116612616
1655037642,116612616
1655037645,116613104
1655037648,116613104
1655037651,116621504
1655037654,116628712
1655037657,116628712
1655037660,116629128
1655037663,116630056
1655037666,116630056
1655037669,116630056
1655037672,116667904
1655037675,116695088
1655037678,116702544
1655037681,116702544
1655037684,116702544
1655037687,116702544
1655037690,116702544
1655037693,116713912
1655037696,116713912
1655037699,116713912
1655037702,116713912
1655037705,116726992
1655037708,116726992
1655037711,116739616
1655037714,116756624
1655037717,116756624
1655037720,116756624
1655037723,116756624
1655037726,116756624
1655037729,116756624
1655037732,116781688
1655037735,116781688
1655037738,116781688
1655037741,116781688
1655037744,116782048
1655037747,116782048
1655037750,116782048
1655037753,116813328
1655037756,116813328
1655037759,116813328
1655037762,116813328
1655037765,116813408
1655037768,116813408
1655037771,116820552
1655037774,116824248
1655037777,116824704
1655037780,116824704
1655037783,116824704
1655037786,116825144
1655037789,116825144
1655037792,116839584
1655037795,116840040
1655037798,116840120
1655037801,116840488
1655037804,116840928
1655037807,116840928
1655037810,116840928
1655037813,116856312
1655037816,116856312
1655037819,116856312
1655037822,116856312
1655037825,116856312
1655037828,116856776
1655037831,116867256
1655037834,116877664
1655037837,116877664
1655037840,116877664
1655037843,116877664
1655037846,116878176
1655037849,116878176
1655037852,116889960
1655037855,116889960
1655037858,116889960
1655037861,116889960
1655037864,116889960
1655037867,116895952
1655037870,116895952
1655037873,116902712
1655037876,116902712
1655037879,116902712
1655037882,116902712
1655037885,116902712
1655037888,116902712
1655037891,116909264
1655037894,116926288
1655037897,116926288
1655037900,116926288
1655037903,116926288
1655037906,116926288
1655037909,116926288
1655037912,116965216
1655037915,116965216
1655037918,116965216
1655037921,116965216
1655037924,116965216
1655037927,116965216
1655037930,116966176
1655037933,117038136
1655037936,117038136
1655037939,117038136
1655037942,117038136
1655037945,117038136
1655037948,117038136
1655037951,117044504
1655037954,117053736
1655037957,117053736
1655037960,117053736
1655037963,117053736
1655037966,117053736
1655037969,117053736
1655037972,117095664
1655037975,117095664
1655037978,117095664
1655037981,117095664
1655037984,117096272
1655037987,117096272
1655037990,117096272
1655037993,117123528
1655037996,117123528
1655037999,117123888
1655038002,117123888
1655038005,117123888
1655038008,117123888
1655038011,117138656
1655038014,117154160
1655038017,117154160
1655038020,117154160
1655038023,117154160
1655038026,117154160
1655038029,117154160
1655038032,117171152
1655038035,117171152
1655038038,117171152
1655038041,117171152
1655038044,117172120
1655038047,117172120
1655038050,117175960
1655038053,117191776
1655038056,117196944
1655038059,117214072
1655038062,117221368
1655038065,117221368
1655038068,117221368
1655038071,117303968
1655038074,117305256
1655038077,117305256
1655038080,117305256
1655038083,117305256
1655038086,117305704
1655038089,117305704
1655038092,117308688
1655038095,117308688
1655038098,117308688
1655038101,117309440
1655038104,117309440
1655038107,117309440
1655038110,117309440
1655038113,117320904
1655038116,117321448
1655038119,117321448
1655038122,117321448
1655038125,117321448
1655038128,117321448
1655038131,117336488
1655038134,117353184
1655038137,117353184
1655038140,117353184
1655038143,117353184
1655038146,117355760
1655038149,117355760
1655038152,117397184
1655038155,117397184
1655038158,117397184
1655038161,117397184
1655038164,117397184
1655038167,117492416
1655038170,117492416
1655038173,117499160
1655038176,117499160
1655038179,117499912
1655038182,117499912
1655038185,117499912
1655038188,117499912
1655038191,117499912
1655038194,117506728
1655038197,117506728
1655038200,117506728
1655038203,117506728
1655038206,117506728
1655038209,117506728
1655038212,117506728
1655038215,117511432
1655038218,117511432
1655038221,117511432
1655038224,117511432
1655038227,117511432
1655038230,117511432
1655038233,117527248
1655038236,117527248
1655038239,117527248
1655038242,117527248
1655038245,117527248
1655038248,117527248
1655038251,117527944
1655038254,117543976
1655038257,117543976
1655038260,117543976
1655038263,117543976
1655038266,117543976
1655038269,117543976
1655038272,117543976
1655038275,117571088
1655038278,117571088
1655038281,117572096
1655038284,117572560
1655038287,117572560
1655038290,117572560
1655038293,117596432
1655038296,117596432
1655038299,117596432
1655038302,117596432
1655038305,117596432
1655038308,117596432
1655038311,117596432
1655038314,117609904
1655038317,117609904
1655038320,117609904
1655038323,117609904
1655038326,117609904
1655038329,117609904
1655038332,117609904
1655038335,117624056
1655038338,117624056
1655038341,117624056
1655038344,117624056
1655038347,117624056
