t,value
1655037294,0
1655037297,134
1655037300,134
1655037303,134
1655037306,134
1655037309,134
1655037312,767
1655037315,767
1655037318,767
1655037321,767
1655037324,767
1655037327,767
1655037330,767
1655037333,767
1655037336,767
1655037339,767
1655037342,767
1655037345,767
1655037348,767
1655037351,767
1655037354,767
1655037357,767
1655037360,767
1655037363,767
1655037366,767
1655037369,767
1655037372,767
1655037375,767
1655037378,767
1655037381,767
1655037384,767
1655037387,767
1655037390,767
1655037393,767
1655037396,767
1655037399,767
1655037402,767
1655037405,767
1655037408,767
1655037411,767
1655037414,767
1655037417,767
1655037420,767
1655037423,767
1655037426,767
1655037429,767
1655037432,767
1655037435,767
1655037438,767
1655037441,767
1655037444,767
1655037447,767
1655037450,767
1655037453,767
1655037456,767
1655037459,767
1655037462,767
1655037465,767
1655037468,767
1655037471,767
1655037474,767
1655037477,767
1655037480,767
1655037483,767
1655037486,767
1655037489,767
1655037492,1017
1655037495,1017
1655037498,1246
1655037501,1246
1655037504,1367
1655037507,1367
1655037510,1367
1655037513,1477
1655037516,1477
1655037519,1477
1655037522,1477
1655037525,1477
1655037528,1477
1655037531,1477
1655037534,1477
1655037537,1477
1655037540,1477
1655037543,1611
1655037546,1611
1655037549,1611
1655037552,1611
1655037555,1611
1655037558,1611
1655037561,1611
1655037564,1740
1655037567,1853
1655037570,1853
1655037573,1853
1655037576,1853
1655037579,1853
1655037582,1853
1655037585,1853
1655037588,1853
1655037591,1853
1655037594,1853
1655037597,1853
1655037600,1853
1655037603,1853
1655037606,1853
1655037609,1853
1655037612,1853
1655037615,1853
1655037618,1853
1655037621,1853
1655037624,1853
1655037627,1853
1655037630,1853
1655037633,1853
1655037636,1853
1655037639,1853
1655037642,1853
1655037645,1853
1655037648,1853
1655037651,1853
1655037654,1853
1655037657,1853
1655037660,1853
1655037663,1853
1655037666,1853
1655037669,1853
1655037672,1853
1655037675,1853
1655037678,1853
1655037681,1853
1655037684,1853
1655037687,1853
1655037690,1853
1655037693,1853
1655037696,1853
1655037699,1853
1655037702,1853
1655037705,1853
1655037708,1853
1655037711,1853
1655037714,1853
1655037717,1853
1655037720,1853
1655037723,1853
1655037726,1853
1655037729,1853
1655037732,1853
1655037735,1853
1655037738,1853
1655037741,1853
1655037744,1853
1655037747,1853
1655037750,1853
1655037753,1853
1655037756,1853
1655037759,1853
1655037762,1853
1655037765,1853
1655037768,1853
1655037771,1853
1655037774,1853
1655037777,1853
1655037780,1853
1655037783,1853
1655037786,1853
1655037789,1853
1655037792,1853
1655037795,1853
1655037798,1853
1655037801,1853
1655037804,1853
1655037807,1853
1655037810,1853
1655037813,1853
1655037816,1853
1655037819,1853
1655037822,1853
1655037825,1853
1655037828,1853
1655037831,1853
1655037834,1853
1655037837,1853
1655037840,1853
1655037843,1853
1655037846,1853
1655037849,1853
1655037852,1853
1655037855,1853
1655037858,1853
1655037861,1853
1655037864,1853
1655037867,1853
1655037870,1853
1655037873,1853
1655037876,1853
1655037879,1853
1655037882,1853
1655037885,1853
1655037888,1853
1655037891,1853
1655037894,1853
1655037897,1853
1655037900,1853
1655037903,1853
1655037906,1853
1655037909,1853
1655037912,1853
1655037915,1853
1655037918,1853
1655037921,1853
1655037924,1853
1655037927,1853
1655037930,1853
1655037933,1853
1655037936,1853
1655037939,1853
1655037942,1853
1655037945,2183
1655037948,2649
1655037951,2999
1655037954,3143
1655037957,3143
1655037960,3143
1655037963,3143
1655037966,3143
1655037969,3143
1655037972,3143
1655037975,3143
1655037978,3143
1655037981,3143
1655037984,3143
1655037987,3143
1655037990,3143
1655037993,3143
1655037996,3143
1655037999,3143
1655038002,3143
1655038005,3143
1655038008,3143
1655038011,3143
1655038014,3143
1655038017,3143
1655038020,3143
1655038023,3143
1655038026,3143
1655038029,3143
1655038032,3143
1655038035,3143
1655038038,3143
1655038041,3143
1655038044,3143
1655038047,3143
1655038050,3143
1655038053,3143
1655038056,3143
1655038059,3143
1655038062,3143
1655038065,3143
1655038068,3143
1655038071,3143
1655038074,3143
1655038077,3143
1655038080,3143
1655038083,3143
1655038086,3143
1655038089,3143
1655038092,3143
1655038095,3143
1655038098,3143
1655038101,3143
1655038104,3143
1655038107,3143
1655038110,3143
1655038113,3143
1655038116,3143
1655038119,3143
1655038122,3143
1655038125,3143
1655038128,3143
1655038131,3143
1655038134,3143
1655038137,3143
1655038140,3143
1655038143,3143
1655038146,3143
1655038149,3143
1655038152,3143
1655038155,3143
1655038158,3143
1655038161,3143
1655038164,3143
1655038167,3143
1655038170,3143
1655038173,3143
1655038176,3143
1655038179,3143
1655038182,3143
1655038185,3143
1655038188,3143
1655038191,3143
1655038194,3143
1655038197,3143
1655038200,3143
1655038203,3143
1655038206,3143
1655038209,3143
1655038212,3143
1655038215,3143
1655038218,3143
1655038221,3143
1655038224,3143
1655038227,3143
1655038230,3143
1655038233,3143
1655038236,3143
1655038239,3143
1655038242,3143
1655038245,3143
1655038248,3143
1655038251,3143
1655038254,3143
1655038257,3143
1655038260,3143
1655038263,3143
1655038266,3143
1655038269,3143
1655038272,3143
1655038275,3143
1655038278,3143
1655038281,3143
1655038284,3143
1655038287,3143
1655038290,3143
1655038293,3143
1655038296,3143
1655038299,3143
1655038302,3143
1655038305,3143
1655038308,3143
1655038311,3143
1655038314,3143
1655038317,3143
1655038320,3143
1655038323,3143
1655038326,3143
1655038329,3143
1655038332,3143
1655038335,3143
1655038338,3143
1655038341,3143
1655038344,3143
1655038347,3143
1655038350,3143
1655038353,3143
1655038356,3143
1655038359,3143
1655038362,3143
1655038365,3143
1655038368,3143
1655038371,3143
1655038374,3143
1655038377,3143
1655038380,3143
1655038383,3143
1655038386,3143
1655038389,3143
1655038392,3143
1655038395,3143
1655038398,3143
1655038401,3143
1655038404,3143
1655038407,3143
1655038410,3143
1655038413,3143
1655038416,3143
1655038419,3143
1655038422,3143
1655038425,3143
1655038428,3143
1655038431,3143
1655038434,3143
1655038437,3143
1655038440,3143
1655038443,3143
1655038446,3143
1655038449,3143
1655038452,3143
1655038455,3143
1655038458,3143
1655038461,3143
1655038464,3143
1655038467,3143
1655038470,3143
1655038473,3143
1655038476,3143
1655038479,3143
1655038482,3143
1655038485,3143
1655038488,3143
1655038491,3143
1655038494,3143
1655038497,3143
1655038500,3143
1655038503,3143
1655038506,3143
1655038509,3143
1655038512,3143
1655038515,3143
1655038518,3143
1655038521,3143
1655038524,3143
1655038527,3143
1655038530,3143
1655038533,3143
1655038536,3143
1655038539,3143
1655038542,3143
1655038545,3143
1655038548,3143
1655038551,3143
1655038554,3143
1655038557,3143
1655038560,3143
1655038563,3143
1655038566,3143
1655038569,3143
1655038572,3143
1655038575,3143
1655038578,3143
1655038581,3143
1655038584,3143
1655038587,3143
1655038590,3143
1655038593,3143
1655038596,3143
1655038599,3143
1655038602,3143
1655038605,3143
1655038608,3143
1655038611,3143
1655038614,3143
1655038617,3143
1655038620,3143
1655038623,3143
1655038626,3143
1655038629,3143
1655038632,3143
1655038635,3143
1655038638,3143
1655038641,3143
1655038644,3143
1655038647,3143
1655038650,3143
1655038653,3143
1655038656,3143
1655038659,3143
1655038662,3143
1655038665,3143
1655038668,3143
1655038671,3143
1655038674,3143
1655038677,3143
1655038680,3143
1655038683,3143
1655038686,3143
1655038689,3143
1655038692,3143
1655038695,3143
1655038698,3143
1655038701,3143
1655038704,3143
1655038707,3243
1655038710,3243
1655038713,3243
1655038716,3243
1655038719,3243
1655038722,3243
1655038725,3243
1655038728,3243
1655038731,3243
1655038734,3243
1655038737,3243
1655038740,3243
1655038743,3243
1655038746,3243
1655038749,3243
1655038752,3243
1655038755,3243
1655038758,3243
1655038761,3243
1655038764,3243
1655038767,3243
1655038770,3243
1655038773,3243
1655038776,3243
1655038779,3243
1655038782,3243
1655038785,3243
1655038788,3243
1655038791,3243
1655038794,3243
1655038797,3243
1655038800,3243
1655038803,3243
1655038806,3243
1655038809,3243
1655038812,3243
1655038815,3243
1655038818,3243
1655038821,3243
1655038824,3243
1655038827,3243
1655038830,3243
1655038833,3243
1655038836,3243
1655038839,3243
1655038842,3549
1655038845,3549
1655038848,3549
1655038851,3549
1655038854,3549
1655038857,3549
1655038860,3549
1655038863,3549
1655038866,3549
1655038869,3549
1655038872,3549
1655038875,3549
1655038878,3549
1655038881,3549
1655038884,3549
1655038887,3549
1655038890,3549
1655038893,3549
1655038896,3549
1655038899,3549
1655038902,3549
1655038905,3549
1655038908,3549
1655038911,3549
1655038914,3549
1655038917,3549
1655038920,3549
1655038923,3549
1655038926,3549
1655038929,3549
1655038932,3549
1655038935,3549
1655038938,3549
1655038941,3549
1655038944,3549
1655038947,3549
1655038950,3549
1655038953,3549
1655038956,3549
1655038959,3549
1655038962,3549
1655038965,3549
1655038968,3549
1655038971,3549
1655038974,3549
1655038977,3549
1655038980,3549
1655038983,3549
1655038986,3549
1655038989,3549
1655038992,3549
1655038995,3549
1655038998,3549
1655039001,3549
1655039004,3549
1655039007,3549
1655039010,3549
1655039013,3549
1655039016,3549
1655039019,3549
1655039022,3549
1655039025,3549
1655039028,3549
1655039031,3549
1655039034,3549
1655039037,3549
1655039040,3549
1655039043,3549
1655039046,3549
1655039049,3549
1655039052,3549
1655039055,3549
1655039058,3549
1655039061,3549
1655039064,3549
1655039067,3549
1655039070,3549
1655039073,3549
1655039076,3549
1655039079,3549
1655039082,3549
1655039085,3549
1655039088,3549
1655039091,3549
1655039094,3549
1655039097,3549
1655039100,3549
1655039103,3549
1655039106,3549
1655039109,3549
1655039112,3549
1655039115,3549
1655039118,3549
1655039121,3549
1655039124,3549
1655039127,3549
1655039130,3549
1655039133,3549
1655039136,3549
1655039139,3549
1655039142,3549
1655039145,3549
1655039148,3549
1655039151,3549
1655039154,3549
1655039157,3549
1655039160,3549
1655039163,3549
1655039166,3549
1655039169,3549
1655039172,3549
1655039175,3549
1655039178,3549
1655039181,3549
1655039184,3549
1655039187,3549
1655039190,3549
1655039193,3549
1655039196,3549
1655039199,3549
1655039202,3549
1655039205,3549
1655039208,3549
1655039211,3549
1655039214,3549
1655039217,3549
1655039220,3549
1655039223,3549
1655039226,3549
1655039229,3549
1655039232,3549
1655039235,3549
1655039238,3549
1655039241,3549
1655039244,3549
1655039247,3549
1655039250,3549
1655039253,3549
1655039256,3549
1655039259,3549
1655039262,3549
1655039265,3549
1655039268,3549
1655039271,3549
1655039274,3549
1655039277,3549
1655039280,3549
1655039283,3549
1655039286,3549
1655039289,3549
1655039292,3549
1655039295,3549
1655039298,3549
1655039301,3549
1655039304,3549
1655039307,3549
1655039310,3549
1655039313,3549
1655039316,3549
1655039319,3549
1655039322,3549
1655039325,3549
1655039328,3549
1655039331,3549
1655039334,3549
1655039337,3549
1655039340,3549
1655039343,3549
1655039346,3549
1655039349,3549
1655039352,3549
1655039355,3549
1655039358,3549
1655039361,3549
1655039364,3549
1655039367,3549
1655039370,3549
1655039373,3549
1655039376,3549
1655039379,3549
1655039382,3549
1655039385,3549
1655039388,3549
1655039391,3549
1655039394,3549
1655039397,3549
1655039400,3549
1655039403,3549
1655039406,3549
1655039409,3549
1655039412,3549
1655039415,3549
1655039418,3549
1655039421,3549
1655039424,3549
1655039427,3549
1655039430,3549
1655039433,3549
1655039436,3549
1655039439,3549
1655039442,3549
1655039445,3549
1655039448,3549
1655039451,3549
1655039454,3549
1655039457,3549
1655039460,3549
1655039463,3549
1655039466,3549
1655039469,3549
1655039472,3549
1655039475,3549
1655039478,3549
1655039481,3549
1655039484,3549
1655039487,3549
1655039490,3549
1655039493,3549
1655039496,3549
1655039499,3549
1655039502,3549
1655039505,3549
1655039508,3549
1655039511,3549
1655039514,3549
1655039517,3549
1655039520,3549
1655039523,3549
1655039526,3549
1655039529,3549
1655039532,3549
1655039535,3549
1655039538,3549
1655039541,3549
1655039544,3549
1655039547,3549
1655039550,3549
1655039553,3549
1655039556,3549
1655039559,3549
1655039562,3549
1655039565,3549
1655039568,3549
1655039571,3549
1655039574,3549
1655039577,3549
1655039580,3549
1655039583,3549
1655039586,3549
1655039589,3549
1655039592,3549
1655039595,3549
1655039598,3549
1655039601,3549
1655039604,3549
1655039607,3549
1655039610,3549
1655039613,3549
1655039616,3549
1655039619,3549
1655039622,3549
1655039625,3549
1655039628,3549
1655039631,3549
1655039634,3549
1655039637,3549
1655039640,3549
1655039643,3549
1655039646,3549
1655039649,3549
1655039652,3549
1655039655,3549
1655039658,3549
1655039661,3549
1655039664,3549
1655039667,3549
1655039670,3549
1655039673,3549
1655039676,3549
1655039679,3549
1655039682,3549
1655039685,3549
1655039688,3549
1655039691,3549
1655039694,3549
1655039697,3549
1655039700,3549
1655039703,3549
1655039706,3549
1655039709,3549
1655039712,3549
1655039715,3549
1655039718,3549
1655039721,3549
1655039724,3549
1655039727,3549
1655039730,3549
1655039733,3549
1655039736,3549
1655039739,3549
1655039742,3549
