t,value
1655037294,48
1655037297,52
1655037300,52
1655037303,52
1655037306,52
1655037309,52
1655037312,58
1655037315,58
1655037318,59
1655037321,59
1655037324,59
1655037327,60
1655037330,60
1655037333,60
1655037336,60
1655037339,60
1655037342,60
1655037345,61
1655037348,61
1655037351,58
1655037354,55
1655037357,55
1655037360,55
1655037363,55
1655037366,55
1655037369,55
1655037372,55
1655037375,55
1655037378,55
1655037381,55
1655037384,55
1655037387,55
1655037390,55
1655037393,55
1655037396,55
1655037399,55
1655037402,55
1655037405,54
1655037408,54
1655037411,54
1655037414,54
1655037417,54
1655037420,54
1655037423,54
1655037426,54
1655037429,54
1655037432,54
1655037435,54
1655037438,54
1655037441,54
1655037444,54
1655037447,54
1655037450,54
1655037453,54
1655037456,54
1655037459,54
1655037462,54
1655037465,54
1655037468,54
1655037471,54
1655037474,54
1655037477,54
1655037480,54
1655037483,54
1655037486,54
1655037489,54
1655037492,54
1655037495,54
1655037498,54
1655037501,54
1655037504,54
1655037507,54
1655037510,54
1655037513,54
1655037516,54
1655037519,54
1655037522,54
1655037525,54
1655037528,54
1655037531,54
1655037534,54
1655037537,54
1655037540,54
1655037543,54
1655037546,54
1655037549,54
1655037552,54
1655037555,54
1655037558,54
1655037561,54
1655037564,54
1655037567,54
1655037570,54
1655037573,54
1655037576,54
1655037579,54
1655037582,54
1655037585,54
1655037588,54
1655037591,54
1655037594,54
1655037597,54
1655037600,54
1655037603,54
1655037606,54
1655037609,54
1655037612,54
1655037615,54
1655037618,54
1655037621,54
1655037624,54
1655037627,54
1655037630,54
1655037633,54
1655037636,54
1655037639,54
1655037642,54
1655037645,54
1655037648,54
1655037651,54
1655037654,54
1655037657,54
1655037660,54
1655037663,54
1655037666,54
1655037669,54
1655037672,54
1655037675,54
1655037678,54
1655037681,54
1655037684,54
1655037687,54
1655037690,54
1655037693,54
1655037696,54
1655037699,54
1655037702,54
1655037705,54
1655037708,54
1655037711,54
1655037714,54
1655037717,54
1655037720,54
1655037723,54
1655037726,54
1655037729,54
1655037732,54
1655037735,54
1655037738,54
1655037741,54
1655037744,54
1655037747,54
1655037750,54
1655037753,54
1655037756,54
1655037759,54
1655037762,54
1655037765,54
1655037768,54
1655037771,54
1655037774,54
1655037777,54
1655037780,54
1655037783,54
1655037786,54
1655037789,54
1655037792,54
1655037795,54
1655037798,54
1655037801,54
1655037804,54
1655037807,54
1655037810,54
1655037813,54
1655037816,54
1655037819,54
1655037822,54
1655037825,54
1655037828,54
1655037831,54
1655037834,54
1655037837,54
1655037840,54
1655037843,54
1655037846,54
1655037849,54
1655037852,54
1655037855,54
1655037858,54
1655037861,54
1655037864,54
1655037867,54
1655037870,54
1655037873,54
1655037876,54
1655037879,54
1655037882,54
1655037885,54
1655037888,54
1655037891,54
1655037894,54
1655037897,54
1655037900,54
1655037903,54
1655037906,54
1655037909,54
1655037912,54
1655037915,54
1655037918,54
1655037921,54
1655037924,54
1655037927,54
1655037930,54
1655037933,54
1655037936,54
1655037939,54
1655037942,54
1655037945,54
1655037948,54
1655037951,54
1655037954,54
1655037957,54
1655037960,54
1655037963,54
1655037966,54
1655037969,54
1655037972,54
1655037975,54
1655037978,54
1655037981,54
1655037984,54
1655037987,54
1655037990,54
1655037993,54
1655037996,54
1655037999,54
1655038002,54
1655038005,54
1655038008,54
1655038011,54
1655038014,54
1655038017,54
1655038020,54
1655038023,54
1655038026,54
1655038029,54
1655038032,54
1655038035,54
1655038038,54
1655038041,54
1655038044,54
1655038047,54
1655038050,54
1655038053,54
1655038056,54
1655038059,54
1655038062,54
1655038065,54
1655038068,54
1655038071,59
1655038074,59
1655038077,59
1655038080,59
1655038083,59
1655038086,59
1655038089,59
1655038092,59
1655038095,59
1655038098,59
1655038101,59
1655038104,59
1655038107,59
1655038110,59
1655038113,59
1655038116,59
1655038119,59
1655038122,59
1655038125,59
1655038128,59
1655038131,59
1655038134,59
1655038137,59
1655038140,59
1655038143,59
1655038146,59
1655038149,59
1655038152,59
1655038155,59
1655038158,59
1655038161,59
1655038164,59
1655038167,60
1655038170,60
1655038173,60
1655038176,60
1655038179,60
1655038182,60
1655038185,60
1655038188,60
1655038191,60
1655038194,60
1655038197,60
1655038200,60
1655038203,60
1655038206,60
1655038209,60
1655038212,60
1655038215,60
1655038218,60
1655038221,60
1655038224,60
1655038227,60
1655038230,60
1655038233,60
