t,value
1655037294,54
1655037297,58
1655037300,58
1655037303,58
1655037306,58
1655037309,58
1655037312,64
1655037315,64
1655037318,65
1655037321,65
1655037324,65
1655037327,66
1655037330,66
1655037333,66
1655037336,66
1655037339,66
1655037342,66
1655037345,67
1655037348,67
1655037351,64
1655037354,61
1655037357,61
1655037360,61
1655037363,61
1655037366,61
1655037369,61
1655037372,61
1655037375,61
1655037378,61
1655037381,61
1655037384,61
1655037387,61
1655037390,61
1655037393,61
1655037396,61
1655037399,61
1655037402,61
1655037405,60
1655037408,60
1655037411,60
1655037414,60
1655037417,60
1655037420,60
1655037423,60
1655037426,60
1655037429,60
1655037432,60
1655037435,60
1655037438,60
1655037441,60
1655037444,60
1655037447,60
1655037450,60
1655037453,60
1655037456,60
1655037459,60
1655037462,60
1655037465,60
1655037468,60
1655037471,60
1655037474,60
1655037477,60
1655037480,60
1655037483,60
1655037486,60
1655037489,60
1655037492,60
1655037495,60
1655037498,60
1655037501,60
1655037504,60
1655037507,60
1655037510,60
1655037513,60
1655037516,60
1655037519,60
1655037522,60
1655037525,60
1655037528,60
1655037531,60
1655037534,60
1655037537,60
1655037540,60
1655037543,60
1655037546,60
1655037549,60
1655037552,60
1655037555,60
1655037558,60
1655037561,60
1655037564,60
1655037567,60
1655037570,60
1655037573,60
1655037576,60
1655037579,60
1655037582,60
1655037585,60
1655037588,60
1655037591,60
1655037594,60
1655037597,60
1655037600,60
1655037603,60
1655037606,60
1655037609,60
1655037612,60
1655037615,60
1655037618,60
1655037621,60
1655037624,60
1655037627,60
1655037630,60
1655037633,60
1655037636,60
1655037639,60
1655037642,60
1655037645,60
1655037648,60
1655037651,60
1655037654,60
1655037657,60
1655037660,60
1655037663,60
1655037666,60
1655037669,60
1655037672,60
1655037675,60
1655037678,60
1655037681,60
1655037684,60
1655037687,60
1655037690,60
1655037693,60
1655037696,60
1655037699,60
1655037702,60
1655037705,60
1655037708,60
1655037711,60
1655037714,60
1655037717,60
1655037720,60
1655037723,60
1655037726,60
1655037729,60
1655037732,60
1655037735,60
1655037738,60
1655037741,60
1655037744,60
1655037747,60
1655037750,60
1655037753,60
1655037756,60
1655037759,60
1655037762,60
1655037765,60
1655037768,60
1655037771,60
1655037774,60
1655037777,60
1655037780,60
1655037783,60
1655037786,60
1655037789,60
1655037792,60
1655037795,60
1655037798,60
1655037801,60
1655037804,60
1655037807,60
1655037810,60
1655037813,60
1655037816,60
1655037819,60
1655037822,60
1655037825,60
1655037828,60
1655037831,60
1655037834,60
1655037837,60
1655037840,60
1655037843,60
1655037846,60
1655037849,60
1655037852,60
1655037855,60
1655037858,60
1655037861,60
1655037864,60
1655037867,60
1655037870,60
1655037873,60
1655037876,60
1655037879,60
1655037882,60
1655037885,60
1655037888,60
1655037891,60
1655037894,60
1655037897,60
1655037900,60
1655037903,60
1655037906,60
1655037909,60
1655037912,60
1655037915,60
1655037918,60
1655037921,60
1655037924,60
1655037927,60
1655037930,60
1655037933,60
1655037936,60
1655037939,60
1655037942,60
1655037945,60
1655037948,60
1655037951,60
1655037954,60
1655037957,60
1655037960,60
1655037963,60
1655037966,60
1655037969,60
1655037972,60
1655037975,60
1655037978,60
1655037981,60
1655037984,60
1655037987,60
1655037990,60
1655037993,60
1655037996,60
1655037999,60
1655038002,60
1655038005,60
1655038008,60
1655038011,60
1655038014,60
1655038017,60
1655038020,60
1655038023,60
1655038026,60
1655038029,60
1655038032,60
1655038035,60
1655038038,60
1655038041,60
1655038044,60
1655038047,60
1655038050,60
1655038053,60
1655038056,60
1655038059,60
1655038062,60
1655038065,60
1655038068,60
1655038071,65
1655038074,65
1655038077,65
1655038080,65
1655038083,65
1655038086,65
1655038089,65
1655038092,65
1655038095,65
1655038098,65
1655038101,65
1655038104,65
1655038107,65
1655038110,65
1655038113,65
1655038116,65
1655038119,65
1655038122,65
1655038125,65
1655038128,65
1655038131,65
1655038134,65
1655038137,65
1655038140,65
1655038143,65
1655038146,65
1655038149,65
1655038152,65
1655038155,65
1655038158,65
1655038161,65
1655038164,65
1655038167,66
1655038170,66
1655038173,66
1655038176,66
1655038179,66
1655038182,66
1655038185,66
1655038188,66
1655038191,66
1655038194,66
